,"Average number of students enrolled by computer, Total (N.º)","Average number of students enrolled by computer, Primary education, 1st cycle (N.º)","Average number of students enrolled by computer, Primary education, 2nd cycle (N.º)","Average number of students enrolled by computer, Secondary education, Lower (N.º)","Average number of students enrolled by computer, Secondary education, Upper (N.º)","Average number of students enrolled by computer connected to the internet, Total, Upper (N.º)","Average number of students enrolled by computer connected to the internet, Primary education, 1st cycle (N.º)","Average number of students enrolled by computer connected to the internet, Primary education, 2nd cycle (N.º)","Average number of students enrolled by computer connected to the internet, Secondary education, Lower (N.º)","Average number of students enrolled by computer connected to the internet, Secondary education, Upper (N.º)"
São Brás de Alportel,4.9,5.9,5.2,5.2,3.7,4.9,5.9,5.2,5.2,3.7
Silves,5.6,7.7,5.1,5.1,4.4,5.8,7.9,5.3,5.3,4.5
Tavira,5.3,6.6,5.4,5.4,4,5.3,6.6,5.4,5.4,4
Vila do Bispo,6,7.4,5.5,4.6,//,6,7.4,5.5,4.6,//
Vila Real de Santo António,5.6,6.5,4.9,5.3,5.5,5.7,6.8,4.9,5.4,5.5
R. A. Açores,x,x,x,x,x,x,x,x,x,x
Santa Maria,x,x,x,x,x,x,x,x,x,x
Vila do Porto,x,x,x,x,x,x,x,x,x,x
São Miguel,x,x,x,x,x,x,x,x,x,x
Lagoa (R.A.A.),x,x,x,x,x,x,x,x,x,x
Nordeste,x,x,x,x,x,x,x,x,x,x
Ponta Delgada,x,x,x,x,x,x,x,x,x,x
Povoação,x,x,x,x,x,x,x,x,x,x
Ribeira Grande,x,x,x,x,x,x,x,x,x,x
Vila Franca do Campo,x,x,x,x,x,x,x,x,x,x
Terceira,x,x,x,x,x,x,x,x,x,x
Angra do Heroísmo,x,x,x,x,x,x,x,x,x,x
Vila da Praia da Vitória,x,x,x,x,x,x,x,x,x,x
Graciosa,x,x,x,x,x,x,x,x,x,x
Santa Cruz da Graciosa,x,x,x,x,x,x,x,x,x,x
São Jorge,x,x,x,x,x,x,x,x,x,x
Calheta (R.A.A.),x,x,x,x,x,x,x,x,x,x
Velas,x,x,x,x,x,x,x,x,x,x
Pico,x,x,x,x,x,x,x,x,x,x
Lajes do Pico,x,x,x,x,x,x,x,x,x,x
Madalena,x,x,x,x,x,x,x,x,x,x
São Roque do Pico,x,x,x,x,x,x,x,x,x,x
Faial,x,x,x,x,x,x,x,x,x,x
Horta,x,x,x,x,x,x,x,x,x,x
Flores,x,x,x,x,x,x,x,x,x,x
Lajes das Flores,x,x,x,x,x,x,x,x,x,x
Santa Cruz das Flores,x,x,x,x,x,x,x,x,x,x
Corvo,x,x,x,x,x,x,x,x,x,x
Corvo,x,x,x,x,x,x,x,x,x,x
R. A. Madeira,x,x,x,x,x,x,x,x,x,x
Calheta (R.A.M.),x,x,x,x,x,x,x,x,x,x
Câmara de Lobos,x,x,x,x,x,x,x,x,x,x
Funchal,x,x,x,x,x,x,x,x,x,x
Machico,x,x,x,x,x,x,x,x,x,x
Ponta do Sol,x,x,x,x,x,x,x,x,x,x
Porto Moniz,x,x,x,x,x,x,x,x,x,x
Ribeira Brava,x,x,x,x,x,x,x,x,x,x
Santa Cruz,x,x,x,x,x,x,x,x,x,x
Santana,x,x,x,x,x,x,x,x,x,x
São Vicente,x,x,x,x,x,x,x,x,x,x
Porto Santo,x,x,x,x,x,x,x,x,x,x
