,"Art facilities, Total, No.","Art facilities, Rooms, No.","Art facilities, Capacity, No.","Art facilities, Seats, No.","Live shows, Performances, No.","Live shows, Spectators, No.","Live shows, Tickets sold, No.","Live shows, Revenues, Euros"
Amarante,1,2,176,176,35,…,…,…
Baião,0,0,0,0,0,0,0,0
Castelo de Paiva,0,0,0,0,1,…,…,…
Celorico de Basto,0,0,0,0,0,0,0,0
Cinfães,0,0,0,0,0,0,0,0
Felgueiras,1,2,567,275,25,…,…,…
Lousada,1,1,200,200,0,0,0,0
Marco de Canaveses,0,0,0,0,55,4912,42,175
Paços de Ferreira,0,0,0,0,7,1453,95,275
Penafiel,0,0,0,0,1,…,…,…
Resende,0,0,0,0,13,5160,0,0
Douro,17,26,8675,6790,114,18408,6478,57767
Alijó,2,2,498,348,6,…,…,…
Armamar,0,0,0,0,0,0,0,0
Carrazeda de Ansiães,1,1,196,192,3,394,0,0
Freixo de Espada à Cinta,1,1,176,176,0,0,0,0
Lamego,2,4,3230,1708,15,6997,192,2304
Mesão Frio,1,1,103,103,2,150,0,0
Moimenta da Beira,0,0,0,0,0,0,0,0
Murça,1,1,193,192,0,0,0,0
Penedono,1,3,850,650,2,…,…,…
Peso da Régua,0,0,0,0,3,520,475,4594
Sabrosa,1,3,645,645,11,…,…,…
Santa Marta de Penaguião,1,1,212,206,0,0,0,0
São João da Pesqueira,1,1,400,400,0,0,0,0
Sernancelhe,1,1,137,137,0,0,0,0
Tabuaço,0,0,0,0,0,0,0,0
Tarouca,1,1,196,194,7,484,0,0
Torre de Moncorvo,2,2,400,400,1,…,…,…
Vila Nova de Foz Côa,0,0,0,0,0,0,0,0
Vila Real,1,4,1439,1439,64,8454,5615,49334
Terras de Trás-os-Montes,9,11,2692,2637,151,20886,9707,49767
Alfândega da Fé,1,1,213,213,0,0,0,0
Bragança,2,4,650,620,88,14339,8380,43610
Macedo de Cavaleiros,1,1,302,302,1,…,…,…
Miranda do Douro,1,1,60,35,19,…,…,…
Mirandela,0,0,0,0,20,1987,1149,5765
Mogadouro,2,2,998,998,0,0,0,0
Vila Flor,1,1,300,300,9,1450,0,0
Vimioso,1,1,169,169,0,0,0,0
Vinhais,0,0,0,0,14,1326,144,290
Centro,102,140,45243,36227,5852,688342,208489,1925035
Oeste,9,11,5909,3202,756,85988,18330,136902
Alcobaça,0,0,0,0,183,20569,4165,33294
Alenquer,0,0,0,0,102,…,…,…
Arruda dos Vinhos,2,2,3111,611,11,…,…,…
Bombarral,0,0,0,0,3,1500,0,0
Cadaval,1,1,170,168,5,…,…,…
Caldas da Rainha,1,2,810,810,86,11455,6654,69071
Lourinhã,1,1,121,119,0,0,0,0
Nazaré,1,1,366,366,10,879,54,540
Óbidos,1,2,700,500,0,0,0,0
Peniche,0,0,0,0,75,…,…,…
Sobral de Monte Agraço,1,1,219,216,20,…,…,…
Torres Vedras,1,1,412,412,261,28883,3801,20669
Região de Aveiro,16,19,6732,6388,857,136748,42735,340662
Águeda,1,2,674,649,47,8436,3259,25251
Albergaria-a-Velha,2,2,683,677,43,…,…,…
Anadia,1,1,268,264,4,…,…,…
Aveiro,2,4,1233,977,391,82089,11928,104340
Estarreja,2,2,1408,1369,99,10398,7174,58534
Ílhavo,4,4,1235,1221,160,17087,9047,72071
Murtosa,0,0,0,0,0,0,0,0
Oliveira do Bairro,1,1,415,415,35,4576,3877,39221
Ovar,1,1,340,340,35,…,…,…
Sever do Vouga,1,1,300,300,42,3054,1065,4780
Vagos,1,1,176,176,1,176,0,0
Região de Coimbra,20,28,11429,8241,1936,200311,81346,904006
Arganil,1,1,252,246,40,…,…,…
Cantanhede,1,1,500,500,102,9362,111,704
Coimbra,7,12,3971,3407,1043,72163,40847,537488
Condeixa-a-Nova,0,0,0,0,134,6950,0,0
Figueira da Foz,3,6,1888,1888,74,22042,15230,181344
Góis,1,1,280,276,27,6041,0,0
Lousã,0,0,0,0,77,8960,0,0
Mealhada,1,1,368,368,65,9094,4281,60474
Mira,0,0,0,0,4,740,0,0
Miranda do Corvo,1,1,266,266,20,…,…,…
Montemor-o-Velho,0,0,0,0,139,23571,17673,94163
Mortágua,1,1,240,236,17,5456,0,0
Oliveira do Hospital,1,1,3000,400,36,…,…,…
Pampilhosa da Serra,1,1,179,173,5,180,0,0
Penacova,1,1,199,199,4,…,…,…
Penela,0,0,0,0,18,…,…,…
Soure,0,0,0,0,69,11769,0,0
Tábua,1,1,286,282,23,5599,2546,20541
Vila Nova de Poiares,0,0,0,0,39,…,…,…
Região de Leiria,13,20,5251,5182,954,99462,32457,300834
Alvaiázere,1,1,148,148,15,…,…,…
Ansião,1,2,270,270,30,…,…,…
Batalha,1,1,155,155,14,…,…,…
Castanheira de Pêra,0,0,0,0,0,0,0,0
Figueiró dos Vinhos,0,0,0,0,18,…,…,…
Leiria,4,5,1928,1928,544,63596,29024,283004
Marinha Grande,1,1,262,262,145,9756,1198,5728
Pedrógão Grande,1,1,165,161,32,…,…,…
Pombal,2,4,805,746,129,13876,1694,9494
Porto de Mós,2,5,1518,1512,27,2639,90,450
Viseu Dão Lafões,15,24,5805,5343,476,39864,8690,45536
Aguiar da Beira,1,3,787,787,2,…,…,…
Carregal do Sal,1,2,398,398,1,…,…,…
Castro Daire,2,2,293,291,31,2677,521,1544
Mangualde,0,0,0,0,29,…,…,…
Nelas,1,3,1194,794,12,…,…,…
Oliveira de Frades,2,4,488,488,10,1110,115,455
Penalva do Castelo,0,0,0,0,17,1950,0,0
Santa Comba Dão,1,1,276,276,15,2528,1403,11183
São Pedro do Sul,1,1,198,198,7,640,0,0
Sátão,0,0,0,0,1,…,…,…
Tondela,1,3,896,860,44,2649,2033,8428
Vila Nova de Paiva,1,1,214,212,17,2407,125,375
Viseu,2,2,485,463,273,17322,4216,22440
Vouzela,2,2,576,576,17,2395,13,40
Beira Baixa,4,4,1208,1206,96,11898,5640,65197
Castelo Branco,2,2,822,822,87,10606,4691,56757
Idanha-a-Nova,0,0,0,0,2,…,…,…
Oleiros,0,0,0,0,0,0,0,0
Penamacor,0,0,0,0,1,…,…,…
Proença-a-Nova,1,1,166,166,0,0,0,0
Vila Velha de Ródão,1,1,220,218,6,532,426,4260
Médio Tejo,14,15,3643,3539,303,53871,9177,96197
Abrantes,1,1,220,220,28,2408,820,3818
Alcanena,2,2,414,414,65,5367,62,171
Constância,0,0,0,0,3,3450,0,0
Entroncamento,0,0,0,0,12,…,…,…
Ferreira do Zêzere,2,3,603,503,20,…,…,…
Mação,0,0,0,0,0,0,0,0
Ourém,1,1,350,350,87,26600,4022,29906
Sardoal,1,1,202,200,3,450,0,0
Sertã,2,2,398,396,1,…,…,…
Tomar,1,1,410,410,21,3008,1617,18935
Torres Novas,2,2,678,678,55,7311,523,3117
Vila de Rei,1,1,224,224,4,190,0,0
Vila Nova da Barquinha,1,1,144,144,4,443,0,0
Beiras e Serra da Estrela,11,19,5266,3126,474,60200,10114,35701
Almeida,1,2,1698,199,24,…,…,…
Belmonte,1,4,700,386,23,…,…,…
Celorico da Beira,1,1,250,250,0,0,0,0
Covilhã,0,0,0,0,90,13250,6942,21729
Figueira de Castelo Rodrigo,0,0,0,0,14,…,…,…
Fornos de Algodres,0,0,0,0,4,…,…,…
Fundão,1,2,197,197,146,21157,1235,3933
Gouveia,1,1,200,150,38,…,…,…
Guarda,4,6,1275,1182,16,907,649,2046
Manteigas,0,0,0,0,30,4792,0,0
Mêda,1,2,598,418,14,…,…,…
Pinhel,0,0,0,0,5,…,…,…
Sabugal,0,0,0,0,14,1410,0,0
Seia,1,1,348,344,34,3173,392,1909
Trancoso,0,0,0,0,22,…,…,…
A. M. Lisboa,104,156,84169,65158,8967,1365594,1019947,17785047
Alcochete,1,1,369,367,46,6969,4234,54759
Almada,4,7,2045,1949,661,44919,24123,212557
Amadora,3,6,806,794,174,11213,7315,52258
Barreiro,3,3,533,527,145,14828,8183,62966
Cascais,8,11,2931,2605,343,29690,24638,354918
Lisboa,48,78,64560,48647,5211,1010768,862706,15917141
Loures,2,3,440,440,218,17107,151,982
Mafra,3,3,350,350,25,2389,2219,9283
Moita,2,3,707,612,68,12488,1291,6830
Montijo,1,2,713,699,54,7945,3652,44029
Odivelas,1,5,363,363,222,7131,5308,47608
Oeiras,7,8,1357,1355,543,62966,29397,523658
Palmela,4,4,801,787,178,25399,2123,12758
Seixal,3,3,615,605,98,9843,5107,41874
Sesimbra,3,3,837,837,69,7049,4300,48474
Setúbal,3,3,3207,988,467,56908,18546,202301
Sintra,6,10,2375,2373,298,25613,15307,182155
Vila Franca de Xira,2,3,1160,860,147,12369,1347,10496
Alentejo,59,76,31976,30784,1733,185097,42918,483123
Alentejo Litoral,5,5,1104,1104,204,28952,3173,22842
Alcácer do Sal,1,1,201,201,18,…,…,…
Grândola,1,1,234,234,67,10293,0,0
Odemira,1,1,255,255,41,…,…,…
Santiago do Cacém,1,1,242,242,47,4888,1251,9607
Sines,1,1,172,172,31,6459,1922,13235
Baixo Alentejo,15,24,6088,5269,370,41048,9592,117708
Aljustrel,1,5,1668,1338,31,2784,500,4000
Almodôvar,1,3,187,149,12,801,0,0
Alvito,0,0,0,0,15,715,0,0
Barrancos,1,1,243,243,0,0,0,0
Beja,3,5,1860,1420,109,14040,9062,113618
Castro Verde,1,1,338,338,52,5794,0,0
Cuba,1,1,204,200,22,3020,0,0
Ferreira do Alentejo,1,1,126,126,13,…,…,…
Mértola,1,1,172,169,33,1155,0,0
Moura,1,1,239,239,33,6682,0,0
Ourique,1,1,168,166,3,30,30,90
Serpa,3,4,883,881,47,…,…,…
Vidigueira,0,0,0,0,0,0,0,0
Lezíria do Tejo,13,15,4156,4091,416,43870,17296,184586
Almeirim,1,1,270,260,30,7454,5711,77217
Alpiarça,1,2,253,219,12,1400,0,0
Azambuja,1,1,90,90,19,1970,0,0
Benavente,3,3,808,808,1,…,…,…
Cartaxo,1,2,405,399,45,3756,2193,12515
Chamusca,1,1,308,308,11,1069,800,9045
Coruche,2,2,379,378,146,…,…,…
Golegã,0,0,0,0,0,0,0,0
Rio Maior,1,1,247,243,56,…,…,…
Salvaterra de Magos,0,0,0,0,5,480,0,0
Santarém,2,2,1396,1386,91,9578,5274,72212
Alto Alentejo,11,13,8523,8517,193,25334,7215,97566
Alter do Chão,0,0,0,0,16,800,0,0
Arronches,1,1,252,252,1,…,…,…
Avis,1,1,274,274,0,0,0,0
Campo Maior,1,1,210,206,21,3770,1050,5450
Castelo de Vide,0,0,0,0,3,1335,0,0
Crato,0,0,0,0,1,…,…,…
Elvas,3,3,6050,6050,22,3489,2448,58800
Fronteira,0,0,0,0,0,0,0,0
Gavião,1,1,263,263,5,1325,75,188
Marvão,0,0,0,0,0,0,0,0
Monforte,0,0,0,0,2,…,…,…
Nisa,1,1,363,363,14,4698,190,570
Ponte de Sor,1,1,388,388,54,2135,0,0
Portalegre,1,3,620,620,53,6252,3052,30558
Sousel,1,1,103,101,1,…,…,…
Alentejo Central,15,19,12105,11803,550,45893,5642,60421
Alandroal,1,1,180,180,19,…,…,…
Arraiolos,1,1,203,203,80,…,…,…
Borba,1,1,79,79,27,5800,0,0
Estremoz,1,1,238,238,6,…,…,…
Évora,4,5,5493,5453,233,16383,4930,56964
Montemor-o-Novo,1,1,776,776,106,7068,107,457
Mora,0,0,0,0,0,0,0,0
Mourão,0,0,0,0,12,1500,0,0
Portel,1,1,218,212,12,600,0,0
Redondo,2,2,3202,3202,1,…,…,…
Reguengos de Monsaraz,1,1,232,232,28,1797,0,0
Vendas Novas,1,3,1054,804,26,3650,0,0
Viana do Alentejo,1,2,430,424,0,0,0,0
Vila Viçosa,0,0,0,0,0,0,0,0
Algarve,17,25,14929,8639,1205,168169,73241,779210
Albufeira,1,1,347,343,53,7257,878,6482
Alcoutim,0,0,0,0,10,1160,0,0
Aljezur,0,0,0,0,29,…,…,…
Castro Marim,0,0,0,0,5,…,…,…
Faro,4,5,1572,1572,287,44989,28379,338299
Lagoa,2,2,383,381,48,7018,4040,45254
Lagos,2,2,475,471,195,18282,8198,63182
Loulé,0,0,0,0,202,34323,5289,38086
Monchique,0,0,0,0,0,0,0,0
Olhão,2,2,832,832,121,20770,4585,43643
Portimão,2,6,8885,2805,99,18603,13405,187046
São Brás de Alportel,1,1,342,342,7,641,300,3336
Silves,1,1,150,150,70,…,…,…
Tavira,0,0,0,0,33,…,…,…
Vila do Bispo,1,4,1656,1456,34,1527,38,76
Vila Real de Santo António,1,1,287,287,12,873,663,7415
R. A. Açores,9,18,6984,5242,337,49529,24668,217859
Santa Maria,0,0,0,0,15,6007,3850,30726
Vila do Porto,0,0,0,0,15,6007,3850,30726
São Miguel,6,15,5816,4074,67,15030,11150,118906
Lagoa (R.A.A.),1,1,176,176,12,1027,0,0
Nordeste,0,0,0,0,7,…,…,…
Ponta Delgada,2,8,4094,2852,38,12360,10449,113776
Povoação,0,0,0,0,0,0,0,0
Ribeira Grande,3,6,1545.9999999999998,1046,10,…,…,…
Vila Franca do Campo,0,0,0,0,0,0,0,0
Terceira,3,3,1168,1168,179,16600,7107,57557
Angra do Heroísmo,1,1,468,468,154,12510,4415,44318
Vila da Praia da Vitória,2,2,700,700,25,4090,2692,13239
Graciosa,0,0,0,0,36,7734,168,1260
Santa Cruz da Graciosa,0,0,0,0,36,7734,168,1260
São Jorge,0,0,0,0,4,…,…,…
Calheta (R.A.A.),0,0,0,0,4,…,…,…
Velas,0,0,0,0,0,0,0,0
Pico,0,0,0,0,1,…,…,…
Lajes do Pico,0,0,0,0,0,0,0,0
Madalena,0,0,0,0,1,…,…,…
São Roque do Pico,0,0,0,0,0,0,0,0
Faial,0,0,0,0,35,0,0,0
Horta,0,0,0,0,35,3658,2393,9410
Flores,0,0,0,0,0,0,0,0
Lajes das Flores,0,0,0,0,0,0,0,0
Santa Cruz das Flores,0,0,0,0,0,0,0,0
Corvo,0,0,0,0,0,0,0,0
Corvo,0,0,0,0,0,0,0,0
R. A. Madeira,17,24,11448.000000000002,6918.000000000001,674,66051,24959,214621
Calheta (R.A.M.),1,1,194,194,10,962,161,756
Câmara de Lobos,3,3,457,457,41,3166,0,0
Funchal,7,12,9199,4869,409,41937,20176,191266
Machico,3,5,658,658,70,7538,2985,14100
Ponta do Sol,1,1,180,180,111,8019,1476,7391
Porto Moniz,0,0,0,0,0,0,0,0
Ribeira Brava,0,0,0,0,8,738,0,0
Santa Cruz,1,1,500,300,10,…,…,…
Santana,0,0,0,0,3,486,0,0
São Vicente,0,0,0,0,5,415,0,0
Porto Santo,1,1,260,260,7,…,…,…
