,"Despesas de capital, Total (Euros)","Despesas de capital, das quais , Património, Total (Euros)","Despesas de capital, das quais , Património, Museus (Euros)","Despesas de capital, das quais , Bibliotecas e arquivos, Total (Euros)","Despesas de capital, das quais , Bibliotecas e arquivos, Bibliotecas (Euros)","Despesas de capital, das quais , Artes do espetáculo, Total (Euros)","Despesas de capital, das quais , Artes do espetáculo, Música (Euros)","Despesas de capital, das quais , Artes do espetáculo, Multidisciplinares (Euros)","Despesas de capital, das quais , Artes do espetáculo, Construção e manutenção de recintos de espetáculos (Euros)","Despesas de capital, das quais , Atividades interdisciplinares, Total (Euros)","Despesas de capital, das quais , Atividades interdisciplinares, Apoio a entidades culturais e criativas (Euros)"
Portugal,89587931,41497465,14460786,6053548,4230180,26526551,1839714,3184443,20579095,9077843,6014928
Continente,86773021,41128568,14366340,5937166,4116043,25992371,1676776,3159725,20322868,7412010,4500599
Norte,33085709,12245158,5661810,2721637,1878866,14297336,881912,157312,13186562,1247631,973871
Alto Minho,2722632,890800,690789,34535,22335,1433178,0,0,1433178,286841,286841
Arcos de Valdevez,290374,256529,256529,0,0,0,0,0,0,33845,33845
Caminha,0,0,0,0,0,0,0,0,0,0,0
Melgaço,0,0,0,0,0,0,0,0,0,0,0
Monção,460132,457606,267322,1506,1506,0,0,0,0,0,0
Paredes de Coura,105842,0,0,0,0,29584,0,0,29584,0,0
Ponte da Barca,0,0,0,0,0,0,0,0,0,0,0
Ponte de Lima,17910,16042,6315,1868,1868,0,0,0,0,0,0
Valença,36090,6910,6910,29180,16980,0,0,0,0,0,0
Viana do Castelo,405346,153713,153713,0,0,0,0,0,0,251633,251633
Vila Nova de Cerveira,1406938,0,0,1981,1981,1403594,0,0,1403594,1363,1363
Cávado,580597,282634,227284,225500,0,0,0,0,0,0,0
Amares,70510,0,0,0,0,0,0,0,0,0,0
Barcelos,0,0,0,0,0,0,0,0,0,0,0
Braga,0,0,0,0,0,0,0,0,0,0,0
Esposende,508134,282634,227284,225500,0,0,0,0,0,0,0
Terras de Bouro,0,0,0,0,0,0,0,0,0,0,0
Vila Verde,1953,0,0,0,0,0,0,0,0,0,0
Ave,1413606,608815,460920,567827,502113,212793,0,115006,97787,6989,6989
Cabeceiras de Basto,17200,17200,17200,0,0,0,0,0,0,0,0
Fafe,561317,436771,436771,0,0,115006,0,115006,0,0,0
Guimarães,65181,0,0,50550,12504,0,0,0,0,6989,6989
Mondim de Basto,111277,111277,0,0,0,0,0,0,0,0,0
Póvoa de Lanhoso,463957,0,0,463957,463957,0,0,0,0,0,0
Vieira do Minho,0,0,0,0,0,0,0,0,0,0,0
Vila Nova de Famalicão,194674,43567,6949,53320,25652,97787,0,0,97787,0,0
Vizela,0,0,0,0,0,0,0,0,0,0,0
A. M. Porto,13134389,3366282,2838557,1140542,613295,6268185,13606,8505,6175739,512890,279355
Arouca,18907,17100,0,0,0,1039,1039,0,0,0,0
Espinho,62126,0,0,0,0,0,0,0,0,0,0
Gondomar,0,0,0,0,0,0,0,0,0,0,0
Maia,399116,32317,32317,8119,8119,87749,0,8505,74385,182729,0
Matosinhos,841323,500344,40948,16608,16608,290339,7000,0,277226,3628,0
Oliveira de Azeméis,1728969,0,0,0,0,1702793,0,0,1676103,0,0
Paredes,412506,16660,16660,0,0,5567,5567,0,0,0,0
Porto,4099424,100504,55872,61995,48802,3365502,0,0,3365502,0,0
Póvoa de Varzim,0,0,0,0,0,0,0,0,0,0,0
Santa Maria da Feira,1144493,77534,77534,1025286,512643,21673,0,0,0,20000,20000
Santo Tirso,0,0,0,0,0,0,0,0,0,0,0
São João da Madeira,0,0,0,0,0,0,0,0,0,0,0
Trofa,162461,6597,0,0,0,0,0,0,0,3690,0
Vale de Cambra,647978,6705,6705,9353,7942,623920,0,0,623920,8000,8000
Valongo,3144317,2608521,2608521,6370,6370,0,0,0,0,4488,0
Vila do Conde,44811,0,0,12811,12811,0,0,0,0,32000,32000
Vila Nova de Gaia,427958,0,0,0,0,169603,0,0,158603,258355,219355
Alto Tâmega,787253,389664,233222,39594,39594,310278,0,0,310278,0,0
Boticas,47700,15700,12000,32000,32000,0,0,0,0,0,0
Chaves,417997,273023,209444,279,279,117942,0,0,117942,0,0
Montalegre,0,0,0,0,0,0,0,0,0,0,0
Ribeira de Pena,12211,2900,2900,0,0,9311,0,0,9311,0,0
Valpaços,20964,0,0,0,0,0,0,0,0,0,0
Vila Pouca de Aguiar,288381,98041,8878,7315,7315,183025,0,0,183025,0,0
Tâmega e Sousa,8609483,4421874,230309,688488,683180,3181361,2501,27712,3150073,106551,106551
