,Museus em atividade (N.º),"Museus que cumprem os critérios de seleção, Número (N.º)","Museus que cumprem os critérios de seleção, Visitantes, Total (N.º)","Museus que cumprem os critérios de seleção, Visitantes, Visitantes escolares (N.º)","Museus que cumprem os critérios de seleção, Bens, Visitantes escolares (N.º)","Galerias de arte e outros espaços de exposições temporárias, Número, Visitantes escolares (N.º)","Galerias de arte e outros espaços de exposições temporárias, Exposições temporárias, Visitantes escolares (N.º)","Galerias de arte e outros espaços de exposições temporárias, Obras expostas, Visitantes escolares (N.º)","Galerias de arte e outros espaços de exposições temporárias, Autores/as representados/as, Visitantes escolares (N.º)"
Cadaval,1,1,1662,391,512,3,8,205,29
Caldas da Rainha,10,6,94480,15670,30627,7,52,3743,327
Lourinhã,2,1,…,…,…,2,13,334,56
Nazaré,2,2,…,…,…,2,8,1603,50
Óbidos,3,1,12519,195,1042,6,14,725,452
Peniche,3,2,14464,1347,5431,2,11,2493,310
Sobral de Monte Agraço,2,0,0,0,0,1,5,105,5
Torres Vedras,1,1,49153,6407,205569,2,21,911,304
Região de Aveiro,23,17,387765.00000000006,59521,215011,24,155,6860,1340
Águeda,2,1,…,…,…,2,16,429,122
Albergaria-a-Velha,0,0,0,0,0,2,17,592,103
Anadia,3,3,50330,3392,19873,2,9,266,148
Aveiro,3,3,161136,26930,50477,5,48,3648,561
Estarreja,2,2,…,…,…,1,8,250,65
Ílhavo,3,2,…,…,…,1,5,110,14
Murtosa,2,0,0,0,0,1,3,45,3
Oliveira do Bairro,2,2,3844,1699,10075,1,7,198,101
Ovar,4,3,…,…,25105,5,28,789,137
Sever do Vouga,2,1,2076,323,270,3,11,485,51
Vagos,0,0,0,0,0,1,3,48,35
Região de Coimbra,32,19,826275.0000000001,121443.99999999999,521826.00000000006,46,339,12771,2846
Arganil,1,0,0,0,0,2,21,1285,223
Cantanhede,2,1,9111,6379,…,3,22,854,199
Coimbra,9,9,622555,57747,154847,16,68,3095,330
Condeixa-a-Nova,2,2,102377,14915,28006,5,23,657,236
Figueira da Foz,2,1,31844,11697,328885,3,42,1577,497
Góis,1,0,0,0,0,2,16,830,679
Lousã,2,1,…,…,1376,1,10,621,147
Mealhada,1,0,0,0,0,3,20,1296,52
Mira,1,0,0,0,0,1,20,264,204
Miranda do Corvo,2,1,…,…,…,1,9,227,19
Montemor-o-Velho,1,0,0,0,0,0,0,0,0
Mortágua,0,0,0,0,0,1,1,60,3
Oliveira do Hospital,3,1,6784,…,3238,2,18,311,29
Pampilhosa da Serra,2,1,1910,…,2553,1,4,143,7
Penacova,1,1,…,554,…,1,13,170,22
Penela,2,1,9514,658,1640,2,5,124,81
Soure,0,0,0,0,0,0,0,0,0
Tábua,0,0,0,0,0,1,27,1057,83
Vila Nova de Poiares,0,0,0,0,0,1,20,200,35
Região de Leiria,24,19,205105,40364,762715,39,243,13782,1411
Alvaiázere,1,1,8203,…,12724,2,21,2997,141
Ansião,1,1,8339,…,20294,2,3,68,18
Batalha,1,1,5707,2505,…,2,7,180,75
Castanheira de Pêra,1,1,2836,…,181,3,34,3285,63
Figueiró dos Vinhos,1,1,…,741,290,3,44,1455,124
Leiria,12,8,96470,11833,705845,11,73,3002,432
Marinha Grande,2,2,27584,4942,11810,1,6,519,6
Pedrógão Grande,1,0,0,0,0,3,8,278,92
Pombal,2,2,16375,2009,4903,6,16,839,136
Porto de Mós,2,2,…,…,…,6,31,1159,324
Viseu Dão Lafões,21,11,135870,12034,31818.000000000004,26,197,10067,1909
Aguiar da Beira,0,0,0,0,0,1,4,395,6
Carregal do Sal,1,1,…,…,2490,1,15,469,143
Castro Daire,2,0,0,0,0,2,12,923,22
Mangualde,0,0,0,0,0,1,25,798,768
Nelas,1,0,0,0,0,1,6,131,8
Oliveira de Frades,1,1,…,125,…,1,10,335,92
Penalva do Castelo,1,0,0,0,0,3,19,586,80
Santa Comba Dão,0,0,0,0,0,0,0,0,0
São Pedro do Sul,1,0,0,0,0,1,6,70,7
Sátão,3,0,0,0,0,1,8,1600,8
Tondela,2,2,…,…,…,4,18,2381,85
Vila Nova de Paiva,2,2,3068,746,691,2,33,1111,314
Viseu,6,5,94657,7970,23533,7,29,888,341
Vouzela,1,0,0,0,0,1,12,380,35
Beira Baixa,13,5,38943,8558,19721,11,43,3775,213
Castelo Branco,5,2,…,…,…,6,22,3206,127
Idanha-a-Nova,1,0,0,0,0,0,0,0,0
Oleiros,1,0,0,0,0,0,0,0,0
Penamacor,2,1,8979,180,…,1,3,65,6
Proença-a-Nova,2,1,…,…,…,3,16,449,78
Vila Velha de Ródão,2,1,3985,400,407,1,2,55,2
Médio Tejo,26,13,145561,33056,237416,26,145,5066,724
Abrantes,1,1,13252,606,23228,3,12,533,21
Alcanena,2,1,877,441,9400,3,15,708,50
Constância,2,2,…,…,…,1,1,12,11
Entroncamento,1,1,69589,14689,20000,2,25,728,101
Ferreira do Zêzere,0,0,0,0,0,1,12,309,28
Mação,1,1,9456,2300,130452,1,7,180,11
Ourém,4,2,…,…,…,4,12,741,136
Sardoal,0,0,0,0,0,1,4,122,111
Sertã,1,0,0,0,0,1,12,689,126
Tomar,6,1,1786,0,273,2,9,241,13
Torres Novas,2,2,…,…,…,3,13,218,19
Vila de Rei,4,1,2294,850,1443,2,18,404,87
Vila Nova da Barquinha,2,1,5399,117,14,2,5,181,10
Beiras e Serra da Estrela,37,19,256238.00000000006,48957.99999999999,145707,25,161,5854,1171
Almeida,2,1,10725,434,3176,3,13,510,91
Belmonte,4,4,78078,24200,66,0,0,0,0
Celorico da Beira,2,0,0,0,0,1,6,185,88
Covilhã,4,3,41169,7661,108828,3,45,1242,282
Figueira de Castelo Rodrigo,1,0,0,0,0,1,2,40,2
Fornos de Algodres,1,0,0,0,0,0,0,0,0
Fundão,9,1,1792,515,13890,2,6,139,110
Gouveia,3,3,6089,2948,1076,1,3,107,46
Guarda,2,1,20519,1716,5262,4,29,1373,99
Manteigas,0,0,0,0,0,1,4,224,21
Mêda,0,0,0,0,0,1,4,60,6
Pinhel,2,0,0,0,0,2,16,456,18
Sabugal,3,2,8886,655,1224,1,8,214,18
Seia,3,3,77647,10051,12086,5,25,1304,390
Trancoso,1,1,11333,778,99,0,0,0,0
A. M. Lisboa,109,87,9425593.999999998,814059,13801768,248,1780,71035,15424
Alcochete,1,1,…,947,16098,4,17,758,153
Almada,3,3,…,4617,…,11,81,4247,1808
Amadora,2,2,7220,3703,61615,4,14,1261,215
Barreiro,1,0,0,0,0,3,9,163,9
Cascais,9,8,162283,18587,195916,19,115,4018,695
Lisboa,53,45,5401722,455317,9800386,146,1129,45725,8592
Loures,4,3,20036,1987,597979,7,23,1057,263
Mafra,4,2,371105,151541,94586,2,26,764,373
Moita,0,0,0,0,0,3,25,885,326
Montijo,3,1,9999,1381,8765,4,16,771,252
Odivelas,0,0,0,0,0,4,32,1638,721
Oeiras,1,1,5473,3430,…,4,13,740,148
Palmela,1,1,18637,8130,250134,4,10,309,54
Seixal,1,1,28184,10838,177077,4,28,567,134
Sesimbra,2,1,206312,5189,3713,1,113,2505,1040
Setúbal,4,4,75688,17990,1471024,8,53,2083,140
Sintra,14,11,3044617,107464,259729,11,37,1263,211
Vila Franca de Xira,6,3,59352,22938,158868,9,39,2281,290
Alentejo,91,60,956253.0000000002,106676,761269,127,715,24393,4115
Alentejo Litoral,7,5,24608,3358,29749,10,64,2461,415
Alcácer do Sal,3,2,…,…,…,2,5,305,14
Grândola,2,1,…,…,…,1,2,40,2
Odemira,0,0,0,0,0,1,18,255,154
Santiago do Cacém,1,1,4865,669,21922,4,35,1661,124
Sines,1,1,5951,876,7253,2,4,200,121
Baixo Alentejo,23,11,111183,13103,79967,26,170,4045,608
Aljustrel,2,1,2497,547,1798,2,12,346,120
Almodôvar,2,0,0,0,0,2,45,559,119
Alvito,1,0,0,0,0,1,15,264,23
Barrancos,1,1,…,78,1447,3,3,119,15
Beja,7,2,30752,2813,7832,4,16,746,84
Castro Verde,3,2,…,…,…,2,34,633,86
Cuba,1,0,0,0,0,1,11,220,18
Ferreira do Alentejo,1,1,5863,635,36175,2,6,115,17
Mértola,1,1,42900,3648,…,2,13,442,83
Moura,1,1,6276,2178,2685,1,1,40,1
Ourique,0,0,0,0,0,0,0,0,0
Serpa,2,1,15796,817,306,4,7,265,29
Vidigueira,1,1,2037,…,4271,2,7,296,13
Lezíria do Tejo,13,10,62580.99999999999,13268,502970,25,147,5180,832
Almeirim,1,1,…,2000,…,2,20,821,134
Alpiarça,1,1,11503,1093,62001,1,4,101,22
Azambuja,1,1,1312,…,32339,1,4,196,52
Benavente,1,1,3931,1900,50500,4,11,424,57
Cartaxo,2,1,2702,…,3682,1,3,68,3
Chamusca,0,0,0,0,0,1,20,286,20
Coruche,1,1,8692,1472,331073,1,4,114,84
Golegã,2,2,7933,2545,13230,3,21,450,51
Rio Maior,1,0,0,0,0,1,12,87,15
Salvaterra de Magos,0,0,0,0,0,4,27,1996,100
Santarém,3,2,…,…,…,6,21,637,294
Alto Alentejo,23,17,113027,11088,46496,29,147,6479,1074
Alter do Chão,0,0,0,0,0,1,2,81,22
Arronches,1,0,0,0,0,1,7,937,15
Avis,2,1,2393,342,2843,2,11,476,135
Campo Maior,4,1,…,…,…,1,5,800,403
Castelo de Vide,1,0,0,0,0,2,7,103,7
Crato,1,1,…,…,…,2,7,567,9
Elvas,4,4,32640,1976,9560,4,21,697,90
Fronteira,1,1,1015,164,45,1,1,20,1
Gavião,1,1,6483,260,98,1,5,135,5
Marvão,2,2,…,…,…,2,3,124,4
Monforte,1,1,1047,128,64,4,8,304,104
Nisa,1,1,2395,77,1114,0,0,0,0
Ponte de Sor,0,0,0,0,0,1,24,578,38
Portalegre,3,3,19162,2456,17062,6,43,1605,234
Sousel,1,1,1730,419,1486,1,3,52,7
Alentejo Central,25,17,644854,65859.00000000001,102087,37,187,6228,1186
Alandroal,0,0,0,0,0,1,6,250,15
Arraiolos,2,2,15888,…,…,2,5,193,18
Borba,2,0,0,0,0,0,0,0,0
Estremoz,2,1,…,…,…,2,17,229,58
Évora,5,5,467288,31408,25277,12,66,2130,870
Montemor-o-Novo,3,1,…,…,…,6,37,612,78
Mora,2,1,…,…,546,2,11,1914,32
Mourão,1,1,9939,952,11490,1,2,48,4
Portel,1,0,0,0,0,3,9,248,53
Redondo,3,2,3457,300,…,2,6,6,6
Reguengos de Monsaraz,1,1,13126,148,1,1,6,102,6
Vendas Novas,0,0,0,0,0,1,10,100,10
Viana do Alentejo,0,0,0,0,0,1,6,294,15
Vila Viçosa,3,3,70483,10941,34433,3,6,102,21
Algarve,29,16,627755,40401,666951,45,315,12137,2099
Albufeira,1,0,0,0,0,2,21,547,89
Alcoutim,1,1,15063,510,2419,1,11,1018,153
Aljezur,3,1,1662,0,516,3,10,323,61
Castro Marim,1,0,0,0,0,1,1,16,1
Faro,4,2,44500,7420,…,6,62,1578,439
Lagoa,0,0,0,0,0,2,18,721,107
Lagos,5,2,…,…,…,4,12,774,42
Loulé,2,2,…,…,…,6,33,969,245
Monchique,0,0,0,0,0,0,0,0,0
Olhão,2,1,2221,1120,…,2,16,412,34
Portimão,1,1,81736,6822,76754,2,40,2158,209
São Brás de Alportel,2,1,…,…,…,4,25,881,51
Silves,3,3,42768,1763,…,4,11,743,48
Tavira,3,1,125425,2667,…,3,17,348,90
Vila do Bispo,1,1,14889,113,5,1,7,213,83
Vila Real de Santo António,0,0,0,0,0,4,31,1436,447
R. A. Açores,34,18,291471.99999999994,47231.00000000001,272450,29,157,4721,503
Santa Maria,1,1,…,332,…,2,9,201,13
Vila do Porto,1,1,…,332,…,2,9,201,13
São Miguel,17,9,120435,34911,177546,12,54,2517,259
Lagoa (R.A.A.),4,2,…,…,…,2,3,93,3
Nordeste,1,0,0,0,0,0,0,0,0
Ponta Delgada,3,2,78751,21049,154063,5,24,1358,55
Povoação,1,0,0,0,0,0,0,0,0
Ribeira Grande,7,4,16440,2509,8854,3,21,689,189
Vila Franca do Campo,1,1,…,…,…,2,6,377,12
Terceira,5,1,27267,4519,37007,3,36,659,54
Angra do Heroísmo,3,1,27267,4519,37007,2,25,462,36
Vila da Praia da Vitória,2,0,0,0,0,1,11,197,18
Graciosa,1,1,5190,…,13587,1,18,501,18
Santa Cruz da Graciosa,1,1,5190,…,13587,1,18,501,18
São Jorge,2,1,7352,2612,4942,2,11,176,20
Calheta (R.A.A.),1,1,7352,2612,4942,1,6,90,6
Velas,1,0,0,0,0,1,5,86,14
Pico,3,1,64905,141,8309,4,19,343,126
Lajes do Pico,1,1,64905,141,8309,1,9,122,34
Madalena,1,0,0,0,0,0,0,0,0
São Roque do Pico,1,0,0,0,0,3,10,221,92
Faial,4,3,58517,3567,25607,3,8,286,11
Horta,4,3,58517,3567,25607,3,8,286,11
Flores,1,1,3490,140,3338,2,2,38,2
Lajes das Flores,0,0,0,0,0,1,1,25,1
Santa Cruz das Flores,1,1,3490,140,3338,1,1,13,1
Corvo,0,0,0,0,0,0,0,0,0
Corvo,0,0,0,0,0,0,0,0,0
R. A. Madeira,25,18,213134.00000000003,32032,99614.99999999999,34,261,6752,1501
Calheta (R.A.M.),1,1,22120,4533,690,2,9,275,13
Câmara de Lobos,1,1,7601,1111,42,5,108,1189,243
Funchal,16,12,129119,18520,92426,18,95,2511,550
Machico,2,2,28094,2116,498,3,8,572,18
Ponta do Sol,0,0,0,0,0,2,14,465,168
Porto Moniz,1,0,0,0,0,0,0,0,0
Ribeira Brava,1,1,9358,5125,5447,1,10,434,109
Santa Cruz,0,0,0,0,0,1,4,72,4
Santana,1,0,0,0,0,1,7,944,376
São Vicente,1,0,0,0,0,0,0,0,0
Porto Santo,1,1,16842,627,512,1,6,290,20
