,"Médicos, Total (N.º)","Médicos, Especialistas (N.º)","Médicos, Não especialistas (N.º)","Médicos por algumas especialidades médicas, Cirurgia geral (N.º)","Médicos por algumas especialidades médicas, Estomatologia (N.º)","Médicos por algumas especialidades médicas, Ginecologia e obstetrícia (N.º)","Médicos por algumas especialidades médicas, Medicina geral e familiar (N.º)","Médicos por algumas especialidades médicas, Oftalmologia (N.º)","Médicos por algumas especialidades médicas, Ortopedia (N.º)","Médicos por algumas especialidades médicas, Pediatria (N.º)","Médicos por algumas especialidades médicas, Psiquiatria (N.º)"
Portugal,55432,33775,21657,1778,578,1782,7422,1103,1249,2163,1195
Continente,53430,32657,20773,1711,564,1718,7149,1076,1212,2097,1165
Norte,19191,11049,8142,561,160,557,2642,320,431,735,388
Alto Minho,908,457,451,17,4,20,173,13,13,30,11
Arcos de Valdevez,44,24,20,1,0,1,15,0,0,0,0
Caminha,82,43,39,0,0,1,15,0,2,5,2
Melgaço,21,11,10,0,0,1,7,0,0,0,0
Monção,64,26,38,0,0,1,15,0,2,0,0
Paredes de Coura,13,5,8,0,0,0,4,0,0,0,0
Ponte da Barca,30,16,14,0,0,0,8,1,0,2,2
Ponte de Lima,108,40,68,1,0,1,23,0,2,4,0
Valença,24,8,16,0,0,1,6,0,0,0,0
Viana do Castelo,494,266,228,15,4,14,71,12,7,19,7
Vila Nova de Cerveira,28,18,10,0,0,0,9,0,0,0,0
Cávado,2129,1005,1124,45,11,50,282,24,53,58,39
Amares,52,21,31,1,0,0,6,1,2,1,2
Barcelos,330,119,211,2,2,5,44,2,3,8,5
Braga,1505,769,736,39,9,39,204,20,43,45,28
Esposende,146,65,81,2,0,5,18,1,4,4,2
Terras de Bouro,10,1,9,0,0,0,1,0,0,0,0
Vila Verde,86,30,56,1,0,1,9,0,1,0,2
Ave,1418,620,798,34,1,30,226,14,21,37,9
Cabeceiras de Basto,39,14,25,0,0,0,10,0,0,0,0
Fafe,164,56,108,2,0,1,29,2,3,1,1
Guimarães,621,313,308,15,1,19,103,7,6,25,6
Mondim de Basto,9,4,5,0,0,0,3,0,0,0,0
Póvoa de Lanhoso,40,15,25,0,0,0,6,0,1,0,1
Vieira do Minho,15,6,9,0,0,0,5,0,0,0,0
Vila Nova de Famalicão,466,186,280,15,0,10,58,1,10,10,1
Vizela,64,26,38,2,0,0,12,4,1,1,0
A. M. Porto,12631,8031,4600,408,137,430,1590,250,310,551,312
Arouca,29,15,14,0,2,1,9,0,0,1,0
Espinho,218,130,88,4,1,7,38,1,8,16,4
Gondomar,708,360,348,18,4,16,102,9,8,25,8
Maia,926,580,346,24,7,24,137,11,20,46,16
Matosinhos,1638,1092,546,55,12,55,209,27,54,76,43
Oliveira de Azeméis,166,72,94,5,0,2,27,1,3,8,1
Paredes,172,78,94,6,2,6,18,0,2,3,1
Porto,4986,3597,1389,180,65,206,502,143,140,213,169
Póvoa de Varzim,348,183,165,10,1,14,48,2,6,19,5
Santa Maria da Feira,415,188,227,9,5,11,56,6,5,17,5
Santo Tirso,265,124,141,4,0,4,30,3,6,12,4
São João da Madeira,90,47,43,3,2,3,15,3,2,1,0
Trofa,135,50,85,3,0,1,23,0,3,2,1
Vale de Cambra,78,30,48,0,2,1,12,1,1,4,1
Valongo,333,169,164,10,4,7,51,2,6,11,3
Vila do Conde,359,217,142,17,3,8,61,11,6,20,5
Vila Nova de Gaia,1765,1099,666,60,27,64,252,30,40,77,46
Alto Tâmega,299,143,156,7,0,5,59,2,8,10,0
Boticas,7,3,4,0,0,0,1,0,0,0,0
Chaves,211,102,109,6,0,4,34,1,7,10,0
Montalegre,13,5,8,1,0,0,3,0,1,0,0
Ribeira de Pena,6,3,3,0,0,0,3,0,0,0,0
Valpaços,35,16,19,0,0,0,9,1,0,0,0
Vila Pouca de Aguiar,27,14,13,0,0,1,9,0,0,0,0
Tâmega e Sousa,803,301,502,16,3,6,140,3,6,22,8
Amarante,139,56,83,5,1,1,23,0,3,4,1
Baião,22,8,14,1,0,0,5,0,0,1,0
Castelo de Paiva,22,8,14,0,0,0,5,0,0,0,0
Celorico de Basto,30,10,20,0,0,0,6,0,0,0,0
Cinfães,20,9,11,2,0,0,5,0,0,1,0
Felgueiras,124,32,92,1,1,0,17,0,0,2,2
Lousada,58,21,37,2,0,0,8,0,0,1,0
Marco de Canaveses,80,30,50,1,0,1,16,2,0,3,0
Paços de Ferreira,122,48,74,1,1,2,17,1,1,6,1
Penafiel,168,77,91,3,0,2,38,0,2,4,4
Resende,18,2,16,0,0,0,0,0,0,0,0
Douro,635,306,329,23,2,13,102,9,10,19,4
Alijó,11,4,7,0,0,0,3,0,0,0,0
Armamar,6,3,3,0,0,0,2,0,1,0,0
Carrazeda de Ansiães,6,0,6,0,0,0,0,0,0,0,0
Freixo de Espada à Cinta,4,1,3,0,0,0,1,0,0,0,0
Lamego,98,37,61,3,0,0,19,1,0,2,0
Mesão Frio,11,1,10,0,0,0,1,0,0,0,0
Moimenta da Beira,17,8,9,0,0,0,6,0,0,0,0
Murça,9,2,7,1,0,0,1,0,0,0,0
Penedono,2,2,0,0,0,0,2,0,0,0,0
Peso da Régua,41,19,22,0,0,1,10,0,0,0,0
Sabrosa,7,1,6,0,0,0,0,0,0,0,0
