,"Educação pré-escolar, Total (N.º)","Educação pré-escolar, Público (N.º)","Educação pré-escolar, Privado (N.º)","Ensino básico, 1º Ciclo, Total (N.º)","Ensino básico, 1º Ciclo, Com menos de 21 alunas/os (N.º)","Ensino básico, 1º Ciclo, Público (N.º)","Ensino básico, 1º Ciclo, Privado (N.º)","Ensino básico, 2º Ciclo, Total (N.º)","Ensino básico, 2º Ciclo, Público (N.º)","Ensino básico, 2º Ciclo, Privado (N.º)","Ensino básico, 3º Ciclo, Total (N.º)","Ensino básico, 3º Ciclo, Público (N.º)","Ensino básico, 3º Ciclo, Privado (N.º)","Ensino secundário, 3º Ciclo, Total (N.º)","Ensino secundário, 3º Ciclo, Público (N.º)","Ensino secundário, 3º Ciclo, Privado (N.º)"
Portugal,5788,3518,2270,4108,x,3589,519,1177,916,261,1451,1131,320,968,587,381
Continente,5487,3318,2169,3875,182,3386,489,1111,859,252,1387,1073,314,903,546,357
Norte,1944,1295,649,1361,22,1226,135,387,307,80,500,380,120,340,197,143
Alto Minho,114,81,33,85,1,83,2,26,25,1,33,28,5,32,19,13
Arcos de Valdevez,10,6,4,4,0,4,0,3,3,0,3,3,0,2,1,1
Caminha,11,8,3,10,1,10,0,2,2,0,2,2,0,4,2,2
Melgaço,3,2,1,2,0,2,0,1,1,0,1,1,0,1,1,0
Monção,6,5,1,4,0,4,0,2,2,0,4,3,1,2,1,1
Paredes de Coura,5,2,3,1,0,1,0,1,1,0,1,1,0,2,1,1
Ponte da Barca,4,3,1,3,0,3,0,1,1,0,1,1,0,2,1,1
Ponte de Lima,19,18,1,14,0,14,0,4,4,0,7,6,1,4,3,1
Valença,9,8,1,7,0,7,0,1,1,0,1,1,0,2,1,1
Viana do Castelo,43,26,17,37,0,35,2,10,9,1,12,9,3,11,7,4
Vila Nova de Cerveira,4,3,1,3,0,3,0,1,1,0,1,1,0,2,1,1
Cávado,250,188,62,189,0,175,14,45,33,12,61,44,17,32,16,16
Amares,7,6,1,6,0,6,0,1,1,0,2,2,0,1,1,0
Barcelos,81,70,11,64,0,62,2,11,8,3,17,11,6,11,6,5
Braga,101,63,38,75,0,64,11,22,13,9,27,18,9,15,6,9
Esposende,23,15,8,19,0,19,0,4,4,0,6,5,1,2,1,1
Terras de Bouro,7,5,2,3,0,3,0,2,2,0,2,2,0,1,1,0
Vila Verde,31,29,2,22,0,21,1,5,5,0,7,6,1,2,1,1
Ave,224,140,84,162,1,154,8,41,35,6,51,38,13,30,15,15
