,"Educação pré-escolar, Dependente do Estado (N.º)","Educação pré-escolar, Independente do Estado  (N.º)","Ensino básico, 1º Ciclo, Dependente do Estado (N.º)","Ensino básico, 1º Ciclo, Independente do Estado  (N.º)","Ensino básico, 2º Ciclo, Dependente do Estado (N.º)","Ensino básico, 2º Ciclo, Independente do Estado  (N.º)","Ensino básico, 3º Ciclo, Dependente do Estado (N.º)","Ensino básico, 3º Ciclo, Independente do Estado  (N.º)","Ensino secundário, 3º Ciclo, Dependente do Estado (N.º)","Ensino secundário, 3º Ciclo, Independente do Estado  (N.º)"
Bombarral,60,0,0,0,0,0,0,0,0,0
Cadaval,57,0,0,0,0,0,0,0,0,0
Caldas da Rainha,354,119,112,149,100,65,133,62,0,545
Lourinhã,197,0,0,0,0,0,0,0,0,0
Nazaré,105,0,0,3,0,6,0,57,0,286
Óbidos,64,0,0,0,0,0,0,0,0,0
Peniche,335,0,0,0,0,0,0,35,0,89
Sobral de Monte Agraço,89,0,0,0,0,0,0,0,0,0
Torres Vedras,649,210,83,228,431,96,714,125,378,878
Região de Aveiro,3938,723,62,496,272,279,414,661,369,2491
Águeda,645,31,0,74,0,29,0,28,0,0
Albergaria-a-Velha,298,0,62,0,80,0,121,0,86,300
Anadia,282,71,0,128,0,131,0,173,0,430
Aveiro,1119,314,0,213,0,109,0,335,0,880
Estarreja,217,96,0,32,0,0,0,0,0,0
Ílhavo,337,87,0,0,0,0,0,0,0,0
Murtosa,80,0,0,0,0,0,9,0,0,0
Oliveira do Bairro,264,45,0,0,0,0,0,0,0,122
Ovar,506,61,0,49,0,10,0,125,0,505
Sever do Vouga,32,0,0,0,0,0,0,0,0,254
Vagos,158,18,0,0,192,0,284,0,283,0
Região de Coimbra,3467,1391,0,1423,184,384,250,785,62,3627
Arganil,28,0,0,0,0,0,0,0,0,0
Cantanhede,289,52,0,22,41,0,46,16,0,313
Coimbra,1505,1029,0,1238,54,382,82,566,0,1561
Condeixa-a-Nova,40,39,0,0,0,0,0,0,0,0
Figueira da Foz,467,188,0,163,0,2,0,77,0,365
Góis,26,0,0,0,0,0,0,0,0,0
Lousã,92,0,0,0,0,0,0,20,0,228
Mealhada,190,0,0,0,0,0,0,19,0,326
Mira,48,0,0,0,0,0,0,0,0,0
Miranda do Corvo,60,17,0,0,0,0,0,0,0,0
Montemor-o-Velho,167,39,0,0,0,0,0,29,0,141
Mortágua,0,27,0,0,0,0,0,0,0,0
Oliveira do Hospital,211,0,0,0,0,0,0,6,0,232
Pampilhosa da Serra,34,0,0,0,0,0,0,0,0,0
Penacova,0,0,0,0,0,0,0,40,0,333
Penela,0,0,0,0,0,0,0,0,0,30
Soure,187,0,0,0,89,0,122,0,62,12
Tábua,54,0,0,0,0,0,0,0,0,61
Vila Nova de Poiares,69,0,0,0,0,0,0,12,0,25
Região de Leiria,1636,702,422,372,951,25,1516,215,879,1974
Alvaiázere,0,0,0,0,0,0,0,32,0,54
Ansião,83,0,0,0,0,0,0,11,0,250
Batalha,143,22,0,0,0,0,0,0,0,0
Castanheira de Pêra,0,0,0,0,0,0,0,0,0,0
Figueiró dos Vinhos,34,0,0,0,0,0,0,0,0,0
Leiria,794,521,385,232,554,0,886,22,231,614
Marinha Grande,129,109,0,126,0,25,0,94,0,324
Pedrógão Grande,21,0,0,0,0,0,0,6,0,226
Pombal,264,50,0,14,228,0,398,50,293,506
Porto de Mós,168,0,37,0,169,0,232,0,355,0
Viseu Dão Lafões,1357,416,0,515,0,209,0,498,0,1301
Aguiar da Beira,0,0,0,0,0,0,0,0,0,0
Carregal do Sal,0,0,0,0,0,0,0,0,0,0
Castro Daire,35,0,0,0,0,0,0,37,0,67
Mangualde,159,0,0,0,0,0,0,0,0,0
Nelas,129,24,0,22,0,0,0,0,0,0
Oliveira de Frades,55,0,0,0,0,0,0,0,0,0
Penalva do Castelo,0,0,0,0,0,0,0,0,0,0
Santa Comba Dão,44,0,0,0,0,0,0,0,0,0
São Pedro do Sul,61,10,0,0,0,0,0,0,0,142
Sátão,31,0,0,0,0,0,0,0,0,0
Tondela,76,6,0,0,0,1,0,21,0,381
Vila Nova de Paiva,0,0,0,0,0,0,0,0,0,0
Viseu,739,376,0,493,0,208,0,415,0,538
Vouzela,28,0,0,0,0,0,0,25,0,173
Beira Baixa,736,89,139,41,0,0,0,44,0,342
Castelo Branco,597,89,139,41,0,0,0,33,0,258
Idanha-a-Nova,32,0,0,0,0,0,0,11,0,84
Oleiros,21,0,0,0,0,0,0,0,0,0
Penamacor,24,0,0,0,0,0,0,0,0,0
Proença-a-Nova,62,0,0,0,0,0,0,0,0,0
Vila Velha de Ródão,0,0,0,0,0,0,0,0,0,0
Médio Tejo,1310,392,56,404,419,31,775,98,948,1359
Abrantes,209,15,0,12,0,0,0,0,0,0
Alcanena,100,0,0,0,0,0,0,0,0,0
Constância,0,0,0,0,0,0,0,0,0,0
Entroncamento,94,100,0,202,0,28,0,48,0,289
Ferreira do Zêzere,31,0,0,0,0,0,0,0,0,0
Mação,0,0,0,0,0,0,0,0,0,0
Ourém,300,25,0,64,356,3,664,32,825,526
Sardoal,0,0,0,0,0,0,0,0,0,0
Sertã,166,0,0,0,63,0,111,0,123,68
Tomar,105,130,56,53,0,0,0,0,0,116
Torres Novas,284,89,0,73,0,0,0,18,0,360
Vila de Rei,21,0,0,0,0,0,0,0,0,0
Vila Nova da Barquinha,0,33,0,0,0,0,0,0,0,0
Beiras e Serra da Estrela,1899,27,64,107,103,42,108,186,0,1463
Almeida,0,0,0,0,0,0,0,0,0,0
Belmonte,84,0,0,0,0,0,0,0,0,0
Celorico da Beira,82,0,0,0,0,0,0,0,0,0
Covilhã,416,25,64,1,29,5,0,48,0,117
Figueira de Castelo Rodrigo,64,0,0,0,0,0,0,0,0,0
Fornos de Algodres,0,0,0,0,0,0,0,0,0,0
Fundão,229,0,0,0,32,0,57,39,0,182
Gouveia,96,0,0,0,0,0,0,27,0,109
Guarda,501,0,0,105,0,35,0,54,0,518
Manteigas,23,0,0,0,0,0,0,0,0,30
Mêda,47,0,0,0,0,0,0,0,0,0
Pinhel,58,0,0,0,0,0,0,0,0,0
Sabugal,65,0,0,0,42,0,51,0,0,0
Seia,178,2,0,1,0,2,0,18,0,239
Trancoso,56,0,0,0,0,0,0,0,0,268
A. M. Lisboa,18997,23667,2280,24144,1369,10571,2005,14920,1206,27175
Alcochete,98,194,0,91,0,25,0,0,0,0
Almada,1166,1244,0,1012,0,443,0,612,0,1357
Amadora,1256,1005,185,809,110,278,139,339,0,1205
Barreiro,329,572,0,422,0,131,0,207,0,331
Cascais,1755,2673,185,4083,442,1859,723,2880,507,2091
Lisboa,4044,7723,920,10410,215,5157,262,7200,112,14594
Loures,1389,907,39,973,0,495,0,673,0,623
Mafra,352,331,99,150,412,43,693,64,530,455
Moita,277,174,0,108,0,0,0,0,0,559
Montijo,315,295,36,199,0,104,0,61,0,400
Odivelas,812,891,178,318,0,220,0,263,0,205
Oeiras,1436,1785,0,1492,0,379,0,454,0,890
Palmela,339,306,10,471,0,297,0,474,0,1066
Seixal,473,1469,0,895,0,407,0,638,0,751
Sesimbra,328,132,0,81,0,0,0,0,0,110
Setúbal,1165,952,80,512,46,45,0,24,0,777
Sintra,1774,2311,111,1975,0,668,0,1031,0,1472
Vila Franca de Xira,1689,703,437,143,144,20,188,0,57,289
Alentejo,5137,1212,113,576,212,183,395,500,154,4181
Alentejo Litoral,522,178,0,0,131,1,231,35,154,654
Alcácer do Sal,52,0,0,0,0,0,0,0,0,0
Grândola,67,0,0,0,0,0,0,0,0,0
Odemira,103,90,0,0,131,1,231,31,154,335
Santiago do Cacém,146,38,0,0,0,0,0,0,0,0
Sines,154,50,0,0,0,0,0,4,0,319
Baixo Alentejo,878,112,0,69,52,0,121,101,0,764
Aljustrel,80,0,0,0,0,0,0,0,0,0
Almodôvar,35,0,0,0,0,0,0,0,0,0
Alvito,0,0,0,0,0,0,0,19,0,141
Barrancos,0,0,0,0,0,0,0,0,0,0
Beja,438,112,0,69,52,0,121,25,0,247
Castro Verde,40,0,0,0,0,0,0,0,0,0
Cuba,0,0,0,0,0,0,0,32,0,160
Ferreira do Alentejo,70,0,0,0,0,0,0,0,0,0
Mértola,0,0,0,0,0,0,0,0,0,32
Moura,85,0,0,0,0,0,0,25,0,84
Ourique,38,0,0,0,0,0,0,0,0,0
Serpa,57,0,0,0,0,0,0,0,0,0
Vidigueira,35,0,0,0,0,0,0,0,0,100
Lezíria do Tejo,1765,328,45,192,0,19,0,97,0,1808
Almeirim,253,0,0,0,0,0,0,3,0,11
Alpiarça,40,0,0,0,0,0,0,0,0,0
Azambuja,327,39,0,0,0,0,0,0,0,0
Benavente,249,0,0,0,0,0,0,0,0,0
Cartaxo,215,10,0,0,0,0,0,0,0,0
Chamusca,0,0,0,0,0,0,0,0,0,0
Coruche,51,76,0,0,0,0,0,14,0,195
Golegã,41,0,0,0,0,0,0,0,0,0
Rio Maior,100,78,0,111,0,0,0,0,0,139
Salvaterra de Magos,162,44,0,2,0,11,0,37,0,503
Santarém,327,81,45,79,0,8,0,43,0,960
Alto Alentejo,618,254,0,130,0,58,0,121,0,224
Alter do Chão,0,0,0,0,0,0,0,0,0,0
Arronches,25,0,0,0,0,0,0,0,0,0
Avis,0,0,0,0,0,0,0,0,0,0
Campo Maior,47,49,0,5,0,6,0,42,0,173
Castelo de Vide,20,0,0,0,0,0,0,0,0,0
Crato,28,0,0,0,0,0,0,0,0,51
Elvas,194,62,0,101,0,52,0,79,0,0
Fronteira,16,0,0,0,0,0,0,0,0,0
Gavião,20,0,0,0,0,0,0,0,0,0
Marvão,0,0,0,0,0,0,0,0,0,0
Monforte,0,0,0,0,0,0,0,0,0,0
Nisa,0,0,0,0,0,0,0,0,0,0
Ponte de Sor,61,33,0,24,0,0,0,0,0,0
Portalegre,168,110,0,0,0,0,0,0,0,0
Sousel,39,0,0,0,0,0,0,0,0,0
Alentejo Central,1354,340,68,185,29,105,43,146,0,731
Alandroal,0,0,0,0,0,0,0,0,0,0
Arraiolos,83,0,0,0,0,0,0,0,0,0
Borba,41,0,0,0,0,0,0,0,0,0
Estremoz,61,0,0,0,0,0,0,0,0,0
Évora,736,279,0,184,0,103,0,122,0,632
Montemor-o-Novo,58,61,0,0,0,0,0,15,0,17
Mora,12,0,0,0,0,0,0,0,0,0
Mourão,0,0,0,0,0,0,0,0,0,0
Portel,55,0,0,0,0,0,0,0,0,0
Redondo,31,0,0,0,0,0,0,0,0,0
Reguengos de Monsaraz,52,0,0,1,0,2,0,9,0,14
Vendas Novas,114,0,68,0,29,0,43,0,0,68
Viana do Alentejo,29,0,0,0,0,0,0,0,0,0
Vila Viçosa,82,0,0,0,0,0,0,0,0,0
Algarve,3299,1954,152,1293,0,390,0,630,0,783
Albufeira,147,184,0,0,0,0,0,0,0,0
Alcoutim,35,0,0,0,0,0,0,0,0,0
Aljezur,0,0,0,0,0,0,0,44,0,23
Castro Marim,84,0,0,0,0,0,0,0,0,0
Faro,850,409,90,253,0,49,0,73,0,75
Lagoa,182,143,0,119,0,106,0,126,0,69
Lagos,409,163,0,190,0,49,0,44,0,16
Loulé,228,392,0,186,0,104,0,210,0,243
Monchique,0,0,0,0,0,0,0,0,0,0
Olhão,327,117,0,92,0,46,0,67,0,0
Portimão,268,335,0,299,0,0,0,30,0,308
São Brás de Alportel,73,0,0,0,0,0,0,0,0,0
Silves,271,131,0,85,0,18,0,25,0,49
Tavira,268,80,62,0,0,0,0,0,0,0
Vila do Bispo,0,0,0,69,0,18,0,11,0,0
Vila Real de Santo António,157,0,0,0,0,0,0,0,0,0
R. A. Açores,1826,552,0,893,0,159,0,84,0,2003
Santa Maria,0,0,0,0,0,0,0,0,0,0
Vila do Porto,0,0,0,0,0,0,0,0,0,0
São Miguel,697,501,0,687,0,116,0,84,0,1301
Lagoa (R.A.A.),48,0,0,0,0,0,0,0,0,56
Nordeste,0,0,0,0,0,0,0,0,0,49
Ponta Delgada,324,501,0,687,0,116,0,84,0,877
Povoação,16,0,0,0,0,0,0,0,0,86
Ribeira Grande,223,0,0,0,0,0,0,0,0,129
Vila Franca do Campo,86,0,0,0,0,0,0,0,0,104
Terceira,706,51,0,139,0,43,0,0,0,393
Angra do Heroísmo,622,0,0,139,0,43,0,0,0,160
Vila da Praia da Vitória,84,51,0,0,0,0,0,0,0,233
Graciosa,49,0,0,0,0,0,0,0,0,0
Santa Cruz da Graciosa,49,0,0,0,0,0,0,0,0,0
São Jorge,144,0,0,0,0,0,0,0,0,103
Calheta (R.A.A.),56,0,0,0,0,0,0,0,0,0
Velas,88,0,0,0,0,0,0,0,0,103
Pico,61,0,0,0,0,0,0,0,0,93
Lajes do Pico,0,0,0,0,0,0,0,0,0,0
Madalena,33,0,0,0,0,0,0,0,0,93
São Roque do Pico,28,0,0,0,0,0,0,0,0,0
Faial,147,0,0,67,0,0,0,0,0,113
Horta,147,0,0,67,0,0,0,0,0,113
Flores,19,0,0,0,0,0,0,0,0,0
Lajes das Flores,0,0,0,0,0,0,0,0,0,0
Santa Cruz das Flores,19,0,0,0,0,0,0,0,0,0
Corvo,3,0,0,0,0,0,0,0,0,0
Corvo,3,0,0,0,0,0,0,0,0,0
R. A. Madeira,2721,0,2307,0,653,0,1161,0,1551,0
Calheta (R.A.M.),50,0,50,0,0,0,0,0,0,0
Câmara de Lobos,229,0,0,0,0,0,0,0,0,0
Funchal,1938,0,1845,0,653,0,1161,0,1551,0
Machico,86,0,96,0,0,0,0,0,0,0
Ponta do Sol,15,0,0,0,0,0,0,0,0,0
Porto Moniz,0,0,0,0,0,0,0,0,0,0
Ribeira Brava,0,0,0,0,0,0,0,0,0,0
Santa Cruz,358,0,195,0,0,0,0,0,0,0
Santana,21,0,27,0,0,0,0,0,0,0
São Vicente,1,0,0,0,0,0,0,0,0,0
Porto Santo,23,0,94,0,0,0,0,0,0,0
