,"Ensino básico, 1º Ciclo, Total (N.º)","Ensino básico, 1º Ciclo, das quais, Ensino recorrente (N.º)","Ensino básico, 1º Ciclo, das quais, Cursos de Educação e Formação de Adultos (N.º)","Ensino básico, 1º Ciclo, das quais, Sistema de Reconhecimento, Validação e Certificação de Competências (N.º)","Ensino básico, 2º Ciclo, Total, Sistema de Reconhecimento, Validação e Certificação de Competências (N.º)","Ensino básico, 2º Ciclo, das quais, Ensino recorrente (N.º)","Ensino básico, 2º Ciclo, das quais, Cursos de Educação e Formação de Adultos (N.º)","Ensino básico, 2º Ciclo, das quais, Sistema de Reconhecimento, Validação e Certificação de Competências (N.º)"
Portugal,1770,533,1012,199,3568,0,2123,1295
Continente,1173,0,973,174,3326,0,2060,1166
Norte,308,0,214,90,1639,0,821,795
Alto Minho,9,0,0,5,44,0,0,44
Arcos de Valdevez,0,0,0,0,2,0,0,2
Caminha,0,0,0,0,6,0,0,6
Melgaço,0,0,0,0,0,0,0,0
Monção,0,0,0,0,1,0,0,1
Paredes de Coura,0,0,0,0,0,0,0,0
Ponte da Barca,1,0,0,1,17,0,0,17
Ponte de Lima,3,0,0,3,2,0,0,2
Valença,0,0,0,0,0,0,0,0
Viana do Castelo,5,0,0,1,16,0,0,16
Vila Nova de Cerveira,0,0,0,0,0,0,0,0
Cávado,22,0,19,3,86,0,47,35
Amares,0,0,0,0,1,0,0,1
Barcelos,1,0,0,1,11,0,0,11
Braga,19,0,19,0,50,0,47,0
Esposende,2,0,0,2,3,0,0,2
Terras de Bouro,0,0,0,0,0,0,0,0
Vila Verde,0,0,0,0,21,0,0,21
Ave,11,0,0,11,129,0,50,67
Cabeceiras de Basto,0,0,0,0,12,0,0,12
Fafe,1,0,0,1,1,0,0,1
Guimarães,0,0,0,0,15,0,13,2
Mondim de Basto,0,0,0,0,0,0,0,0
Póvoa de Lanhoso,0,0,0,0,12,0,0,0
Vieira do Minho,0,0,0,0,0,0,0,0
Vila Nova de Famalicão,10,0,0,10,89,0,37,52
Vizela,0,0,0,0,0,0,0,0
A. M. Porto,164,0,120,44,793,0,586,201
Arouca,0,0,0,0,0,0,0,0
Espinho,0,0,0,0,2,0,0,2
Gondomar,0,0,0,0,12,0,7,5
Maia,20,0,12,8,39,0,14,25
Matosinhos,32,0,27,5,125,0,110,13
Oliveira de Azeméis,0,0,0,0,19,0,19,0
Paredes,16,0,0,16,109,0,0,109
Porto,29,0,27,2,160,0,148,11
Póvoa de Varzim,0,0,0,0,15,0,15,0
Santa Maria da Feira,12,0,12,0,88,0,88,0
Santo Tirso,11,0,10,1,0,0,0,0
São João da Madeira,0,0,0,0,15,0,15,0
Trofa,1,0,0,1,12,0,12,0
Vale de Cambra,0,0,0,0,0,0,0,0
Valongo,0,0,0,0,12,0,2,10
Vila do Conde,1,0,0,1,8,0,0,8
Vila Nova de Gaia,42,0,32,10,177,0,156,18
Alto Tâmega,1,0,0,1,23,0,21,2
Boticas,0,0,0,0,0,0,0,0
Chaves,0,0,0,0,22,0,21,1
Montalegre,0,0,0,0,0,0,0,0
Ribeira de Pena,0,0,0,0,0,0,0,0
Valpaços,0,0,0,0,0,0,0,0
Vila Pouca de Aguiar,1,0,0,1,1,0,0,1
Tâmega e Sousa,50,0,41,9,295,0,105,190
Amarante,0,0,0,0,0,0,0,0
Baião,0,0,0,0,0,0,0,0
Castelo de Paiva,0,0,0,0,76,0,0,76
Celorico de Basto,1,0,0,1,11,0,0,11
Cinfães,0,0,0,0,3,0,0,3
Felgueiras,0,0,0,0,8,0,0,8
Lousada,0,0,0,0,19,0,15,4
Marco de Canaveses,0,0,0,0,10,0,6,4
Paços de Ferreira,27,0,27,0,69,0,47,22
Penafiel,22,0,14,8,99,0,37,62
Resende,0,0,0,0,0,0,0,0
Douro,9,0,0,9,103,0,12,91
Alijó,1,0,0,1,1,0,0,1
Armamar,0,0,0,0,0,0,0,0
Carrazeda de Ansiães,0,0,0,0,0,0,0,0
Freixo de Espada à Cinta,0,0,0,0,0,0,0,0
Lamego,0,0,0,0,19,0,12,7
Mesão Frio,0,0,0,0,0,0,0,0
Moimenta da Beira,0,0,0,0,0,0,0,0
Murça,0,0,0,0,0,0,0,0
Penedono,0,0,0,0,0,0,0,0
Peso da Régua,0,0,0,0,5,0,0,5
Sabrosa,0,0,0,0,0,0,0,0
Santa Marta de Penaguião,0,0,0,0,0,0,0,0
São João da Pesqueira,1,0,0,1,10,0,0,10
Sernancelhe,0,0,0,0,0,0,0,0
Tabuaço,0,0,0,0,0,0,0,0
Tarouca,0,0,0,0,0,0,0,0
Torre de Moncorvo,0,0,0,0,0,0,0,0
Vila Nova de Foz Côa,0,0,0,0,0,0,0,0
Vila Real,7,0,0,7,68,0,0,68
Terras de Trás-os-Montes,42,0,34,8,166,0,0,165
Alfândega da Fé,0,0,0,0,0,0,0,0
Bragança,24,0,23,1,1,0,0,1
Macedo de Cavaleiros,0,0,0,0,16,0,0,16
Miranda do Douro,0,0,0,0,0,0,0,0
Mirandela,17,0,11,6,78,0,0,77
Mogadouro,1,0,0,1,71,0,0,71
Vila Flor,0,0,0,0,0,0,0,0
Vimioso,0,0,0,0,0,0,0,0
Vinhais,0,0,0,0,0,0,0,0
Centro,158,0,114,38,587,0,362,182
Oeste,12,0,2,10,63,0,34,29
Alcobaça,1,0,0,1,11,0,9,2
Alenquer,1,0,0,1,6,0,0,6
Arruda dos Vinhos,0,0,0,0,0,0,0,0
Bombarral,0,0,0,0,1,0,0,1
Cadaval,0,0,0,0,0,0,0,0
Caldas da Rainha,2,0,2,0,25,0,25,0
Lourinhã,0,0,0,0,0,0,0,0
Nazaré,3,0,0,3,6,0,0,6
Óbidos,0,0,0,0,0,0,0,0
Peniche,3,0,0,3,3,0,0,3
Sobral de Monte Agraço,0,0,0,0,0,0,0,0
Torres Vedras,2,0,0,2,11,0,0,11
Região de Aveiro,55,0,48,1,213,0,170,17
Águeda,6,0,0,0,74,0,52,1
Albergaria-a-Velha,0,0,0,0,16,0,16,0
Anadia,0,0,0,0,16,0,16,0
Aveiro,28,0,28,0,40,0,29,6
Estarreja,12,0,12,0,0,0,0,0
Ílhavo,0,0,0,0,32,0,32,0
Murtosa,0,0,0,0,0,0,0,0
Oliveira do Bairro,0,0,0,0,0,0,0,0
Ovar,9,0,8,1,35,0,25,10
Sever do Vouga,0,0,0,0,0,0,0,0
Vagos,0,0,0,0,0,0,0,0
Região de Coimbra,14,0,0,14,104,0,20,73
Arganil,4,0,0,4,15,0,0,15
Cantanhede,0,0,0,0,6,0,0,6
Coimbra,9,0,0,9,77,0,19,47
Condeixa-a-Nova,0,0,0,0,0,0,0,0
Figueira da Foz,1,0,0,1,2,0,0,2
Góis,0,0,0,0,0,0,0,0
Lousã,0,0,0,0,1,0,1,0
Mealhada,0,0,0,0,0,0,0,0
Mira,0,0,0,0,0,0,0,0
Miranda do Corvo,0,0,0,0,0,0,0,0
Montemor-o-Velho,0,0,0,0,0,0,0,0
Mortágua,0,0,0,0,0,0,0,0
Oliveira do Hospital,0,0,0,0,1,0,0,1
Pampilhosa da Serra,0,0,0,0,0,0,0,0
Penacova,0,0,0,0,0,0,0,0
Penela,0,0,0,0,0,0,0,0
Soure,0,0,0,0,2,0,0,2
Tábua,0,0,0,0,0,0,0,0
Vila Nova de Poiares,0,0,0,0,0,0,0,0
Região de Leiria,3,0,0,3,9,0,0,9
Alvaiázere,0,0,0,0,0,0,0,0
Ansião,0,0,0,0,0,0,0,0
Batalha,2,0,0,2,1,0,0,1
Castanheira de Pêra,0,0,0,0,0,0,0,0
Figueiró dos Vinhos,0,0,0,0,0,0,0,0
Leiria,0,0,0,0,1,0,0,1
Marinha Grande,0,0,0,0,4,0,0,4
Pedrógão Grande,0,0,0,0,0,0,0,0
Pombal,1,0,0,1,3,0,0,3
Porto de Mós,0,0,0,0,0,0,0,0
Viseu Dão Lafões,20,0,18,2,43,0,18,19
Aguiar da Beira,0,0,0,0,0,0,0,0
Carregal do Sal,0,0,0,0,0,0,0,0
Castro Daire,0,0,0,0,0,0,0,0
Mangualde,0,0,0,0,19,0,18,1
Nelas,0,0,0,0,0,0,0,0
Oliveira de Frades,0,0,0,0,0,0,0,0
Penalva do Castelo,0,0,0,0,0,0,0,0
Santa Comba Dão,0,0,0,0,0,0,0,0
São Pedro do Sul,1,0,0,1,0,0,0,0
Sátão,0,0,0,0,0,0,0,0
Tondela,0,0,0,0,1,0,0,1
Vila Nova de Paiva,0,0,0,0,0,0,0,0
Viseu,19,0,18,1,23,0,0,17
Vouzela,0,0,0,0,0,0,0,0
Beira Baixa,12,0,11,1,13,0,11,2
Castelo Branco,11,0,11,0,11,0,11,0
Idanha-a-Nova,1,0,0,1,2,0,0,2
Oleiros,0,0,0,0,0,0,0,0
Penamacor,0,0,0,0,0,0,0,0
Proença-a-Nova,0,0,0,0,0,0,0,0
Vila Velha de Ródão,0,0,0,0,0,0,0,0
Médio Tejo,10,0,8,2,59,0,40,19
Abrantes,0,0,0,0,1,0,0,1
Alcanena,0,0,0,0,1,0,0,1
Constância,0,0,0,0,0,0,0,0
Entroncamento,5,0,5,0,1,0,0,1
Ferreira do Zêzere,0,0,0,0,0,0,0,0
Mação,0,0,0,0,0,0,0,0
Ourém,0,0,0,0,3,0,0,3
Sardoal,0,0,0,0,0,0,0,0
Sertã,0,0,0,0,1,0,0,1
Tomar,5,0,3,2,39,0,27,12
Torres Novas,0,0,0,0,13,0,13,0
Vila de Rei,0,0,0,0,0,0,0,0
Vila Nova da Barquinha,0,0,0,0,0,0,0,0
Beiras e Serra da Estrela,32,0,27,5,83,0,69,14
Almeida,0,0,0,0,0,0,0,0
Belmonte,0,0,0,0,0,0,0,0
Celorico da Beira,0,0,0,0,0,0,0,0
Covilhã,21,0,20,1,21,0,14,7
Figueira de Castelo Rodrigo,0,0,0,0,0,0,0,0
Fornos de Algodres,0,0,0,0,0,0,0,0
Fundão,0,0,0,0,10,0,10,0
Gouveia,0,0,0,0,0,0,0,0
