,"Ensino básico, 3º Ciclo, Total (N.º)","Ensino básico, 3º Ciclo, das quais, Ensino recorrente  (N.º)","Ensino básico, 3º Ciclo, das quais, Cursos de Educação e Formação de Adultos (N.º)","Ensino básico, 3º Ciclo, das quais, Sistema de Reconhecimento, Validação e Certificação de Competências (N.º)","Ensino secundário, 3º Ciclo, Total, Sistema de Reconhecimento, Validação e Certificação de Competências (N.º)","Ensino secundário, 3º Ciclo, das quais, Ensino recorrente (N.º)","Ensino secundário, 3º Ciclo, das quais, Cursos de Educação e Formação de Adultos (N.º)","Ensino secundário, 3º Ciclo, das quais, Sistema de Reconhecimento, Validação e Certificação de Competências (N.º)"
Vizela,42,0,0,42,199,0,86,113
A. M. Porto,2595,0,1420,1148,6826,686,2831,3248
Arouca,31,0,11,20,75,0,15,60
Espinho,118,0,113,5,99,0,43,55
Gondomar,155,0,36,119,419,104,134,180
Maia,122,0,46,75,244,0,116,127
Matosinhos,374,0,290,74,539,6,326,193
Oliveira de Azeméis,55,0,40,15,125,0,77,48
Paredes,159,0,65,94,243,0,13,229
Porto,368,0,239,128,1730,407,837,455
Póvoa de Varzim,106,0,0,106,261,31,45,183
Santa Maria da Feira,251,0,137,113,735,36,471,227
Santo Tirso,60,0,11,39,111,0,57,54
São João da Madeira,69,0,35,34,230,4,88,135
Trofa,32,0,8,24,73,0,43,28
Vale de Cambra,10,0,10,0,19,0,19,0
Valongo,137,0,69,68,300,0,83,217
Vila do Conde,48,0,7,40,173,0,46,127
Vila Nova de Gaia,500,0,303,194,1450,98,418,930
Alto Tâmega,131,0,83,48,373,14,179,179
Boticas,0,0,0,0,0,0,0,0
Chaves,54,0,27,27,215,14,120,80
Montalegre,0,0,0,0,0,0,0,0
Ribeira de Pena,0,0,0,0,0,0,0,0
Valpaços,38,0,28,10,77,0,32,45
Vila Pouca de Aguiar,39,0,28,11,81,0,27,54
Tâmega e Sousa,1058,0,500,556,1920,70,730,1099
Amarante,46,0,35,11,105,0,52,41
Baião,0,0,0,0,15,0,15,0
Castelo de Paiva,120,0,83,37,105,0,0,105
Celorico de Basto,20,0,0,20,38,0,0,38
Cinfães,14,0,0,14,62,0,32,30
Felgueiras,93,0,38,55,330,70,52,207
Lousada,68,0,34,34,166,0,79,87
Marco de Canaveses,41,0,17,24,120,0,80,39
Paços de Ferreira,233,0,151,81,315,0,168,144
Penafiel,423,0,142,280,637,0,225,408
Resende,0,0,0,0,27,0,27,0
Douro,267,0,51,214,652,83,42,525
Alijó,19,0,0,19,28,0,0,28
Armamar,0,0,0,0,0,0,0,0
Carrazeda de Ansiães,0,0,0,0,0,0,0,0
Freixo de Espada à Cinta,0,0,0,0,0,0,0,0
Lamego,49,0,25,24,103,0,28,74
Mesão Frio,0,0,0,0,0,0,0,0
Moimenta da Beira,20,0,0,20,40,0,0,40
Murça,10,0,10,0,0,0,0,0
Penedono,0,0,0,0,0,0,0,0
Peso da Régua,19,0,0,19,59,0,0,59
Sabrosa,0,0,0,0,0,0,0,0
Santa Marta de Penaguião,0,0,0,0,0,0,0,0
São João da Pesqueira,19,0,0,19,56,0,14,42
Sernancelhe,0,0,0,0,0,0,0,0
Tabuaço,0,0,0,0,0,0,0,0
Tarouca,8,0,8,0,0,0,0,0
Torre de Moncorvo,0,0,0,0,0,0,0,0
Vila Nova de Foz Côa,0,0,0,0,0,0,0,0
Vila Real,123,0,8,113,366,83,0,282
Terras de Trás-os-Montes,360,0,80,279,937,0,295,640
Alfândega da Fé,0,0,0,0,5,0,5,0
Bragança,40,0,34,5,263,0,137,126
Macedo de Cavaleiros,42,0,10,32,132,0,41,91
Miranda do Douro,0,0,0,0,0,0,0,0
Mirandela,180,0,36,144,352,0,105,245
Mogadouro,98,0,0,98,178,0,0,178
Vila Flor,0,0,0,0,7,0,7,0
Vimioso,0,0,0,0,0,0,0,0
Vinhais,0,0,0,0,0,0,0,0
Centro,3029,0,1660,1354,9054,640,4098,4196
Oeste,419,0,223,196,1181,56,608,484
Alcobaça,78,0,32,46,232,0,142,90
Alenquer,39,0,22,17,213,56,115,42
Arruda dos Vinhos,0,0,0,0,0,0,0,0
Bombarral,33,0,20,13,79,0,27,47
Cadaval,11,0,0,11,50,0,24,26
Caldas da Rainha,102,0,74,28,256,0,144,98
Lourinhã,21,0,0,21,109,0,48,50
Nazaré,56,0,37,19,69,0,38,31
Óbidos,0,0,0,0,0,0,0,0
Peniche,31,0,21,10,65,0,41,24
Sobral de Monte Agraço,0,0,0,0,0,0,0,0
Torres Vedras,48,0,17,31,108,0,29,76
Região de Aveiro,620,0,374,239,1691,107,684,875
Águeda,105,0,72,31,366,0,197,159
Albergaria-a-Velha,4,0,0,4,46,0,22,24
Anadia,15,0,0,15,74,0,12,62
Aveiro,228,0,158,66,608,0,254,348
Estarreja,19,0,13,6,77,0,61,16
Ílhavo,31,0,18,13,75,0,52,16
Murtosa,9,0,9,0,0,0,0,0
Oliveira do Bairro,0,0,0,0,0,0,0,0
Ovar,158,0,83,74,344,107,76,160
Sever do Vouga,19,0,0,19,76,0,0,76
Vagos,32,0,21,11,25,0,10,14
Região de Coimbra,606,0,322,283,1960,84,989,870
Arganil,25,0,13,12,146,0,59,87
Cantanhede,12,0,7,5,90,0,41,49
Coimbra,300,0,183,116,878,84,462,315
Condeixa-a-Nova,0,0,0,0,11,0,11,0
Figueira da Foz,83,0,51,32,239,0,135,104
Góis,0,0,0,0,0,0,0,0
Lousã,32,0,12,20,82,0,33,49
Mealhada,31,0,12,19,22,0,0,22
Mira,0,0,0,0,0,0,0,0
Miranda do Corvo,0,0,0,0,0,0,0,0
Montemor-o-Velho,15,0,0,15,44,0,17,27
Mortágua,0,0,0,0,0,0,0,0
Oliveira do Hospital,47,0,36,11,158,0,110,48
Pampilhosa da Serra,0,0,0,0,0,0,0,0
Penacova,30,0,0,30,106,0,0,106
Penela,0,0,0,0,0,0,0,0
Soure,11,0,0,11,92,0,54,38
Tábua,8,0,8,0,32,0,32,0
Vila Nova de Poiares,12,0,0,12,60,0,35,25
Região de Leiria,335,0,182,153,1097,0,493,596
Alvaiázere,32,0,32,0,11,0,11,0
Ansião,11,0,0,11,39,0,20,19
Batalha,19,0,0,19,75,0,29,46
Castanheira de Pêra,0,0,0,0,0,0,0,0
Figueiró dos Vinhos,0,0,0,0,18,0,18,0
Leiria,148,0,81,67,508,0,212,293
Marinha Grande,63,0,39,24,205,0,99,104
Pedrógão Grande,17,0,11,6,34,0,0,34
Pombal,45,0,19,26,207,0,104,100
Porto de Mós,0,0,0,0,0,0,0,0
Viseu Dão Lafões,379,0,201,175,1148,280,436,428
Aguiar da Beira,0,0,0,0,0,0,0,0
Carregal do Sal,0,0,0,0,17,0,17,0
Castro Daire,39,0,17,22,63,0,16,47
Mangualde,46,0,28,18,256,188,33,35
Nelas,0,0,0,0,0,0,0,0
Oliveira de Frades,12,0,12,0,19,0,19,0
Penalva do Castelo,0,0,0,0,0,0,0,0
Santa Comba Dão,0,0,0,0,12,0,12,0
São Pedro do Sul,45,0,7,38,74,0,24,49
Sátão,0,0,0,0,0,0,0,0
Tondela,56,0,35,21,83,0,32,51
Vila Nova de Paiva,0,0,0,0,11,0,11,0
Viseu,181,0,102,76,613,92,272,246
Vouzela,0,0,0,0,0,0,0,0
Beira Baixa,51,0,38,13,225,0,138,87
Castelo Branco,50,0,38,12,202,0,138,64
Idanha-a-Nova,1,0,0,1,23,0,0,23
Oleiros,0,0,0,0,0,0,0,0
Penamacor,0,0,0,0,0,0,0,0
Proença-a-Nova,0,0,0,0,0,0,0,0
Vila Velha de Ródão,0,0,0,0,0,0,0,0
Médio Tejo,363,0,143,218,1257,100,471,661
Abrantes,72,0,36,36,167,0,63,104
Alcanena,19,0,0,18,82,0,19,61
Constância,0,0,0,0,0,0,0,0
Entroncamento,14,0,0,13,140,100,16,23
Ferreira do Zêzere,0,0,0,0,0,0,0,0
Mação,0,0,0,0,0,0,0,0
Ourém,73,0,15,58,156,0,25,115
Sardoal,0,0,0,0,0,0,0,0
Sertã,9,0,0,9,86,0,61,25
Tomar,123,0,57,66,435,0,195,234
Torres Novas,53,0,35,18,191,0,92,99
Vila de Rei,0,0,0,0,0,0,0,0
Vila Nova da Barquinha,0,0,0,0,0,0,0,0
Beiras e Serra da Estrela,256,0,177,77,495,13,279,195
Almeida,0,0,0,0,0,0,0,0
Belmonte,0,0,0,0,0,0,0,0
Celorico da Beira,0,0,0,0,0,0,0,0
Covilhã,85,0,47,37,192,0,102,82
Figueira de Castelo Rodrigo,0,0,0,0,0,0,0,0
Fornos de Algodres,11,0,11,0,12,0,12,0
Fundão,15,0,0,15,61,0,30,31
Gouveia,0,0,0,0,7,0,7,0
Guarda,127,0,108,19,163,13,80,70
Manteigas,0,0,0,0,0,0,0,0
Mêda,0,0,0,0,0,0,0,0
Pinhel,0,0,0,0,15,0,15,0
Sabugal,0,0,0,0,0,0,0,0
Seia,18,0,11,6,45,0,33,12
Trancoso,0,0,0,0,0,0,0,0
A. M. Lisboa,4087,95,2637,1290,13930,2045,6887,4771
Alcochete,0,0,0,0,131,68,63,0
Almada,79,12,39,28,699,374,131,194
Amadora,444,0,365,79,1172,0,647,520
Barreiro,150,0,101,49,321,0,224,92
Cascais,215,0,148,67,611,16,366,229
Lisboa,837,83,478,243,3534,1202,1282,943
Loures,187,0,137,50,456,23,225,208
Mafra,72,0,25,46,239,0,149,83
Moita,149,0,110,38,283,61,138,76
Montijo,68,0,34,31,233,0,122,105
Odivelas,187,0,80,97,516,32,273,196
Oeiras,100,0,41,46,280,0,122,137
Palmela,16,0,0,16,132,0,40,92
Seixal,634,0,353,281,1392,84,778,525
Sesimbra,2,0,0,2,117,0,66,51
Setúbal,229,0,176,50,1010,43,692,246
Sintra,436,0,332,103,1874,142,929,786
Vila Franca de Xira,282,0,218,64,930,0,640,288
Alentejo,1035,0,546,451,3050,46,1577,1389
Alentejo Litoral,133,0,68,62,385,8,215,158
Alcácer do Sal,0,0,0,0,0,0,0,0
Grândola,21,0,13,5,61,0,45,14
Odemira,19,0,4,15,61,0,21,40
Santiago do Cacém,60,0,30,30,170,8,128,32
Sines,33,0,21,12,93,0,21,72
Baixo Alentejo,201,0,116,84,598,5,354,236
Aljustrel,25,0,0,25,56,0,0,56
Almodôvar,22,0,0,22,77,0,25,52
Alvito,0,0,0,0,0,0,0,0
Barrancos,11,0,11,0,15,0,15,0
Beja,86,0,71,14,320,0,239,78
Castro Verde,0,0,0,0,6,0,6,0
Cuba,0,0,0,0,0,0,0,0
Ferreira do Alentejo,5,0,5,0,26,0,26,0
Mértola,11,0,0,11,13,0,0,13
Moura,16,0,4,12,70,0,33,37
Ourique,0,0,0,0,0,0,0,0
Serpa,15,0,15,0,5,5,0,0
Vidigueira,10,0,10,0,10,0,10,0
Lezíria do Tejo,405,0,255,118,1140,0,576,548
Almeirim,3,0,3,0,11,0,11,0
Alpiarça,0,0,0,0,0,0,0,0
Azambuja,94,0,30,35,189,0,70,115
Benavente,17,0,17,0,28,0,28,0
Cartaxo,5,0,0,5,23,0,13,10
Chamusca,0,0,0,0,0,0,0,0
Coruche,0,0,0,0,48,0,0,45
Golegã,0,0,0,0,0,0,0,0
Rio Maior,37,0,20,14,51,0,44,5
Salvaterra de Magos,63,0,26,37,210,0,71,139
Santarém,186,0,159,27,580,0,339,234
Alto Alentejo,110,0,47,62,424,33,182,198
Alter do Chão,0,0,0,0,0,0,0,0
Arronches,0,0,0,0,0,0,0,0
Avis,0,0,0,0,3,0,3,0
Campo Maior,42,0,0,42,125,0,0,125
Castelo de Vide,0,0,0,0,0,0,0,0
Crato,0,0,0,0,0,0,0,0
Elvas,19,0,15,4,116,11,61,42
Fronteira,0,0,0,0,0,0,0,0
Gavião,0,0,0,0,0,0,0,0
Marvão,0,0,0,0,0,0,0,0
Monforte,0,0,0,0,0,0,0,0
Nisa,0,0,0,0,0,0,0,0
Ponte de Sor,1,0,0,1,24,22,0,0
Portalegre,48,0,32,15,156,0,118,31
Sousel,0,0,0,0,0,0,0,0
Alentejo Central,186,0,60,125,503,0,250,249
Alandroal,0,0,0,0,0,0,0,0
Arraiolos,2,0,0,2,8,0,6,2
Borba,0,0,0,0,0,0,0,0
Estremoz,12,0,0,12,19,0,16,2
Évora,115,0,31,84,302,0,156,144
Montemor-o-Novo,31,0,29,2,38,0,19,19
Mora,0,0,0,0,0,0,0,0
Mourão,0,0,0,0,0,0,0,0
Portel,0,0,0,0,0,0,0,0
Redondo,0,0,0,0,0,0,0,0
Reguengos de Monsaraz,9,0,0,9,35,0,21,14
Vendas Novas,3,0,0,3,38,0,24,14
Viana do Alentejo,0,0,0,0,0,0,0,0
Vila Viçosa,14,0,0,13,63,0,8,54
Algarve,337,0,139,197,1688,51,1004,616
Albufeira,29,0,15,14,134,0,80,54
Alcoutim,0,0,0,0,0,0,0,0
Aljezur,0,0,0,0,0,0,0,0
Castro Marim,0,0,0,0,0,0,0,0
Faro,56,0,44,12,201,0,145,53
Lagoa,0,0,0,0,0,0,0,0
Lagos,15,0,0,14,135,0,104,25
Loulé,47,0,13,34,302,44,153,102
Monchique,0,0,0,0,0,0,0,0
Olhão,43,0,18,25,172,0,128,41
Portimão,81,0,16,65,369,7,173,189
São Brás de Alportel,0,0,0,0,0,0,0,0
Silves,26,0,18,8,144,0,83,60
Tavira,0,0,0,0,71,0,71,0
Vila do Bispo,0,0,0,0,0,0,0,0
Vila Real de Santo António,40,0,15,25,160,0,67,92
R. A. Açores,437,7,27,403,550,98,83,369
Santa Maria,6,0,0,6,12,0,0,12
Vila do Porto,6,0,0,6,12,0,0,12
São Miguel,282,0,16,266,236,0,24,212
Lagoa (R.A.A.),33,0,0,33,22,0,0,22
Nordeste,1,0,0,1,3,0,0,3
Ponta Delgada,173,0,16,157,141,0,0,141
Povoação,15,0,0,15,3,0,0,3
Ribeira Grande,44,0,0,44,56,0,24,32
Vila Franca do Campo,16,0,0,16,11,0,0,11
Terceira,105,7,10,88,230,98,53,79
Angra do Heroísmo,71,0,10,61,99,0,53,46
Vila da Praia da Vitória,34,7,0,27,131,98,0,33
Graciosa,0,0,0,0,9,0,0,9
Santa Cruz da Graciosa,0,0,0,0,9,0,0,9
São Jorge,0,0,0,0,11,0,0,11
Calheta (R.A.A.),0,0,0,0,2,0,0,2
Velas,0,0,0,0,9,0,0,9
Pico,27,0,0,27,14,0,0,14
Lajes do Pico,9,0,0,9,3,0,0,3
Madalena,9,0,0,9,5,0,0,5
São Roque do Pico,9,0,0,9,6,0,0,6
Faial,14,0,1,13,26,0,6,20
Horta,14,0,1,13,26,0,6,20
Flores,3,0,0,3,11,0,0,11
Lajes das Flores,1,0,0,1,2,0,0,2
Santa Cruz das Flores,2,0,0,2,9,0,0,9
Corvo,0,0,0,0,1,0,0,1
Corvo,0,0,0,0,1,0,0,1
R. A. Madeira,541,0,201,110,1459,0,883,106
Calheta (R.A.M.),0,0,0,0,76,0,32,0
Câmara de Lobos,28,0,28,0,101,0,82,0
Funchal,457,0,117,110,1000,0,563,106
Machico,26,0,26,0,62,0,62,0
Ponta do Sol,0,0,0,0,0,0,0,0
Porto Moniz,0,0,0,0,0,0,0,0
Ribeira Brava,0,0,0,0,104,0,28,0
Santa Cruz,20,0,20,0,97,0,97,0
Santana,3,0,3,0,0,0,0,0
São Vicente,0,0,0,0,0,0,0,0
Porto Santo,7,0,7,0,19,0,19,0
