,"Consultas médicas na unidade de consulta externa dos hospitais segundo a especialidade, Total (N.º)","Consultas médicas na unidade de consulta externa dos hospitais segundo a especialidade, Cirurgia geral (N.º)","Consultas médicas na unidade de consulta externa dos hospitais segundo a especialidade, Ginecologia (N.º)","Consultas médicas na unidade de consulta externa dos hospitais segundo a especialidade, Medicina interna (N.º)","Consultas médicas na unidade de consulta externa dos hospitais segundo a especialidade, Oftalmologia (N.º)","Consultas médicas na unidade de consulta externa dos hospitais segundo a especialidade, Ortopedia (N.º)","Consultas médicas na unidade de consulta externa dos hospitais segundo a especialidade, Otorrinolaringologia (N.º)","Consultas médicas na unidade de consulta externa dos hospitais segundo a especialidade, Pediatria médica (N.º)","Consultas médicas na unidade de consulta externa dos hospitais segundo a especialidade, Psiquiatria (N.º)","Consultas médicas na unidade de consulta externa dos hospitais segundo a especialidade, Outras  (N.º)"
Portugal,21107109,1024787,1501377,826072,1729144,1908687,1043023,1007258,838835,11227926
Continente,20454449,990286,1435971,787202,1693448,1868984,1012172,973390,808609,10884387
Norte,8612793,434547,592337,304297,695137,865585,426562,430653,322494,4541181
Alto Minho,…,…,…,…,…,…,…,…,…,…
Arcos de Valdevez,0,0,0,0,0,0,0,0,0,0
Caminha,0,0,0,0,0,0,0,0,0,0
Melgaço,0,0,0,0,0,0,0,0,0,0
Monção,0,0,0,0,0,0,0,0,0,0
Paredes de Coura,0,0,0,0,0,0,0,0,0,0
Ponte da Barca,0,0,0,0,0,0,0,0,0,0
Ponte de Lima,0,0,0,0,0,0,0,0,0,0
Valença,0,0,0,0,0,0,0,0,0,0
Viana do Castelo,…,…,…,…,…,…,…,…,…,…
Vila Nova de Cerveira,0,0,0,0,0,0,0,0,0,0
Cávado,1209581,46872,72921,34554,101495,107635,77637,39832,30515,698120
Amares,…,…,…,…,…,…,…,…,…,…
Barcelos,112961,16314,2366,8629,12456,16364,9466,8126,762,38478
Braga,970394,26382,65162,25249,74723,79666,59964,29591,28681,580976
Esposende,…,…,…,…,…,…,…,…,…,…
Terras de Bouro,0,0,0,0,0,0,0,0,0,0
Vila Verde,…,…,…,…,…,…,…,…,…,…
Ave,447843,32975,36141,10548,44529,51709,27335,17289,18241,209076
Cabeceiras de Basto,0,0,0,0,0,0,0,0,0,0
Fafe,0,0,0,0,0,0,0,0,0,0
Guimarães,…,…,…,…,…,…,…,…,…,…
Mondim de Basto,0,0,0,0,0,0,0,0,0,0
Póvoa de Lanhoso,…,…,…,…,…,…,…,…,…,…
Vieira do Minho,0,0,0,0,0,0,0,0,0,0
Vila Nova de Famalicão,…,…,…,…,…,…,…,…,…,…
Vizela,0,0,0,0,0,0,0,0,0,0
A. M. Porto,5596449,256984,385980,184316,433925,558408,258623,309947,205673,3002593
Arouca,…,…,…,…,…,…,…,…,…,…
Espinho,…,…,…,…,…,…,…,…,…,…
Gondomar,0,0,0,0,0,0,0,0,0,0
Maia,0,0,0,0,0,0,0,0,0,0
Matosinhos,…,…,…,…,…,…,…,…,…,…
Oliveira de Azeméis,0,0,0,0,0,0,0,0,0,0
Paredes,…,…,…,…,…,…,…,…,…,…
Porto,2730943,120590,184221,87264,198309,305761,105539,137090,103294,1488875
Póvoa de Varzim,…,…,…,…,…,…,…,…,…,…
Santa Maria da Feira,287870,34390,18369,11810,40273,34853,17572,22291,10177,98135
Santo Tirso,166944,22425,20543,13137,10763,16728,8991,12098,9928,52331
São João da Madeira,0,0,0,0,0,0,0,0,0,0
Trofa,…,…,…,…,…,…,…,…,…,…
Vale de Cambra,0,0,0,0,0,0,0,0,0,0
Valongo,…,…,…,…,…,…,…,…,…,…
Vila do Conde,0,0,0,0,0,0,0,0,0,0
Vila Nova de Gaia,958962,27782,66862,25391,67800,76703,47538,49431,25702,571753
Alto Tâmega,0,0,0,0,0,0,0,0,0,0
Boticas,0,0,0,0,0,0,0,0,0,0
Chaves,0,0,0,0,0,0,0,0,0,0
