,"Consultas médicas na unidade de consulta externa dos hospitais segundo a especialidade, Total (N.º)","Consultas médicas na unidade de consulta externa dos hospitais segundo a especialidade, Cirurgia geral (N.º)","Consultas médicas na unidade de consulta externa dos hospitais segundo a especialidade, Ginecologia (N.º)","Consultas médicas na unidade de consulta externa dos hospitais segundo a especialidade, Medicina interna (N.º)","Consultas médicas na unidade de consulta externa dos hospitais segundo a especialidade, Oftalmologia (N.º)","Consultas médicas na unidade de consulta externa dos hospitais segundo a especialidade, Ortopedia (N.º)","Consultas médicas na unidade de consulta externa dos hospitais segundo a especialidade, Otorrinolaringologia (N.º)","Consultas médicas na unidade de consulta externa dos hospitais segundo a especialidade, Pediatria médica (N.º)","Consultas médicas na unidade de consulta externa dos hospitais segundo a especialidade, Psiquiatria (N.º)","Consultas médicas na unidade de consulta externa dos hospitais segundo a especialidade, Outras  (N.º)"
São João da Pesqueira,0,0,0,0,0,0,0,0,0,0
Sernancelhe,0,0,0,0,0,0,0,0,0,0
Tabuaço,0,0,0,0,0,0,0,0,0,0
Tarouca,0,0,0,0,0,0,0,0,0,0
Torre de Moncorvo,0,0,0,0,0,0,0,0,0,0
Vila Nova de Foz Côa,0,0,0,0,0,0,0,0,0,0
Vila Real,...,...,...,...,...,...,...,...,...,...
Terras de Trás-os-Montes,...,...,...,...,...,...,...,...,...,...
Alfândega da Fé,0,0,0,0,0,0,0,0,0,0
Bragança,92481,7523,5436,9934,9251,13775,4283,3575,6680,32024
Macedo de Cavaleiros,0,0,0,0,0,0,0,0,0,0
Miranda do Douro,0,0,0,0,0,0,0,0,0,0
Mirandela,...,...,...,...,...,...,...,...,...,...
Mogadouro,0,0,0,0,0,0,0,0,0,0
Vila Flor,0,0,0,0,0,0,0,0,0,0
Vimioso,0,0,0,0,0,0,0,0,0,0
Vinhais,0,0,0,0,0,0,0,0,0,0
Centro,3708414,171398,247624,176194,315614,341614,150890,175234,175560,1954286
Oeste,339713,15598,24593,15956,22251,48725,23504,16170,18352,154564
Alcobaça,0,0,0,0,0,0,0,0,0,0
Alenquer,0,0,0,0,0,0,0,0,0,0
Arruda dos Vinhos,0,0,0,0,0,0,0,0,0,0
Bombarral,0,0,0,0,0,0,0,0,0,0
Cadaval,0,0,0,0,0,0,0,0,0,0
Caldas da Rainha,...,...,...,...,...,...,...,...,...,...
Lourinhã,0,0,0,0,0,0,0,0,0,0
Nazaré,...,...,...,...,...,...,...,...,...,...
Óbidos,0,0,0,0,0,0,0,0,0,0
Peniche,0,0,0,0,0,0,0,0,0,0
Sobral de Monte Agraço,0,0,0,0,0,0,0,0,0,0
Torres Vedras,...,...,...,...,...,...,...,...,...,...
Região de Aveiro,433350,22845,25890,19786,48829,55892,25528,34933,15006,184641
Águeda,0,0,0,0,0,0,0,0,0,0
Albergaria-a-Velha,0,0,0,0,0,0,0,0,0,0
Anadia,...,...,...,...,...,...,...,...,...,...
Aveiro,...,...,...,...,...,...,...,...,...,...
Estarreja,0,0,0,0,0,0,0,0,0,0
Ílhavo,0,0,0,0,0,0,0,0,0,0
Murtosa,0,0,0,0,0,0,0,0,0,0
Oliveira do Bairro,...,...,...,...,...,...,...,...,...,...
Ovar,28730,3150,0,3323,3063,4991,2321,3247,0,8635
Sever do Vouga,0,0,0,0,0,0,0,0,0,0
Vagos,0,0,0,0,0,0,0,0,0,0
Região de Coimbra,1504729,55906,111470,42216,125710,104420,53310,49265,63818,898614
Arganil,0,0,0,0,0,0,0,0,0,0
Cantanhede,22283,1581,538,1757,1122,2746,0,0,0,14539
Coimbra,...,...,...,...,...,...,...,...,...,...
Condeixa-a-Nova,...,...,...,...,...,...,...,...,...,...
Figueira da Foz,87026,10010,4313,5829,11582,12544,3437,5425,2064,31822
Góis,0,0,0,0,0,0,0,0,0,0
Lousã,0,0,0,0,0,0,0,0,0,0
Mealhada,...,...,...,...,...,...,...,...,...,...
Mira,0,0,0,0,0,0,0,0,0,0
Miranda do Corvo,0,0,0,0,0,0,0,0,0,0
Montemor-o-Velho,0,0,0,0,0,0,0,0,0,0
Mortágua,0,0,0,0,0,0,0,0,0,0
Oliveira do Hospital,...,...,...,...,...,...,...,...,...,...
Pampilhosa da Serra,0,0,0,0,0,0,0,0,0,0
Penacova,0,0,0,0,0,0,0,0,0,0
Penela,0,0,0,0,0,0,0,0,0,0
Soure,0,0,0,0,0,0,0,0,0,0
Tábua,0,0,0,0,0,0,0,0,0,0
Vila Nova de Poiares,0,0,0,0,0,0,0,0,0,0
Região de Leiria,473501,25650,21775,51491,51854,46200,14690,22539,19226,220076
Alvaiázere,...,...,...,...,...,...,...,...,...,...
Ansião,...,...,...,...,...,...,...,...,...,...
Batalha,0,0,0,0,0,0,0,0,0,0
Castanheira de Pêra,0,0,0,0,0,0,0,0,0,0
Figueiró dos Vinhos,0,0,0,0,0,0,0,0,0,0
Leiria,...,...,...,...,...,...,...,...,...,...
Marinha Grande,...,...,...,...,...,...,...,...,...,...
Pedrógão Grande,0,0,0,0,0,0,0,0,0,0
Pombal,0,0,0,0,0,0,0,0,0,0
Porto de Mós,0,0,0,0,0,0,0,0,0,0
Viseu Dão Lafões,...,...,...,...,...,...,...,...,...,...
Aguiar da Beira,0,0,0,0,0,0,0,0,0,0
Carregal do Sal,0,0,0,0,0,0,0,0,0,0
Castro Daire,0,0,0,0,0,0,0,0,0,0
Mangualde,0,0,0,0,0,0,0,0,0,0
Nelas,0,0,0,0,0,0,0,0,0,0
Oliveira de Frades,0,0,0,0,0,0,0,0,0,0
Penalva do Castelo,0,0,0,0,0,0,0,0,0,0
Santa Comba Dão,0,0,0,0,0,0,0,0,0,0
São Pedro do Sul,0,0,0,0,0,0,0,0,0,0
Sátão,0,0,0,0,0,0,0,0,0,0
Tondela,0,0,0,0,0,0,0,0,0,0
Vila Nova de Paiva,0,0,0,0,0,0,0,0,0,0
Viseu,...,...,...,...,...,...,...,...,...,...
Vouzela,0,0,0,0,0,0,0,0,0,0
Beira Baixa,82745,7211,2721,3995,3300,5991,5603,2451,8050,43423
Castelo Branco,82745,7211,2721,3995,3300,5991,5603,2451,8050,43423
Idanha-a-Nova,0,0,0,0,0,0,0,0,0,0
Oleiros,0,0,0,0,0,0,0,0,0,0
Penamacor,0,0,0,0,0,0,0,0,0,0
Proença-a-Nova,0,0,0,0,0,0,0,0,0,0
Vila Velha de Ródão,0,0,0,0,0,0,0,0,0,0
Médio Tejo,...,...,...,...,...,...,...,...,...,...
Abrantes,0,0,0,0,0,0,0,0,0,0
Alcanena,...,...,...,...,...,...,...,...,...,...
Constância,3919,0,0,0,0,0,0,0,0,3919
Entroncamento,...,...,...,...,...,...,...,...,...,...
Ferreira do Zêzere,0,0,0,0,0,0,0,0,0,0
Mação,0,0,0,0,0,0,0,0,0,0
Ourém,0,0,0,0,0,0,0,0,0,0
Sardoal,0,0,0,0,0,0,0,0,0,0
Sertã,0,0,0,0,0,0,0,0,0,0
Tomar,175392,10881,8035,11618,19784,8504,5697,11701,15399,83773
Torres Novas,0,0,0,0,0,0,0,0,0,0
Vila de Rei,0,0,0,0,0,0,0,0,0,0
Vila Nova da Barquinha,0,0,0,0,0,0,0,0,0,0
Beiras e Serra da Estrela,...,...,...,...,...,...,...,...,...,...
Almeida,0,0,0,0,0,0,0,0,0,0
Belmonte,0,0,0,0,0,0,0,0,0,0
Celorico da Beira,0,0,0,0,0,0,0,0,0,0
Covilhã,168407,6582,18496,9284,6155,13923,0,9186,6352,98429
Figueira de Castelo Rodrigo,0,0,0,0,0,0,0,0,0,0
Fornos de Algodres,0,0,0,0,0,0,0,0,0,0
Fundão,0,0,0,0,0,0,0,0,0,0
Gouveia,0,0,0,0,0,0,0,0,0,0
Guarda,...,...,...,...,...,...,...,...,...,...
Manteigas,0,0,0,0,0,0,0,0,0,0
Mêda,0,0,0,0,0,0,0,0,0,0
Pinhel,0,0,0,0,0,0,0,0,0,0
Sabugal,0,0,0,0,0,0,0,0,0,0
Seia,0,0,0,0,0,0,0,0,0,0
Trancoso,0,0,0,0,0,0,0,0,0,0
A. M. Lisboa,7002553,270191,518870,229968,560712,518611,341399,358054,270129,3934619
Alcochete,0,0,0,0,0,0,0,0,0,0
Almada,310916,9586,28628,9783,30389,13051,14510,12284,14874,177811
Amadora,...,...,...,...,...,...,...,...,...,...
Barreiro,163565,8196,8314,13523,7418,10107,4760,9813,14088,87346
Cascais,455300,20139,33986,15833,43224,66035,26565,28562,9654,211302
Lisboa,4414423,156397,328749,135952,310468,287606,200218,225189,148573,2621271
Loures,...,...,...,...,...,...,...,...,...,...
Mafra,0,0,0,0,0,0,0,0,0,0
Moita,0,0,0,0,0,0,0,0,0,0
Montijo,0,0,0,0,0,0,0,0,0,0
Odivelas,0,0,0,0,0,0,0,0,0,0
Oeiras,...,...,...,...,...,...,...,...,...,...
Palmela,...,...,...,...,...,...,...,...,...,...
Seixal,0,0,0,0,0,0,0,0,0,0
Sesimbra,0,0,0,0,0,0,0,0,0,0
Setúbal,...,...,...,...,...,...,...,...,...,...
Sintra,130656,3415,12094,2998,8929,14715,7347,7950,9149,64059
Vila Franca de Xira,149997,8920,12663,4883,22309,15175,9469,8530,8584,59464
Alentejo,731466,51880,45896,35342,67226,79503,25221,28092,36235,362071
Alentejo Litoral,80081,5824,3592,4745,8160,8870,664,1088,4375,42763
Alcácer do Sal,0,0,0,0,0,0,0,0,0,0
Grândola,0,0,0,0,0,0,0,0,0,0
Odemira,0,0,0,0,0,0,0,0,0,0
Santiago do Cacém,80081,5824,3592,4745,8160,8870,664,1088,4375,42763
Sines,0,0,0,0,0,0,0,0,0,0
Baixo Alentejo,81758,8256,7246,4247,6315,9531,1927,2856,9675,31705
Aljustrel,0,0,0,0,0,0,0,0,0,0
Almodôvar,0,0,0,0,0,0,0,0,0,0
Alvito,0,0,0,0,0,0,0,0,0,0
Barrancos,0,0,0,0,0,0,0,0,0,0
Beja,81758,8256,7246,4247,6315,9531,1927,2856,9675,31705
Castro Verde,0,0,0,0,0,0,0,0,0,0
Cuba,0,0,0,0,0,0,0,0,0,0
Ferreira do Alentejo,0,0,0,0,0,0,0,0,0,0
Mértola,0,0,0,0,0,0,0,0,0,0
Moura,0,0,0,0,0,0,0,0,0,0
Ourique,0,0,0,0,0,0,0,0,0,0
Serpa,0,0,0,0,0,0,0,0,0,0
Vidigueira,0,0,0,0,0,0,0,0,0,0
Lezíria do Tejo,...,...,...,...,...,...,...,...,...,...
Almeirim,0,0,0,0,0,0,0,0,0,0
Alpiarça,0,0,0,0,0,0,0,0,0,0
Azambuja,0,0,0,0,0,0,0,0,0,0
Benavente,0,0,0,0,0,0,0,0,0,0
Cartaxo,0,0,0,0,0,0,0,0,0,0
Chamusca,0,0,0,0,0,0,0,0,0,0
Coruche,0,0,0,0,0,0,0,0,0,0
Golegã,0,0,0,0,0,0,0,0,0,0
Rio Maior,0,0,0,0,0,0,0,0,0,0
Salvaterra de Magos,0,0,0,0,0,0,0,0,0,0
Santarém,...,...,...,...,...,...,...,...,...,...
Alto Alentejo,...,...,...,...,...,...,...,...,...,...
Alter do Chão,0,0,0,0,0,0,0,0,0,0
Arronches,0,0,0,0,0,0,0,0,0,0
Avis,0,0,0,0,0,0,0,0,0,0
Campo Maior,0,0,0,0,0,0,0,0,0,0
Castelo de Vide,0,0,0,0,0,0,0,0,0,0
Crato,0,0,0,0,0,0,0,0,0,0
Elvas,0,0,0,0,0,0,0,0,0,0
Fronteira,0,0,0,0,0,0,0,0,0,0
Gavião,0,0,0,0,0,0,0,0,0,0
Marvão,0,0,0,0,0,0,0,0,0,0
Monforte,...,...,...,...,...,...,...,...,...,...
Nisa,0,0,0,0,0,0,0,0,0,0
Ponte de Sor,0,0,0,0,0,0,0,0,0,0
Portalegre,93943,11952,5415,7926,9382,10252,2516,1904,4738,39858
Sousel,0,0,0,0,0,0,0,0,0,0
Alentejo Central,...,...,...,...,...,...,...,...,...,...
Alandroal,0,0,0,0,0,0,0,0,0,0
Arraiolos,0,0,0,0,0,0,0,0,0,0
Borba,0,0,0,0,0,0,0,0,0,0
Estremoz,0,0,0,0,0,0,0,0,0,0
Évora,...,...,...,...,...,...,...,...,...,...
Montemor-o-Novo,...,...,...,...,...,...,...,...,...,...
Mora,0,0,0,0,0,0,0,0,0,0
Mourão,0,0,0,0,0,0,0,0,0,0
Portel,0,0,0,0,0,0,0,0,0,0
Redondo,0,0,0,0,0,0,0,0,0,0
Reguengos de Monsaraz,0,0,0,0,0,0,0,0,0,0
Vendas Novas,0,0,0,0,0,0,0,0,0,0
Viana do Alentejo,0,0,0,0,0,0,0,0,0,0
Vila Viçosa,0,0,0,0,0,0,0,0,0,0
Algarve,641189,30415,57850,27352,43870,54432,36172,30338,29915,330845
Albufeira,...,...,...,...,...,...,...,...,...,...
Alcoutim,0,0,0,0,0,0,0,0,0,0
Aljezur,0,0,0,0,0,0,0,0,0,0
Castro Marim,0,0,0,0,0,0,0,0,0,0
Faro,...,...,...,...,...,...,...,...,...,...
Lagoa,0,0,0,0,0,0,0,0,0,0
Lagos,0,0,0,0,0,0,0,0,0,0
Loulé,...,...,...,...,...,...,...,...,...,...
Monchique,0,0,0,0,0,0,0,0,0,0
Olhão,0,0,0,0,0,0,0,0,0,0
Portimão,...,...,...,...,...,...,...,...,...,...
São Brás de Alportel,...,...,...,...,...,...,...,...,...,...
Silves,0,0,0,0,0,0,0,0,0,0
Tavira,0,0,0,0,0,0,0,0,0,0
Vila do Bispo,0,0,0,0,0,0,0,0,0,0
Vila Real de Santo António,0,0,0,0,0,0,0,0,0,0
R. A. Açores,385866,18241,26301,19604,22515,22539,21469,21029,18685,215483
Santa Maria,0,0,0,0,0,0,0,0,0,0
Vila do Porto,0,0,0,0,0,0,0,0,0,0
São Miguel,248935,10470,18315,11776,13758,14741,12381,15704,9433,142357
Lagoa (R.A.A.),0,0,0,0,0,0,0,0,0,0
Nordeste,0,0,0,0,0,0,0,0,0,0
Ponta Delgada,248935,10470,18315,11776,13758,14741,12381,15704,9433,142357
Povoação,0,0,0,0,0,0,0,0,0,0
Ribeira Grande,0,0,0,0,0,0,0,0,0,0
Vila Franca do Campo,0,0,0,0,0,0,0,0,0,0
Terceira,87331,3819,4227,4061,6349,4400,4463,2971,6026,51015
Angra do Heroísmo,87331,3819,4227,4061,6349,4400,4463,2971,6026,51015
Vila da Praia da Vitória,0,0,0,0,0,0,0,0,0,0
Graciosa,0,0,0,0,0,0,0,0,0,0
Santa Cruz da Graciosa,0,0,0,0,0,0,0,0,0,0
São Jorge,0,0,0,0,0,0,0,0,0,0
Calheta (R.A.A.),0,0,0,0,0,0,0,0,0,0
Velas,0,0,0,0,0,0,0,0,0,0
Pico,0,0,0,0,0,0,0,0,0,0
Lajes do Pico,0,0,0,0,0,0,0,0,0,0
Madalena,0,0,0,0,0,0,0,0,0,0
São Roque do Pico,0,0,0,0,0,0,0,0,0,0
Faial,49600,3952,3759,3767,2408,3398,4625,2354,3226,22111
Horta,49600,3952,3759,3767,2408,3398,4625,2354,3226,22111
Flores,0,0,0,0,0,0,0,0,0,0
Lajes das Flores,0,0,0,0,0,0,0,0,0,0
Santa Cruz das Flores,0,0,0,0,0,0,0,0,0,0
Corvo,0,0,0,0,0,0,0,0,0,0
Corvo,0,0,0,0,0,0,0,0,0,0
R. A. Madeira,353625,19572,33484,22730,20820,28342,13655,16399,10940,187683
Calheta (R.A.M.),0,0,0,0,0,0,0,0,0,0
Câmara de Lobos,0,0,0,0,0,0,0,0,0,0
Funchal,353625,19572,33484,22730,20820,28342,13655,16399,10940,187683
Machico,0,0,0,0,0,0,0,0,0,0
Ponta do Sol,0,0,0,0,0,0,0,0,0,0
Porto Moniz,0,0,0,0,0,0,0,0,0,0
Ribeira Brava,0,0,0,0,0,0,0,0,0,0
Santa Cruz,0,0,0,0,0,0,0,0,0,0
Santana,0,0,0,0,0,0,0,0,0,0
São Vicente,0,0,0,0,0,0,0,0,0,0
Porto Santo,0,0,0,0,0,0,0,0,0,0
