,"Médicos, Total (N.º)","Médicos, Especialistas (N.º)","Médicos, Não especialistas (N.º)","Médicos por algumas especialidades médicas, Cirurgia geral (N.º)","Médicos por algumas especialidades médicas, Estomatologia (N.º)","Médicos por algumas especialidades médicas, Ginecologia e obstetrícia (N.º)","Médicos por algumas especialidades médicas, Medicina geral e familiar (N.º)","Médicos por algumas especialidades médicas, Oftalmologia (N.º)","Médicos por algumas especialidades médicas, Ortopedia (N.º)","Médicos por algumas especialidades médicas, Pediatria (N.º)","Médicos por algumas especialidades médicas, Psiquiatria (N.º)"
Portugal,60396,37241,23155,1841,576,1888,8518,1156,1362,2327,1332
Continente,58120,35893,22227,1766,562,1821,8164,1128,1318,2248,1296
Norte,21323,12403,8920,575,160,602,3083,336,477,801,438
Alto Minho,1000,510,490,17,5,22,193,13,18,29,15
Arcos de Valdevez,50,27,23,2,0,1,16,0,0,0,0
Caminha,88,47,41,2,0,1,16,0,3,5,2
Melgaço,21,12,9,0,0,0,8,0,0,0,0
Monção,62,30,32,0,0,2,15,1,1,0,0
Paredes de Coura,15,5,10,0,0,0,3,0,1,0,0
Ponte da Barca,29,16,13,0,0,1,11,1,0,0,1
Ponte de Lima,129,46,83,0,1,1,26,0,2,3,2
Valença,28,10,18,0,0,1,8,0,0,0,0
Viana do Castelo,550,300,250,13,3,15,84,11,11,21,10
Vila Nova de Cerveira,28,17,11,0,1,0,6,0,0,0,0
Cávado,2416,1208,1208,51,12,61,342,28,61,72,48
Amares,58,27,31,1,1,0,8,1,2,1,2
Barcelos,387,151,236,2,1,5,53,4,4,10,7
Braga,1686,903,783,41,10,51,246,22,48,56,33
Esposende,170,87,83,6,0,4,24,1,5,5,2
Terras de Bouro,11,2,9,0,0,0,1,0,0,0,0
Vila Verde,104,38,66,1,0,1,10,0,2,0,4
Ave,1626,754,872,38,0,38,272,16,23,42,16
Cabeceiras de Basto,43,16,27,0,0,1,9,0,0,0,1
Fafe,199,69,130,2,0,1,34,2,3,2,2
Guimarães,706,371,335,19,0,24,123,7,9,26,8
Mondim de Basto,11,3,8,0,0,0,3,0,0,0,0
Póvoa de Lanhoso,42,19,23,0,0,0,7,0,0,1,1
Vieira do Minho,22,9,13,0,0,0,6,0,0,0,0
Vila Nova de Famalicão,525,232,293,15,0,12,76,2,10,13,3
