,"Despesas de capital, Total (Euros)","Despesas de capital, das quais , Património, Total (Euros)","Despesas de capital, das quais , Património, Museus (Euros)","Despesas de capital, das quais , Bibliotecas e arquivos, Total (Euros)","Despesas de capital, das quais , Bibliotecas e arquivos, Bibliotecas (Euros)","Despesas de capital, das quais , Artes do espetáculo, Total (Euros)","Despesas de capital, das quais , Artes do espetáculo, Música (Euros)","Despesas de capital, das quais , Artes do espetáculo, Multidisciplinares (Euros)","Despesas de capital, das quais , Artes do espetáculo, Construção e manutenção de recintos de espetáculos (Euros)","Despesas de capital, das quais , Atividades interdisciplinares, Total (Euros)","Despesas de capital, das quais , Atividades interdisciplinares, Apoio a entidades culturais e criativas (Euros)"
Portugal,94901232,43221905,14881188,7737127,3642699,27065934,435345,144358,24808710,11262246,7499157
Continente,91323707,42322400,14821466,7716514,3630045,26536713,331096,144358,24536319,9438953,5787680
Norte,35222292,14904963,5983775,4442265,1290225,12637142,159088,7479,12377447,1157242,1017278
Alto Minho,2501820,1059830,863106,156669,8994,141617,0,0,141617,356257,338044
Arcos de Valdevez,478585,225152,214616,135283,0,0,0,0,0,118150,118150
Caminha,0,0,0,0,0,0,0,0,0,0,0
Melgaço,728798,0,0,0,0,0,0,0,0,0,0
Monção,483459,445951,259763,1506,1506,0,0,0,0,0,0
Paredes de Coura,22021,0,0,0,0,0,0,0,0,0,0
Ponte da Barca,0,0,0,0,0,0,0,0,0,0,0
Ponte de Lima,268437,120344,120344,19880,7488,127587,0,0,127587,0,0
Valença,69671,51458,51458,0,0,0,0,0,0,18213,0
Viana do Castelo,424212,216925,216925,0,0,14030,0,0,14030,193257,193257
Vila Nova de Cerveira,26637,0,0,0,0,0,0,0,0,26637,26637
Cávado,1201309,462380,312380,715799,158272,22500,0,0,0,0,0
Amares,23000,23000,23000,0,0,0,0,0,0,0,0
Barcelos,22500,0,0,0,0,22500,0,0,0,0,0
Braga,0,0,0,0,0,0,0,0,0,0,0
Esposende,1155179,439380,289380,715799,158272,0,0,0,0,0,0
Terras de Bouro,0,0,0,0,0,0,0,0,0,0,0
Vila Verde,630,0,0,0,0,0,0,0,0,0,0
Ave,570185,124075,66466,150066,123362,59625,0,5577,54048,58764,47300
Cabeceiras de Basto,0,0,0,0,0,0,0,0,0,0,0
Fafe,181505,0,0,0,0,5577,0,5577,0,0,0
Guimarães,87222,10000,10000,28195,17282,0,0,0,0,47300,47300
Mondim de Basto,301,301,0,0,0,0,0,0,0,0,0
Póvoa de Lanhoso,126419,0,0,102227,102227,12728,0,0,12728,11464,0
Vieira do Minho,0,0,0,0,0,0,0,0,0,0,0
Vila Nova de Famalicão,174738,113774,56466,19644,3853,41320,0,0,41320,0,0
Vizela,0,0,0,0,0,0,0,0,0,0,0
A. M. Porto,14226086,2639047,1262488,2567463,232753,7976829,140378,1902,7773526,252942,167132
Arouca,48731,19421,18796,0,0,0,0,0,0,25652,0
Espinho,128807,0,0,0,0,0,0,0,0,0,0
Gondomar,30000,0,0,0,0,0,0,0,0,0,0
Maia,553036,0,0,43642,43642,345235,76927,1902,265406,21586,6892
Matosinhos,509444,432983,16928,24649,24649,19110,0,0,0,3815,300
Oliveira de Azeméis,3117888,9576,0,0,0,3108312,0,0,3095812,0,0
Paredes,232905,0,0,6740,6740,63451,63451,0,0,0,0
Porto,2946909,269120,269120,45634,37768,2356756,0,0,2356756,0,0
Póvoa de Varzim,0,0,0,0,0,0,0,0,0,0,0
Santa Maria da Feira,2466527,6657,6657,2402217,91534,8413,0,0,0,49240,49240
Santo Tirso,0,0,0,0,0,0,0,0,0,0,0
São João da Madeira,0,0,0,0,0,0,0,0,0,0,0
Trofa,3014,0,0,0,0,0,0,0,0,0,0
Vale de Cambra,1349423,9367,9367,18902,14406,1316389,0,0,1316389,4765,0
Valongo,909424,854391,854391,17849,6184,0,0,0,0,37184,0
Vila do Conde,110700,0,0,0,0,0,0,0,0,110700,110700
Vila Nova de Gaia,1819278,1037532,87229,7830,7830,759163,0,0,739163,0,0
Alto Tâmega,2997994,1924498,1646672,254067,168965,714786,0,0,712609,14361,7500
Boticas,40500,15500,11000,25000,25000,0,0,0,0,0,0
Chaves,2176923,1611857,1537327,59936,58488,453310,0,0,451133,14361,7500
Montalegre,177535,93881,93881,83654,0,0,0,0,0,0,0
Ribeira de Pena,34803,1469,1469,32328,32328,1006,0,0,1006,0,0
Valpaços,52823,0,0,0,0,0,0,0,0,0,0
Vila Pouca de Aguiar,515410,201791,2995,53149,53149,260470,0,0,260470,0,0
Tâmega e Sousa,8790452,7078082,878590,523760,523438,1049005,18710,0,1030295,75051,75051
Amarante,4397439,4375883,159251,0,0,0,0,0,0,0,0
Baião,2041625,1202251,0,509194,509194,328307,0,0,328307,0,0
Castelo de Paiva,0,0,0,0,0,0,0,0,0,0,0
Celorico de Basto,780609,780609,0,0,0,0,0,0,0,0,0
Cinfães,14328,0,0,0,0,0,0,0,0,14186,14186
Felgueiras,3080,3080,3080,0,0,0,0,0,0,0,0
Lousada,598850,0,0,6633,6633,592217,0,0,592217,0,0
Marco de Canaveses,862259,716259,716259,0,0,109681,0,0,109681,30000,30000
Paços de Ferreira,0,0,0,0,0,0,0,0,0,0,0
Penafiel,0,0,0,0,0,0,0,0,0,0,0
Resende,92262,0,0,7933,7611,18800,18710,0,90,30865,30865
Douro,961657,202637,176880,72711,72711,568613,0,0,562952,4350,4350
Alijó,119993,0,0,0,0,119993,0,0,114332,0,0
Armamar,80392,0,0,0,0,70490,0,0,70490,0,0
Carrazeda de Ansiães,0,0,0,0,0,0,0,0,0,0,0
Freixo de Espada à Cinta,22755,0,0,0,0,0,0,0,0,0,0
Lamego,0,0,0,0,0,0,0,0,0,0,0
Mesão Frio,0,0,0,0,0,0,0,0,0,0,0
Moimenta da Beira,0,0,0,0,0,0,0,0,0,0,0
Murça,9295,0,0,1084,1084,0,0,0,0,0,0
Penedono,31484,20447,0,0,0,0,0,0,0,3000,3000
Peso da Régua,0,0,0,0,0,0,0,0,0,0,0
Sabrosa,22750,5310,0,0,0,17440,0,0,17440,0,0
Santa Marta de Penaguião,0,0,0,0,0,0,0,0,0,0,0
São João da Pesqueira,65129,58084,58084,7045,7045,0,0,0,0,0,0
Sernancelhe,204280,118796,118796,60581,60581,0,0,0,0,0,0
Tabuaço,31257,0,0,4001,4001,0,0,0,0,0,0
Tarouca,0,0,0,0,0,0,0,0,0,0,0
Torre de Moncorvo,0,0,0,0,0,0,0,0,0,0,0
Vila Nova de Foz Côa,0,0,0,0,0,0,0,0,0,0,0
Vila Real,374322,0,0,0,0,360690,0,0,360690,1350,1350
Terras de Trás-os-Montes,3972789,1414414,777193,1730,1730,2104167,0,0,2102400,395517,377901
Alfândega da Fé,0,0,0,0,0,0,0,0,0,0,0
Bragança,1222751,881850,761441,0,0,0,0,0,0,340901,340901
Macedo de Cavaleiros,0,0,0,0,0,0,0,0,0,0,0
Miranda do Douro,30600,30600,15000,0,0,0,0,0,0,0,0
Mirandela,550414,9140,752,0,0,501287,0,0,501287,0,0
Mogadouro,1159674,106773,0,1517,1517,1043838,0,0,1042071,0,0
Vila Flor,635055,75800,0,213,213,559042,0,0,559042,0,0
Vimioso,302063,302063,0,0,0,0,0,0,0,0,0
Vinhais,72232,8188,0,0,0,0,0,0,0,54616,37000
Centro,25040464,10869433,4308999,1397648,704860,7820307,124453,64009,6943399,3613115,1913197
Oeste,2024934,1284801,595573,26605,26382,210412,0,0,210412,477349,315727
Alcobaça,557806,284110,284110,0,0,0,0,0,0,261600,261600
Alenquer,155996,155196,155196,800,800,0,0,0,0,0,0
Arruda dos Vinhos,0,0,0,0,0,0,0,0,0,0,0
Bombarral,0,0,0,0,0,0,0,0,0,0,0
Cadaval,87000,87000,0,0,0,0,0,0,0,0,0
Caldas da Rainha,516293,334531,83686,3094,3094,141542,0,0,141542,33790,33790
Lourinhã,353635,334360,35940,16143,15920,0,0,0,0,0,0
Nazaré,66827,53166,865,1110,1110,11494,0,0,11494,0,0
Óbidos,0,0,0,0,0,0,0,0,0,0,0
Peniche,56687,30380,29718,2328,2328,0,0,0,0,17833,0
Sobral de Monte Agraço,230690,6058,6058,3130,3130,57376,0,0,57376,164126,20337
Torres Vedras,0,0,0,0,0,0,0,0,0,0,0
Região de Aveiro,2516482,1618439,941232,81611,77038,406888,2030,39201,344280,401123,305430
Águeda,54772,0,0,54772,54772,0,0,0,0,0,0
Albergaria-a-Velha,80676,0,0,6142,1865,70686,2030,0,68656,0,0
Anadia,306105,290624,290624,5505,5505,0,0,0,0,9750,9750
Aveiro,701653,410963,116180,6009,6009,172191,0,0,172191,112490,112490
Estarreja,96736,800,800,3718,3718,38647,0,0,38647,53571,53571
Ílhavo,552680,435279,431343,5465,5169,44890,0,39201,5689,67046,67046
Murtosa,492040,480773,102285,0,0,1152,0,0,0,10115,10115
Oliveira do Bairro,51958,0,0,0,0,0,0,0,0,51958,51958
Ovar,175015,0,0,0,0,79322,0,0,59097,95693,0
Sever do Vouga,4847,0,0,0,0,0,0,0,0,500,500
Vagos,0,0,0,0,0,0,0,0,0,0,0
Região de Coimbra,3072968,1032855,118609,67036,65833,1190635,82596,0,1062207,476693,346919
Arganil,123370,46316,0,545,545,0,0,0,0,0,0
Cantanhede,14460,147,15,12345,12345,701,701,0,0,1267,1267
Coimbra,424327,0,0,0,0,424327,0,0,424327,0,0
Condeixa-a-Nova,63673,63673,542,0,0,0,0,0,0,0,0
Figueira da Foz,274446,119888,51858,13638,13638,128200,0,0,128200,0,0
Góis,74042,37842,36052,0,0,36200,0,0,0,0,0
Lousã,460805,23266,18266,0,0,422039,0,0,422039,15500,15500
Mealhada,172445,0,0,7564,7564,0,0,0,0,0,0
Mira,0,0,0,0,0,0,0,0,0,0,0
Miranda do Corvo,19470,0,0,0,0,0,0,0,0,19470,19470
Montemor-o-Velho,88847,0,0,0,0,84027,81895,0,0,4820,4820
Mortágua,24500,10000,10000,0,0,7500,0,0,0,7000,7000
Oliveira do Hospital,527114,317463,0,0,0,87641,0,0,87641,77490,77490
Pampilhosa da Serra,2933,0,0,0,0,0,0,0,0,0,0
Penacova,237656,22276,0,22075,20872,0,0,0,0,190986,61212
Penela,331634,315582,92,3152,3152,0,0,0,0,12664,12664
Soure,233246,76402,1784,7717,7717,0,0,0,0,147496,147496
Tábua,0,0,0,0,0,0,0,0,0,0,0
Vila Nova de Poiares,0,0,0,0,0,0,0,0,0,0,0
Região de Leiria,4881326,3289391,1237672,222260,216379,496087,0,4059,456456,454339,430487
Alvaiázere,17829,8771,8771,9058,9058,0,0,0,0,0,0
Ansião,1513,123,0,150,150,0,0,0,0,0,0
Batalha,52859,0,0,927,927,0,0,0,0,51452,51452
Castanheira de Pêra,0,0,0,0,0,0,0,0,0,0,0
Figueiró dos Vinhos,0,0,0,0,0,0,0,0,0,0,0
Leiria,2156219,1547616,197079,2694,2694,284895,0,0,284895,272675,248823
Marinha Grande,749309,322358,1778,181922,179779,4059,0,4059,0,62215,62215
Pedrógão Grande,19639,0,0,0,0,0,0,0,0,19639,19639
Pombal,1852012,1410523,1030044,19509,15771,207133,0,0,171561,39172,39172
Porto de Mós,31946,0,0,8000,8000,0,0,0,0,9186,9186
Viseu Dão Lafões,1446637,403379,228058,819808,178789,86291,0,2093,46311,104300,100323
Aguiar da Beira,32015,32015,0,0,0,0,0,0,0,0,0
Carregal do Sal,0,0,0,0,0,0,0,0,0,0,0
Castro Daire,36600,0,0,0,0,0,0,0,0,36600,36600
Mangualde,0,0,0,0,0,0,0,0,0,0,0
Nelas,0,0,0,0,0,0,0,0,0,0,0
Oliveira de Frades,0,0,0,0,0,0,0,0,0,0,0
Penalva do Castelo,1156,0,0,1156,1156,0,0,0,0,0,0
Santa Comba Dão,27524,0,0,0,0,22601,0,2093,0,4263,1500
São Pedro do Sul,60495,1093,0,140,140,16943,0,0,16943,29970,29970
Sátão,242082,66854,66854,175228,175228,0,0,0,0,0,0
Tondela,1214,0,0,0,0,0,0,0,0,1214,0
Vila Nova de Paiva,0,0,0,0,0,0,0,0,0,0,0
Viseu,880252,171773,161204,642373,1354,23228,0,0,23228,32253,32253
Vouzela,165299,131644,0,911,911,23519,0,0,6140,0,0
Beira Baixa,2073294,538411,238899,54458,23942,1121141,29827,0,544564,111668,84114
Castelo Branco,476531,286336,37163,49742,19226,52709,29827,0,0,23114,23114
Idanha-a-Nova,43556,18884,0,0,0,24672,0,0,24672,0,0
Oleiros,11452,0,0,0,0,3976,0,0,0,6000,6000
Penamacor,1232546,31455,0,0,0,1039784,0,0,519892,0,0
Proença-a-Nova,107473,0,0,4716,4716,0,0,0,0,82554,55000
Vila Velha de Ródão,201736,201736,201736,0,0,0,0,0,0,0,0
Médio Tejo,5364762,1710004,582302,47128,37755,2079654,10000,0,2068626,1476336,223963
Abrantes,739379,541835,541835,7562,7562,189982,0,0,189982,0,0
Alcanena,48951,3071,3071,550,550,1028,0,0,0,44302,44302
Constância,46883,7644,7644,560,0,10556,0,0,10556,573,573
Entroncamento,67341,189,189,430,430,66722,0,0,66722,0,0
Ferreira do Zêzere,26409,0,0,3850,3850,10000,10000,0,0,12559,12559
Mação,591080,8182,8182,0,0,582898,0,0,582898,0,0
Ourém,2394982,1031574,0,0,0,1212865,0,0,1212865,150543,150543
Sardoal,82557,63282,0,10545,2511,4387,0,0,4387,2165,2165
Sertã,34131,1021,1021,19760,19760,1216,0,0,1216,0,0
Tomar,7500,7500,7500,0,0,0,0,0,0,0,0
Torres Novas,1274748,4683,2759,3871,3092,0,0,0,0,1266194,13821
Vila de Rei,0,0,0,0,0,0,0,0,0,0,0
Vila Nova da Barquinha,50801,41023,10101,0,0,0,0,0,0,0,0
Beiras e Serra da Estrela,3660061,992153,366654,78742,78742,2229199,0,18656,2210543,111307,106234
Almeida,102276,91368,11131,809,809,0,0,0,0,4995,0
Belmonte,37312,18656,0,0,0,18656,0,18656,0,0,0
Celorico da Beira,370693,370693,0,0,0,0,0,0,0,0,0
Covilhã,1639020,279146,279146,45359,45359,1219781,0,0,1219781,94734,94734
Figueira de Castelo Rodrigo,0,0,0,0,0,0,0,0,0,0,0
Fornos de Algodres,31467,31467,31467,0,0,0,0,0,0,0,0
Fundão,993141,7293,7293,0,0,983886,0,0,983886,0,0
Gouveia,28892,25019,25019,3873,3873,0,0,0,0,0,0
Guarda,16296,0,0,16296,16296,0,0,0,0,0,0
Manteigas,0,0,0,0,0,0,0,0,0,0,0
Mêda,0,0,0,0,0,0,0,0,0,0,0
Pinhel,0,0,0,0,0,0,0,0,0,0,0
Sabugal,296667,53264,1451,0,0,0,0,0,0,11500,11500
Seia,26889,11147,11147,8788,8788,6876,0,0,6876,78,0
Trancoso,117408,104100,0,3617,3617,0,0,0,0,0,0
A. M. Lisboa,13286400,7458456,1477434,725026,613245,825199,172,9419,420723,3528601,2121911
Alcochete,235279,109232,1353,1353,1353,0,0,0,0,0,0
Almada,2642019,2203894,107453,244018,236492,6975,0,2596,4379,133059,133059
Amadora,185042,4476,4476,135202,134105,6823,0,6823,0,2211,2211
Barreiro,80372,1927,443,62688,61416,5498,0,0,5498,0,0
Cascais,25250,250,0,0,0,0,0,0,0,25000,25000
Lisboa,3576444,996508,404099,43126,33456,382164,0,0,0,2059871,681745
Loures,189812,1457,1203,18425,18425,172,172,0,0,165261,165261
Mafra,54505,49555,49555,4950,4950,0,0,0,0,0,0
Moita,77923,2118,0,42704,38309,23677,0,0,23677,2193,0
Montijo,0,0,0,0,0,0,0,0,0,0,0
Odivelas,669787,640419,123,1990,441,619,0,0,488,15759,15759
Oeiras,1466003,769610,15151,0,0,0,0,0,0,483954,483954
Palmela,999939,584415,8536,80367,80367,292370,0,0,292370,42787,42787
Seixal,593686,22439,22439,0,0,0,0,0,0,570381,570381
Sesimbra,722450,702572,125,2270,1865,0,0,0,0,1754,1754
Setúbal,977257,867387,439498,67386,1519,16113,0,0,3523,26371,0
Sintra,205116,184569,184569,20547,547,0,0,0,0,0,0
Vila Franca de Xira,585516,317628,238411,0,0,90788,0,0,90788,0,0
Alentejo,11247077,5095272,1737888,987284,882490,3732600,47259,63451,3273827,745876,383447
Alentejo Litoral,1123814,820166,105134,152687,141685,120364,2945,0,117419,13376,13376
Alcácer do Sal,117419,0,0,0,0,117419,0,0,117419,0,0
Grândola,763969,622894,95003,132279,121277,0,0,0,0,0,0
Odemira,81928,73552,0,0,0,0,0,0,0,8376,8376
Santiago do Cacém,157961,123720,10131,17871,17871,2945,2945,0,0,5000,5000
Sines,2537,0,0,2537,2537,0,0,0,0,0,0
Baixo Alentejo,1177375,433533,120271,62598,38136,150285,10000,0,140285,137950,52903
Aljustrel,1173,0,0,173,173,0,0,0,0,0,0
Almodôvar,0,0,0,0,0,0,0,0,0,0,0
Alvito,0,0,0,0,0,0,0,0,0,0,0
