,"Nurses per 1 000 inhabitants , No., 2020","Medical doctors per 1 000 inhabitants, No., 2020","Pharmacies and mobile medicine depots per 1000 inhabitants, No., 2020","Hospitalisations in hospitals per 1 000 inhabitants , No., 2019 Po","Surgeries (except minor surgeries) per day in hospitals, No., 2019 Po","Medical appointments in hospitals per inhabitant, No., 2019 Po","Beds (practised allotment) per 1 000 inhabitants in hospitals, No., 2019 Po","Annual bed-occupancy rate in hospitals, %, 2019 Po"
Portugal,7.6,5.6,0.3,110.5,2831.3,2.1,3.5,78.2
Continente,7.5,5.6,0.3,110.3,2751.4,2.1,3.3,77.6
Norte,7.6,5.6,0.3,111.8,1154.7,2.4,3.3,74.5
Alto Minho,7.4,4.1,0.3,…,…,…,…,…
Arcos de Valdevez,4.4,2.2,0.3,0,0,0,0,//
Caminha,4,5.3,0.3,0,0,0,0,//
Melgaço,3.6,2.6,0.4,0,0,0,0,//
Monção,4.5,3.6,0.3,0,0,0,0,//
Paredes de Coura,3.3,1.4,0.4,0,0,0,0,//
Ponte da Barca,5.2,2.7,0.3,0,0,0,0,//
Ponte de Lima,5.1,2.9,0.2,0,0,0,0,//
Valença,3.6,1.9,0.2,0,0,0,0,//
Viana do Castelo,12.5,6.1,0.3,…,…,…,…,…
Vila Nova de Cerveira,3.6,2.9,0.3,0,0,0,0,//
Cávado,6.9,5.5,0.2,110.5,146.1,3,5.1,82.3
Amares,5.9,2.9,0.2,…,…,…,…,…
Barcelos,5.4,3.1,0.2,61.5,17,1,6,92.4
Braga,9.3,8.6,0.2,194,111.8,5.3,6.6,83.8
Esposende,4.1,4.6,0.2,…,…,…,…,…
Terras de Bouro,4,1.6,0.5,0,0,0,0,//
Vila Verde,4.2,2,0.2,…,…,…,…,…
Ave,5.6,3.6,0.2,71.2,78.6,1.1,1.7,69.3
Cabeceiras de Basto,4.4,2.6,0.3,0,0,0,0,//
Fafe,5.7,3.6,0.2,0,0,0,0,//
Guimarães,6.9,4.3,0.2,…,…,…,…,…
Mondim de Basto,4.9,1.6,0.3,0,0,0,0,//
Póvoa de Lanhoso,3.7,2,0.2,…,…,…,…,…
Vieira do Minho,4.2,1.4,0.3,0,0,0,0,//
Vila Nova de Famalicão,4.9,3.7,0.2,…,…,…,…,…
Vizela,4.4,3.1,0.2,0,0,0,0,//
A. M. Porto,8.6,7.5,0.3,140.4,727.8,3.2,4.1,70.5
Arouca,2.2,1.5,0.3,…,…,…,…,…
Espinho,2.6,7.6,0.3,…,…,…,…,…
Gondomar,3.9,4.4,0.2,0,0,0,0,//
Maia,3.9,6.9,0.2,0,0,0,0,//
Matosinhos,6.7,9.5,0.2,…,…,…,…,…
Oliveira de Azeméis,3.4,2.6,0.2,0,0,0,0,//
Paredes,3.7,2.1,0.2,…,…,…,…,…
Porto,33.2,23.4,0.5,640.6,410.1,12.6,18.2,79.2
Póvoa de Varzim,7.7,5.7,0.2,…,…,…,…,…
Santa Maria da Feira,4.9,3.1,0.2,126.9,54.6,2.1,2.6,92.4
Santo Tirso,6.3,4,0.3,140.9,21.8,2.5,3.6,87.2
São João da Madeira,4.8,4.1,0.2,0,0,0,0,//
Trofa,4,3.7,0.2,…,…,…,…,…
Vale de Cambra,2.4,4,0.3,0,0,0,0,//
Valongo,4.3,3.6,0.2,…,…,…,…,…
Vila do Conde,4,4.7,0.2,0,0,0,0,//
Vila Nova de Gaia,6.8,6.1,0.2,127.8,113.8,3.2,3,71.3
Alto Tâmega,8.8,3.6,0.4,0,0,0,0,//
Boticas,6.9,1.6,0.4,0,0,0,0,//
Chaves,12.7,5.7,0.3,0,0,0,0,//
Montalegre,5.9,1.7,0.6,0,0,0,0,//
Ribeira de Pena,5.3,1,0.3,0,0,0,0,//
Valpaços,5.1,2.2,0.5,0,0,0,0,//
Vila Pouca de Aguiar,5,2.3,0.3,0,0,0,0,//
Tâmega e Sousa,5,2.1,0.2,…,…,…,…,…
Amarante,6,2.8,0.3,0,0,0,0,//
Baião,3.7,1.2,0.3,0,0,0,0,//
Castelo de Paiva,1.8,1.4,0.3,0,0,0,0,//
Celorico de Basto,3.8,1.5,0.3,0,0,0,0,//
Cinfães,1.7,1.3,0.4,0,0,0,0,//
