,"Ensino básico, 3º Ciclo, Total (N.º)","Ensino básico, 3º Ciclo, das quais, Ensino recorrente  (N.º)","Ensino básico, 3º Ciclo, das quais, Cursos de Educação e Formação de Adultos (N.º)","Ensino básico, 3º Ciclo, das quais, Sistema de Reconhecimento, Validação e Certificação de Competências (N.º)","Ensino secundário, 3º Ciclo, Total, Sistema de Reconhecimento, Validação e Certificação de Competências (N.º)","Ensino secundário, 3º Ciclo, das quais, Ensino recorrente (N.º)","Ensino secundário, 3º Ciclo, das quais, Cursos de Educação e Formação de Adultos (N.º)","Ensino secundário, 3º Ciclo, das quais, Sistema de Reconhecimento, Validação e Certificação de Competências (N.º)"
Valongo,111,0,17,94,283,0,69,214
Vila do Conde,37,0,9,28,146,0,83,63
Vila Nova de Gaia,551,0,334,217,1197,30,342,825
Alto Tâmega,255,0,175,80,276,36,185,55
Boticas,0,0,0,0,0,0,0,0
Chaves,193,0,113,80,219,36,128,55
Montalegre,0,0,0,0,12,0,12,0
Ribeira de Pena,0,0,0,0,9,0,9,0
Valpaços,39,0,39,0,9,0,9,0
Vila Pouca de Aguiar,23,0,23,0,27,0,27,0
Tâmega e Sousa,992,0,268,724,1965,191,593,1180
Amarante,81,0,0,81,146,0,66,80
Baião,22,0,22,0,66,0,66,0
Castelo de Paiva,78,0,0,78,87,0,0,87
Celorico de Basto,28,0,0,28,58,0,0,58
Cinfães,27,0,0,27,72,29,0,43
Felgueiras,83,0,16,67,340,149,59,132
Lousada,51,0,0,51,186,0,82,104
Marco de Canaveses,110,0,14,96,83,0,39,44
Paços de Ferreira,201,0,135,66,203,0,93,110
Penafiel,311,0,81,230,692,0,169,522
Resende,0,0,0,0,32,13,19,0
Douro,385,0,123,262,908,153,246,509
Alijó,0,0,0,0,16,0,16,0
Armamar,0,0,0,0,13,0,13,0
Carrazeda de Ansiães,0,0,0,0,0,0,0,0
Freixo de Espada à Cinta,0,0,0,0,11,0,11,0
Lamego,65,0,23,42,185,0,106,79
Mesão Frio,13,0,13,0,0,0,0,0
Moimenta da Beira,48,0,0,48,60,0,0,60
Murça,0,0,0,0,20,0,20,0
Penedono,0,0,0,0,0,0,0,0
Peso da Régua,34,0,4,30,71,0,3,68
Sabrosa,0,0,0,0,0,0,0,0
Santa Marta de Penaguião,0,0,0,0,0,0,0,0
São João da Pesqueira,24,0,0,24,53,0,0,53
Sernancelhe,0,0,0,0,0,0,0,0
Tabuaço,11,0,11,0,0,0,0,0
Tarouca,22,0,22,0,0,0,0,0
Torre de Moncorvo,0,0,0,0,14,0,14,0
Vila Nova de Foz Côa,4,0,4,0,24,0,24,0
Vila Real,164,0,46,118,441,153,39,249
Terras de Trás-os-Montes,346,0,148,197,784,0,395,389
Alfândega da Fé,0,0,0,0,32,0,32,0
Bragança,126,0,83,42,311,0,224,87
Macedo de Cavaleiros,33,0,18,15,107,0,56,51
Miranda do Douro,0,0,0,0,0,0,0,0
Mirandela,95,0,47,48,156,0,58,98
Mogadouro,92,0,0,92,161,0,8,153
Vila Flor,0,0,0,0,17,0,17,0
Vimioso,0,0,0,0,0,0,0,0
Vinhais,0,0,0,0,0,0,0,0
Centro,3661,0,1900,1759,10501,1073,4924,4482
Oeste,433,0,154,279,1599,107,1000,482
Alcobaça,82,0,7,75,257,0,145,111
Alenquer,65,0,40,25,246,107,106,33
Arruda dos Vinhos,0,0,0,0,0,0,0,0
Bombarral,20,0,0,20,74,0,50,23
Cadaval,0,0,0,0,26,0,26,0
Caldas da Rainha,97,0,44,53,410,0,280,125
Lourinhã,31,0,12,19,145,0,101,41
Nazaré,3,0,0,3,9,0,0,9
Óbidos,0,0,0,0,0,0,0,0
Peniche,57,0,23,34,137,0,92,45
Sobral de Monte Agraço,0,0,0,0,0,0,0,0
Torres Vedras,78,0,28,50,295,0,200,95
Região de Aveiro,671,0,389,282,2062,151,817,1093
Águeda,143,0,99,44,408,0,188,220
Albergaria-a-Velha,26,0,15,11,84,0,29,55
Anadia,27,0,0,27,105,0,27,78
Aveiro,276,0,186,90,920,0,438,481
Estarreja,21,0,16,5,47,0,33,14
Ílhavo,29,0,29,0,44,0,44,0
Murtosa,0,0,0,0,0,0,0,0
Oliveira do Bairro,0,0,0,0,0,0,0,0
Ovar,103,0,44,59,318,151,35,132
Sever do Vouga,46,0,0,46,113,0,0,113
Vagos,0,0,0,0,23,0,23,0
Região de Coimbra,840,0,382,456,2195,185,1030,979
Arganil,140,0,73,67,205,0,72,133
Cantanhede,29,0,0,29,142,0,69,73
Coimbra,318,0,109,207,987,185,442,359
Condeixa-a-Nova,14,0,14,0,0,0,0,0
Figueira da Foz,139,0,103,36,359,0,117,242
Góis,0,0,0,0,0,0,0,0
Lousã,52,0,20,32,140,0,96,44
Mealhada,9,0,9,0,0,0,0,0
Mira,0,0,0,0,0,0,0,0
Miranda do Corvo,0,0,0,0,0,0,0,0
Montemor-o-Velho,22,0,0,22,41,0,16,25
Mortágua,0,0,0,0,0,0,0,0
Oliveira do Hospital,67,0,46,21,121,0,103,18
Pampilhosa da Serra,0,0,0,0,0,0,0,0
Penacova,0,0,0,0,0,0,0,0
Penela,0,0,0,0,0,0,0,0
Soure,22,0,0,22,92,0,55,37
Tábua,8,0,8,0,35,0,35,0
Vila Nova de Poiares,20,0,0,20,73,0,25,48
Região de Leiria,439,0,228,211,1114,84,469,560
Alvaiázere,0,0,0,0,18,0,18,0
Ansião,32,0,0,32,82,0,0,82
Batalha,21,0,0,21,81,0,14,67
Castanheira de Pêra,0,0,0,0,0,0,0,0
Figueiró dos Vinhos,10,0,10,0,25,0,25,0
Leiria,204,0,135,69,537,84,198,254
Marinha Grande,65,0,35,30,212,0,130,82
Pedrógão Grande,20,0,20,0,0,0,0,0
Pombal,87,0,28,59,159,0,84,75
Porto de Mós,0,0,0,0,0,0,0,0
Viseu Dão Lafões,433,0,280,153,1157,354,525,277
Aguiar da Beira,0,0,0,0,0,0,0,0
Carregal do Sal,0,0,0,0,18,0,18,0
Castro Daire,71,0,35,36,99,0,36,63
Mangualde,47,0,10,37,200,113,37,50
Nelas,0,0,0,0,0,0,0,0
Oliveira de Frades,23,0,23,0,21,0,21,0
Penalva do Castelo,0,0,0,0,0,0,0,0
Santa Comba Dão,0,0,0,0,28,0,28,0
São Pedro do Sul,21,0,20,1,1,0,0,1
Sátão,0,0,0,0,0,0,0,0
Tondela,50,0,23,27,91,0,48,43
Vila Nova de Paiva,0,0,0,0,0,0,0,0
Viseu,221,0,169,52,673,241,311,120
Vouzela,0,0,0,0,26,0,26,0
Beira Baixa,87,0,56,31,267,0,146,120
Castelo Branco,66,0,56,10,201,0,146,54
Idanha-a-Nova,21,0,0,21,66,0,0,66
Oleiros,0,0,0,0,0,0,0,0
Penamacor,0,0,0,0,0,0,0,0
Proença-a-Nova,0,0,0,0,0,0,0,0
Vila Velha de Ródão,0,0,0,0,0,0,0,0
Médio Tejo,391,0,145,246,1114,166,378,563
Abrantes,114,0,17,97,183,0,15,167
Alcanena,10,0,0,10,76,0,24,50
Constância,0,0,0,0,0,0,0,0
Entroncamento,5,0,0,5,171,166,0,5
Ferreira do Zêzere,0,0,0,0,0,0,0,0
Mação,0,0,0,0,0,0,0,0
Ourém,45,0,0,45,114,0,21,93
Sardoal,0,0,0,0,0,0,0,0
Sertã,30,0,21,9,88,0,74,14
Tomar,149,0,88,61,358,0,207,147
Torres Novas,38,0,19,19,124,0,37,87
Vila de Rei,0,0,0,0,0,0,0,0
Vila Nova da Barquinha,0,0,0,0,0,0,0,0
Beiras e Serra da Estrela,367,0,266,101,993,26,559,408
Almeida,0,0,0,0,0,0,0,0
Belmonte,0,0,0,0,14,0,14,0
Celorico da Beira,0,0,0,0,0,0,0,0
Covilhã,106,0,49,57,407,0,204,203
Figueira de Castelo Rodrigo,0,0,0,0,0,0,0,0
Fornos de Algodres,30,0,30,0,38,0,38,0
Fundão,36,0,26,10,86,0,29,57
Gouveia,5,0,5,0,17,0,17,0
Guarda,180,0,156,24,326,26,172,128
Manteigas,0,0,0,0,0,0,0,0
Mêda,0,0,0,0,0,0,0,0
Pinhel,0,0,0,0,26,0,26,0
Sabugal,0,0,0,0,0,0,0,0
Seia,10,0,0,10,39,0,19,20
Trancoso,0,0,0,0,40,0,40,0
A. M. Lisboa,5221,177,3374,1645,14406,3363,6587,4393
Alcochete,0,0,0,0,61,0,61,0
Almada,182,15,106,61,986,610,188,188
Amadora,579,0,513,66,1305,230,740,334
Barreiro,150,0,122,26,259,0,198,61
Cascais,340,0,245,95,793,105,391,297
Lisboa,1178,162,559,445,4119,1726,1296,1069
Loures,308,0,181,127,514,97,148,266
Mafra,67,0,38,29,284,61,161,62
Moita,154,0,104,50,331,52,123,153
Montijo,106,0,49,57,268,0,154,114
Odivelas,236,0,108,128,648,73,307,267
Oeiras,116,0,81,28,304,0,201,89
Palmela,19,0,0,19,87,0,10,77
Seixal,753,0,443,310,1212,102,665,443
Sesimbra,13,0,0,13,119,0,63,56
Setúbal,324,0,266,58,850,0,593,253
Sintra,385,0,318,66,1482,307,807,367
Vila Franca de Xira,311,0,241,67,784,0,481,297
Alentejo,1429,0,810,611,3603,87,2050,1459
Alentejo Litoral,191,0,127,64,466,7,316,142
Alcácer do Sal,0,0,0,0,10,0,10,0
Grândola,44,0,33,11,74,0,45,29
Odemira,43,0,34,9,57,0,32,25
Santiago do Cacém,61,0,20,41,212,7,165,39
Sines,43,0,40,3,113,0,64,49
Baixo Alentejo,292,0,194,97,759,7,533,217
Aljustrel,30,0,0,30,77,0,0,76
Almodôvar,49,0,0,49,139,0,70,69
Alvito,0,0,0,0,0,0,0,0
Barrancos,14,0,14,0,20,0,20,0
Beja,112,0,101,10,299,0,243,55
Castro Verde,0,0,0,0,13,0,13,0
Cuba,0,0,0,0,9,0,9,0
Ferreira do Alentejo,14,0,14,0,24,0,24,0
Mértola,8,0,0,8,35,0,19,16
Moura,28,0,28,0,71,0,71,0
Ourique,0,0,0,0,0,0,0,0
Serpa,20,0,20,0,41,7,33,1
Vidigueira,17,0,17,0,31,0,31,0
Lezíria do Tejo,493,0,303,189,992,28,465,498
Almeirim,20,0,15,5,11,0,0,11
Alpiarça,0,0,0,0,0,0,0,0
Azambuja,83,0,59,24,212,0,89,123
Benavente,10,0,10,0,0,0,0,0
Cartaxo,23,0,11,12,42,0,23,19
Chamusca,0,0,0,0,0,0,0,0
Coruche,25,0,0,25,54,0,0,54
Golegã,0,0,0,0,0,0,0,0
Rio Maior,52,0,36,16,103,28,70,5
Salvaterra de Magos,57,0,15,42,114,0,41,73
Santarém,223,0,157,65,456,0,242,213
Alto Alentejo,194,0,83,111,734,45,405,283
Alter do Chão,0,0,0,0,0,0,0,0
Arronches,0,0,0,0,0,0,0,0
Avis,0,0,0,0,17,0,17,0
Campo Maior,61,0,0,61,160,0,0,160
Castelo de Vide,0,0,0,0,17,0,17,0
Crato,0,0,0,0,0,0,0,0
Elvas,57,0,43,14,195,17,133,45
Fronteira,0,0,0,0,29,0,29,0
Gavião,0,0,0,0,0,0,0,0
Marvão,0,0,0,0,0,0,0,0
Monforte,0,0,0,0,0,0,0,0
Nisa,0,0,0,0,32,0,32,0
Ponte de Sor,11,0,0,11,60,28,11,21
Portalegre,65,0,40,25,224,0,166,57
Sousel,0,0,0,0,0,0,0,0
Alentejo Central,259,0,103,150,652,0,331,319
Alandroal,0,0,0,0,0,0,0,0
Arraiolos,2,0,0,2,13,0,0,13
Borba,0,0,0,0,0,0,0,0
Estremoz,0,0,0,0,40,0,40,0
Évora,150,0,39,105,398,0,195,202
Montemor-o-Novo,46,0,39,7,60,0,39,20
Mora,0,0,0,0,0,0,0,0
Mourão,0,0,0,0,0,0,0,0
Portel,0,0,0,0,0,0,0,0
Redondo,0,0,0,0,14,0,14,0
Reguengos de Monsaraz,31,0,12,19,23,0,0,23
Vendas Novas,21,0,13,8,49,0,29,20
Viana do Alentejo,6,0,0,6,7,0,0,7
Vila Viçosa,3,0,0,3,48,0,14,34
Algarve,536,0,206,330,1837,58,1050,724
Albufeira,43,0,0,43,137,0,60,77
Alcoutim,0,0,0,0,0,0,0,0
Aljezur,0,0,0,0,0,0,0,0
Castro Marim,0,0,0,0,0,0,0,0
Faro,67,0,28,39,216,0,131,83
Lagoa,0,0,0,0,0,0,0,0
Lagos,9,0,0,9,144,0,116,28
Loulé,102,0,58,44,331,38,172,120
Monchique,0,0,0,0,0,0,0,0
Olhão,56,0,15,41,193,0,138,55
Portimão,176,0,73,103,429,20,179,229
São Brás de Alportel,0,0,0,0,6,0,6,0
Silves,33,0,13,20,133,0,78,54
Tavira,0,0,0,0,92,0,92,0
Vila do Bispo,0,0,0,0,0,0,0,0
Vila Real de Santo António,50,0,19,31,156,0,78,78
R. A. Açores,511,18,91,402,584,113,242,229
Santa Maria,0,0,0,0,3,0,0,3
Vila do Porto,0,0,0,0,3,0,0,3
São Miguel,298,0,76,222,250,0,129,121
Lagoa (R.A.A.),18,0,0,18,12,0,0,12
Nordeste,0,0,0,0,19,0,15,4
Ponta Delgada,104,0,0,104,117,0,24,93
Povoação,20,0,20,0,22,0,22,0
Ribeira Grande,128,0,42,86,78,0,68,10
Vila Franca do Campo,28,0,14,14,2,0,0,2
Terceira,146,18,15,113,259,113,80,66
Angra do Heroísmo,69,0,15,54,115,0,80,35
Vila da Praia da Vitória,77,18,0,59,144,113,0,31
Graciosa,11,0,0,11,8,0,0,8
Santa Cruz da Graciosa,11,0,0,11,8,0,0,8
São Jorge,0,0,0,0,0,0,0,0
Calheta (R.A.A.),0,0,0,0,0,0,0,0
Velas,0,0,0,0,0,0,0,0
Pico,24,0,0,24,6,0,0,6
Lajes do Pico,1,0,0,1,0,0,0,0
Madalena,22,0,0,22,3,0,0,3
São Roque do Pico,1,0,0,1,3,0,0,3
Faial,23,0,0,23,53,0,33,20
Horta,23,0,0,23,53,0,33,20
Flores,9,0,0,9,1,0,0,1
Lajes das Flores,1,0,0,1,1,0,0,1
Santa Cruz das Flores,8,0,0,8,0,0,0,0
Corvo,0,0,0,0,4,0,0,4
Corvo,0,0,0,0,4,0,0,4
R. A. Madeira,704,0,383,74,1526,0,965,74
Calheta (R.A.M.),13,0,0,0,172,0,33,0
Câmara de Lobos,55,0,55,0,110,0,64,0
Funchal,467,0,205,74,818,0,572,74
Machico,109,0,63,0,114,0,114,0
Ponta do Sol,0,0,0,0,0,0,0,0
Porto Moniz,0,0,0,0,0,0,0,0
Ribeira Brava,0,0,0,0,113,0,29,0
Santa Cruz,60,0,60,0,128,0,128,0
Santana,0,0,0,0,20,0,20,0
São Vicente,0,0,0,0,0,0,0,0
Porto Santo,0,0,0,0,51,0,5,0
