,"Ensino secundário, Total (N.º)","Ensino secundário, Público (N.º)","Ensino secundário, Privado  (N.º)","Ensino pós-secundário não superior , Total (N.º)","Ensino pós-secundário não superior , Público (N.º)","Ensino pós-secundário não superior , Privado  (N.º)"
Lousã,459,329,130,0,0,0
Mealhada,548,277,271,0,0,0
Mira,212,212,0,0,0,0
Miranda do Corvo,269,269,0,0,0,0
Montemor-o-Velho,425,296,129,0,0,0
Mortágua,207,207,0,0,0,0
Oliveira do Hospital,581,435,146,0,0,0
Pampilhosa da Serra,22,22,0,0,0,0
Penacova,439,234,205,0,0,0
Penela,42,0,42,0,0,0
Soure,323,267,56,0,0,0
Tábua,294,247,47,0,0,0
Vila Nova de Poiares,178,178,0,0,0,0
Região de Leiria,9475,7015,2460,65,65,0
Alvaiázere,161,74,87,0,0,0
Ansião,508,259,249,0,0,0
Batalha,320,320,0,0,0,0
Castanheira de Pêra,0,0,0,0,0,0
Figueiró dos Vinhos,134,134,0,0,0,0
Leiria,4157,3629,528,65,65,0
Marinha Grande,1544,1247,297,0,0,0
Pedrógão Grande,177,0,177,0,0,0
Pombal,1810,1005,805,0,0,0
Porto de Mós,664,347,317,0,0,0
Viseu Dão Lafões,8591,7300,1291,89,89,0
Aguiar da Beira,161,161,0,0,0,0
Carregal do Sal,204,204,0,0,0,0
Castro Daire,362,320,42,0,0,0
Mangualde,507,507,0,0,0,0
Nelas,343,343,0,0,0,0
Oliveira de Frades,256,256,0,0,0,0
Penalva do Castelo,172,172,0,0,0,0
Santa Comba Dão,258,258,0,0,0,0
São Pedro do Sul,511,362,149,0,0,0
Sátão,294,294,0,0,0,0
Tondela,908,575,333,0,0,0
Vila Nova de Paiva,126,126,0,0,0,0
Viseu,4136,3543,593,89,89,0
Vouzela,353,179,174,0,0,0
Beira Baixa,2207,1903,304,11,11,0
Castelo Branco,1694,1491,203,11,11,0
Idanha-a-Nova,206,105,101,0,0,0
Oleiros,101,101,0,0,0,0
Penamacor,65,65,0,0,0,0
Proença-a-Nova,141,141,0,0,0,0
Vila Velha de Ródão,0,0,0,0,0,0
Médio Tejo,7956,5870,2086,59,59,0
Abrantes,1031,1031,0,0,0,0
Alcanena,292,292,0,0,0,0
Constância,143,143,0,0,0,0
Entroncamento,816,644,172,0,0,0
Ferreira do Zêzere,105,105,0,0,0,0
Mação,179,179,0,0,0,0
Ourém,2081,673,1408,0,0,0
Sardoal,80,80,0,0,0,0
Sertã,522,343,179,0,0,0
Tomar,1419,1284,135,59,59,0
Torres Novas,1099,907,192,0,0,0
Vila de Rei,49,49,0,0,0,0
Vila Nova da Barquinha,140,140,0,0,0,0
Beiras e Serra da Estrela,6248,4940,1308,34,34,0
Almeida,116,116,0,0,0,0
Belmonte,56,56,0,0,0,0
Celorico da Beira,140,140,0,0,0,0
Covilhã,1436,1356,80,0,0,0
Figueira de Castelo Rodrigo,71,71,0,0,0,0
Fornos de Algodres,117,117,0,0,0,0
Fundão,821,582,239,0,0,0
Gouveia,382,261,121,0,0,0
Guarda,1571,1130,441,34,34,0
Manteigas,78,40,38,0,0,0
Mêda,66,66,0,0,0,0
Pinhel,175,175,0,0,0,0
Sabugal,173,173,0,0,0,0
Seia,655,526,129,0,0,0
Trancoso,391,131,260,0,0,0
A. M. Lisboa,101604,79994,21610,2828,2828,0
Alcochete,682,682,0,0,0,0
Almada,5941,5103,838,0,0,0
Amadora,5497,4676,821,729,729,0
Barreiro,3176,2891,285,0,0,0
Cascais,7988,5501,2487,133,133,0
Lisboa,30667,19523,11144,1527,1527,0
Loures,4037,3604,433,0,0,0
Mafra,2744,1806,938,0,0,0
Moita,1510,976,534,0,0,0
Montijo,1513,1202,311,0,0,0
Odivelas,3889,3700,189,81,81,0
Oeiras,5617,4771,846,0,0,0
Palmela,1918,1564,354,0,0,0
Seixal,5214,4665,549,49,49,0
Sesimbra,1386,1254,132,0,0,0
Setúbal,4419,3998,421,188,188,0
Sintra,10790,9677,1113,42,42,0
Vila Franca de Xira,4616,4401,215,79,79,0
Alentejo,21079,17774,3305,242,242,0
Alentejo Litoral,2447,1852,595,17,17,0
Alcácer do Sal,245,245,0,0,0,0
Grândola,394,394,0,0,0,0
Odemira,722,363,359,0,0,0
Santiago do Cacém,631,631,0,17,17,0
Sines,455,219,236,0,0,0
Baixo Alentejo,3503,2844,659,42,42,0
Aljustrel,226,226,0,21,21,0
Almodôvar,121,121,0,0,0,0
Alvito,160,0,160,0,0,0
Barrancos,0,0,0,0,0,0
Beja,1383,1250,133,21,21,0
Castro Verde,185,185,0,0,0,0
Cuba,100,0,100,0,0,0
Ferreira do Alentejo,62,62,0,0,0,0
Mértola,148,107,41,0,0,0
Moura,460,359,101,0,0,0
Ourique,106,106,0,0,0,0
Serpa,428,428,0,0,0,0
Vidigueira,124,0,124,0,0,0
Lezíria do Tejo,7255,5784,1471,51,51,0
Almeirim,474,474,0,0,0,0
Alpiarça,169,169,0,0,0,0
Azambuja,386,386,0,0,0,0
Benavente,552,552,0,0,0,0
Cartaxo,522,522,0,0,0,0
Chamusca,142,142,0,0,0,0
Coruche,449,300,149,0,0,0
Golegã,98,98,0,0,0,0
Rio Maior,829,604,225,0,0,0
Salvaterra de Magos,953,574,379,0,0,0
Santarém,2681,1963,718,51,51,0
Alto Alentejo,3052,2964,88,42,42,0
Alter do Chão,153,153,0,0,0,0
Arronches,11,11,0,0,0,0
Avis,0,0,0,0,0,0
Campo Maior,173,173,0,0,0,0
Castelo de Vide,0,0,0,0,0,0
Crato,88,0,88,0,0,0
Elvas,686,686,0,0,0,0
Fronteira,0,0,0,0,0,0
Gavião,0,0,0,0,0,0
Marvão,0,0,0,0,0,0
Monforte,0,0,0,0,0,0
Nisa,82,82,0,0,0,0
Ponte de Sor,485,485,0,9,9,0
Portalegre,1270,1270,0,33,33,0
Sousel,104,104,0,0,0,0
Alentejo Central,4822,4330,492,90,90,0
Alandroal,0,0,0,0,0,0
Arraiolos,123,123,0,0,0,0
Borba,0,0,0,0,0,0
Estremoz,509,509,0,0,0,0
Évora,2515,2023,492,90,90,0
Montemor-o-Novo,307,307,0,0,0,0
Mora,56,56,0,0,0,0
Mourão,0,0,0,0,0,0
Portel,18,18,0,0,0,0
Redondo,118,118,0,0,0,0
Reguengos de Monsaraz,330,330,0,0,0,0
Vendas Novas,378,378,0,0,0,0
Viana do Alentejo,134,134,0,0,0,0
Vila Viçosa,334,334,0,0,0,0
Algarve,14195,13642,553,240,240,0
Albufeira,1438,1374,64,0,0,0
Alcoutim,0,0,0,0,0,0
Aljezur,0,0,0,0,0,0
Castro Marim,0,0,0,0,0,0
Faro,2741,2676,65,183,183,0
Lagoa,358,289,69,0,0,0
Lagos,1160,1137,23,0,0,0
Loulé,1997,1824,173,0,0,0
Monchique,0,0,0,0,0,0
Olhão,1111,1111,0,0,0,0
Portimão,2785,2653,132,45,45,0
São Brás de Alportel,326,326,0,0,0,0
Silves,819,792,27,0,0,0
Tavira,745,745,0,0,0,0
Vila do Bispo,0,0,0,0,0,0
Vila Real de Santo António,715,715,0,12,12,0
R. A. Açores,9093,6974,2119,0,0,0
Santa Maria,228,228,0,0,0,0
Vila do Porto,228,228,0,0,0,0
São Miguel,5424,4077,1347,0,0,0
Lagoa (R.A.A.),485,428,57,0,0,0
Nordeste,168,129,39,0,0,0
Ponta Delgada,3420,2469,951,0,0,0
Povoação,189,133,56,0,0,0
Ribeira Grande,757,624,133,0,0,0
Vila Franca do Campo,405,294,111,0,0,0
Terceira,1891,1464,427,0,0,0
Angra do Heroísmo,1152,972,180,0,0,0
Vila da Praia da Vitória,739,492,247,0,0,0
Graciosa,121,121,0,0,0,0
Santa Cruz da Graciosa,121,121,0,0,0,0
São Jorge,343,234,109,0,0,0
Calheta (R.A.A.),89,89,0,0,0,0
Velas,254,145,109,0,0,0
Pico,454,342,112,0,0,0
Lajes do Pico,140,140,0,0,0,0
Madalena,245,133,112,0,0,0
São Roque do Pico,69,69,0,0,0,0
Faial,528,404,124,0,0,0
Horta,528,404,124,0,0,0
Flores,98,98,0,0,0,0
Lajes das Flores,0,0,0,0,0,0
Santa Cruz das Flores,98,98,0,0,0,0
Corvo,6,6,0,0,0,0
Corvo,6,6,0,0,0,0
R. A. Madeira,9600,8099,1501,0,0,0
Calheta (R.A.M.),248,248,0,0,0,0
Câmara de Lobos,277,277,0,0,0,0
Funchal,7225,5724,1501,0,0,0
Machico,577,577,0,0,0,0
Ponta do Sol,219,219,0,0,0,0
Porto Moniz,52,52,0,0,0,0
Ribeira Brava,344,344,0,0,0,0
Santa Cruz,212,212,0,0,0,0
Santana,186,186,0,0,0,0
São Vicente,108,108,0,0,0,0
Porto Santo,152,152,0,0,0,0
