,"Educação pré-escolar, Dependente do Estado (N.º)","Educação pré-escolar, Independente do Estado  (N.º)","Ensino básico, 1º Ciclo, Dependente do Estado (N.º)","Ensino básico, 1º Ciclo, Independente do Estado  (N.º)","Ensino básico, 2º Ciclo, Dependente do Estado (N.º)","Ensino básico, 2º Ciclo, Independente do Estado  (N.º)","Ensino básico, 3º Ciclo, Dependente do Estado (N.º)","Ensino básico, 3º Ciclo, Independente do Estado  (N.º)","Ensino secundário, 3º Ciclo, Dependente do Estado (N.º)","Ensino secundário, 3º Ciclo, Independente do Estado  (N.º)"
Portugal,74093,41114,9186,43144,8760,17251,13592,29586,12173,72510
Continente,69486,40561,6765,42246,7966,17099,12436,29432,10668,70305
Norte,23937,10669,1515,12672,1562,5696,2349,11793,3916,31033
Alto Minho,1522,72,0,297,0,105,0,437,0,1562
Arcos de Valdevez,191,0,0,0,0,14,0,11,0,123
Caminha,121,0,0,0,0,0,0,0,0,162
Melgaço,48,0,0,0,0,0,0,0,0,13
Monção,85,0,0,4,0,0,0,57,0,243
Paredes de Coura,68,0,0,0,0,0,0,0,0,122
Ponte da Barca,48,0,0,0,0,0,0,0,0,106
Ponte de Lima,60,0,0,0,0,2,0,55,0,189
Valença,22,0,0,0,0,0,0,0,0,65
Viana do Castelo,855,72,0,293,0,89,0,314,0,487
Vila Nova de Cerveira,24,0,0,0,0,0,0,0,0,52
Cávado,3167,1366,85,2000,393,914,574,1713,559,4524
Amares,41,0,0,0,0,0,0,0,0,0
Barcelos,702,0,35,151,223,37,370,184,255,826
Braga,1984,1192,50,1799,170,764,204,1179,304,2525
Esposende,193,163,0,0,0,0,0,35,0,214
Terras de Bouro,24,11,0,0,0,0,0,0,0,0
Vila Verde,223,0,0,50,0,113,0,315,0,959
Ave,4149,852,44,868,228,258,356,819,860,2169
Cabeceiras de Basto,104,0,0,3,0,5,7,9,175,55
Fafe,419,240,0,161,0,76,0,204,0,503
Guimarães,1848,256,0,411,0,174,0,356,0,686
Mondim de Basto,45,0,0,0,0,0,0,0,0,0
Póvoa de Lanhoso,128,0,0,0,0,0,0,0,0,199
Vieira do Minho,17,0,0,0,0,0,0,0,0,0
Vila Nova de Famalicão,1477,356,28,293,213,0,308,239,663,635
Vizela,111,0,16,0,15,3,41,11,22,91
