,"Ensino básico, 1º Ciclo, Total (N.º)","Ensino básico, 1º Ciclo, Público (N.º)","Ensino básico, 1º Ciclo, Privado  (N.º)","Ensino básico, 2º Ciclo, Total (N.º)","Ensino básico, 2º Ciclo, Público (N.º)","Ensino básico, 2º Ciclo, Privado  (N.º)","Ensino básico, 3º Ciclo, Total (N.º)","Ensino básico, 3º Ciclo, Público (N.º)","Ensino básico, 3º Ciclo, Privado  (N.º)","Ensino secundário, 3º Ciclo, Total (N.º)","Ensino secundário, 3º Ciclo, Público (N.º)","Ensino secundário, 3º Ciclo, Privado  (N.º)"
Gondomar,0,0,0,50,43,7,185,163,22,494,457,37
Maia,0,0,0,13,13,0,91,91,0,108,108,0
Matosinhos,50,40,10,108,97,11,400,323,77,731,504,227
Oliveira de Azeméis,0,0,0,19,19,0,81,81,0,144,144,0
Paredes,38,0,38,47,24,23,250,113,137,356,150,206
Porto,118,117,1,375,362,13,913,820,93,2554,1186,1368
Póvoa de Varzim,0,0,0,2,2,0,127,127,0,263,263,0
Santa Maria da Feira,31,31,0,179,179,0,408,376,32,742,615,127
Santo Tirso,52,52,0,42,42,0,108,108,0,227,227,0
São João da Madeira,0,0,0,43,43,0,46,46,0,100,70,30
Trofa,0,0,0,19,19,0,87,87,0,140,140,0
Vale de Cambra,0,0,0,0,0,0,26,26,0,25,25,0
Valongo,2,0,2,5,0,5,111,24,87,283,73,210
Vila do Conde,3,0,3,12,5,7,37,9,28,146,83,63
Vila Nova de Gaia,47,40,7,230,199,31,551,396,155,1197,516,681
Alto Tâmega,0,0,0,24,19,5,255,224,31,276,258,18
Boticas,0,0,0,0,0,0,0,0,0,0,0,0
Chaves,0,0,0,24,19,5,193,177,16,219,201,18
Montalegre,0,0,0,0,0,0,0,0,0,12,12,0
Ribeira de Pena,0,0,0,0,0,0,0,0,0,9,9,0
Valpaços,0,0,0,0,0,0,39,39,0,9,9,0
Vila Pouca de Aguiar,0,0,0,0,0,0,23,8,15,27,27,0
Tâmega e Sousa,105,86,19,254,168,86,992,668,324,1965,1266,699
Amarante,23,23,0,24,24,0,81,81,0,146,146,0
Baião,0,0,0,0,0,0,22,22,0,66,66,0
Castelo de Paiva,12,0,12,48,0,48,78,0,78,87,0,87
Celorico de Basto,3,3,0,5,5,0,28,28,0,58,58,0
Cinfães,0,0,0,0,0,0,27,27,0,72,72,0
Felgueiras,3,0,3,21,21,0,83,55,28,340,276,64
Lousada,0,0,0,5,5,0,51,51,0,186,186,0
Marco de Canaveses,15,15,0,22,22,0,110,110,0,83,83,0
Paços de Ferreira,46,45,1,43,35,8,201,135,66,203,93,110
Penafiel,3,0,3,86,56,30,311,159,152,692,254,438
Resende,0,0,0,0,0,0,0,0,0,32,32,0
Douro,35,27,8,215,123,92,385,310,75,908,736,172
Alijó,0,0,0,16,16,0,0,0,0,16,16,0
Armamar,0,0,0,0,0,0,0,0,0,13,13,0
Carrazeda de Ansiães,0,0,0,0,0,0,0,0,0,0,0,0
Freixo de Espada à Cinta,0,0,0,0,0,0,0,0,0,11,11,0
Lamego,12,12,0,27,27,0,65,65,0,185,185,0
Mesão Frio,0,0,0,0,0,0,13,13,0,0,0,0
Moimenta da Beira,0,0,0,0,0,0,48,48,0,60,60,0
Murça,0,0,0,0,0,0,0,0,0,20,20,0
Penedono,0,0,0,0,0,0,0,0,0,0,0,0
Peso da Régua,1,1,0,17,17,0,34,34,0,71,71,0
Sabrosa,0,0,0,0,0,0,0,0,0,0,0,0
Santa Marta de Penaguião,0,0,0,0,0,0,0,0,0,0,0,0
São João da Pesqueira,0,0,0,0,0,0,24,0,24,53,0,53
Sernancelhe,0,0,0,0,0,0,0,0,0,0,0,0
Tabuaço,0,0,0,0,0,0,11,11,0,0,0,0
Tarouca,0,0,0,0,0,0,22,22,0,0,0,0
Torre de Moncorvo,0,0,0,0,0,0,0,0,0,14,14,0
Vila Nova de Foz Côa,0,0,0,0,0,0,4,4,0,24,24,0
Vila Real,22,14,8,155,63,92,164,113,51,441,322,119
Terras de Trás-os-Montes,31,21,10,160,96,64,346,186,160,784,482,302
Alfândega da Fé,0,0,0,0,0,0,0,0,0,32,32,0
Bragança,26,21,5,56,53,3,126,113,13,311,274,37
Macedo de Cavaleiros,0,0,0,16,12,4,33,18,15,107,56,51
Miranda do Douro,0,0,0,0,0,0,0,0,0,0,0,0
Mirandela,0,0,0,37,31,6,95,55,40,156,95,61
Mogadouro,5,0,5,51,0,51,92,0,92,161,8,153
Vila Flor,0,0,0,0,0,0,0,0,0,17,17,0
Vimioso,0,0,0,0,0,0,0,0,0,0,0,0
Vinhais,0,0,0,0,0,0,0,0,0,0,0,0
Centro,283,248,35,934,837,97,3661,3059,602,10501,8391,2110
Oeste,14,14,0,80,75,5,433,383,50,1599,1522,77
Alcobaça,0,0,0,34,31,3,82,35,47,257,189,68
Alenquer,1,1,0,7,7,0,65,65,0,246,246,0
Arruda dos Vinhos,0,0,0,0,0,0,0,0,0,0,0,0
Bombarral,3,3,0,2,2,0,20,20,0,74,74,0
Cadaval,0,0,0,0,0,0,0,0,0,26,26,0
Caldas da Rainha,5,5,0,17,17,0,97,97,0,410,410,0
Lourinhã,0,0,0,0,0,0,31,31,0,145,145,0
Nazaré,0,0,0,2,0,2,3,0,3,9,0,9
Óbidos,0,0,0,0,0,0,0,0,0,0,0,0
Peniche,4,4,0,11,11,0,57,57,0,137,137,0
Sobral de Monte Agraço,0,0,0,0,0,0,0,0,0,0,0,0
Torres Vedras,1,1,0,7,7,0,78,78,0,295,295,0
Região de Aveiro,71,71,0,298,291,7,671,564,107,2062,1600,462
Águeda,17,17,0,92,92,0,143,143,0,408,408,0
Albergaria-a-Velha,0,0,0,21,21,0,26,26,0,84,84,0
Anadia,0,0,0,0,0,0,27,27,0,105,105,0
Aveiro,37,37,0,113,111,2,276,228,48,920,741,179
Estarreja,17,17,0,16,16,0,21,21,0,47,47,0
Ílhavo,0,0,0,0,0,0,29,29,0,44,44,0
Murtosa,0,0,0,0,0,0,0,0,0,0,0,0
Oliveira do Bairro,0,0,0,0,0,0,0,0,0,0,0,0
Ovar,0,0,0,42,37,5,103,44,59,318,35,283
Sever do Vouga,0,0,0,0,0,0,46,46,0,113,113,0
Vagos,0,0,0,14,14,0,0,0,0,23,23,0
Região de Coimbra,46,20,26,175,123,52,840,608,232,2195,1636,559
Arganil,8,8,0,11,11,0,140,140,0,205,205,0
Cantanhede,0,0,0,1,1,0,29,29,0,142,142,0
Coimbra,34,8,26,122,77,45,318,213,105,987,803,184
Condeixa-a-Nova,0,0,0,0,0,0,14,14,0,0,0,0
Figueira da Foz,0,0,0,23,20,3,139,86,53,359,117,242
Góis,0,0,0,0,0,0,0,0,0,0,0,0
Lousã,0,0,0,0,0,0,52,20,32,140,96,44
Mealhada,0,0,0,0,0,0,9,9,0,0,0,0
Mira,0,0,0,0,0,0,0,0,0,0,0,0
Miranda do Corvo,0,0,0,0,0,0,0,0,0,0,0,0
Montemor-o-Velho,0,0,0,3,0,3,22,0,22,41,0,41
Mortágua,0,0,0,0,0,0,0,0,0,0,0,0
Oliveira do Hospital,2,2,0,14,14,0,67,67,0,121,121,0
Pampilhosa da Serra,0,0,0,0,0,0,0,0,0,0,0,0
Penacova,0,0,0,0,0,0,0,0,0,0,0,0
Penela,0,0,0,0,0,0,0,0,0,0,0,0
Soure,2,2,0,0,0,0,22,22,0,92,92,0
Tábua,0,0,0,0,0,0,8,8,0,35,35,0
Vila Nova de Poiares,0,0,0,1,0,1,20,0,20,73,25,48
Região de Leiria,9,9,0,51,44,7,439,342,97,1114,729,385
Alvaiázere,0,0,0,0,0,0,0,0,0,18,18,0
Ansião,0,0,0,0,0,0,32,0,32,82,0,82
Batalha,0,0,0,0,0,0,21,21,0,81,81,0
Castanheira de Pêra,0,0,0,0,0,0,0,0,0,0,0,0
Figueiró dos Vinhos,0,0,0,0,0,0,10,10,0,25,25,0
Leiria,2,2,0,30,25,5,204,176,28,537,341,196
Marinha Grande,1,1,0,4,3,1,65,50,15,212,164,48
Pedrógão Grande,0,0,0,0,0,0,20,20,0,0,0,0
Pombal,6,6,0,17,16,1,87,65,22,159,100,59
Porto de Mós,0,0,0,0,0,0,0,0,0,0,0,0
Viseu Dão Lafões,87,86,1,145,144,1,433,405,28,1157,1095,62
Aguiar da Beira,0,0,0,0,0,0,0,0,0,0,0,0
Carregal do Sal,0,0,0,0,0,0,0,0,0,18,18,0
Castro Daire,10,10,0,34,34,0,71,71,0,99,99,0
Mangualde,21,21,0,29,29,0,47,47,0,200,182,18
Nelas,0,0,0,0,0,0,0,0,0,0,0,0
Oliveira de Frades,0,0,0,0,0,0,23,23,0,21,21,0
Penalva do Castelo,0,0,0,0,0,0,0,0,0,0,0,0
Santa Comba Dão,0,0,0,0,0,0,0,0,0,28,28,0
São Pedro do Sul,0,0,0,1,0,1,21,20,1,1,0,1
Sátão,0,0,0,0,0,0,0,0,0,0,0,0
Tondela,1,0,1,0,0,0,50,23,27,91,48,43
Vila Nova de Paiva,0,0,0,0,0,0,0,0,0,0,0,0
Viseu,55,55,0,81,81,0,221,221,0,673,673,0
Vouzela,0,0,0,0,0,0,0,0,0,26,26,0
Beira Baixa,10,10,0,6,6,0,87,87,0,267,267,0
Castelo Branco,6,6,0,6,6,0,66,66,0,201,201,0
Idanha-a-Nova,4,4,0,0,0,0,21,21,0,66,66,0
Oleiros,0,0,0,0,0,0,0,0,0,0,0,0
Penamacor,0,0,0,0,0,0,0,0,0,0,0,0
Proença-a-Nova,0,0,0,0,0,0,0,0,0,0,0,0
Vila Velha de Ródão,0,0,0,0,0,0,0,0,0,0,0,0
Médio Tejo,7,6,1,69,62,7,391,350,41,1114,799,315
Abrantes,0,0,0,18,18,0,114,114,0,183,183,0
Alcanena,0,0,0,1,1,0,10,10,0,76,76,0
Constância,0,0,0,0,0,0,0,0,0,0,0,0
Entroncamento,0,0,0,0,0,0,5,0,5,171,0,171
Ferreira do Zêzere,0,0,0,0,0,0,0,0,0,0,0,0
Mação,0,0,0,0,0,0,0,0,0,0,0,0
Ourém,2,2,0,6,2,4,45,28,17,114,57,57
Sardoal,0,0,0,0,0,0,0,0,0,0,0,0
Sertã,0,0,0,20,20,0,30,30,0,88,88,0
Tomar,4,4,0,10,10,0,149,149,0,358,358,0
Torres Novas,1,0,1,14,11,3,38,19,19,124,37,87
Vila de Rei,0,0,0,0,0,0,0,0,0,0,0,0
Vila Nova da Barquinha,0,0,0,0,0,0,0,0,0,0,0,0
Beiras e Serra da Estrela,39,32,7,110,92,18,367,320,47,993,743,250
Almeida,0,0,0,0,0,0,0,0,0,0,0,0
Belmonte,0,0,0,0,0,0,0,0,0,14,14,0
Celorico da Beira,0,0,0,0,0,0,0,0,0,0,0,0
Covilhã,20,19,1,30,27,3,106,93,13,407,344,63
Figueira de Castelo Rodrigo,0,0,0,0,0,0,0,0,0,0,0,0
Fornos de Algodres,0,0,0,0,0,0,30,30,0,38,38,0
Fundão,2,2,0,2,2,0,36,36,0,86,86,0
Gouveia,0,0,0,0,0,0,5,5,0,17,17,0
Guarda,17,11,6,76,63,13,180,156,24,326,179,147
Manteigas,0,0,0,0,0,0,0,0,0,0,0,0
Mêda,0,0,0,0,0,0,0,0,0,0,0,0
Pinhel,0,0,0,0,0,0,0,0,0,26,26,0
Sabugal,0,0,0,0,0,0,0,0,0,0,0,0
Seia,0,0,0,2,0,2,10,0,10,39,19,20
Trancoso,0,0,0,0,0,0,0,0,0,40,20,20
A. M. Lisboa,908,905,3,1395,1382,13,5221,4870,351,14406,12142,2264
Alcochete,0,0,0,0,0,0,0,0,0,61,61,0
Almada,48,48,0,62,62,0,182,167,15,986,604,382
Amadora,164,164,0,236,236,0,579,579,0,1305,1276,29
Barreiro,51,51,0,66,66,0,150,150,0,259,259,0
Cascais,66,66,0,57,57,0,340,340,0,793,793,0
Lisboa,112,110,2,237,232,5,1178,976,202,4119,2710,1409
Loures,193,193,0,166,166,0,308,237,71,514,327,187
Mafra,1,0,1,2,2,0,67,65,2,284,274,10
Moita,34,34,0,72,72,0,154,154,0,331,331,0
Montijo,14,14,0,23,15,8,106,74,32,268,188,80
Odivelas,37,37,0,36,36,0,236,236,0,648,648,0
Oeiras,5,5,0,19,19,0,116,116,0,304,304,0
Palmela,0,0,0,0,0,0,19,0,19,87,0,87
Seixal,36,36,0,187,187,0,753,743,10,1212,1146,66
Sesimbra,0,0,0,0,0,0,13,13,0,119,119,0
Setúbal,41,41,0,89,89,0,324,324,0,850,850,0
Sintra,64,64,0,127,127,0,385,385,0,1482,1468,14
Vila Franca de Xira,42,42,0,16,16,0,311,311,0,784,784,0
Alentejo,174,170,4,562,502,60,1429,1193,236,3603,2960,643
Alentejo Litoral,16,16,0,71,71,0,191,179,12,466,378,88
Alcácer do Sal,0,0,0,0,0,0,0,0,0,10,10,0
Grândola,0,0,0,40,40,0,44,44,0,74,74,0
Odemira,0,0,0,17,17,0,43,34,9,57,32,25
Santiago do Cacém,0,0,0,7,7,0,61,61,0,212,212,0
Sines,16,16,0,7,7,0,43,40,3,113,50,63
Baixo Alentejo,53,53,0,187,187,0,292,291,1,759,726,33
Aljustrel,3,3,0,4,4,0,30,30,0,77,77,0
Almodôvar,0,0,0,0,0,0,49,49,0,139,139,0
Alvito,0,0,0,0,0,0,0,0,0,0,0,0
Barrancos,0,0,0,0,0,0,14,14,0,20,20,0
Beja,38,38,0,61,61,0,112,111,1,299,267,32
Castro Verde,0,0,0,17,17,0,0,0,0,13,13,0
Cuba,0,0,0,0,0,0,0,0,0,9,9,0
Ferreira do Alentejo,0,0,0,0,0,0,14,14,0,24,24,0
Mértola,0,0,0,17,17,0,8,8,0,35,35,0
Moura,12,12,0,41,41,0,28,28,0,71,71,0
Ourique,0,0,0,0,0,0,0,0,0,0,0,0
Serpa,0,0,0,35,35,0,20,20,0,41,40,1
Vidigueira,0,0,0,12,12,0,17,17,0,31,31,0
Lezíria do Tejo,41,39,2,128,118,10,493,370,123,992,722,270
Almeirim,0,0,0,0,0,0,20,0,20,11,0,11
Alpiarça,0,0,0,0,0,0,0,0,0,0,0,0
Azambuja,0,0,0,15,15,0,83,83,0,212,212,0
Benavente,0,0,0,0,0,0,10,10,0,0,0,0
Cartaxo,0,0,0,0,0,0,23,23,0,42,42,0
Chamusca,0,0,0,0,0,0,0,0,0,0,0,0
Coruche,0,0,0,1,0,1,25,0,25,54,0,54
Golegã,0,0,0,0,0,0,0,0,0,0,0,0
Rio Maior,12,12,0,17,17,0,52,52,0,103,103,0
Salvaterra de Magos,2,0,2,30,29,1,57,15,42,114,41,73
Santarém,27,27,0,65,57,8,223,187,36,456,324,132
Alto Alentejo,46,44,2,111,65,46,194,133,61,734,574,160
Alter do Chão,0,0,0,0,0,0,0,0,0,0,0,0
Arronches,0,0,0,0,0,0,0,0,0,0,0,0
Avis,0,0,0,0,0,0,0,0,0,17,17,0
Campo Maior,2,0,2,46,0,46,61,0,61,160,0,160
Castelo de Vide,0,0,0,0,0,0,0,0,0,17,17,0
Crato,0,0,0,0,0,0,0,0,0,0,0,0
Elvas,44,44,0,54,54,0,57,57,0,195,195,0
Fronteira,0,0,0,0,0,0,0,0,0,29,29,0
Gavião,0,0,0,0,0,0,0,0,0,0,0,0
Marvão,0,0,0,0,0,0,0,0,0,0,0,0
Monforte,0,0,0,0,0,0,0,0,0,0,0,0
Nisa,0,0,0,0,0,0,0,0,0,32,32,0
Ponte de Sor,0,0,0,1,1,0,11,11,0,60,60,0
Portalegre,0,0,0,10,10,0,65,65,0,224,224,0
Sousel,0,0,0,0,0,0,0,0,0,0,0,0
Alentejo Central,18,18,0,65,61,4,259,220,39,652,560,92
Alandroal,0,0,0,0,0,0,0,0,0,0,0,0
Arraiolos,0,0,0,0,0,0,2,2,0,13,13,0
Borba,0,0,0,0,0,0,0,0,0,0,0,0
Estremoz,0,0,0,0,0,0,0,0,0,40,40,0
Évora,18,18,0,38,38,0,150,136,14,398,336,62
Montemor-o-Novo,0,0,0,0,0,0,46,46,0,60,60,0
Mora,0,0,0,0,0,0,0,0,0,0,0,0
Mourão,0,0,0,0,0,0,0,0,0,0,0,0
Portel,0,0,0,0,0,0,0,0,0,0,0,0
Redondo,0,0,0,0,0,0,0,0,0,14,14,0
Reguengos de Monsaraz,0,0,0,11,7,4,31,12,19,23,0,23
Vendas Novas,0,0,0,15,15,0,21,21,0,49,49,0
Viana do Alentejo,0,0,0,0,0,0,6,0,6,7,0,7
Vila Viçosa,0,0,0,1,1,0,3,3,0,48,48,0
Algarve,103,103,0,113,108,5,536,515,21,1837,1741,96
Albufeira,0,0,0,0,0,0,43,43,0,137,137,0
Alcoutim,0,0,0,0,0,0,0,0,0,0,0,0
Aljezur,0,0,0,0,0,0,0,0,0,0,0,0
Castro Marim,0,0,0,0,0,0,0,0,0,0,0,0
Faro,56,56,0,88,88,0,67,67,0,216,216,0
Lagoa,0,0,0,0,0,0,0,0,0,0,0,0
Lagos,0,0,0,1,1,0,9,9,0,144,144,0
Loulé,0,0,0,4,0,4,102,85,17,331,271,60
Monchique,0,0,0,0,0,0,0,0,0,0,0,0
Olhão,8,8,0,10,10,0,56,56,0,193,193,0
Portimão,39,39,0,1,0,1,176,172,4,429,393,36
São Brás de Alportel,0,0,0,0,0,0,0,0,0,6,6,0
Silves,0,0,0,0,0,0,33,33,0,133,133,0
Tavira,0,0,0,0,0,0,0,0,0,92,92,0
Vila do Bispo,0,0,0,0,0,0,0,0,0,0,0,0
Vila Real de Santo António,0,0,0,9,9,0,50,50,0,156,156,0
R. A. Açores,35,35,0,101,101,0,511,435,76,584,498,86
Santa Maria,0,0,0,10,10,0,0,0,0,3,3,0
Vila do Porto,0,0,0,10,10,0,0,0,0,3,3,0
São Miguel,17,17,0,59,59,0,298,222,76,250,164,86
Lagoa (R.A.A.),0,0,0,4,4,0,18,18,0,12,12,0
Nordeste,0,0,0,0,0,0,0,0,0,19,4,15
Ponta Delgada,8,8,0,25,25,0,104,104,0,117,93,24
Povoação,0,0,0,0,0,0,20,0,20,22,0,22
Ribeira Grande,9,9,0,23,23,0,128,86,42,78,53,25
Vila Franca do Campo,0,0,0,7,7,0,28,14,14,2,2,0
Terceira,18,18,0,20,20,0,146,146,0,259,259,0
Angra do Heroísmo,18,18,0,20,20,0,69,69,0,115,115,0
Vila da Praia da Vitória,0,0,0,0,0,0,77,77,0,144,144,0
Graciosa,0,0,0,0,0,0,11,11,0,8,8,0
Santa Cruz da Graciosa,0,0,0,0,0,0,11,11,0,8,8,0
São Jorge,0,0,0,0,0,0,0,0,0,0,0,0
Calheta (R.A.A.),0,0,0,0,0,0,0,0,0,0,0,0
Velas,0,0,0,0,0,0,0,0,0,0,0,0
Pico,0,0,0,11,11,0,24,24,0,6,6,0
Lajes do Pico,0,0,0,0,0,0,1,1,0,0,0,0
Madalena,0,0,0,11,11,0,22,22,0,3,3,0
São Roque do Pico,0,0,0,0,0,0,1,1,0,3,3,0
Faial,0,0,0,1,1,0,23,23,0,53,53,0
Horta,0,0,0,1,1,0,23,23,0,53,53,0
Flores,0,0,0,0,0,0,9,9,0,1,1,0
Lajes das Flores,0,0,0,0,0,0,1,1,0,1,1,0
Santa Cruz das Flores,0,0,0,0,0,0,8,8,0,0,0,0
Corvo,0,0,0,0,0,0,0,0,0,4,4,0
Corvo,0,0,0,0,0,0,0,0,0,4,4,0
R. A. Madeira,678,678,0,193,193,0,704,692,12,1526,1522,4
Calheta (R.A.M.),169,169,0,20,20,0,13,13,0,172,172,0
Câmara de Lobos,155,155,0,8,8,0,55,55,0,110,110,0
Funchal,87,87,0,130,130,0,467,455,12,818,814,4
Machico,54,54,0,10,10,0,109,109,0,114,114,0
Ponta do Sol,135,135,0,0,0,0,0,0,0,0,0,0
Porto Moniz,0,0,0,0,0,0,0,0,0,0,0,0
Ribeira Brava,0,0,0,0,0,0,0,0,0,113,113,0
Santa Cruz,0,0,0,25,25,0,60,60,0,128,128,0
Santana,64,64,0,0,0,0,0,0,0,20,20,0
São Vicente,0,0,0,0,0,0,0,0,0,0,0,0
Porto Santo,14,14,0,0,0,0,0,0,0,51,51,0
