,"Public primary education, 1st cycle, Total (N.º)","Public primary education, 1st cycle, of which, Recurrent education (N.º)","Public primary education, 1st cycle, of which, Adult Education and Training Courses (N.º)","Public primary education, 1st cycle, of which, Procedure of Recognition, Validation and Certification of Competences (N.º)","Public primary education, 2nd cycle, Total, Procedure of Recognition, Validation and Certification of Competences (N.º)","Public primary education, 2nd cycle, of which, Recurrent education (N.º)","Public primary education, 2nd cycle, of which, Adult Education and Training Courses (N.º)","Public primary education, 2nd cycle, of which, Procedure of Recognition, Validation and Certification of Competences (N.º)"
Portugal,1669,533,1012,102,2780,0,2123,508
Continente,1072,0,973,77,2538,0,2060,379
Norte,236,0,214,22,963,0,821,119
Alto Minho,0,0,0,0,0,0,0,0
Arcos de Valdevez,0,0,0,0,0,0,0,0
Caminha,0,0,0,0,0,0,0,0
Melgaço,0,0,0,0,0,0,0,0
Monção,0,0,0,0,0,0,0,0
Paredes de Coura,0,0,0,0,0,0,0,0
Ponte da Barca,0,0,0,0,0,0,0,0
Ponte de Lima,0,0,0,0,0,0,0,0
Valença,0,0,0,0,0,0,0,0
Viana do Castelo,0,0,0,0,0,0,0,0
Vila Nova de Cerveira,0,0,0,0,0,0,0,0
Cávado,21,0,19,2,54,0,47,3
Amares,0,0,0,0,1,0,0,1
Barcelos,0,0,0,0,0,0,0,0
Braga,19,0,19,0,50,0,47,0
Esposende,2,0,0,2,3,0,0,2
Terras de Bouro,0,0,0,0,0,0,0,0
Vila Verde,0,0,0,0,0,0,0,0
Ave,10,0,0,10,116,0,50,54
Cabeceiras de Basto,0,0,0,0,0,0,0,0
Fafe,0,0,0,0,0,0,0,0
Guimarães,0,0,0,0,15,0,13,2
Mondim de Basto,0,0,0,0,0,0,0,0
Póvoa de Lanhoso,0,0,0,0,12,0,0,0
Vieira do Minho,0,0,0,0,0,0,0,0
Vila Nova de Famalicão,10,0,0,10,89,0,37,52
Vizela,0,0,0,0,0,0,0,0
A. M. Porto,124,0,120,4,607,0,586,15
Arouca,0,0,0,0,0,0,0,0
Espinho,0,0,0,0,0,0,0,0
Gondomar,0,0,0,0,9,0,7,2
Maia,12,0,12,0,16,0,14,2
Matosinhos,27,0,27,0,113,0,110,1
Oliveira de Azeméis,0,0,0,0,19,0,19,0
Paredes,0,0,0,0,3,0,0,3
Porto,28,0,27,1,154,0,148,5
Póvoa de Varzim,0,0,0,0,15,0,15,0
Santa Maria da Feira,12,0,12,0,88,0,88,0
Santo Tirso,11,0,10,1,0,0,0,0
São João da Madeira,0,0,0,0,15,0,15,0
Trofa,1,0,0,1,12,0,12,0
Vale de Cambra,0,0,0,0,0,0,0,0
Valongo,0,0,0,0,2,0,2,0
Vila do Conde,0,0,0,0,0,0,0,0
Vila Nova de Gaia,33,0,32,1,161,0,156,2
Alto Tâmega,1,0,0,1,23,0,21,2
Boticas,0,0,0,0,0,0,0,0
Chaves,0,0,0,0,22,0,21,1
Montalegre,0,0,0,0,0,0,0,0
Ribeira de Pena,0,0,0,0,0,0,0,0
Valpaços,0,0,0,0,0,0,0,0
Vila Pouca de Aguiar,1,0,0,1,1,0,0,1
Tâmega e Sousa,42,0,41,1,130,0,105,25
Amarante,0,0,0,0,0,0,0,0
Baião,0,0,0,0,0,0,0,0
