,"Upper secondary education, Total (N.º)","Upper secondary education, Public (N.º)","Upper secondary education, Private (N.º)","Post-secondary non-tertiary education, Total (N.º)","Post-secondary non-tertiary education, Public (N.º)","Post-secondary non-tertiary education, Private (N.º)"
Portugal,393689,297933,95756,4888,4855,33
Continente,373859,281657,92202,4888,4855,33
Norte,134405,94125,40280,1064,1064,0
Alto Minho,8328,6449,1879,79,79,0
Arcos de Valdevez,680,494,186,0,0,0
Caminha,421,279,142,0,0,0
Melgaço,193,193,0,0,0,0
Monção,578,359,219,0,0,0
Paredes de Coura,249,107,142,0,0,0
Ponte da Barca,384,249,135,0,0,0
Ponte de Lima,1577,1360,217,0,0,0
Valença,281,224,57,0,0,0
Viana do Castelo,3766,3024,742,79,79,0
Vila Nova de Cerveira,199,160,39,0,0,0
Cávado,16507,11064,5443,0,0,0
Amares,500,425,75,0,0,0
Barcelos,4155,2848,1307,0,0,0
Braga,9170,5929,3241,0,0,0
Esposende,1037,818,219,0,0,0
Terras de Bouro,93,93,0,0,0,0
Vila Verde,1552,951,601,0,0,0
Ave,14144,11489,2655,0,0,0
Cabeceiras de Basto,592,323,269,0,0,0
Fafe,1606,1212,394,0,0,0
Guimarães,5097,4490,607,0,0,0
Mondim de Basto,193,193,0,0,0,0
Póvoa de Lanhoso,733,569,164,0,0,0
Vieira do Minho,247,247,0,0,0,0
Vila Nova de Famalicão,4725,3663,1062,0,0,0
Vizela,951,792,159,0,0,0
A. M. Porto,66455,42820,23635,874,874,0
Arouca,618,543,75,0,0,0
Espinho,2000,1417,583,0,0,0
Gondomar,4423,3289,1134,0,0,0
Maia,3795,3141,654,97,97,0
Matosinhos,5306,3956,1350,0,0,0
Oliveira de Azeméis,1899,1899,0,0,0,0
Paredes,2417,1919,498,0,0,0
Porto,16797,7225,9572,452,452,0
Póvoa de Varzim,2928,2486,442,0,0,0
Santa Maria da Feira,3382,2501,881,26,26,0
Santo Tirso,2853,2028,825,0,0,0
São João da Madeira,1857,1594,263,299,299,0
Trofa,1181,744,437,0,0,0
Vale de Cambra,646,609,37,0,0,0
Valongo,2724,2033,691,0,0,0
Vila do Conde,2157,1775,382,0,0,0
Vila Nova de Gaia,11472,5661,5811,0,0,0
Alto Tâmega,2541,2291,250,0,0,0
Boticas,0,0,0,0,0,0
Chaves,1584,1334,250,0,0,0
Montalegre,171,171,0,0,0,0
Ribeira de Pena,142,142,0,0,0,0
Valpaços,304,304,0,0,0,0
Vila Pouca de Aguiar,340,340,0,0,0,0
Tâmega e Sousa,16197,11982,4215,0,0,0
Amarante,2311,939,1372,0,0,0
Baião,477,477,0,0,0,0
Castelo de Paiva,717,467,250,0,0,0
Celorico de Basto,519,519,0,0,0,0
Cinfães,613,550,63,0,0,0
Felgueiras,2272,1844,428,0,0,0
Lousada,1578,1370,208,0,0,0
Marco de Canaveses,1837,1750,87,0,0,0
Paços de Ferreira,2228,1589,639,0,0,0
Penafiel,3314,2164,1150,0,0,0
Resende,331,313,18,0,0,0
Douro,6401,5390,1011,96,96,0
Alijó,243,243,0,0,0,0
Armamar,113,113,0,0,0,0
Carrazeda de Ansiães,114,114,0,0,0,0
Freixo de Espada à Cinta,0,0,0,0,0,0
Lamego,1030,946,84,80,80,0
Mesão Frio,172,172,0,0,0,0
Moimenta da Beira,437,351,86,0,0,0
Murça,220,123,97,0,0,0
Penedono,0,0,0,0,0,0
Peso da Régua,685,685,0,0,0,0
Sabrosa,150,150,0,0,0,0
Santa Marta de Penaguião,0,0,0,0,0,0
São João da Pesqueira,252,114,138,0,0,0
Sernancelhe,120,0,120,0,0,0
Tabuaço,95,95,0,0,0,0
Tarouca,171,171,0,0,0,0
Torre de Moncorvo,131,131,0,0,0,0
Vila Nova de Foz Côa,80,80,0,0,0,0
Vila Real,2388,1902,486,16,16,0
Terras de Trás-os-Montes,3832,2640,1192,15,15,0
Alfândega da Fé,70,70,0,0,0,0
Bragança,1409,1083,326,15,15,0
Macedo de Cavaleiros,529,360,169,0,0,0
Miranda do Douro,113,113,0,0,0,0
Mirandela,1188,669,519,0,0,0
Mogadouro,328,150,178,0,0,0
Vila Flor,103,103,0,0,0,0
Vimioso,0,0,0,0,0,0
Vinhais,92,92,0,0,0,0
Centro,80369,61946,18423,577,544,33
Oeste,13032,9424,3608,53,53,0
Alcobaça,1883,1306,577,0,0,0
Alenquer,1464,1276,188,0,0,0
Arruda dos Vinhos,667,0,667,0,0,0
Bombarral,415,415,0,0,0,0
Cadaval,210,210,0,0,0,0
Caldas da Rainha,2568,2023,545,34,34,0
Lourinhã,671,671,0,0,0,0
Nazaré,450,164,286,0,0,0
Óbidos,175,175,0,19,19,0
Peniche,722,633,89,0,0,0
Sobral de Monte Agraço,241,241,0,0,0,0
Torres Vedras,3566,2310,1256,0,0,0
Região de Aveiro,13394,10534,2860,87,54,33
Águeda,1699,1699,0,37,37,0
Albergaria-a-Velha,898,512,386,0,0,0
Anadia,1135,705,430,0,0,0
Aveiro,4163,3283,880,50,17,33
Estarreja,795,795,0,0,0,0
Ílhavo,841,841,0,0,0,0
Murtosa,118,118,0,0,0,0
Oliveira do Bairro,559,437,122,0,0,0
Ovar,1756,1251,505,0,0,0
Sever do Vouga,624,370,254,0,0,0
Vagos,806,523,283,0,0,0
Região de Coimbra,15592,11903,3689,256,256,0
Arganil,591,591,0,65,65,0
Cantanhede,965,652,313,0,0,0
Coimbra,6972,5411,1561,191,191,0
Condeixa-a-Nova,371,371,0,0,0,0
Figueira da Foz,2124,1759,365,0,0,0
Góis,0,0,0,0,0,0
Lousã,580,352,228,0,0,0
Mealhada,564,238,326,0,0,0
Mira,257,257,0,0,0,0
Miranda do Corvo,244,244,0,0,0,0
Montemor-o-Velho,418,277,141,0,0,0
Mortágua,190,190,0,0,0,0
Oliveira do Hospital,766,534,232,0,0,0
Pampilhosa da Serra,35,35,0,0,0,0
Penacova,539,206,333,0,0,0
Penela,30,0,30,0,0,0
Soure,439,365,74,0,0,0
Tábua,300,239,61,0,0,0
Vila Nova de Poiares,207,182,25,0,0,0
Região de Leiria,10606,7753,2853,40,40,0
Alvaiázere,147,93,54,0,0,0
Ansião,550,300,250,0,0,0
Batalha,413,413,0,0,0,0
Castanheira de Pêra,0,0,0,0,0,0
Figueiró dos Vinhos,122,122,0,0,0,0
Leiria,4623,3778,845,40,40,0
Marinha Grande,1744,1420,324,0,0,0
Pedrógão Grande,226,0,226,0,0,0
Pombal,2002,1203,799,0,0,0
Porto de Mós,779,424,355,0,0,0
Viseu Dão Lafões,9598,8297,1301,25,25,0
Aguiar da Beira,134,134,0,0,0,0
Carregal do Sal,211,211,0,0,0,0
Castro Daire,468,401,67,0,0,0
Mangualde,792,792,0,0,0,0
Nelas,341,341,0,0,0,0
Oliveira de Frades,227,227,0,0,0,0
Penalva do Castelo,200,200,0,0,0,0
Santa Comba Dão,272,272,0,0,0,0
São Pedro do Sul,609,467,142,0,0,0
Sátão,265,265,0,0,0,0
Tondela,975,594,381,0,0,0
Vila Nova de Paiva,120,120,0,0,0,0
Viseu,4616,4078,538,25,25,0
Vouzela,368,195,173,0,0,0
Beira Baixa,2444,2102,342,76,76,0
Castelo Branco,1972,1714,258,76,76,0
Idanha-a-Nova,201,117,84,0,0,0
Oleiros,71,71,0,0,0,0
Penamacor,68,68,0,0,0,0
