,"Upper secondary education, Total (N.º)","Upper secondary education, Public (N.º)","Upper secondary education, Private (N.º)","Post-secondary non-tertiary education, Total (N.º)","Post-secondary non-tertiary education, Public (N.º)","Post-secondary non-tertiary education, Private (N.º)"
Tâmega e Sousa,15188,12256,2932,0,0,0
Amarante,2314,926,1388,0,0,0
Baião,498,498,0,0,0,0
Castelo de Paiva,575,509,66,0,0,0
Celorico de Basto,604,604,0,0,0,0
Cinfães,642,591,51,0,0,0
Felgueiras,2230,1873,357,0,0,0
Lousada,1573,1373,200,0,0,0
Marco de Canaveses,1706,1706,0,0,0,0
Paços de Ferreira,1972,1595,377,0,0,0
Penafiel,2732,2239,493,0,0,0
Resende,342,342,0,0,0,0
Douro,6902,5898,1004,116,116,0
Alijó,191,191,0,0,0,0
Armamar,125,125,0,0,0,0
Carrazeda de Ansiães,123,123,0,0,0,0
Freixo de Espada à Cinta,0,0,0,0,0,0
Lamego,1158,1011,147,62,62,0
Mesão Frio,157,157,0,0,0,0
Moimenta da Beira,463,377,86,0,0,0
Murça,250,149,101,0,0,0
Penedono,0,0,0,0,0,0
Peso da Régua,743,743,0,0,0,0
Sabrosa,146,146,0,0,0,0
Santa Marta de Penaguião,0,0,0,0,0,0
São João da Pesqueira,205,92,113,0,0,0
Sernancelhe,136,0,136,0,0,0
Tabuaço,75,75,0,0,0,0
Tarouca,147,147,0,0,0,0
Torre de Moncorvo,124,124,0,0,0,0
Vila Nova de Foz Côa,86,86,0,0,0,0
Vila Real,2773,2352,421,54,54,0
Terras de Trás-os-Montes,4102,3093,1009,16,16,0
Alfândega da Fé,71,71,0,0,0,0
Bragança,1762,1435,327,16,16,0
Macedo de Cavaleiros,637,411,226,0,0,0
Miranda do Douro,133,133,0,0,0,0
Mirandela,928,685,243,0,0,0
Mogadouro,344,131,213,0,0,0
Vila Flor,117,117,0,0,0,0
Vimioso,0,0,0,0,0,0
Vinhais,110,110,0,0,0,0
Centro,79908,62818,17090,758,717,41
Oeste,13059,9616,3443,44,44,0
Alcobaça,1847,1253,594,0,0,0
Alenquer,1319,1304,15,0,0,0
Arruda dos Vinhos,681,0,681,0,0,0
Bombarral,421,421,0,0,0,0
Cadaval,210,210,0,0,0,0
Caldas da Rainha,2636,2106,530,23,23,0
Lourinhã,634,634,0,0,0,0
Nazaré,469,181,288,0,0,0
Óbidos,197,197,0,21,21,0
Peniche,637,573,64,0,0,0
Sobral de Monte Agraço,231,231,0,0,0,0
Torres Vedras,3777,2506,1271,0,0,0
Região de Aveiro,13465,10954,2511,132,91,41
Águeda,1886,1886,0,71,71,0
Albergaria-a-Velha,950,562,388,0,0,0
Anadia,1126,712,414,0,0,0
Aveiro,4395,3577,818,61,20,41
Estarreja,775,775,0,0,0,0
Ílhavo,819,819,0,0,0,0
Murtosa,100,100,0,0,0,0
Oliveira do Bairro,565,459,106,0,0,0
Ovar,1467,1218,249,0,0,0
Sever do Vouga,609,372,237,0,0,0
Vagos,773,474,299,0,0,0
Região de Coimbra,15217,12223,2994,293,293,0
Arganil,607,607,0,74,74,0
Cantanhede,927,647,280,0,0,0
Coimbra,6910,5853,1057,219,219,0
Condeixa-a-Nova,343,343,0,0,0,0
Figueira da Foz,2026,1653,373,0,0,0
Góis,0,0,0,0,0,0
Lousã,604,395,209,0,0,0
Mealhada,543,262,281,0,0,0
Mira,215,215,0,0,0,0
Miranda do Corvo,249,249,0,0,0,0
Montemor-o-Velho,466,301,165,0,0,0
Mortágua,209,209,0,0,0,0
Oliveira do Hospital,653,466,187,0,0,0
Pampilhosa da Serra,28,28,0,0,0,0
Penacova,435,201,234,0,0,0
Penela,40,0,40,0,0,0
Soure,432,359,73,0,0,0
Tábua,307,269,38,0,0,0
Vila Nova de Poiares,223,166,57,0,0,0
Região de Leiria,10336,7672,2664,73,73,0
Alvaiázere,141,80,61,0,0,0
Ansião,523,288,235,0,0,0
Batalha,355,355,0,0,0,0
Castanheira de Pêra,0,0,0,0,0,0
Figueiró dos Vinhos,130,130,0,0,0,0
Leiria,4616,3940,676,73,73,0
Marinha Grande,1707,1375,332,0,0,0
Pedrógão Grande,184,0,184,0,0,0
Pombal,1962,1116,846,0,0,0
Porto de Mós,718,388,330,0,0,0
Viseu Dão Lafões,9546,8259,1287,72,72,0
Aguiar da Beira,147,147,0,0,0,0
Carregal do Sal,216,216,0,0,0,0
Castro Daire,465,420,45,0,0,0
Mangualde,697,677,20,0,0,0
Nelas,340,340,0,0,0,0
Oliveira de Frades,234,234,0,0,0,0
Penalva do Castelo,209,209,0,0,0,0
Santa Comba Dão,264,264,0,0,0,0
São Pedro do Sul,584,427,157,0,0,0
Sátão,281,281,0,0,0,0
Tondela,983,599,384,0,0,0
Vila Nova de Paiva,133,133,0,0,0,0
Viseu,4628,4117,511,72,72,0
Vouzela,365,195,170,0,0,0
Beira Baixa,2412,2099,313,92,92,0
Castelo Branco,1869,1639,230,92,92,0
Idanha-a-Nova,247,164,83,0,0,0
Oleiros,89,89,0,0,0,0
Penamacor,69,69,0,0,0,0
Proença-a-Nova,138,138,0,0,0,0
Vila Velha de Ródão,0,0,0,0,0,0
Médio Tejo,9042,6641,2401,28,28,0
Abrantes,1251,1251,0,0,0,0
Alcanena,390,390,0,0,0,0
Constância,96,96,0,0,0,0
Entroncamento,987,644,343,0,0,0
Ferreira do Zêzere,112,112,0,0,0,0
Mação,180,180,0,0,0,0
Ourém,2142,741,1401,0,0,0
Sardoal,82,82,0,0,0,0
Sertã,572,386,186,0,0,0
Tomar,1749,1614,135,28,28,0
Torres Novas,1277,941,336,0,0,0
Vila de Rei,63,63,0,0,0,0
Vila Nova da Barquinha,141,141,0,0,0,0
Beiras e Serra da Estrela,6831,5354,1477,24,24,0
Almeida,98,98,0,0,0,0
Belmonte,73,73,0,0,0,0
Celorico da Beira,121,121,0,0,0,0
Covilhã,1774,1638,136,0,0,0
Figueira de Castelo Rodrigo,72,72,0,0,0,0
Fornos de Algodres,108,108,0,0,0,0
Fundão,897,682,215,0,0,0
Gouveia,358,258,100,0,0,0
Guarda,1787,1243,544,24,24,0
Manteigas,78,43,35,0,0,0
Mêda,63,63,0,0,0,0
Pinhel,178,178,0,0,0,0
Sabugal,162,162,0,0,0,0
Seia,620,466,154,0,0,0
Trancoso,442,149,293,0,0,0
A. M. Lisboa,115188,90193,24995,2702,2702,0
Alcochete,823,823,0,0,0,0
Almada,7148,5763,1385,0,0,0
Amadora,6845,5953,892,50,50,0
Barreiro,3505,3206,299,0,0,0
Cascais,8575,6068,2507,91,91,0
Lisboa,33432,20646,12786,2220,2220,0
Loures,4800,4106,694,0,0,0
Mafra,2999,2027,972,0,0,0
Moita,1817,1265,552,0,0,0
Montijo,1843,1398,445,0,0,0
Odivelas,4370,4164,206,0,0,0
Oeiras,5888,5023,865,0,0,0
Palmela,2077,1544,533,0,0,0
Seixal,6496,5713,783,92,92,0
Sesimbra,1561,1438,123,0,0,0
Setúbal,5288,4820,468,167,167,0
Sintra,12030,10878,1152,33,33,0
Vila Franca de Xira,5691,5358,333,49,49,0
Alentejo,24540,20662,3878,388,388,0
Alentejo Litoral,2938,2228,710,15,15,0
Alcácer do Sal,228,228,0,0,0,0
Grândola,465,465,0,0,0,0
Odemira,864,435,429,0,0,0
Santiago do Cacém,791,791,0,15,15,0
Sines,590,309,281,0,0,0
Baixo Alentejo,4285,3539,746,96,96,0
Aljustrel,327,327,0,0,0,0
Almodôvar,310,310,0,0,0,0
Alvito,173,0,173,0,0,0
Barrancos,0,0,0,0,0,0
Beja,1736,1520,216,96,96,0
Castro Verde,197,197,0,0,0,0
Cuba,120,0,120,0,0,0
Ferreira do Alentejo,91,91,0,0,0,0
Mértola,172,143,29,0,0,0
Moura,501,405,96,0,0,0
Ourique,110,110,0,0,0,0
Serpa,436,436,0,0,0,0
Vidigueira,112,0,112,0,0,0
Lezíria do Tejo,8343,6665,1678,41,41,0
Almeirim,499,482,17,0,0,0
Alpiarça,159,159,0,0,0,0
Azambuja,606,606,0,0,0,0
Benavente,623,623,0,0,0,0
Cartaxo,560,560,0,0,0,0
Chamusca,138,138,0,0,0,0
Coruche,455,306,149,0,0,0
Golegã,91,91,0,0,0,0
Rio Maior,951,763,188,0,0,0
Salvaterra de Magos,1069,597,472,0,0,0
Santarém,3192,2340,852,41,41,0
Alto Alentejo,3543,3347,196,115,115,0
Alter do Chão,158,158,0,0,0,0
Arronches,6,6,0,0,0,0
Avis,0,0,0,0,0,0
Campo Maior,326,190,136,0,0,0
Castelo de Vide,0,0,0,0,0,0
Crato,60,0,60,0,0,0
Elvas,835,835,0,0,0,0
Fronteira,14,14,0,0,0,0
Gavião,30,30,0,0,0,0
Marvão,0,0,0,0,0,0
Monforte,0,0,0,0,0,0
Nisa,98,98,0,0,0,0
Ponte de Sor,497,497,0,0,0,0
Portalegre,1388,1388,0,115,115,0
Sousel,131,131,0,0,0,0
Alentejo Central,5431,4883,548,121,121,0
Alandroal,0,0,0,0,0,0
Arraiolos,144,144,0,0,0,0
Borba,0,0,0,0,0,0
Estremoz,523,523,0,0,0,0
Évora,2863,2325,538,121,121,0
Montemor-o-Novo,387,387,0,0,0,0
Mora,68,68,0,0,0,0
Mourão,0,0,0,0,0,0
Portel,15,15,0,0,0,0
Redondo,140,140,0,0,0,0
Reguengos de Monsaraz,333,323,10,0,0,0
Vendas Novas,440,440,0,0,0,0
Viana do Alentejo,156,156,0,0,0,0
Vila Viçosa,362,362,0,0,0,0
Algarve,16482,15758,724,405,405,0
Albufeira,1565,1525,40,0,0,0
Alcoutim,0,0,0,0,0,0
Aljezur,20,0,20,0,0,0
Castro Marim,0,0,0,0,0,0
Faro,2962,2893,69,287,287,0
Lagoa,363,304,59,0,0,0
Lagos,1368,1348,20,0,0,0
Loulé,2436,2169,267,0,0,0
Monchique,0,0,0,0,0,0
Olhão,1381,1381,0,0,0,0
Portimão,3367,3148,219,105,105,0
São Brás de Alportel,306,306,0,0,0,0
Silves,1017,987,30,0,0,0
Tavira,843,843,0,0,0,0
Vila do Bispo,0,0,0,0,0,0
Vila Real de Santo António,854,854,0,13,13,0
R. A. Açores,9218,7117,2101,0,0,0
Santa Maria,176,176,0,0,0,0
Vila do Porto,176,176,0,0,0,0
São Miguel,5466,4160,1306,0,0,0
Lagoa (R.A.A.),516,454,62,0,0,0
Nordeste,149,100,49,0,0,0
Ponta Delgada,3314,2460,854,0,0,0
Povoação,234,136,98,0,0,0
Ribeira Grande,857,722,135,0,0,0
Vila Franca do Campo,396,288,108,0,0,0
Terceira,1960,1554,406,0,0,0
Angra do Heroísmo,1129,964,165,0,0,0
Vila da Praia da Vitória,831,590,241,0,0,0
Graciosa,119,119,0,0,0,0
Santa Cruz da Graciosa,119,119,0,0,0,0
São Jorge,358,232,126,0,0,0
Calheta (R.A.A.),103,103,0,0,0,0
Velas,255,129,126,0,0,0
Pico,452,333,119,0,0,0
Lajes do Pico,133,133,0,0,0,0
Madalena,251,132,119,0,0,0
São Roque do Pico,68,68,0,0,0,0
Faial,580,436,144,0,0,0
Horta,580,436,144,0,0,0
Flores,93,93,0,0,0,0
Lajes das Flores,2,2,0,0,0,0
Santa Cruz das Flores,91,91,0,0,0,0
Corvo,14,14,0,0,0,0
Corvo,14,14,0,0,0,0
R. A. Madeira,10982,9433,1549,0,0,0
Calheta (R.A.M.),398,398,0,0,0,0
Câmara de Lobos,324,324,0,0,0,0
Funchal,8083,6534,1549,0,0,0
Machico,657,657,0,0,0,0
Ponta do Sol,224,224,0,0,0,0
Porto Moniz,70,70,0,0,0,0
Ribeira Brava,432,432,0,0,0,0
Santa Cruz,314,314,0,0,0,0
Santana,199,199,0,0,0,0
São Vicente,104,104,0,0,0,0
Porto Santo,177,177,0,0,0,0
