,"Educational institutions, Total, 2020/2021 (N.º)","Educational institutions, Public, 2020/2021 (N.º)","Educational institutions, Private, 2020/2021 (N.º)","Teaching staff, Total, 2019/2020 (N.º)","Teaching staff, Public, 2019/2020 (N.º)","Teaching staff, Private, 2019/2020 (N.º)","Students enrolled, Total, 2020/2021 (N.º)","Students enrolled, Public, 2020/2021 (N.º)","Students enrolled, Private, 2020/2021 (N.º)","Graduates, Total, 2019/2020 (N.º)","Graduates, Public, 2019/2020 (N.º)","Graduates, Private, 2019/2020 (N.º)"
Portugal,288,187,101,35549,28095,7454,411995,335139,76856,85799,69806,15993
Continente,272,173,99,34887,27489,7398,405579,329214,76365,84454,68593,15861
Norte,98,48,50,11664,8417,3247,137008,100811,36197,29653,22143,7510
Alto Minho,8,6,2,433,386,47,5012,4880,132,979,961,18
Arcos de Valdevez,0,0,0,0,0,0,0,0,0,0,0,0
Caminha,0,0,0,0,0,0,0,0,0,0,0,0
Melgaço,1,1,0,31,31,0,382,382,0,79,79,0
Monção,0,0,0,0,0,0,0,0,0,0,0,0
Paredes de Coura,0,0,0,0,0,0,0,0,0,0,0,0
Ponte da Barca,0,0,0,0,0,0,0,0,0,0,0,0
Ponte de Lima,2,1,1,72,48,24,590,576,14,123,116,7
Valença,1,1,0,46,46,0,519,519,0,108,108,0
Viana do Castelo,3,3,0,261,261,0,3403,3403,0,658,658,0
Vila Nova de Cerveira,1,0,1,23,0,23,118,0,118,11,0,11
Cávado,10,7,3,1424,1321,103,26025,24813,1212,5729,5465,264
Amares,1,0,1,42,0,42,282,0,282,42,0,42
Barcelos,4,4,0,408,408,0,4172,4172,0,739,739,0
Braga,5,3,2,974,913,61,21571,20641,930,4948,4726,222
Esposende,0,0,0,0,0,0,0,0,0,0,0,0
Terras de Bouro,0,0,0,0,0,0,0,0,0,0,0,0
Vila Verde,0,0,0,0,0,0,0,0,0,0,0,0
Ave,4,0,4,768,494,274,2193,0,2193,467,0,467
Cabeceiras de Basto,0,0,0,0,0,0,0,0,0,0,0,0
Fafe,2,0,2,82,0,82,656,0,656,172,0,172
Guimarães,0,0,0,499,494,5,0,0,0,9,0,9
Mondim de Basto,0,0,0,0,0,0,0,0,0,0,0,0
Póvoa de Lanhoso,0,0,0,0,0,0,0,0,0,0,0,0
Vieira do Minho,0,0,0,0,0,0,0,0,0,0,0,0
Vila Nova de Famalicão,2,0,2,187,0,187,1537,0,1537,286,0,286
Vizela,0,0,0,0,0,0,0,0,0,0,0,0
A. M. Porto,62,23,39,7553,4799,2754,84365,52314,32051,18409,11788,6621
Arouca,0,0,0,0,0,0,0,0,0,0,0,0
Espinho,0,0,0,0,0,0,0,0,0,0,0,0
Gondomar,0,0,0,0,0,0,0,0,0,0,0,0
Maia,3,0,3,399,0,399,5157,0,5157,932,0,932
Matosinhos,3,1,2,302,229,73,5783,4617,1166,1140,862,278
Oliveira de Azeméis,2,1,1,153,64,89,805,446,359,168,127,41
Paredes,2,0,2,295,0,295,2197,0,2197,701,0,701
Porto,39,18,21,5634,3999,1635,63242,42885,20357,13917,9890,4027
Póvoa de Varzim,0,0,0,0,0,0,0,0,0,0,0,0
Santa Maria da Feira,2,0,2,57,0,57,553,0,553,117,0,117
Santo Tirso,0,0,0,0,0,0,0,0,0,0,0,0
São João da Madeira,0,0,0,0,0,0,0,0,0,0,0,0
Trofa,0,0,0,0,0,0,0,0,0,0,0,0
Vale de Cambra,0,0,0,0,0,0,0,0,0,0,0,0
Valongo,0,0,0,0,0,0,0,0,0,0,0,0
Vila do Conde,2,2,0,137,137,0,1745,1745,0,322,322,0
Vila Nova de Gaia,9,1,8,576,370,206,4883,2621,2262,1112,587,525
Alto Tâmega,1,0,1,22,0,22,339,0,339,57,0,57
Boticas,0,0,0,0,0,0,0,0,0,0,0,0
Chaves,1,0,1,22,0,22,339,0,339,57,0,57
Montalegre,0,0,0,0,0,0,0,0,0,0,0,0
Ribeira de Pena,0,0,0,0,0,0,0,0,0,0,0,0
Valpaços,0,0,0,0,0,0,0,0,0,0,0,0
Vila Pouca de Aguiar,0,0,0,0,0,0,0,0,0,0,0,0
Tâmega e Sousa,2,1,1,195,148,47,2095,1825,270,372,289,83
Amarante,0,0,0,0,0,0,0,0,0,0,0,0
Baião,0,0,0,0,0,0,0,0,0,0,0,0
Castelo de Paiva,0,0,0,0,0,0,0,0,0,0,0,0
Celorico de Basto,0,0,0,0,0,0,0,0,0,0,0,0
Cinfães,0,0,0,0,0,0,0,0,0,0,0,0
Felgueiras,1,1,0,148,148,0,1825,1825,0,289,289,0
Lousada,0,0,0,0,0,0,0,0,0,0,0,0
Marco de Canaveses,0,0,0,0,0,0,0,0,0,0,0,0
Paços de Ferreira,0,0,0,0,0,0,0,0,0,0,0,0
Penafiel,1,0,1,47,0,47,270,0,270,83,0,83
Resende,0,0,0,0,0,0,0,0,0,0,0,0
Douro,6,6,0,641,641,0,7986,7986,0,1751,1751,0
Alijó,0,0,0,0,0,0,0,0,0,0,0,0
Armamar,0,0,0,0,0,0,0,0,0,0,0,0
Carrazeda de Ansiães,0,0,0,0,0,0,0,0,0,0,0,0
Freixo de Espada à Cinta,0,0,0,0,0,0,0,0,0,0,0,0
Lamego,1,1,0,53,53,0,582,582,0,143,143,0
Mesão Frio,0,0,0,0,0,0,0,0,0,0,0,0
Moimenta da Beira,0,0,0,0,0,0,0,0,0,0,0,0
Murça,0,0,0,0,0,0,0,0,0,0,0,0
Penedono,0,0,0,0,0,0,0,0,0,0,0,0
Peso da Régua,0,0,0,0,0,0,0,0,0,0,0,0
Sabrosa,0,0,0,0,0,0,0,0,0,0,0,0
Santa Marta de Penaguião,0,0,0,0,0,0,0,0,0,0,0,0
São João da Pesqueira,0,0,0,0,0,0,0,0,0,0,0,0
Sernancelhe,0,0,0,0,0,0,0,0,0,0,0,0
Tabuaço,0,0,0,0,0,0,0,0,0,0,0,0
Tarouca,0,0,0,0,0,0,0,0,0,0,0,0
Torre de Moncorvo,0,0,0,0,0,0,0,0,0,0,0,0
Vila Nova de Foz Côa,0,0,0,0,0,0,0,0,0,0,0,0
Vila Real,5,5,0,588,588,0,7404,7404,0,1608,1608,0
Terras de Trás-os-Montes,5,5,0,628,628,0,8993,8993,0,1889,1889,0
Alfândega da Fé,0,0,0,0,0,0,0,0,0,0,0,0
Bragança,4,4,0,530,530,0,7262,7262,0,1611,1611,0
Macedo de Cavaleiros,0,0,0,0,0,0,0,0,0,0,0,0
Miranda do Douro,0,0,0,0,0,0,0,0,0,0,0,0
Mirandela,1,1,0,98,98,0,1731,1731,0,278,278,0
Mogadouro,0,0,0,0,0,0,0,0,0,0,0,0
Vila Flor,0,0,0,0,0,0,0,0,0,0,0,0
Vimioso,0,0,0,0,0,0,0,0,0,0,0,0
Vinhais,0,0,0,0,0,0,0,0,0,0,0,0
Centro,52,44,8,7596,7179,417,88169,85355,2814,18437,17853,584
Oeste,2,2,0,285,283,2,3034,3034,0,814,814,0
Alcobaça,0,0,0,0,0,0,0,0,0,0,0,0
Alenquer,0,0,0,0,0,0,0,0,0,0,0,0
Arruda dos Vinhos,0,0,0,0,0,0,0,0,0,0,0,0
Bombarral,0,0,0,0,0,0,0,0,0,0,0,0
Cadaval,0,0,0,0,0,0,0,0,0,0,0,0
Caldas da Rainha,1,1,0,150,150,0,1566,1566,0,405,405,0
Lourinhã,0,0,0,0,0,0,0,0,0,0,0,0
Nazaré,0,0,0,0,0,0,0,0,0,0,0,0
Óbidos,0,0,0,0,0,0,0,0,0,0,0,0
Peniche,1,1,0,133,133,0,1468,1468,0,409,409,0
Sobral de Monte Agraço,0,0,0,0,0,0,0,0,0,0,0,0
Torres Vedras,0,0,0,2,0,2,0,0,0,0,0,0
Região de Aveiro,5,4,1,1331,1257,74,14941,14585,356,3101,3031,70
Águeda,1,1,0,88,88,0,943,943,0,190,190,0
Albergaria-a-Velha,0,0,0,0,0,0,0,0,0,0,0,0
Anadia,0,0,0,0,0,0,0,0,0,0,0,0
Aveiro,4,3,1,1243,1169,74,13998,13642,356,2911,2841,70
Estarreja,0,0,0,0,0,0,0,0,0,0,0,0
Ílhavo,0,0,0,0,0,0,0,0,0,0,0,0
Murtosa,0,0,0,0,0,0,0,0,0,0,0,0
Oliveira do Bairro,0,0,0,0,0,0,0,0,0,0,0,0
Ovar,0,0,0,0,0,0,0,0,0,0,0,0
Sever do Vouga,0,0,0,0,0,0,0,0,0,0,0,0
Vagos,0,0,0,0,0,0,0,0,0,0,0,0
Região de Coimbra,19,17,2,2908,2785,123,37214,35776,1438,7962,7688,274
Arganil,0,0,0,0,0,0,0,0,0,0,0,0
Cantanhede,0,0,0,0,0,0,0,0,0,0,0,0
Coimbra,18,16,2,2865,2742,123,36571,35133,1438,7870,7596,274
Condeixa-a-Nova,0,0,0,0,0,0,0,0,0,0,0,0
Figueira da Foz,0,0,0,0,0,0,0,0,0,0,0,0
Góis,0,0,0,0,0,0,0,0,0,0,0,0
Lousã,0,0,0,0,0,0,0,0,0,0,0,0
Mealhada,0,0,0,0,0,0,0,0,0,0,0,0
Mira,0,0,0,0,0,0,0,0,0,0,0,0
Miranda do Corvo,0,0,0,0,0,0,0,0,0,0,0,0
Montemor-o-Velho,0,0,0,0,0,0,0,0,0,0,0,0
Mortágua,0,0,0,0,0,0,0,0,0,0,0,0
Oliveira do Hospital,1,1,0,43,43,0,643,643,0,92,92,0
Pampilhosa da Serra,0,0,0,0,0,0,0,0,0,0,0,0
Penacova,0,0,0,0,0,0,0,0,0,0,0,0
