,"Public secondary education, Lower, Total (N.º)","Public secondary education, Lower, of which, Recurrent education (N.º)","Public secondary education, Lower, of which, Adult Education and Training Courses (N.º)","Public secondary education, Lower, of which, Procedure of Recognition, Validation and Certification of Competences (N.º)","Public secondary education, Upper, Total, Procedure of Recognition, Validation and Certification of Competences (N.º)","Public secondary education, Upper, of which, Recurrent education (N.º)","Public secondary education, Upper, of which, Adult Education and Training Courses (N.º)","Public secondary education, Upper, of which, Procedure of Recognition, Validation and Certification of Competences (N.º)"
Portugal,10551,6,6566,3672,31628,3774,17142,9920
Continente,9713,0,6101,3536,29640,3662,16101,9629
Norte,3182,0,1996,1178,7942,1132,4117,2659
Alto Minho,82,0,45,37,336,42,165,129
Arcos de Valdevez,0,0,0,0,19,0,19,0
Caminha,0,0,0,0,0,0,0,0
Melgaço,0,0,0,0,0,0,0,0
Monção,0,0,0,0,14,0,14,0
Paredes de Coura,0,0,0,0,0,0,0,0
Ponte da Barca,0,0,0,0,6,0,6,0
Ponte de Lima,0,0,0,0,0,0,0,0
Valença,5,0,0,5,44,0,15,29
Viana do Castelo,77,0,45,32,253,42,111,100
Vila Nova de Cerveira,0,0,0,0,0,0,0,0
Cávado,195,0,104,91,889,312,338,230
Amares,3,0,0,3,29,0,10,19
Barcelos,32,0,32,0,54,0,54,0
Braga,134,0,56,78,664,312,192,157
Esposende,10,0,0,10,86,0,26,54
Terras de Bouro,0,0,0,0,0,0,0,0
Vila Verde,16,0,16,0,56,0,56,0
Ave,257,0,113,144,812,0,505,301
Cabeceiras de Basto,0,0,0,0,0,0,0,0
Fafe,11,0,11,0,11,0,11,0
Guimarães,66,0,37,29,250,0,200,44
Mondim de Basto,0,0,0,0,0,0,0,0
Póvoa de Lanhoso,40,0,17,23,95,0,20,75
Vieira do Minho,8,0,8,0,34,0,34,0
Vila Nova de Famalicão,103,0,31,72,339,0,200,139
Vizela,29,0,9,20,83,0,40,43
A. M. Porto,1740,0,1252,485,3670,412,2177,1070
Arouca,14,0,14,0,0,0,0,0
Espinho,0,0,0,0,15,0,15,0
Gondomar,86,0,44,42,416,187,110,119
Maia,40,0,11,29,152,0,111,41
Matosinhos,266,0,241,22,451,84,301,62
Oliveira de Azeméis,37,0,15,22,137,0,90,47
Paredes,36,0,16,20,110,0,18,92
Porto,450,0,325,125,792,0,565,221
Póvoa de Varzim,78,0,10,68,224,49,38,137
