,"Capital expenditures, Total (Euros)","Capital expenditures, of which, Cultural heritage, Total (Euros)","Capital expenditures, of which, Cultural heritage, Museums (Euros)","Capital expenditures, of which, Libraries and archives, Total (Euros)","Capital expenditures, of which, Libraries and archives, Libraries (Euros)","Capital expenditures, of which, Performing arts, Total (Euros)","Capital expenditures, of which, Performing arts, Music (Euros)","Capital expenditures, of which, Performing arts, Multidisciplinary (Euros)","Capital expenditures, of which, Performing arts, Construction and maintenance of art facilities (Euros)","Capital expenditures, of which, Interdisciplinary activities , Total (Euros)","Capital expenditures, of which, Interdisciplinary activities , Support to cultural and creative organisations (Euros)"
Portugal,65254282.00000002,31555945.000000015,11299703.000000002,4402312,2840952.999999999,15750835.999999998,2149158.0000000005,1612070.9999999998,9633458,8802979.999999998,5763314.999999998
Continente,62349626.00000002,30826792.000000015,11277918.000000002,4377361,2817654.999999999,14586380.999999998,1412666.0000000005,1611830.9999999998,9403047,7983331.999999999,5024559.999999998
Norte,18167658,7447233.999999999,2947486.000000001,1172203.0000000002,692436.0000000002,5624894.999999997,405319.0000000002,239278.00000000026,3589078.000000002,2022897.9999999998,1546252.0000000002
Alto Minho,2328923.0000000005,1368735,1269264,34144,24681,621015.9999999999,0,0,517689,185726.00000000003,184166.00000000003
Arcos de Valdevez,1326842,1216047,1216047,0,0,0,0,0,0,110795,110795
Caminha,3376,3376,3376,0,0,0,0,0,0,0,0
Melgaço,34571,0,0,0,0,0,0,0,0,0,0
Monção,181067,0,0,3650,3264,92998,0,0,0,0,0
Paredes de Coura,409945,76251,9328,0,0,333694,0,0,323651,0,0
Ponte da Barca,0,0,0,0,0,0,0,0,0,0,0
Ponte de Lima,220297,19263,19263,13578,4501,187144,0,0,187144,0,0
Valença,13492,0,0,7044,7044,4888,0,0,4602,1560,0
Viana do Castelo,68663,0,0,0,0,2292,0,0,2292,66371,66371
Vila Nova de Cerveira,70670,53798,21250,9872,9872,0,0,0,0,7000,7000
Cávado,316513,142857,20347,0,0,0,0,0,0,15000,15000
Amares,113010,0,0,0,0,0,0,0,0,0,0
Barcelos,38634,0,0,0,0,0,0,0,0,0,0
Braga,121149,121149,0,0,0,0,0,0,0,0,0
Esposende,32463,17463,16102,0,0,0,0,0,0,15000,15000
Terras de Bouro,4245,4245,4245,0,0,0,0,0,0,0,0
Vila Verde,7012,0,0,0,0,0,0,0,0,0,0
Ave,1873311,460714.00000000006,44902.00000000001,141397,98759,1162491,0,238184.00000000003,297761,68464,68464
Cabeceiras de Basto,0,0,0,0,0,0,0,0,0,0,0
Fafe,195000,0,0,0,0,195000,0,195000,0,0,0
Guimarães,168170,10000,10000,73427,69236,0,0,0,0,68464,68464
Mondim de Basto,0,0,0,0,0,0,0,0,0,0,0
Póvoa de Lanhoso,5691,3505,1414,0,0,2186,0,0,0,0,0
Vieira do Minho,0,0,0,0,0,0,0,0,0,0,0
Vila Nova de Famalicão,1504450,447209,33488,67970,29523,965305,0,43184,297761,0,0
Vizela,0,0,0,0,0,0,0,0,0,0,0
A. M. Porto,6890543,2937872,384818.9999999999,166239,139316,1686008,167303,0,898727,1121124,804665
Arouca,253417,203206,192891,5621,5621,24238,0,0,24238,20352,1769
Espinho,340477,406,406,19174,19174,0,0,0,0,0,0
Gondomar,22629,0,0,12469,12469,10160,0,0,10160,0,0
Maia,1095104,110457,110457,4376,4147,709525,164303,0,545222,270746,37775
Matosinhos,1592693,872467,17310,4990,2735,321908,3000,0,0,31695,0
Oliveira de Azeméis,14114,0,0,0,0,14114,0,0,0,0,0
Paredes,208555,0,0,4879,4879,0,0,0,0,0,0
Porto,398896,37735,37735,75077,53152,0,0,0,0,198820,198820
Póvoa de Varzim,0,0,0,0,0,0,0,0,0,0,0
Santa Maria da Feira,69153,2029,2029,2643,2643,40000,0,0,0,24481,24481
Santo Tirso,0,0,0,0,0,0,0,0,0,0,0
São João da Madeira,234413,0,0,0,0,234413,0,0,234413,0,0
Trofa,260,260,0,0,0,0,0,0,0,0,0
Vale de Cambra,38559,0,0,32479,29965,6080,0,0,6080,0,0
Valongo,1827609,1682978,0,0,0,139331,0,0,0,0,0
Vila do Conde,72320,0,0,0,0,0,0,0,0,72320,72320
Vila Nova de Gaia,722344,28334,23991,4531,4531,186239,0,0,78614,502710,469500
Alto Tâmega,1633548.9999999998,1032208,98207,440333,89061,64306,0,0,58306,8759,0
Boticas,51500,34500,22000,17000,17000,0,0,0,0,0,0
Chaves,314993,107199,73998,71855,71514,63110,0,0,57110,0,0
Montalegre,1148832,797901,0,350931,0,0,0,0,0,0,0
Ribeira de Pena,4196,150,150,86,86,1196,0,0,1196,2693,0
Valpaços,17563,2059,2059,461,461,0,0,0,0,0,0
Vila Pouca de Aguiar,96465,90399,0,0,0,0,0,0,0,6066,0
Tâmega e Sousa,2274559,146718,134039.00000000003,224484.00000000006,215463,1520299.0000000002,89.00000000000001,0,1520210.0000000002,162517,162517
Amarante,70416,1001,1001,215,215,0,0,0,0,0,0
Baião,97785,0,0,0,0,0,0,0,0,0,0
Castelo de Paiva,0,0,0,0,0,0,0,0,0,0,0
Celorico de Basto,0,0,0,0,0,0,0,0,0,0,0
Cinfães,2292,0,0,0,0,0,0,0,0,1704,1704
Felgueiras,4513,0,0,0,0,0,0,0,0,0,0
Lousada,318239,0,0,217704,210654,100535,0,0,100535,0,0
Marco de Canaveses,1544030,0,0,0,0,1394100,0,0,1394100,149930,149930
Paços de Ferreira,0,0,0,0,0,0,0,0,0,0,0
Penafiel,130201,130201,117522,0,0,0,0,0,0,0,0
Resende,107083,15516,15516,6565,4594,25664,89,0,25575,10883,10883
Douro,1003656,359820.99999999994,102037.99999999999,156577,116506,204664.99999999997,126273.00000000001,1094.0000000000005,41929.00000000001,192694,75840
Alijó,146980,33405,33405,0,0,41929,0,0,41929,0,0
Armamar,0,0,0,0,0,0,0,0,0,0,0
Carrazeda de Ansiães,0,0,0,0,0,0,0,0,0,0,0
Freixo de Espada à Cinta,84093,25680,25680,625,625,57788,57788,0,0,0,0
Lamego,0,0,0,0,0,0,0,0,0,0,0
Mesão Frio,0,0,0,0,0,0,0,0,0,0,0
Moimenta da Beira,0,0,0,0,0,0,0,0,0,0,0
Murça,0,0,0,0,0,0,0,0,0,0,0
Penedono,69235,0,0,750,750,68485,68485,0,0,0,0
Peso da Régua,0,0,0,0,0,0,0,0,0,0,0
Sabrosa,153643,31630,0,0,0,1094,0,1094,0,119854,3000
Santa Marta de Penaguião,0,0,0,0,0,0,0,0,0,0,0
São João da Pesqueira,107209,0,0,107209,107209,0,0,0,0,0,0
Sernancelhe,61117,677,677,0,0,23919,0,0,0,30000,30000
Tabuaço,4358,0,0,0,0,0,0,0,0,0,0
Tarouca,122176,73091,40099,42538,2467,238,0,0,0,0,0
Torre de Moncorvo,14280,0,0,1280,1280,0,0,0,0,13000,13000
Vila Nova de Foz Côa,0,0,0,0,0,0,0,0,0,0,0
Vila Real,240565,195338,2177,4175,4175,11212,0,0,0,29840,29840
Terras de Trás-os-Montes,1846604,998309.0000000002,893870,9029,8650,366110,111654,0,254456,268614.00000000006,235600.00000000003
Alfândega da Fé,0,0,0,0,0,0,0,0,0,0,0
Bragança,1125866,900766,893242,0,0,0,0,0,0,225100,225100
Macedo de Cavaleiros,0,0,0,0,0,0,0,0,0,0,0
Miranda do Douro,43262,43262,0,0,0,0,0,0,0,0,0
Mirandela,48341,5274,0,7992,7992,0,0,0,0,10500,10500
Mogadouro,320010,31128,628,379,0,111654,111654,0,0,0,0
Vila Flor,257574,0,0,0,0,254456,0,0,254456,0,0
Vimioso,658,0,0,658,658,0,0,0,0,0,0
Vinhais,50893,17879,0,0,0,0,0,0,0,33014,0
Centro,16167075,6950531,2843690,874923.0000000003,735974.9999999998,4704037.000000001,512993.9999999997,19820.999999999996,3776386.9999999995,2820043.9999999995,2283168.0000000014
Oeste,1495906,797891,695184,51173,51173,110690,0,3751.999999999999,102986,485106,336005
Alcobaça,116526,0,0,0,0,0,0,0,0,111486,111486
Alenquer,265,265,0,0,0,0,0,0,0,0,0
Arruda dos Vinhos,0,0,0,0,0,0,0,0,0,0,0
Bombarral,0,0,0,0,0,0,0,0,0,0,0
Cadaval,0,0,0,0,0,0,0,0,0,0,0
Caldas da Rainha,158019,83502,79591,12251,12251,2986,0,0,2986,59280,56354
Lourinhã,103582,84065,0,14091,14091,0,0,0,0,0,0
Nazaré,40564,4613,4613,4241,4241,4360,0,3752,0,0,0
Óbidos,5367,0,0,0,0,3344,0,0,0,2023,0
Peniche,62477,22534,9568,18590,18590,0,0,0,0,8123,5915
Sobral de Monte Agraço,273944,1500,0,2000,2000,100000,0,0,100000,170444,28500
Torres Vedras,735162,601412,601412,0,0,0,0,0,0,133750,133750
Região de Aveiro,1485912,69673,48823.00000000001,83687.99999999999,82474.99999999999,911961.9999999999,34507,0,866719.9999999999,403284,167983.99999999997
Águeda,79607,0,0,43412,43412,36195,0,0,36195,0,0
Albergaria-a-Velha,57333,0,0,15973,14760,39474,0,0,39474,0,0
Anadia,18260,0,0,0,0,0,0,0,0,10000,10000
Aveiro,15146,7626,7626,1964,1964,5556,0,0,5556,0,0
Estarreja,181427,11377,8411,5619,5619,58203,0,0,58203,106228,0
Ílhavo,225113,20427,20427,15724,15724,159537,25945,0,131492,29425,29425
Murtosa,76014,0,0,0,0,6888,3444,0,0,68068,68068
Oliveira do Bairro,54566,4781,4781,0,0,0,0,0,0,49380,49380
Ovar,741020,20050,2166,996,996,583187,3068,0,574928,136787,7715
Sever do Vouga,37426,5412,5412,0,0,22922,2050,0,20872,3396,3396
Vagos,0,0,0,0,0,0,0,0,0,0,0
Região de Coimbra,1838596.9999999995,547264.9999999999,444704.9999999999,71446.00000000001,69626,755440.0000000001,374321,0,337112,242335.99999999997,234152.00000000003
Arganil,206042,11495,3790,4406,4406,3951,0,0,3951,0,0
Cantanhede,49754,250,250,12104,10300,0,0,0,0,37400,37400
Coimbra,466891,83487,83487,9083,9083,374321,374321,0,0,0,0
Condeixa-a-Nova,25927,18975,18975,6952,6952,0,0,0,0,0,0
Figueira da Foz,292375,204319,178521,23863,23863,38335,0,0,38335,5800,5800
Góis,58520,25820,25820,0,0,30700,0,0,0,2000,2000
Lousã,188761,120137,112738,1231,1231,53543,0,0,53543,13850,13850
Mealhada,8040,0,0,0,0,0,0,0,0,0,0
Mira,1138,0,0,1138,1138,0,0,0,0,0,0
Miranda do Corvo,4750,0,0,0,0,0,0,0,0,4750,4750
Montemor-o-Velho,19678,0,0,0,0,0,0,0,0,19678,19678
Mortágua,55984,15000,15000,1734,1734,11500,0,0,0,27750,27750
Oliveira do Hospital,341340,42428,5984,1064,1064,241283,0,0,241283,56565,56565
Pampilhosa da Serra,0,0,0,0,0,0,0,0,0,0,0
Penacova,99811,11217,0,4877,4861,1807,0,0,0,74128,66359
Penela,19586,14137,140,4994,4994,0,0,0,0,415,0
Soure,0,0,0,0,0,0,0,0,0,0,0
Tábua,0,0,0,0,0,0,0,0,0,0,0
Vila Nova de Poiares,0,0,0,0,0,0,0,0,0,0,0
Região de Leiria,2666644,1327499,162569.99999999997,449846.00000000006,351091,104737,0,8000,94630.99999999999,600374,549698
Alvaiázere,66411,45042,45042,869,869,0,0,0,0,20500,20500
Ansião,147924,147924,0,0,0,0,0,0,0,0,0
Batalha,0,0,0,0,0,0,0,0,0,0,0
Castanheira de Pêra,3777,0,0,3777,3777,0,0,0,0,0,0
Figueiró dos Vinhos,0,0,0,0,0,0,0,0,0,0,0
Leiria,1392525,963416,62987,130598,130598,74951,0,0,74951,223560,175438
Marinha Grande,163350,3779,3779,53519,0,28898,0,8000,19680,46681,44127
Pedrógão Grande,0,0,0,0,0,0,0,0,0,0,0
Pombal,728697,50762,50762,235062,189826,888,0,0,0,288270,288270
Porto de Mós,163960,116576,0,26021,26021,0,0,0,0,21363,21363
Viseu Dão Lafões,1858059.0000000005,1032035.9999999998,107970,10451.999999999998,9740,322271,0,8068.999999999999,28606,402271.00000000006,395162.00000000006
Aguiar da Beira,36654,36654,0,0,0,0,0,0,0,0,0
Carregal do Sal,164740,0,0,0,0,0,0,0,0,164740,164740
Castro Daire,0,0,0,0,0,0,0,0,0,0,0
Mangualde,0,0,0,0,0,0,0,0,0,0,0
Nelas,0,0,0,0,0,0,0,0,0,0,0
Oliveira de Frades,0,0,0,0,0,0,0,0,0,0,0
Penalva do Castelo,272666,0,0,2151,2151,270515,0,0,0,0,0
Santa Comba Dão,11462,0,0,0,0,10262,0,8069,2193,1200,1200
São Pedro do Sul,848554,835496,0,416,416,120,0,0,120,9873,9873
Sátão,0,0,0,0,0,0,0,0,0,0,0
Tondela,213649,0,0,0,0,0,0,0,0,213649,213649
Vila Nova de Paiva,0,0,0,0,0,0,0,0,0,0,0
Viseu,230776,107970,107970,7796,7084,22971,0,0,22971,5700,5700
Vouzela,79558,51916,0,89,89,18403,0,0,3322,7109,0
