,Museums in activity (N.º),"Museums that fulfilled the selection criteria, Number (N.º)","Museums that fulfilled the selection criteria, Visitors, Total (N.º)","Museums that fulfilled the selection criteria, Visitors, School visitors (N.º)","Museums that fulfilled the selection criteria, Visitors, Foreign visitors  (N.º)","Museums that fulfilled the selection criteria, Goods, Foreign visitors  (N.º)","Art galleries and other temporary exhibition spaces, Number, Foreign visitors  (N.º)","Art galleries and other temporary exhibition spaces, Temporary exhibitions, Foreign visitors  (N.º)","Art galleries and other temporary exhibition spaces, Pieces exhibited, Foreign visitors  (N.º)","Art galleries and other temporary exhibition spaces, Represented authors, Foreign visitors  (N.º)"
Portugal,668,414,5735532,430113,2037544,20166991,831,3748,158526,31292
Continente,611,378,5594731,414550,1991625,19835942,778,3510,151864,30278
Norte,163,106,1853219,111060,635873,2663043,225,1171,53270,9878
Alto Minho,17,11,100162,4844,24759,83940,23,120,4503,996
Arcos de Valdevez,1,1,12394,305,1578,…,2,6,234,61
Caminha,1,1,2009,1000,…,35830,2,17,345,41
Melgaço,4,1,…,0,241,13007,2,12,863,13
Monção,2,2,…,…,…,…,2,18,440,63
Paredes de Coura,0,0,0,0,0,0,0,0,0,0
Ponte da Barca,1,0,0,0,0,0,0,0,0,0
Ponte de Lima,1,1,2493,697,346,4255,3,12,735,48
Valença,3,1,4717,…,2629,311,1,1,89,3
Viana do Castelo,3,3,64361,2549,15641,30072,7,38,1149,230
Vila Nova de Cerveira,1,1,2741,206,822,204,4,16,648,537
Cávado,16,11,128217,4950,52454,185305,16,67,2028,414
Amares,0,0,0,0,0,0,1,2,55,4
Barcelos,4,3,25506,1228,6395,21389,3,13,466,83
Braga,8,5,94903,3638,44715,155746,9,41,1056,199
Esposende,3,2,…,…,…,…,1,1,185,3
Terras de Bouro,1,1,…,…,…,…,0,0,0,0
Vila Verde,0,0,0,0,0,0,2,10,266,125
Ave,22,12,183530,21922,62611,293272,23,69,2084,395
Cabeceiras de Basto,1,0,0,0,0,0,1,1,39,39
Fafe,3,0,0,0,0,0,1,1,24,1
Guimarães,7,5,163388,12457,61867,91831,8,23,787,127
Mondim de Basto,0,0,0,0,0,0,1,2,174,2
Póvoa de Lanhoso,2,1,4598,500,563,3892,1,3,127,87
Vieira do Minho,1,0,0,0,0,0,2,14,166,38
Vila Nova de Famalicão,8,6,15544,8965,181,197549,9,25,767,101
Vizela,0,0,0,0,0,0,0,0,0,0
A. M. Porto,47,34,1193589,64159,457148,1284374,113,684,34766,6103
Arouca,2,1,19100,911,922,3,1,6,145,29
Espinho,1,1,1943,220,138,425,2,14,782,52
Gondomar,2,2,…,…,…,…,8,28,942,182
Maia,1,1,24133,1500,0,218,5,26,2466,533
Matosinhos,3,2,…,…,…,…,8,19,1288,288
Oliveira de Azeméis,3,0,0,0,0,0,3,23,432,35
Paredes,0,0,0,0,0,0,3,18,225,18
Porto,19,15,1100151,50815,452594,1059155,49,248,17651,2647
Póvoa de Varzim,1,1,10537,1462,375,50397,4,22,612,22
Santa Maria da Feira,3,3,12039,4620,482,26388,3,6,559,251
Santo Tirso,1,0,0,0,0,0,3,46,704,81
São João da Madeira,2,2,6451,1860,238,58910,4,29,1394,490
Trofa,0,0,0,0,0,0,0,0,0,0
Vale de Cambra,1,1,419,260,0,1257,2,11,90,28
Valongo,1,1,411,157,5,20743,7,140,2949,1116
Vila do Conde,2,1,…,…,…,…,7,37,4010,255
Vila Nova de Gaia,5,3,13450,593,2318,38047,4,11,517,76
Alto Tâmega,8,6,57521,597,8128,20348,5,22,646,113
Boticas,1,1,727,21,13,133,0,0,0,0
Chaves,4,4,…,…,…,…,2,6,182,55
Montalegre,1,1,…,…,…,…,2,15,445,57
Ribeira de Pena,1,0,0,0,0,0,1,1,19,1
Valpaços,0,0,0,0,0,0,0,0,0,0
Vila Pouca de Aguiar,1,0,0,0,0,0,0,0,0,0
Tâmega e Sousa,11,7,36666,5743,1737,98564,9,46,1923,273
Amarante,2,1,9756,1007,406,2694,1,4,131,70
Baião,2,2,…,…,…,…,0,0,0,0
Castelo de Paiva,0,0,0,0,0,0,0,0,0,0
Celorico de Basto,0,0,0,0,0,0,1,11,322,20
Cinfães,1,0,0,0,0,0,1,3,542,14
Felgueiras,0,0,0,0,0,0,1,8,141,13
Lousada,2,2,…,…,…,…,1,3,150,20
Marco de Canaveses,1,0,0,0,0,0,0,0,0,0
Paços de Ferreira,1,1,895,212,5,3166,1,4,193,24
Penafiel,1,1,7973,655,179,14172,2,8,260,63
Resende,1,0,0,0,0,0,1,5,184,49
Douro,22,13,105433,2874,18836,648189,19,91,4505,1175
Alijó,2,1,3610,77,739,630,3,21,1755,656
Armamar,0,0,0,0,0,0,0,0,0,0
Carrazeda de Ansiães,2,0,0,0,0,0,1,2,103,2
Freixo de Espada à Cinta,1,0,0,0,0,0,0,0,0,0
Lamego,1,1,7770,585,2368,13210,2,9,340,21
Mesão Frio,0,0,0,0,0,0,0,0,0,0
Moimenta da Beira,1,0,0,0,0,0,0,0,0,0
Murça,1,0,0,0,0,0,0,0,0,0
Penedono,0,0,0,0,0,0,0,0,0,0
Peso da Régua,1,1,14575,268,1989,44431,1,2,242,2
Sabrosa,1,1,3719,355,2,387,1,5,318,66
Santa Marta de Penaguião,0,0,0,0,0,0,0,0,0,0
São João da Pesqueira,2,2,2590,28,172,807,2,20,245,41
Sernancelhe,0,0,0,0,0,0,0,0,0,0
Tabuaço,1,0,0,0,0,0,1,4,182,4
Tarouca,1,0,0,0,0,0,0,0,0,0
Torre de Moncorvo,2,1,…,…,…,…,1,1,34,1
Vila Nova de Foz Côa,2,2,…,…,…,…,2,14,744,89
Vila Real,4,4,32321,1012,10591,543986,5,13,542,293
Terras de Trás-os-Montes,20,12,48101,5971,10200,49051,17,72,2815,409
Alfândega da Fé,0,0,0,0,0,0,2,11,356,49
Bragança,7,5,33255,5271,7965,15118,5,10,497,96
Macedo de Cavaleiros,4,2,…,…,…,…,3,10,296,57
Miranda do Douro,2,1,6297,69,1530,4621,3,10,268,10
Mirandela,2,2,3038,175,266,…,1,4,88,20
Mogadouro,1,1,…,0,…,10615,2,25,1230,175
Vila Flor,1,1,701,…,58,17871,0,0,0,0
Vimioso,0,0,0,0,0,0,0,0,0,0
Vinhais,3,0,0,0,0,0,1,2,80,2
Centro,212,119,879656,72770,111691,2317621,196,751,35584,7216
Oeste,34,19,198383,7609,13315,349879,24,67,4214,616
Alcobaça,4,2,1568,362,449,12472,1,2,30,2
Alenquer,4,2,2227,295,153,…,3,4,61,15
Arruda dos Vinhos,0,0,0,0,0,0,1,5,112,49
Bombarral,1,1,…,0,0,71477,0,0,0,0
Cadaval,1,1,560,230,…,715,1,1,8,1
Caldas da Rainha,11,6,28069,2576,1744,34459,7,16,953,54
Lourinhã,2,1,…,…,…,…,2,7,181,40
Nazaré,2,1,…,…,…,…,1,6,1879,12
Óbidos,3,2,9045,…,3415,1905,4,6,323,108
Peniche,3,2,3688,155,763,6655,2,8,327,169
Sobral de Monte Agraço,2,0,0,0,0,0,0,0,0,0
