,"Cinema, Spectators per inhabitant, No., 2020","Cinema, Occupancy rate, %, 2020","Art facilities, Rooms average capacity  , No., 2019","Live shows, Spectators per inhabitant, No., 2020","Live shows, Mean value of tickets sold, €, 2020","Periodical publications , Ratio of copies offered, %, 2020"
Ílhavo,x,x,335,0.3,7.2,33
Murtosa,x,x,//,0,//,…
Oliveira do Bairro,x,x,//,0.2,8.2,…
Ovar,x,x,340,0.1,6.8,25.2
Sever do Vouga,x,x,300,…,…,//
Vagos,x,x,180,0,//,…
Região de Coimbra,0.4,5.4,427.6,0.2,12.9,9.8
Arganil,x,x,252,…,…,//
Cantanhede,x,x,//,…,…,//
Coimbra,x,x,342.1,0.5,12.1,8.3
Condeixa-a-Nova,x,x,//,…,…,…
Figueira da Foz,x,x,330.8,…,…,…
Góis,x,x,//,0,//,…
Lousã,x,x,450,0.1,//,…
Mealhada,x,x,258,0.2,11.8,…
Mira,x,x,//,0,//,…
Miranda do Corvo,x,x,266,ә,7.5,…
Montemor-o-Velho,x,x,//,…,…,//
Mortágua,x,x,240,…,…,//
Oliveira do Hospital,x,x,3000,0,//,…
Pampilhosa da Serra,x,x,178,0,//,//
Penacova,x,x,//,0,//,//
Penela,x,x,//,0,//,//
Soure,x,x,//,0,//,…
Tábua,x,x,286,…,…,//
Vila Nova de Poiares,x,x,//,0,//,//
Região de Leiria,0.3,4.9,647.4,0.2,5.9,21.7
Alvaiázere,x,x,//,0.2,//,//
Ansião,x,x,156.7,0.1,39.7,21.1
Batalha,x,x,177,…,…,…
Castanheira de Pêra,x,x,//,0,//,//
Figueiró dos Vinhos,x,x,//,0.1,2.5,//
Leiria,x,x,322,0.3,6,20.9
Marinha Grande,x,x,//,…,…,…
Pedrógão Grande,x,x,//,…,…,//
Pombal,x,x,202.5,0.3,2.6,21.7
Porto de Mós,x,x,1484.8,0,//,…
Viseu Dão Lafões,0.3,6.8,205.5,0.2,7.6,21.3
Aguiar da Beira,x,x,262.3,0,//,…
Carregal do Sal,x,x,199,0,//,//
Castro Daire,x,x,155.5,…,…,…
Mangualde,x,x,//,0.1,9.7,…
Nelas,x,x,197,0,//,…
Oliveira de Frades,x,x,146,0.1,3,//
Penalva do Castelo,x,x,//,0.4,//,…
Santa Comba Dão,x,x,270,0.1,3.9,//
São Pedro do Sul,x,x,198,ә,10,…
Sátão,x,x,225,…,…,…
Tondela,x,x,298.7,…,…,8.4
Vila Nova de Paiva,x,x,214,0,//,//
Viseu,x,x,127,0.3,8.5,25.6
Vouzela,x,x,288,0.2,//,//
Beira Baixa,0.2,3.4,387.9,0.1,9.3,33.9
Castelo Branco,x,x,465,0.2,9.3,37
Idanha-a-Nova,x,x,467,…,…,…
Oleiros,x,x,//,0,//,//
Penamacor,x,x,//,0,//,//
Proença-a-Nova,x,x,166,…,…,…
Vila Velha de Ródão,x,x,218,0,//,//
Médio Tejo,0.1,5.9,242.1,0.1,9.1,63.6
Abrantes,x,x,300,…,…,…
Alcanena,x,x,227,0.2,5.1,…
Constância,x,x,103,0,//,//
Entroncamento,x,x,//,0.1,11.1,…
Ferreira do Zêzere,x,x,201,0.1,3.7,…
Mação,x,x,//,0,//,…
Ourém,x,x,350,…,…,72.6
Sardoal,x,x,202,0,//,//
Sertã,x,x,202,0,//,…
Tomar,x,x,410,…,…,//
Torres Novas,x,x,339.5,0.3,9.1,24.5
Vila de Rei,x,x,224,0,//,//
Vila Nova da Barquinha,x,x,144,ә,//,…
Beiras e Serra da Estrela,0.1,5.5,293.8,0.2,5.7,11.6
Almeida,x,x,849,0,//,…
Belmonte,x,x,175,0.3,//,…
Celorico da Beira,x,x,//,ә,//,//
Covilhã,x,x,//,0.1,2.7,6.6
Figueira de Castelo Rodrigo,x,x,//,0,//,…
Fornos de Algodres,x,x,//,…,…,…
Fundão,x,x,147,1.2,9.3,…
Gouveia,x,x,200,0.1,6.2,…
Guarda,x,x,217.2,…,…,…
Manteigas,x,x,//,…,…,//
Mêda,x,x,299,0,//,//
Pinhel,x,x,//,0.1,//,//
Sabugal,x,x,//,…,…,…
Seia,x,x,348,0.1,9,16.9
Trancoso,x,x,//,0,//,//
A. M. Lisboa,0.6,8.2,542,0.3,23,26.9
Alcochete,x,x,367,0.1,13,…
Almada,x,x,292.3,0.1,8.4,13.1
Amadora,x,x,148.8,ә,8.6,4.6
Barreiro,x,x,455,0.1,8.7,//
Cascais,x,x,267.1,0.1,12.9,9.9
Lisboa,x,x,850,1.5,24.9,30.8
Loures,x,x,161.3,ә,3.9,30.9
Mafra,x,x,116.7,ә,4.6,23.6
Moita,x,x,235.7,0.1,6,//
Montijo,x,x,361.5,0.1,8.5,//
Odivelas,x,x,82.6,0.1,5.7,…
Oeiras,x,x,233.2,0.1,11,8.5
Palmela,x,x,150.1,0.2,7.2,…
Seixal,x,x,163.8,0.1,6.6,94.8
Sesimbra,x,x,279,0.8,8.1,76.3
Setúbal,x,x,1069,0.3,12.5,…
Sintra,x,x,256.4,ә,11,2.4
Vila Franca de Xira,x,x,435.3,0.1,5.8,100
Alentejo,0.1,5.2,406.7,0.1,8.8,15.9
Alentejo Litoral,0.1,8.9,207,0.1,4.9,79.1
Alcácer do Sal,x,x,201,…,…,…
Grândola,x,x,186,0.2,//,//
Odemira,x,x,255,ә,//,…
Santiago do Cacém,x,x,242,0.1,4.7,//
Sines,x,x,172,…,…,…
Baixo Alentejo,ә,20.8,262.8,0.2,10.1,47.8
Aljustrel,x,x,333.6,0,//,//
Almodôvar,x,x,56,…,…,//
Alvito,x,x,//,0.2,//,//
Barrancos,x,x,243,0,//,//
Beja,x,x,401.6,0.4,10.2,…
Castro Verde,x,x,342,…,…,…
Cuba,x,x,210,…,…,//
Ferreira do Alentejo,x,x,126,0,//,//
Mértola,x,x,172,0.3,//,//
Moura,x,x,239,…,…,…
Ourique,x,x,168,0,//,//
Serpa,x,x,220.8,…,…,//
Vidigueira,x,x,//,0,//,//
Lezíria do Tejo,0.1,5.4,280.8,0.1,8.6,5.6
Almeirim,x,x,270,0.2,9.9,//
Alpiarça,x,x,126.5,ә,//,…
Azambuja,x,x,90,…,…,…
Benavente,x,x,274.3,0,//,//
Cartaxo,x,x,202.5,…,…,…
Chamusca,x,x,311.5,…,…,//
Coruche,x,x,189.5,ә,//,//
Golegã,x,x,//,0,//,//
Rio Maior,x,x,247,0.6,4.6,//
Salvaterra de Magos,x,x,//,0,//,//
Santarém,x,x,701.5,ә,8.8,2.3
Alto Alentejo,ә,19.1,894.2,0.1,10.2,32.5
Alter do Chão,x,x,//,0.3,//,…
Arronches,x,x,252,0,//,…
Avis,x,x,274,0,//,//
Campo Maior,x,x,//,…,…,//
Castelo de Vide,x,x,2000,0,//,//
Crato,x,x,//,0,//,…
Elvas,x,x,2011,…,…,…
Fronteira,x,x,//,0,//,//
Gavião,x,x,263,0,//,//
Marvão,x,x,//,0,//,//
Monforte,x,x,//,0,//,//
Nisa,x,x,394,0,//,//
Ponte de Sor,x,x,//,0,//,…
Portalegre,x,x,206.7,0.2,12.3,…
Sousel,x,x,//,0,//,//
Alentejo Central,0.3,5.9,491.8,0.2,5.8,15.5
Alandroal,x,x,180,ә,//,//
Arraiolos,x,x,//,0.3,//,//
Borba,x,x,81,ә,//,//
Estremoz,x,x,236,0.1,7.4,…
Évora,x,x,1212.8,0.2,6,7.5
Montemor-o-Novo,x,x,776,0.2,3,77.6
Mora,x,x,//,0,//,…
Mourão,x,x,//,3.4,5,//
Portel,x,x,218,0,//,//
Redondo,x,x,202,0,//,//
Reguengos de Monsaraz,x,x,232,0.1,//,…
Vendas Novas,x,x,351.3,0.1,//,…
Viana do Alentejo,x,x,215,0,//,//
Vila Viçosa,x,x,100,0,//,//
Algarve,0.5,6.1,333.1,0.3,12.5,41.5
Albufeira,x,x,//,…,…,…
Alcoutim,x,x,//,0.4,//,//
Aljezur,x,x,//,…,…,//
Castro Marim,x,x,//,0,//,//
Faro,x,x,333.5,0.6,16.1,…
Lagoa,x,x,404.4,0.2,10,56.1
Lagos,x,x,237.5,0.4,8.8,//
Loulé,x,x,//,…,…,…
Monchique,x,x,//,0,//,…
Olhão,x,x,416,0.5,11.3,…
Portimão,x,x,161,0.1,12.2,…
São Brás de Alportel,x,x,342,0.1,6.7,//
Silves,x,x,150,0.2,10.6,…
Tavira,x,x,400,0.3,8.4,…
Vila do Bispo,x,x,414,0.1,3,//
Vila Real de Santo António,x,x,287,ә,9.5,…
R. A. Açores,0.1,5.4,375.2,0.1,7.2,6.3
Santa Maria,x,x,//,0,//,…
Vila do Porto,x,x,//,0,//,…
São Miguel,x,x,387.7,0.1,7.3,6.4
Lagoa (R.A.A.),x,x,176,0.2,//,//
Nordeste,x,x,//,0.1,//,//
Ponta Delgada,x,x,511.8,0.1,7.3,…
Povoação,x,x,//,…,…,//
Ribeira Grande,x,x,257.7,…,…,…
Vila Franca do Campo,x,x,//,0,//,…
Terceira,x,x,337.6,…,…,7
Angra do Heroísmo,x,x,396,…,8.3,…
Vila da Praia da Vitória,x,x,298.7,…,…,…
Graciosa,x,x,//,0.6,//,//
Santa Cruz da Graciosa,x,x,//,0.6,//,//
São Jorge,x,x,//,…,…,…
Calheta (R.A.A.),x,x,//,0,//,//
Velas,x,x,//,…,…,…
Pico,x,x,//,0,//,0.4
Lajes do Pico,x,x,//,0,//,…
Madalena,x,x,//,0,//,…
São Roque do Pico,x,x,//,0,//,…
Faial,x,x,//,0.1,5.1,…
Horta,x,x,//,0.1,5.1,…
Flores,x,x,//,0,//,//
Lajes das Flores,x,x,//,0,//,//
Santa Cruz das Flores,x,x,//,0,//,//
Corvo,x,x,//,0,//,//
Corvo,x,x,//,0,//,//
R. A. Madeira,0.3,4.5,507.3,0.2,8.7,3.5
Calheta (R.A.M.),x,x,200,…,…,//
Câmara de Lobos,x,x,159,…,…,…
Funchal,x,x,733.9,0.3,9.1,2.5
Machico,x,x,254.5,0.1,3.5,…
Ponta do Sol,x,x,180,0.5,2.7,//
Porto Moniz,x,x,//,0,//,//
Ribeira Brava,x,x,//,0.3,//,//
Santa Cruz,x,x,500,…,…,//
Santana,x,x,//,0,//,//
São Vicente,x,x,//,…,…,//
Porto Santo,x,x,260,0,//,//
