,"Ensino secundário público, Total (N.º)","Ensino secundário público, das quais, Ensino regular, Total (N.º)","Ensino secundário público, das quais, Ensino regular, Cursos gerais/
científico-humanísticos (N.º)","Ensino secundário público, das quais, Ensino regular, Cursos tecnológicos (N.º)","Ensino secundário público, das quais, Ensino artístico, Cursos tecnológicos (N.º)","Ensino secundário público, das quais, Cursos profissionais, Cursos tecnológicos (N.º)","Ensino secundário público, das quais, Cursos de aprendizagem, Cursos tecnológicos (N.º)","Ensino secundário público, das quais, Cursos de educação e formação, Cursos tecnológicos (N.º)"
Paços de Ferreira,1508,1058,1058,0,0,450,0,0
Penafiel,2016,1439,1439,0,0,577,0,0
Resende,304,183,183,0,0,121,0,0
Douro,5033,3598,3598,0,0,1244,191,0
Alijó,215,154,154,0,0,61,0,0
Armamar,113,113,113,0,0,0,0,0
Carrazeda de Ansiães,114,68,68,0,0,46,0,0
Freixo de Espada à Cinta,0,0,0,0,0,0,0,0
Lamego,843,598,598,0,0,245,0,0
Mesão Frio,172,107,107,0,0,65,0,0
Moimenta da Beira,311,211,211,0,0,100,0,0
Murça,123,99,99,0,0,24,0,0
Penedono,0,0,0,0,0,0,0,0
Peso da Régua,626,332,332,0,0,294,0,0
Sabrosa,150,93,93,0,0,57,0,0
Santa Marta de Penaguião,0,0,0,0,0,0,0,0
São João da Pesqueira,114,114,114,0,0,0,0,0
Sernancelhe,0,0,0,0,0,0,0,0
Tabuaço,95,64,64,0,0,31,0,0
Tarouca,171,122,122,0,0,49,0,0
Torre de Moncorvo,131,98,98,0,0,33,0,0
Vila Nova de Foz Côa,80,80,80,0,0,0,0,0
Vila Real,1775,1345,1345,0,0,239,191,0
Terras de Trás-os-Montes,2363,1679,1679,0,0,598,86,0
Alfândega da Fé,65,65,65,0,0,0,0,0
Bragança,935,709,709,0,0,140,86,0
Macedo de Cavaleiros,319,236,236,0,0,83,0,0
Miranda do Douro,113,79,79,0,0,34,0,0
Mirandela,593,342,342,0,0,251,0,0
Mogadouro,150,98,98,0,0,52,0,0
Vila Flor,96,65,65,0,0,31,0,0
Vimioso,0,0,0,0,0,0,0,0
Vinhais,92,85,85,0,0,7,0,0
Centro,55176,38940,38940,0,0,14700,1536,0
Oeste,8340,5879,5879,0,0,2461,0,0
Alcobaça,1140,673,673,0,0,467,0,0
Alenquer,1063,795,795,0,0,268,0,0
Arruda dos Vinhos,0,0,0,0,0,0,0,0
Bombarral,336,215,215,0,0,121,0,0
Cadaval,160,153,153,0,0,7,0,0
Caldas da Rainha,1767,1243,1243,0,0,524,0,0
Lourinhã,562,415,415,0,0,147,0,0
Nazaré,126,126,126,0,0,0,0,0
Óbidos,175,132,132,0,0,43,0,0
Peniche,568,420,420,0,0,148,0,0
Sobral de Monte Agraço,241,187,187,0,0,54,0,0
Torres Vedras,2202,1520,1520,0,0,682,0,0
Região de Aveiro,9407,6336,6336,0,0,2817,254,0
Águeda,1333,754,754,0,0,507,72,0
Albergaria-a-Velha,466,271,271,0,0,195,0,0
Anadia,631,425,425,0,0,206,0,0
Aveiro,2940,2206,2206,0,0,552,182,0
Estarreja,718,342,342,0,0,376,0,0
Ílhavo,766,500,500,0,0,266,0,0
Murtosa,118,118,118,0,0,0,0,0
Oliveira do Bairro,437,370,370,0,0,67,0,0
Ovar,1206,872,872,0,0,334,0,0
Sever do Vouga,294,220,220,0,0,74,0,0
Vagos,498,258,258,0,0,240,0,0
Região de Coimbra,10643,7536,7536,0,0,2696,411,0
Arganil,445,136,136,0,0,178,131,0
Cantanhede,562,530,530,0,0,32,0,0
Coimbra,4806,3170,3170,0,0,1356,280,0
Condeixa-a-Nova,360,300,300,0,0,60,0,0
Figueira da Foz,1641,1203,1203,0,0,438,0,0
Góis,0,0,0,0,0,0,0,0
Lousã,337,272,272,0,0,65,0,0
Mealhada,238,238,238,0,0,0,0,0
Mira,257,195,195,0,0,62,0,0
Miranda do Corvo,244,169,169,0,0,75,0,0
Montemor-o-Velho,277,207,207,0,0,70,0,0
Mortágua,190,127,127,0,0,63,0,0
Oliveira do Hospital,392,339,339,0,0,53,0,0
Pampilhosa da Serra,35,35,35,0,0,0,0,0
Penacova,206,160,160,0,0,46,0,0
Penela,0,0,0,0,0,0,0,0
Soure,285,214,214,0,0,71,0,0
Tábua,221,143,143,0,0,78,0,0
Vila Nova de Poiares,147,98,98,0,0,49,0,0
Região de Leiria,6993,5168,5168,0,0,1663,162,0
Alvaiázere,82,82,82,0,0,0,0,0
Ansião,280,238,238,0,0,42,0,0
Batalha,338,227,227,0,0,111,0,0
Castanheira de Pêra,0,0,0,0,0,0,0,0
Figueiró dos Vinhos,104,104,104,0,0,0,0,0
Leiria,3418,2524,2524,0,0,732,162,0
Marinha Grande,1273,885,885,0,0,388,0,0
Pedrógão Grande,0,0,0,0,0,0,0,0
Pombal,1074,782,782,0,0,292,0,0
Porto de Mós,424,326,326,0,0,98,0,0
Viseu Dão Lafões,7247,5020,5020,0,0,1900,327,0
Aguiar da Beira,134,112,112,0,0,22,0,0
Carregal do Sal,194,130,130,0,0,64,0,0
Castro Daire,338,250,250,0,0,88,0,0
Mangualde,536,339,339,0,0,197,0,0
Nelas,341,190,190,0,0,151,0,0
Oliveira de Frades,208,154,154,0,0,54,0,0
Penalva do Castelo,200,129,129,0,0,71,0,0
Santa Comba Dão,260,194,194,0,0,66,0,0
São Pedro do Sul,393,262,262,0,0,131,0,0
Sátão,265,194,194,0,0,71,0,0
Tondela,562,442,442,0,0,120,0,0
Vila Nova de Paiva,109,72,72,0,0,37,0,0
Viseu,3512,2427,2427,0,0,758,327,0
Vouzela,195,125,125,0,0,70,0,0
Beira Baixa,1904,1365,1365,0,0,429,110,0
Castelo Branco,1539,1040,1040,0,0,389,110,0
Idanha-a-Nova,94,94,94,0,0,0,0,0
Oleiros,71,60,60,0,0,11,0,0
Penamacor,68,68,68,0,0,0,0,0
Proença-a-Nova,132,103,103,0,0,29,0,0
Vila Velha de Ródão,0,0,0,0,0,0,0,0
Médio Tejo,5841,4189,4189,0,0,1506,146,0
Abrantes,1092,776,776,0,0,316,0,0
Alcanena,331,234,234,0,0,97,0,0
Constância,123,85,85,0,0,38,0,0
Entroncamento,647,475,475,0,0,172,0,0
Ferreira do Zêzere,109,98,98,0,0,11,0,0
Mação,158,65,65,0,0,93,0,0
Ourém,620,433,433,0,0,187,0,0
Sardoal,66,57,57,0,0,9,0,0
Sertã,314,245,245,0,0,69,0,0
Tomar,1260,805,805,0,0,309,146,0
Torres Novas,924,762,762,0,0,162,0,0
Vila de Rei,62,62,62,0,0,0,0,0
Vila Nova da Barquinha,135,92,92,0,0,43,0,0
Beiras e Serra da Estrela,4801,3447,3447,0,0,1228,126,0
Almeida,95,73,73,0,0,22,0,0
Belmonte,61,50,50,0,0,11,0,0
Celorico da Beira,140,100,100,0,0,40,0,0
Covilhã,1344,862,862,0,0,482,0,0
Figueira de Castelo Rodrigo,96,64,64,0,0,32,0,0
Fornos de Algodres,92,76,76,0,0,16,0,0
Fundão,588,387,387,0,0,201,0,0
Gouveia,222,170,170,0,0,52,0,0
Guarda,1111,864,864,0,0,121,126,0
Manteigas,44,44,44,0,0,0,0,0
Mêda,55,55,55,0,0,0,0,0
Pinhel,178,130,130,0,0,48,0,0
Sabugal,168,124,124,0,0,44,0,0
Seia,463,304,304,0,0,159,0,0
Trancoso,144,144,144,0,0,0,0,0
A. M. Lisboa,76947,54576,54570,6,1490,17575,3306,0
Alcochete,716,525,525,0,0,191,0,0
Almada,5079,3591,3591,0,0,1488,0,0
Amadora,4044,2137,2137,0,0,1329,578,0
Barreiro,3003,2338,2338,0,0,665,0,0
Cascais,5649,3854,3854,0,63,1402,330,0
Lisboa,16968,11588,11582,6,1427,3158,795,0
Loures,3804,2632,2632,0,0,1172,0,0
Mafra,1994,1549,1549,0,0,445,0,0
Moita,1000,654,654,0,0,346,0,0
Montijo,1240,1017,1017,0,0,223,0,0
Odivelas,3690,2866,2866,0,0,824,0,0
Oeiras,4743,4388,4388,0,0,355,0,0
Palmela,1624,1297,1297,0,0,327,0,0
Seixal,4198,2810,2810,0,0,946,442,0
Sesimbra,1350,1067,1067,0,0,283,0,0
Setúbal,3848,2656,2656,0,0,789,403,0
Sintra,9516,6922,6922,0,0,2315,279,0
Vila Franca de Xira,4481,2685,2685,0,0,1317,479,0
Alentejo,17878,12996,12996,0,0,4439,443,0
Alentejo Litoral,1898,1531,1531,0,0,367,0,0
Alcácer do Sal,235,215,215,0,0,20,0,0
Grândola,415,270,270,0,0,145,0,0
Odemira,350,291,291,0,0,59,0,0
Santiago do Cacém,609,500,500,0,0,109,0,0
Sines,289,255,255,0,0,34,0,0
Baixo Alentejo,2909,1964,1964,0,0,817,128,0
Aljustrel,159,104,104,0,0,55,0,0
Almodôvar,144,101,101,0,0,43,0,0
Alvito,0,0,0,0,0,0,0,0
Barrancos,0,0,0,0,0,0,0,0
Beja,1292,897,897,0,0,267,128,0
Castro Verde,202,143,143,0,0,59,0,0
Cuba,0,0,0,0,0,0,0,0
Ferreira do Alentejo,80,70,70,0,0,10,0,0
Mértola,145,91,91,0,0,54,0,0
Moura,354,286,286,0,0,68,0,0
Ourique,96,76,76,0,0,20,0,0
Serpa,437,196,196,0,0,241,0,0
Vidigueira,0,0,0,0,0,0,0,0
Lezíria do Tejo,5966,4489,4489,0,0,1372,105,0
Almeirim,520,323,323,0,0,197,0,0
Alpiarça,156,88,88,0,0,68,0,0
Azambuja,400,323,323,0,0,77,0,0
Benavente,710,530,530,0,0,180,0,0
Cartaxo,575,440,440,0,0,135,0,0
Chamusca,135,120,120,0,0,15,0,0
Coruche,299,280,280,0,0,19,0,0
Golegã,97,97,97,0,0,0,0,0
Rio Maior,676,500,500,0,0,176,0,0
Salvaterra de Magos,527,371,371,0,0,156,0,0
Santarém,1871,1417,1417,0,0,349,105,0
Alto Alentejo,2867,1828,1828,0,0,1013,26,0
Alter do Chão,179,51,51,0,0,128,0,0
Arronches,5,0,0,0,0,5,0,0
Avis,0,0,0,0,0,0,0,0
Campo Maior,206,145,145,0,0,61,0,0
Castelo de Vide,0,0,0,0,0,0,0,0
Crato,0,0,0,0,0,0,0,0
Elvas,679,430,430,0,0,249,0,0
Fronteira,0,0,0,0,0,0,0,0
Gavião,34,0,0,0,0,34,0,0
Marvão,0,0,0,0,0,0,0,0
Monforte,0,0,0,0,0,0,0,0
Nisa,103,69,69,0,0,34,0,0
Ponte de Sor,461,358,358,0,0,103,0,0
Portalegre,1080,775,775,0,0,279,26,0
Sousel,120,0,0,0,0,120,0,0
Alentejo Central,4238,3184,3184,0,0,870,184,0
Alandroal,0,0,0,0,0,0,0,0
Arraiolos,97,79,79,0,0,18,0,0
Borba,0,0,0,0,0,0,0,0
Estremoz,460,399,399,0,0,61,0,0
Évora,1887,1296,1296,0,0,407,184,0
Montemor-o-Novo,364,278,278,0,0,86,0,0
Mora,55,55,55,0,0,0,0,0
Mourão,0,0,0,0,0,0,0,0
Portel,5,0,0,0,0,5,0,0
Redondo,135,98,98,0,0,37,0,0
Reguengos de Monsaraz,347,250,250,0,0,97,0,0
Vendas Novas,393,327,327,0,0,66,0,0
Viana do Alentejo,161,132,132,0,0,29,0,0
Vila Viçosa,334,270,270,0,0,64,0,0
Algarve,14598,8968,8968,0,49,5357,224,0
Albufeira,1572,1014,1014,0,0,558,0,0
Alcoutim,0,0,0,0,0,0,0,0
Aljezur,0,0,0,0,0,0,0,0
Castro Marim,0,0,0,0,0,0,0,0
Faro,2680,1691,1691,0,49,895,45,0
Lagoa,359,169,169,0,0,190,0,0
Lagos,1334,770,770,0,0,564,0,0
Loulé,2052,1288,1288,0,0,764,0,0
Monchique,0,0,0,0,0,0,0,0
Olhão,1192,752,752,0,0,440,0,0
Portimão,2629,1471,1471,0,0,979,179,0
São Brás de Alportel,305,209,209,0,0,96,0,0
Silves,926,532,532,0,0,394,0,0
Tavira,765,538,538,0,0,227,0,0
Vila do Bispo,0,0,0,0,0,0,0,0
Vila Real de Santo António,784,534,534,0,0,250,0,0
R. A. Açores,6558,4730,4730,0,0,807,1021,0
Santa Maria,157,95,95,0,0,40,22,0
Vila do Porto,157,95,95,0,0,40,22,0
São Miguel,3932,2805,2805,0,0,767,360,0
Lagoa (R.A.A.),425,270,270,0,0,130,25,0
Nordeste,100,80,80,0,0,20,0,0
Ponta Delgada,2360,1730,1730,0,0,460,170,0
Povoação,141,141,141,0,0,0,0,0
Ribeira Grande,616,380,380,0,0,157,79,0
Vila Franca do Campo,290,204,204,0,0,0,86,0
Terceira,1351,942,942,0,0,0,409,0
Angra do Heroísmo,523,244,244,0,0,0,279,0
Vila da Praia da Vitória,828,698,698,0,0,0,130,0
Graciosa,105,62,62,0,0,0,43,0
Santa Cruz da Graciosa,105,62,62,0,0,0,43,0
São Jorge,223,167,167,0,0,0,56,0
Calheta (R.A.A.),98,87,87,0,0,0,11,0
Velas,125,80,80,0,0,0,45,0
Pico,293,244,244,0,0,0,49,0
Lajes do Pico,115,76,76,0,0,0,39,0
Madalena,110,100,100,0,0,0,10,0
São Roque do Pico,68,68,68,0,0,0,0,0
Faial,396,332,332,0,0,0,64,0
Horta,396,332,332,0,0,0,64,0
Flores,84,66,66,0,0,0,18,0
Lajes das Flores,0,0,0,0,0,0,0,0
Santa Cruz das Flores,84,66,66,0,0,0,18,0
Corvo,17,17,17,0,0,0,0,0
Corvo,17,17,17,0,0,0,0,0
R. A. Madeira,7717,5525,5525,0,0,1704,157,331
Calheta (R.A.M.),259,182,182,0,0,77,0,0
Câmara de Lobos,231,154,154,0,0,34,0,43
Funchal,5351,3845,3845,0,0,1112,157,237
Machico,544,426,426,0,0,118,0,0
Ponta do Sol,239,161,161,0,0,58,0,20
Porto Moniz,68,68,68,0,0,0,0,0
Ribeira Brava,362,255,255,0,0,76,0,31
Santa Cruz,247,114,114,0,0,133,0,0
Santana,155,107,107,0,0,48,0,0
São Vicente,117,98,98,0,0,19,0,0
Porto Santo,144,115,115,0,0,29,0,0
