,"Ensino básico, 1º Ciclo, Total (N.º)","Ensino básico, 1º Ciclo, Público (N.º)","Ensino básico, 1º Ciclo, Privado  (N.º)","Ensino básico, 2º Ciclo, Total (N.º)","Ensino básico, 2º Ciclo, Público (N.º)","Ensino básico, 2º Ciclo, Privado  (N.º)","Ensino básico, 3º Ciclo, Total (N.º)","Ensino básico, 3º Ciclo, Público (N.º)","Ensino básico, 3º Ciclo, Privado  (N.º)","Ensino secundário, 3º Ciclo, Total (N.º)","Ensino secundário, 3º Ciclo, Público (N.º)","Ensino secundário, 3º Ciclo, Privado  (N.º)"
Portugal,1770,1669,101,3568,2780,788,14956,11244,3712,43679,32619,11060
Continente,1173,1072,101,3326,2538,788,13978,10276,3702,41670,30618,11052
Norte,308,236,72,1639,963,676,5490,3047,2443,13948,7685,6263
Alto Minho,9,0,9,44,0,44,240,72,168,660,289,371
Arcos de Valdevez,0,0,0,2,0,2,19,0,19,111,10,101
Caminha,0,0,0,6,0,6,13,0,13,26,0,26
Melgaço,0,0,0,0,0,0,0,0,0,0,0,0
Monção,0,0,0,1,0,1,14,0,14,51,13,38
Paredes de Coura,0,0,0,0,0,0,14,0,14,3,0,3
Ponte da Barca,1,0,1,17,0,17,28,0,28,30,0,30
Ponte de Lima,3,0,3,2,0,2,29,0,29,117,8,109
Valença,0,0,0,0,0,0,4,4,0,24,24,0
Viana do Castelo,5,0,5,16,0,16,119,68,51,298,234,64
Vila Nova de Cerveira,0,0,0,0,0,0,0,0,0,0,0,0
Cávado,22,21,1,86,54,32,447,234,213,1425,668,757
Amares,0,0,0,1,1,0,0,0,0,6,6,0
Barcelos,1,0,1,11,0,11,109,52,57,370,59,311
Braga,19,19,0,50,50,0,223,165,58,802,497,305
Esposende,2,2,0,3,3,0,17,17,0,88,73,15
Terras de Bouro,0,0,0,0,0,0,0,0,0,0,0,0
Vila Verde,0,0,0,21,0,21,98,0,98,159,33,126
Ave,11,10,1,129,116,13,392,207,185,1155,815,340
Cabeceiras de Basto,0,0,0,12,0,12,29,0,29,58,0,58
Fafe,1,0,1,1,0,1,59,0,59,125,8,117
Guimarães,0,0,0,15,15,0,121,67,54,315,254,61
Mondim de Basto,0,0,0,0,0,0,0,0,0,0,0,0
Póvoa de Lanhoso,0,0,0,12,12,0,33,15,18,47,32,15
Vieira do Minho,0,0,0,0,0,0,0,0,0,12,12,0
Vila Nova de Famalicão,10,10,0,89,89,0,108,108,0,399,399,0
Vizela,0,0,0,0,0,0,42,17,25,199,110,89
A. M. Porto,164,124,40,793,607,186,2595,1786,809,6826,4032,2794
Arouca,0,0,0,0,0,0,31,11,20,75,0,75
Espinho,0,0,0,2,0,2,118,0,118,99,10,89
Gondomar,0,0,0,12,9,3,155,111,44,419,288,131
Maia,20,12,8,39,16,23,122,87,35,244,144,100
Matosinhos,32,27,5,125,113,12,374,289,85,539,417,122
Oliveira de Azeméis,0,0,0,19,19,0,55,55,0,125,125,0
Paredes,16,0,16,109,3,106,159,63,96,243,75,168
Porto,29,28,1,160,154,6,368,278,90,1730,903,827
Póvoa de Varzim,0,0,0,15,15,0,106,106,0,261,261,0
Santa Maria da Feira,12,12,0,88,88,0,251,210,41,735,596,139
Santo Tirso,11,11,0,0,0,0,60,60,0,111,111,0
São João da Madeira,0,0,0,15,15,0,69,69,0,230,230,0
Trofa,1,1,0,12,12,0,32,32,0,73,73,0
Vale de Cambra,0,0,0,0,0,0,10,10,0,19,19,0
Valongo,0,0,0,12,2,10,137,55,82,300,61,239
Vila do Conde,1,0,1,8,0,8,48,18,30,173,63,110
Vila Nova de Gaia,42,33,9,177,161,16,500,332,168,1450,656,794
Alto Tâmega,1,1,0,23,23,0,131,115,16,373,337,36
Boticas,0,0,0,0,0,0,0,0,0,0,0,0
Chaves,0,0,0,22,22,0,54,53,1,215,179,36
Montalegre,0,0,0,0,0,0,0,0,0,0,0,0
Ribeira de Pena,0,0,0,0,0,0,0,0,0,0,0,0
Valpaços,0,0,0,0,0,0,38,38,0,77,77,0
Vila Pouca de Aguiar,1,1,0,1,1,0,39,24,15,81,81,0
Tâmega e Sousa,50,42,8,295,130,165,1058,434,624,1920,910,1010
Amarante,0,0,0,0,0,0,46,46,0,105,87,18
Baião,0,0,0,0,0,0,0,0,0,15,15,0
Castelo de Paiva,0,0,0,76,0,76,120,0,120,105,0,105
Celorico de Basto,1,1,0,11,11,0,20,20,0,38,38,0
Cinfães,0,0,0,3,3,0,14,14,0,62,45,17
Felgueiras,0,0,0,8,3,5,93,38,55,330,224,106
Lousada,0,0,0,19,19,0,68,49,19,166,166,0
Marco de Canaveses,0,0,0,10,10,0,41,30,11,120,97,23
Paços de Ferreira,27,27,0,69,47,22,233,111,122,315,81,234
Penafiel,22,14,8,99,37,62,423,126,297,637,148,489
Resende,0,0,0,0,0,0,0,0,0,27,9,18
Douro,9,1,8,103,27,76,267,143,124,652,357,295
Alijó,1,1,0,1,1,0,19,19,0,28,28,0
