,"Ensino secundário, Total (N.º)","Ensino secundário, das quais, Ensino regular, Total (N.º)","Ensino secundário, das quais, Ensino regular, Cursos gerais/
científico-humanísticos (N.º)","Ensino secundário, das quais, Ensino regular, Cursos tecnológicos (N.º)","Ensino secundário, das quais, Ensino artístico, Cursos tecnológicos (N.º)","Ensino secundário, das quais, Cursos profissionais, Cursos tecnológicos (N.º)","Ensino secundário, das quais, Cursos de aprendizagem, Cursos tecnológicos (N.º)","Ensino secundário, das quais, Cursos de educação e formação, Cursos tecnológicos (N.º)"
Estarreja,718,342,342,0,0,376,0,0
Ílhavo,766,500,500,0,0,266,0,0
Murtosa,118,118,118,0,0,0,0,0
Oliveira do Bairro,559,370,370,0,0,189,0,0
Ovar,1412,872,872,0,0,401,139,0
Sever do Vouga,548,220,220,0,0,328,0,0
Vagos,781,493,493,0,0,288,0,0
Região de Coimbra,13632,8061,8061,0,0,4765,806,0
Arganil,445,136,136,0,0,178,131,0
Cantanhede,875,530,530,0,0,345,0,0
Coimbra,6094,3633,3633,0,0,1786,675,0
Condeixa-a-Nova,360,300,300,0,0,60,0,0
Figueira da Foz,1885,1203,1203,0,0,682,0,0
Góis,0,0,0,0,0,0,0,0
Lousã,498,272,272,0,0,226,0,0
Mealhada,542,238,238,0,0,304,0,0
Mira,257,195,195,0,0,62,0,0
Miranda do Corvo,244,169,169,0,0,75,0,0
Montemor-o-Velho,374,207,207,0,0,167,0,0
Mortágua,190,127,127,0,0,63,0,0
Oliveira do Hospital,608,339,339,0,0,269,0,0
Pampilhosa da Serra,35,35,35,0,0,0,0,0
Penacova,433,160,160,0,0,273,0,0
Penela,30,0,0,0,0,30,0,0
Soure,347,276,276,0,0,71,0,0
Tábua,268,143,143,0,0,125,0,0
Vila Nova de Poiares,147,98,98,0,0,49,0,0
Região de Leiria,9509,5494,5454,40,0,3637,378,0
Alvaiázere,136,82,82,0,0,54,0,0
Ansião,511,238,238,0,0,273,0,0
Batalha,338,227,227,0,0,111,0,0
Castanheira de Pêra,0,0,0,0,0,0,0,0
Figueiró dos Vinhos,104,104,104,0,0,0,0,0
Leiria,4115,2586,2546,40,0,1175,354,0
Marinha Grande,1539,937,937,0,0,602,0,0
Pedrógão Grande,192,0,0,0,0,168,24,0
Pombal,1795,994,994,0,0,801,0,0
Porto de Mós,779,326,326,0,0,453,0,0
Viseu Dão Lafões,8450,5020,5020,0,0,3103,327,0
Aguiar da Beira,134,112,112,0,0,22,0,0
Carregal do Sal,194,130,130,0,0,64,0,0
Castro Daire,405,250,250,0,0,155,0,0
Mangualde,536,339,339,0,0,197,0,0
Nelas,341,190,190,0,0,151,0,0
Oliveira de Frades,208,154,154,0,0,54,0,0
Penalva do Castelo,200,129,129,0,0,71,0,0
Santa Comba Dão,260,194,194,0,0,66,0,0
São Pedro do Sul,535,262,262,0,0,273,0,0
Sátão,265,194,194,0,0,71,0,0
Tondela,892,442,442,0,0,450,0,0
Vila Nova de Paiva,109,72,72,0,0,37,0,0
Viseu,4003,2427,2427,0,0,1249,327,0
Vouzela,368,125,125,0,0,243,0,0
Beira Baixa,2219,1365,1365,0,0,744,110,0
Castelo Branco,1770,1040,1040,0,0,620,110,0
Idanha-a-Nova,178,94,94,0,0,84,0,0
Oleiros,71,60,60,0,0,11,0,0
Penamacor,68,68,68,0,0,0,0,0
Proença-a-Nova,132,103,103,0,0,29,0,0
Vila Velha de Ródão,0,0,0,0,0,0,0,0
Médio Tejo,7807,4899,4604,295,0,2762,146,0
Abrantes,1092,776,776,0,0,316,0,0
Alcanena,331,234,234,0,0,97,0,0
Constância,123,85,85,0,0,38,0,0
Entroncamento,796,475,475,0,0,321,0,0
Ferreira do Zêzere,109,98,98,0,0,11,0,0
Mação,158,65,65,0,0,93,0,0
Ourém,1895,1124,829,295,0,771,0,0
Sardoal,66,57,57,0,0,9,0,0
Sertã,495,264,264,0,0,231,0,0
Tomar,1376,805,805,0,0,425,146,0
Torres Novas,1169,762,762,0,0,407,0,0
Vila de Rei,62,62,62,0,0,0,0,0
Vila Nova da Barquinha,135,92,92,0,0,43,0,0
Beiras e Serra da Estrela,6144,3461,3461,0,0,2519,164,0
Almeida,95,73,73,0,0,22,0,0
Belmonte,61,50,50,0,0,11,0,0
Celorico da Beira,140,100,100,0,0,40,0,0
Covilhã,1442,862,862,0,0,580,0,0
Figueira de Castelo Rodrigo,96,64,64,0,0,32,0,0
Fornos de Algodres,92,76,76,0,0,16,0,0
Fundão,770,387,387,0,0,383,0,0
Gouveia,331,170,170,0,0,161,0,0
Guarda,1559,878,878,0,0,535,146,0
Manteigas,74,44,44,0,0,30,0,0
Mêda,55,55,55,0,0,0,0,0
Pinhel,178,130,130,0,0,48,0,0
Sabugal,168,124,124,0,0,44,0,0
Seia,671,304,304,0,0,349,18,0
Trancoso,412,144,144,0,0,268,0,0
A. M. Lisboa,103659,64859,64853,6,1499,30855,6425,21
Alcochete,716,525,525,0,0,191,0,0
Almada,6220,3931,3931,0,0,2289,0,0
Amadora,5249,2271,2271,0,0,2124,854,0
Barreiro,3334,2433,2433,0,0,901,0,0
Cascais,8247,6116,6116,0,63,1738,330,0
Lisboa,30754,16294,16288,6,1436,10435,2568,21
Loures,4275,2913,2913,0,0,1362,0,0
Mafra,2924,2079,2079,0,0,845,0,0
Moita,1559,654,654,0,0,905,0,0
Montijo,1582,1017,1017,0,0,565,0,0
Odivelas,3895,3071,3071,0,0,824,0,0
Oeiras,5633,4737,4737,0,0,896,0,0
Palmela,2558,1736,1736,0,0,327,495,0
Seixal,4815,3210,3210,0,0,1163,442,0
Sesimbra,1460,1067,1067,0,0,393,0,0
Setúbal,4625,2666,2666,0,0,1260,699,0
Sintra,10986,7397,7397,0,0,3031,558,0
Vila Franca de Xira,4827,2742,2742,0,0,1606,479,0
Alentejo,21481,13198,13198,0,0,7453,830,0
Alentejo Litoral,2603,1653,1653,0,0,950,0,0
Alcácer do Sal,235,215,215,0,0,20,0,0
Grândola,415,270,270,0,0,145,0,0
Odemira,799,413,413,0,0,386,0,0
Santiago do Cacém,609,500,500,0,0,109,0,0
Sines,545,255,255,0,0,290,0,0
Baixo Alentejo,3572,1964,1964,0,0,1449,159,0
Aljustrel,159,104,104,0,0,55,0,0
Almodôvar,144,101,101,0,0,43,0,0
Alvito,141,0,0,0,0,141,0,0
Barrancos,0,0,0,0,0,0,0,0
Beja,1438,897,897,0,0,382,159,0
Castro Verde,202,143,143,0,0,59,0,0
Cuba,160,0,0,0,0,160,0,0
Ferreira do Alentejo,80,70,70,0,0,10,0,0
Mértola,177,91,91,0,0,86,0,0
Moura,438,286,286,0,0,152,0,0
Ourique,96,76,76,0,0,20,0,0
Serpa,437,196,196,0,0,241,0,0
Vidigueira,100,0,0,0,0,100,0,0
Lezíria do Tejo,7437,4489,4489,0,0,2682,266,0
Almeirim,520,323,323,0,0,197,0,0
Alpiarça,156,88,88,0,0,68,0,0
Azambuja,400,323,323,0,0,77,0,0
Benavente,710,530,530,0,0,180,0,0
Cartaxo,575,440,440,0,0,135,0,0
Chamusca,135,120,120,0,0,15,0,0
Coruche,446,280,280,0,0,166,0,0
Golegã,97,97,97,0,0,0,0,0
Rio Maior,815,500,500,0,0,315,0,0
Salvaterra de Magos,891,371,371,0,0,520,0,0
Santarém,2692,1417,1417,0,0,1009,266,0
Alto Alentejo,2966,1828,1828,0,0,1064,74,0
Alter do Chão,179,51,51,0,0,128,0,0
Arronches,5,0,0,0,0,5,0,0
Avis,0,0,0,0,0,0,0,0
Campo Maior,254,145,145,0,0,61,48,0
Castelo de Vide,0,0,0,0,0,0,0,0
Crato,51,0,0,0,0,51,0,0
Elvas,679,430,430,0,0,249,0,0
Fronteira,0,0,0,0,0,0,0,0
Gavião,34,0,0,0,0,34,0,0
Marvão,0,0,0,0,0,0,0,0
Monforte,0,0,0,0,0,0,0,0
Nisa,103,69,69,0,0,34,0,0
Ponte de Sor,461,358,358,0,0,103,0,0
Portalegre,1080,775,775,0,0,279,26,0
Sousel,120,0,0,0,0,120,0,0
Alentejo Central,4903,3264,3264,0,0,1308,331,0
Alandroal,0,0,0,0,0,0,0,0
Arraiolos,97,79,79,0,0,18,0,0
Borba,0,0,0,0,0,0,0,0
Estremoz,460,399,399,0,0,61,0,0
Évora,2467,1376,1376,0,0,845,246,0
Montemor-o-Novo,381,278,278,0,0,86,17,0
Mora,55,55,55,0,0,0,0,0
Mourão,0,0,0,0,0,0,0,0
Portel,5,0,0,0,0,5,0,0
Redondo,135,98,98,0,0,37,0,0
Reguengos de Monsaraz,347,250,250,0,0,97,0,0
Vendas Novas,461,327,327,0,0,66,68,0
Viana do Alentejo,161,132,132,0,0,29,0,0
Vila Viçosa,334,270,270,0,0,64,0,0
Algarve,15277,9199,9199,0,49,5639,390,0
Albufeira,1572,1014,1014,0,0,558,0,0
Alcoutim,0,0,0,0,0,0,0,0
Aljezur,23,23,23,0,0,0,0,0
Castro Marim,0,0,0,0,0,0,0,0
Faro,2755,1691,1691,0,49,970,45,0
Lagoa,428,238,238,0,0,190,0,0
Lagos,1350,786,786,0,0,564,0,0
Loulé,2239,1382,1382,0,0,857,0,0
Monchique,0,0,0,0,0,0,0,0
Olhão,1192,752,752,0,0,440,0,0
Portimão,2909,1471,1471,0,0,1093,345,0
São Brás de Alportel,305,209,209,0,0,96,0,0
Silves,955,561,561,0,0,394,0,0
Tavira,765,538,538,0,0,227,0,0
Vila do Bispo,0,0,0,0,0,0,0,0
Vila Real de Santo António,784,534,534,0,0,250,0,0
R. A. Açores,8561,4828,4828,0,0,2712,1021,0
Santa Maria,157,95,95,0,0,40,22,0
Vila do Porto,157,95,95,0,0,40,22,0
São Miguel,5233,2903,2903,0,0,1970,360,0
Lagoa (R.A.A.),481,270,270,0,0,186,25,0
Nordeste,149,80,80,0,0,69,0,0
Ponta Delgada,3237,1828,1828,0,0,1239,170,0
Povoação,227,141,141,0,0,86,0,0
Ribeira Grande,745,380,380,0,0,286,79,0
Vila Franca do Campo,394,204,204,0,0,104,86,0
Terceira,1744,942,942,0,0,393,409,0
Angra do Heroísmo,683,244,244,0,0,160,279,0
Vila da Praia da Vitória,1061,698,698,0,0,233,130,0
Graciosa,105,62,62,0,0,0,43,0
Santa Cruz da Graciosa,105,62,62,0,0,0,43,0
São Jorge,326,167,167,0,0,103,56,0
Calheta (R.A.A.),98,87,87,0,0,0,11,0
Velas,228,80,80,0,0,103,45,0
Pico,386,244,244,0,0,93,49,0
Lajes do Pico,115,76,76,0,0,0,39,0
Madalena,203,100,100,0,0,93,10,0
São Roque do Pico,68,68,68,0,0,0,0,0
Faial,509,332,332,0,0,113,64,0
Horta,509,332,332,0,0,113,64,0
Flores,84,66,66,0,0,0,18,0
Lajes das Flores,0,0,0,0,0,0,0,0
Santa Cruz das Flores,84,66,66,0,0,0,18,0
Corvo,17,17,17,0,0,0,0,0
Corvo,17,17,17,0,0,0,0,0
R. A. Madeira,9260,5846,5846,0,0,2838,157,419
Calheta (R.A.M.),259,182,182,0,0,77,0,0
Câmara de Lobos,231,154,154,0,0,34,0,43
Funchal,6894,4166,4166,0,0,2246,157,325
Machico,544,426,426,0,0,118,0,0
Ponta do Sol,239,161,161,0,0,58,0,20
Porto Moniz,68,68,68,0,0,0,0,0
Ribeira Brava,362,255,255,0,0,76,0,31
Santa Cruz,247,114,114,0,0,133,0,0
Santana,155,107,107,0,0,48,0,0
São Vicente,117,98,98,0,0,19,0,0
Porto Santo,144,115,115,0,0,29,0,0
