,"Ensino básico, 3º Ciclo, Total (N.º)","Ensino básico, 3º Ciclo, das quais, Ensino recorrente  (N.º)","Ensino básico, 3º Ciclo, das quais, Cursos de Educação e Formação de Adultos (N.º)","Ensino básico, 3º Ciclo, das quais, Sistema de Reconhecimento, Validação e Certificação de Competências (N.º)","Ensino secundário, 3º Ciclo, Total, Sistema de Reconhecimento, Validação e Certificação de Competências (N.º)","Ensino secundário, 3º Ciclo, das quais, Ensino recorrente (N.º)","Ensino secundário, 3º Ciclo, das quais, Cursos de Educação e Formação de Adultos (N.º)","Ensino secundário, 3º Ciclo, das quais, Sistema de Reconhecimento, Validação e Certificação de Competências (N.º)"
Portugal,17962,107,10571,6791,50082,2392,26273,20369
Continente,16720,95,10171,6265,48295,2339,25300,19958
Norte,6909,0,3827,3031,16687,624,7802,8063
Alto Minho,239,0,71,166,950,0,441,502
Arcos de Valdevez,11,0,0,11,72,0,40,32
Caminha,8,0,0,8,23,0,0,23
Melgaço,0,0,0,0,0,0,0,0
Monção,33,0,0,33,87,0,19,68
Paredes de Coura,0,0,0,0,17,0,17,0
Ponte da Barca,58,0,0,58,120,0,0,120
Ponte de Lima,19,0,0,19,181,0,82,99
Valença,5,0,0,5,28,0,0,28
Viana do Castelo,105,0,71,32,422,0,283,132
Vila Nova de Cerveira,0,0,0,0,0,0,0,0
Cávado,610,0,305,301,1691,53,633,997
Amares,8,0,0,8,46,0,15,28
Barcelos,177,0,131,45,243,0,89,154
Braga,308,0,174,131,1072,53,442,576
Esposende,35,0,0,35,109,0,42,65
Terras de Bouro,0,0,0,0,0,0,0,0
Vila Verde,82,0,0,82,221,0,45,174
Ave,422,0,160,262,1282,0,710,555
Cabeceiras de Basto,37,0,0,37,66,0,16,50
Fafe,66,0,38,28,143,0,68,75
Guimarães,119,0,41,78,378,0,198,166
Mondim de Basto,0,0,0,0,0,0,0,0
Póvoa de Lanhoso,53,0,34,19,69,0,48,21
Vieira do Minho,0,0,0,0,24,0,24,0
Vila Nova de Famalicão,100,0,47,53,423,0,287,136
Vizela,47,0,0,47,179,0,69,107
A. M. Porto,3203,0,2050,1121,8046,486,3800,3669
Arouca,33,0,33,0,91,0,0,91
Espinho,62,0,52,10,107,0,60,47
Gondomar,175,0,85,90,395,56,140,191
Maia,120,0,64,56,313,0,176,135
Matosinhos,389,0,311,75,674,12,438,213
Oliveira de Azeméis,99,0,82,17,184,0,114,68
Paredes,189,0,71,117,482,0,76,387
Porto,491,0,382,109,2071,390,1095,564
Póvoa de Varzim,81,0,0,80,232,0,75,156
Santa Maria da Feira,462,0,334,126,816,28,504,280
Santo Tirso,56,0,27,27,210,0,137,72
São João da Madeira,80,0,48,31,222,0,115,105
Trofa,37,0,10,26,88,0,55,33
Vale de Cambra,0,0,0,0,27,0,27,0
Valongo,175,0,107,68,361,0,149,212
Vila do Conde,62,0,9,53,137,0,22,113
Vila Nova de Gaia,692,0,435,236,1636,0,617,1002
Alto Tâmega,194,0,144,50,395,18,259,116
Boticas,0,0,0,0,0,0,0,0
Chaves,127,0,97,30,268,18,178,70
Montalegre,0,0,0,0,15,0,15,0
Ribeira de Pena,0,0,0,0,0,0,0,0
Valpaços,42,0,36,6,55,0,36,19
Vila Pouca de Aguiar,25,0,11,14,57,0,30,27
Tâmega e Sousa,1346,0,821,515,2315,6,1283,976
Amarante,85,0,48,36,211,0,112,77
Baião,15,0,15,0,105,0,105,0
Castelo de Paiva,222,0,203,19,136,0,84,52
Celorico de Basto,14,0,0,14,32,0,12,20
Cinfães,22,0,16,6,124,0,104,19
Felgueiras,148,0,63,85,318,0,86,230
Lousada,59,0,38,20,190,6,97,83
Marco de Canaveses,135,0,105,30,193,0,164,27
Paços de Ferreira,258,0,183,71,269,0,148,111
Penafiel,368,0,130,234,704,0,338,357
Resende,20,0,20,0,33,0,33,0
Douro,442,0,133,307,956,61,244,648
Alijó,17,0,0,15,23,0,0,23
Armamar,0,0,0,0,0,0,0,0
Carrazeda de Ansiães,0,0,0,0,0,0,0,0
Freixo de Espada à Cinta,0,0,0,0,0,0,0,0
Lamego,125,0,68,57,240,0,146,94
Mesão Frio,0,0,0,0,15,0,15,0
Moimenta da Beira,45,0,34,11,90,0,14,74
Murça,0,0,0,0,0,0,0,0
Penedono,0,0,0,0,0,0,0,0
Peso da Régua,17,0,0,17,53,0,0,52
Sabrosa,0,0,0,0,0,0,0,0
Santa Marta de Penaguião,0,0,0,0,0,0,0,0
São João da Pesqueira,86,0,18,68,110,0,0,110
Sernancelhe,0,0,0,0,0,0,0,0
Tabuaço,0,0,0,0,0,0,0,0
Tarouca,0,0,0,0,0,0,0,0
Torre de Moncorvo,0,0,0,0,0,0,0,0
Vila Nova de Foz Côa,0,0,0,0,0,0,0,0
Vila Real,152,0,13,139,425,61,69,295
Terras de Trás-os-Montes,453,0,143,309,1052,0,432,600
Alfândega da Fé,0,0,0,0,0,0,0,0
Bragança,194,0,91,103,355,0,155,195
Macedo de Cavaleiros,29,0,12,17,109,0,50,57
Miranda do Douro,0,0,0,0,0,0,0,0
Mirandela,176,0,40,135,469,0,208,248
Mogadouro,54,0,0,54,119,0,19,100
Vila Flor,0,0,0,0,0,0,0,0
Vimioso,0,0,0,0,0,0,0,0
Vinhais,0,0,0,0,0,0,0,0
Centro,3686,0,2118,1531,11190,372,5589,5053
Oeste,449,0,255,193,1651,40,1051,534
Alcobaça,101,0,56,45,266,0,146,119
Alenquer,64,0,42,22,203,40,113,50
Arruda dos Vinhos,0,0,0,0,0,0,0,0
Bombarral,36,0,20,16,83,0,44,35
Cadaval,10,0,0,10,38,0,0,38
Caldas da Rainha,97,0,73,23,419,0,313,101
Lourinhã,17,0,0,17,192,0,115,63
Nazaré,50,0,36,14,53,0,16,37
Óbidos,0,0,0,0,0,0,0,0
Peniche,44,0,17,27,73,0,49,24
Sobral de Monte Agraço,0,0,0,0,24,0,24,0
Torres Vedras,30,0,11,19,300,0,231,67
Região de Aveiro,992,0,647,327,2332,111,969,1208
Águeda,209,0,150,44,422,1,195,197
Albergaria-a-Velha,2,0,0,2,29,0,0,29
Anadia,27,0,0,26,98,0,28,70
Aveiro,360,0,238,121,912,0,410,490
Estarreja,89,0,75,14,116,0,75,41
Ílhavo,54,0,42,12,150,0,118,29
Murtosa,0,0,0,0,9,0,9,0
Oliveira do Bairro,0,0,0,0,0,0,0,0
Ovar,198,0,122,75,453,110,122,221
Sever do Vouga,19,0,0,19,95,0,0,95
Vagos,34,0,20,14,48,0,12,36
Região de Coimbra,735,0,396,332,2446,56,1305,1062
Arganil,39,0,22,13,191,0,36,153
Cantanhede,8,0,0,8,100,0,49,49
Coimbra,434,0,280,151,1194,56,750,374
Condeixa-a-Nova,0,0,0,0,0,0,0,0
Figueira da Foz,74,0,47,27,277,0,148,129
Góis,0,0,0,0,0,0,0,0
Lousã,20,0,0,20,112,0,32,80
Mealhada,34,0,12,22,51,0,23,28
Mira,0,0,0,0,18,0,18,0
Miranda do Corvo,0,0,0,0,16,0,16,0
Montemor-o-Velho,13,0,0,13,42,0,15,27
Mortágua,0,0,0,0,0,0,0,0
Oliveira do Hospital,49,0,35,14,134,0,77,57
Pampilhosa da Serra,0,0,0,0,0,0,0,0
Penacova,13,0,0,13,54,0,0,53
Penela,0,0,0,0,0,0,0,0
Soure,32,0,0,32,126,0,91,31
Tábua,0,0,0,0,35,0,35,0
Vila Nova de Poiares,19,0,0,19,96,0,15,81
Região de Leiria,326,0,152,171,1182,0,529,640
Alvaiázere,9,0,9,0,10,0,10,0
Ansião,8,0,0,8,93,0,67,26
Batalha,22,0,0,22,97,0,37,56
Castanheira de Pêra,0,0,0,0,0,0,0,0
Figueiró dos Vinhos,0,0,0,0,0,0,0,0
Leiria,162,0,95,66,501,0,182,313
Marinha Grande,62,0,36,26,208,0,98,109
Pedrógão Grande,8,0,0,8,80,0,42,38
Pombal,55,0,12,41,193,0,93,98
Porto de Mós,0,0,0,0,0,0,0,0
Viseu Dão Lafões,445,0,235,204,1143,81,583,454
Aguiar da Beira,0,0,0,0,0,0,0,0
