,"Ensino secundário, Total (N.º)","Ensino secundário, Público (N.º)","Ensino secundário, Privado  (N.º)","Ensino pós-secundário não superior , Total (N.º)","Ensino pós-secundário não superior , Público (N.º)","Ensino pós-secundário não superior , Privado  (N.º)"
Góis,0,0,0,0,0,0
Lousã,628,376,252,0,0,0
Mealhada,602,252,350,0,0,0
Mira,296,278,18,0,0,0
Miranda do Corvo,247,247,0,0,0,0
Montemor-o-Velho,442,302,140,0,0,0
Mortágua,162,162,0,0,0,0
Oliveira do Hospital,707,452,255,0,0,0
Pampilhosa da Serra,35,35,0,0,0,0
Penacova,441,186,255,0,0,0
Penela,26,0,26,0,0,0
Soure,484,399,85,0,0,0
Tábua,281,239,42,0,0,0
Vila Nova de Poiares,218,137,81,0,0,0
Região de Leiria,10785,7787,2998,79,79,0
Alvaiázere,136,86,50,0,0,0
Ansião,627,328,299,0,0,0
Batalha,472,472,0,0,0,0
Castanheira de Pêra,0,0,0,0,0,0
Figueiró dos Vinhos,106,106,0,0,0,0
Leiria,4592,3738,854,79,79,0
Marinha Grande,1739,1374,365,0,0,0
Pedrógão Grande,267,0,267,0,0,0
Pombal,2076,1261,815,0,0,0
Porto de Mós,770,422,348,0,0,0
Viseu Dão Lafões,9557,8097,1460,90,90,0
Aguiar da Beira,136,136,0,0,0,0
Carregal do Sal,233,233,0,0,0,0
Castro Daire,469,397,72,0,0,0
Mangualde,567,549,18,0,0,0
Nelas,368,368,0,0,0,0
Oliveira de Frades,249,249,0,0,0,0
Penalva do Castelo,195,195,0,0,0,0
Santa Comba Dão,269,269,0,0,0,0
São Pedro do Sul,644,465,179,0,0,0
Sátão,268,268,0,0,0,0
Tondela,998,635,363,0,0,0
Vila Nova de Paiva,120,120,0,0,0,0
Viseu,4632,4012,620,90,90,0
Vouzela,409,201,208,0,0,0
Beira Baixa,2511,2120,391,22,22,0
Castelo Branco,2034,1730,304,22,22,0
Idanha-a-Nova,208,121,87,0,0,0
Oleiros,57,57,0,0,0,0
Penamacor,70,70,0,0,0,0
Proença-a-Nova,142,142,0,0,0,0
Vila Velha de Ródão,0,0,0,0,0,0
Médio Tejo,9140,6885,2255,54,54,0
Abrantes,1350,1328,22,0,0,0
Alcanena,430,430,0,0,0,0
Constância,120,120,0,0,0,0
Entroncamento,936,621,315,0,0,0
Ferreira do Zêzere,119,119,0,0,0,0
Mação,191,191,0,0,0,0
Ourém,2025,726,1299,0,0,0
Sardoal,87,87,0,0,0,0
Sertã,561,371,190,0,0,0
Tomar,1795,1676,119,54,54,0
Torres Novas,1308,998,310,0,0,0
Vila de Rei,57,57,0,0,0,0
Vila Nova da Barquinha,161,161,0,0,0,0
Beiras e Serra da Estrela,6727,5198,1529,32,32,0
Almeida,76,76,0,0,0,0
Belmonte,92,92,0,0,0,0
Celorico da Beira,142,142,0,0,0,0
Covilhã,1642,1538,104,0,0,0
Figueira de Castelo Rodrigo,85,85,0,0,0,0
Fornos de Algodres,100,100,0,0,0,0
Fundão,908,701,207,0,0,0
Gouveia,351,247,104,0,0,0
Guarda,1659,1129,530,32,32,0
Manteigas,82,47,35,0,0,0
Mêda,59,59,0,0,0,0
Pinhel,213,213,0,0,0,0
Sabugal,171,171,0,0,0,0
Seia,716,453,263,0,0,0
Trancoso,431,145,286,0,0,0
A. M. Lisboa,118339,89191,29148,2606,2606,0
Alcochete,762,762,0,0,0,0
Almada,7035,5566,1469,0,0,0
Amadora,6550,5418,1132,28,28,0
Barreiro,3923,3570,353,0,0,0
Cascais,8883,6202,2681,178,178,0
Lisboa,34219,19126,15093,1978,1978,0
Loures,4926,4329,597,59,59,0
Mafra,3238,2119,1119,0,0,0
Moita,1894,1353,541,0,0,0
Montijo,1923,1531,392,0,0,0
Odivelas,4426,4210,216,0,0,0
Oeiras,6034,5150,884,0,0,0
Palmela,2910,1677,1233,0,0,0
Seixal,6045,5285,760,83,83,0
Sesimbra,1602,1504,98,0,0,0
Setúbal,5550,4773,777,175,175,0
Sintra,12768,11295,1473,78,78,0
Vila Franca de Xira,5651,5321,330,27,27,0
Alentejo,25350,20832,4518,347,347,0
Alentejo Litoral,3160,2350,810,17,17,0
Alcácer do Sal,264,264,0,0,0,0
Grândola,482,482,0,0,0,0
Odemira,854,348,506,0,0,0
Santiago do Cacém,873,873,0,17,17,0
Sines,687,383,304,0,0,0
Baixo Alentejo,4252,3441,811,104,104,0
Aljustrel,211,211,0,0,0,0
Almodôvar,247,247,0,0,0,0
Alvito,154,0,154,0,0,0
Barrancos,10,10,0,0,0,0
Beja,1804,1539,265,104,104,0
Castro Verde,177,177,0,0,0,0
Cuba,193,0,193,0,0,0
Ferreira do Alentejo,103,103,0,0,0,0
Mértola,204,180,24,0,0,0
Moura,489,399,90,0,0,0
Ourique,93,93,0,0,0,0
Serpa,471,471,0,0,0,0
Vidigueira,96,11,85,0,0,0
Lezíria do Tejo,8820,7080,1740,0,0,0
Almeirim,572,572,0,0,0,0
Alpiarça,161,161,0,0,0,0
Azambuja,598,598,0,0,0,0
Benavente,860,826,34,0,0,0
Cartaxo,651,651,0,0,0,0
Chamusca,134,134,0,0,0,0
Coruche,452,302,150,0,0,0
Golegã,122,122,0,0,0,0
Rio Maior,954,788,166,0,0,0
Salvaterra de Magos,1002,568,434,0,0,0
Santarém,3314,2358,956,0,0,0
Alto Alentejo,3403,3120,283,119,119,0
Alter do Chão,202,202,0,0,0,0
Arronches,6,6,0,0,0,0
Avis,11,0,11,0,0,0
Campo Maior,419,223,196,0,0,0
Castelo de Vide,0,0,0,0,0,0
Crato,42,0,42,0,0,0
Elvas,796,779,17,0,0,0
Fronteira,0,0,0,0,0,0
Gavião,30,30,0,0,0,0
Marvão,0,0,0,0,0,0
Monforte,0,0,0,0,0,0
Nisa,107,107,0,0,0,0
Ponte de Sor,440,440,0,0,0,0
Portalegre,1199,1199,0,119,119,0
Sousel,151,134,17,0,0,0
Alentejo Central,5715,4841,874,107,107,0
Alandroal,0,0,0,0,0,0
Arraiolos,115,115,0,0,0,0
Borba,0,0,0,0,0,0
Estremoz,577,562,15,0,0,0
Évora,2917,2240,677,107,107,0
Montemor-o-Novo,473,422,51,0,0,0
Mora,65,65,0,0,0,0
Mourão,0,0,0,0,0,0
Portel,3,3,0,0,0,0
Redondo,148,131,17,0,0,0
Reguengos de Monsaraz,394,353,41,0,0,0
Vendas Novas,478,405,73,0,0,0
Viana do Alentejo,171,171,0,0,0,0
Vila Viçosa,374,374,0,0,0,0
Algarve,17428,16663,765,472,472,0
Albufeira,1739,1739,0,0,0,0
Alcoutim,0,0,0,0,0,0
Aljezur,0,0,0,0,0,0
Castro Marim,0,0,0,0,0,0
Faro,3121,3050,71,281,281,0
Lagoa,511,444,67,0,0,0
Lagos,1442,1421,21,0,0,0
Loulé,2732,2454,278,0,0,0
Monchique,0,0,0,0,0,0
Olhão,1340,1340,0,0,0,0
Portimão,3340,3070,270,150,150,0
São Brás de Alportel,295,295,0,0,0,0
Silves,1132,1091,41,0,0,0
Tavira,857,840,17,0,0,0
Vila do Bispo,0,0,0,0,0,0
Vila Real de Santo António,919,919,0,41,41,0
R. A. Açores,8914,6880,2034,0,0,0
Santa Maria,178,178,0,0,0,0
Vila do Porto,178,178,0,0,0,0
São Miguel,5412,4070,1342,0,0,0
Lagoa (R.A.A.),520,488,32,0,0,0
Nordeste,140,93,47,0,0,0
Ponta Delgada,3264,2361,903,0,0,0
Povoação,233,123,110,0,0,0
Ribeira Grande,853,711,142,0,0,0
Vila Franca do Campo,402,294,108,0,0,0
Terceira,1879,1505,374,0,0,0
Angra do Heroísmo,1164,997,167,0,0,0
Vila da Praia da Vitória,715,508,207,0,0,0
Graciosa,112,112,0,0,0,0
Santa Cruz da Graciosa,112,112,0,0,0,0
São Jorge,315,206,109,0,0,0
Calheta (R.A.A.),85,85,0,0,0,0
Velas,230,121,109,0,0,0
Pico,410,307,103,0,0,0
Lajes do Pico,119,119,0,0,0,0
Madalena,210,107,103,0,0,0
São Roque do Pico,81,81,0,0,0,0
Faial,505,399,106,0,0,0
Horta,505,399,106,0,0,0
Flores,90,90,0,0,0,0
Lajes das Flores,4,4,0,0,0,0
Santa Cruz das Flores,86,86,0,0,0,0
Corvo,13,13,0,0,0,0
Corvo,13,13,0,0,0,0
R. A. Madeira,10359,8765,1594,0,0,0
Calheta (R.A.M.),300,300,0,0,0,0
Câmara de Lobos,276,276,0,0,0,0
Funchal,7678,6084,1594,0,0,0
Machico,613,613,0,0,0,0
Ponta do Sol,248,248,0,0,0,0
Porto Moniz,67,67,0,0,0,0
Ribeira Brava,400,400,0,0,0,0
Santa Cruz,338,338,0,0,0,0
Santana,159,159,0,0,0,0
São Vicente,107,107,0,0,0,0
Porto Santo,173,173,0,0,0,0
