,"Ensino secundário, Total (N.º)","Ensino secundário, das quais, Ensino regular, Total (N.º)","Ensino secundário, das quais, Ensino regular, Cursos gerais/
científico-humanísticos (N.º)","Ensino secundário, das quais, Ensino regular, Cursos tecnológicos (N.º)","Ensino secundário, das quais, Ensino artístico, Cursos tecnológicos (N.º)","Ensino secundário, das quais, Cursos profissionais, Cursos tecnológicos (N.º)","Ensino secundário, das quais, Cursos de aprendizagem, Cursos tecnológicos (N.º)","Ensino secundário, das quais, Cursos de educação e formação, Cursos tecnológicos (N.º)"
Ílhavo,737,512,512,0,0,225,0,0
Murtosa,96,96,96,0,0,0,0,0
Oliveira do Bairro,569,366,366,0,0,203,0,0
Ovar,1334,895,895,0,0,439,0,0
Sever do Vouga,550,201,201,0,0,349,0,0
Vagos,733,430,430,0,0,303,0,0
Região de Coimbra,13597,8277,8277,0,0,4725,595,0
Arganil,505,162,162,0,0,169,174,0
Cantanhede,885,589,589,0,0,296,0,0
Coimbra,6142,3866,3866,0,0,1855,421,0
Condeixa-a-Nova,300,250,250,0,0,50,0,0
Figueira da Foz,1766,1179,1179,0,0,587,0,0
Góis,0,0,0,0,0,0,0,0
Lousã,459,260,260,0,0,199,0,0
Mealhada,548,265,265,0,0,283,0,0
Mira,212,136,136,0,0,76,0,0
Miranda do Corvo,269,182,182,0,0,87,0,0
Montemor-o-Velho,425,228,228,0,0,197,0,0
Mortágua,207,141,141,0,0,66,0,0
Oliveira do Hospital,581,331,331,0,0,250,0,0
Pampilhosa da Serra,22,22,22,0,0,0,0,0
Penacova,439,163,163,0,0,276,0,0
Penela,42,0,0,0,0,42,0,0
Soure,323,240,240,0,0,83,0,0
Tábua,294,157,157,0,0,137,0,0
Vila Nova de Poiares,178,106,106,0,0,72,0,0
Região de Leiria,9475,5483,5443,40,0,3550,442,0
Alvaiázere,161,74,74,0,0,87,0,0
Ansião,508,238,238,0,0,270,0,0
Batalha,320,227,227,0,0,93,0,0
Castanheira de Pêra,0,0,0,0,0,0,0,0
Figueiró dos Vinhos,134,111,111,0,0,23,0,0
Leiria,4157,2619,2579,40,0,1096,442,0
Marinha Grande,1544,895,895,0,0,649,0,0
Pedrógão Grande,177,0,0,0,0,177,0,0
Pombal,1810,1002,1002,0,0,808,0,0
Porto de Mós,664,317,317,0,0,347,0,0
Viseu Dão Lafões,8591,4943,4943,0,0,3221,427,0
Aguiar da Beira,161,108,108,0,0,53,0,0
Carregal do Sal,204,148,148,0,0,56,0,0
Castro Daire,362,210,210,0,0,152,0,0
Mangualde,507,323,323,0,0,184,0,0
Nelas,343,211,211,0,0,132,0,0
Oliveira de Frades,256,176,176,0,0,80,0,0
Penalva do Castelo,172,96,96,0,0,76,0,0
Santa Comba Dão,258,177,177,0,0,81,0,0
São Pedro do Sul,511,247,247,0,0,264,0,0
Sátão,294,192,192,0,0,102,0,0
Tondela,908,437,437,0,0,471,0,0
Vila Nova de Paiva,126,79,79,0,0,47,0,0
Viseu,4136,2435,2435,0,0,1274,427,0
Vouzela,353,104,104,0,0,249,0,0
Beira Baixa,2207,1351,1351,0,0,780,76,0
Castelo Branco,1694,1025,1025,0,0,593,76,0
Idanha-a-Nova,206,105,105,0,0,101,0,0
Oleiros,101,61,61,0,0,40,0,0
Penamacor,65,56,56,0,0,9,0,0
Proença-a-Nova,141,104,104,0,0,37,0,0
Vila Velha de Ródão,0,0,0,0,0,0,0,0
Médio Tejo,7956,4950,4638,312,0,2828,178,0
Abrantes,1031,703,703,0,0,328,0,0
Alcanena,292,205,205,0,0,87,0,0
Constância,143,85,85,0,0,58,0,0
Entroncamento,816,483,483,0,0,333,0,0
Ferreira do Zêzere,105,75,75,0,0,30,0,0
Mação,179,86,86,0,0,93,0,0
Ourém,2081,1258,946,312,0,823,0,0
Sardoal,80,62,62,0,0,18,0,0
Sertã,522,298,298,0,0,224,0,0
Tomar,1419,817,817,0,0,424,178,0
Torres Novas,1099,747,747,0,0,352,0,0
Vila de Rei,49,49,49,0,0,0,0,0
Vila Nova da Barquinha,140,82,82,0,0,58,0,0
Beiras e Serra da Estrela,6248,3442,3442,0,0,2589,217,0
Almeida,116,71,71,0,0,45,0,0
Belmonte,56,33,33,0,0,23,0,0
Celorico da Beira,140,108,108,0,0,32,0,0
Covilhã,1436,804,804,0,0,632,0,0
Figueira de Castelo Rodrigo,71,56,56,0,0,15,0,0
Fornos de Algodres,117,70,70,0,0,47,0,0
Fundão,821,447,447,0,0,374,0,0
Gouveia,382,172,172,0,0,210,0,0
Guarda,1571,911,911,0,0,497,163,0
Manteigas,78,40,40,0,0,38,0,0
Mêda,66,66,66,0,0,0,0,0
Pinhel,175,117,117,0,0,58,0,0
Sabugal,173,127,127,0,0,46,0,0
Seia,655,289,289,0,0,312,54,0
Trancoso,391,131,131,0,0,260,0,0
A. M. Lisboa,101604,62919,62919,0,1523,29211,7940,11
Alcochete,682,486,486,0,0,196,0,0
Almada,5941,3990,3990,0,0,1951,0,0
Amadora,5497,2102,2102,0,0,1951,1444,0
Barreiro,3176,2285,2285,0,0,891,0,0
Cascais,7988,5917,5917,0,69,1759,243,0
Lisboa,30667,16036,16036,0,1454,9927,3239,11
Loures,4037,2718,2718,0,0,1319,0,0
Mafra,2744,1960,1960,0,0,784,0,0
Moita,1510,634,634,0,0,876,0,0
Montijo,1513,946,946,0,0,567,0,0
Odivelas,3889,2975,2975,0,0,776,138,0
Oeiras,5617,4698,4698,0,0,919,0,0
Palmela,1918,1604,1604,0,0,314,0,0
Seixal,5214,3036,3036,0,0,1142,1036,0
Sesimbra,1386,1022,1022,0,0,364,0,0
Setúbal,4419,2556,2556,0,0,1270,593,0
Sintra,10790,7555,7555,0,0,2689,546,0
Vila Franca de Xira,4616,2399,2399,0,0,1516,701,0
Alentejo,21079,12802,12802,0,0,7386,891,0
Alentejo Litoral,2447,1565,1565,0,0,847,35,0
Alcácer do Sal,245,202,202,0,0,43,0,0
Grândola,394,255,255,0,0,139,0,0
Odemira,722,445,445,0,0,277,0,0
Santiago do Cacém,631,499,499,0,0,97,35,0
Sines,455,164,164,0,0,291,0,0
Baixo Alentejo,3503,1882,1882,0,0,1409,212,0
Aljustrel,226,113,113,0,0,61,52,0
Almodôvar,121,87,87,0,0,34,0,0
Alvito,160,0,0,0,0,160,0,0
Barrancos,0,0,0,0,0,0,0,0
Beja,1383,827,827,0,0,396,160,0
Castro Verde,185,128,128,0,0,57,0,0
Cuba,100,0,0,0,0,100,0,0
Ferreira do Alentejo,62,62,62,0,0,0,0,0
Mértola,148,90,90,0,0,58,0,0
Moura,460,288,288,0,0,172,0,0
Ourique,106,83,83,0,0,23,0,0
Serpa,428,204,204,0,0,224,0,0
Vidigueira,124,0,0,0,0,124,0,0
Lezíria do Tejo,7255,4210,4210,0,0,2801,244,0
Almeirim,474,289,289,0,0,185,0,0
Alpiarça,169,113,113,0,0,56,0,0
Azambuja,386,288,288,0,0,98,0,0
Benavente,552,416,416,0,0,136,0,0
Cartaxo,522,400,400,0,0,122,0,0
Chamusca,142,106,106,0,0,36,0,0
Coruche,449,276,276,0,0,173,0,0
Golegã,98,64,64,0,0,34,0,0
Rio Maior,829,450,450,0,0,379,0,0
Salvaterra de Magos,953,440,440,0,0,513,0,0
Santarém,2681,1368,1368,0,0,1069,244,0
Alto Alentejo,3052,1884,1884,0,0,1008,160,0
Alter do Chão,153,40,40,0,0,113,0,0
Arronches,11,0,0,0,0,11,0,0
Avis,0,0,0,0,0,0,0,0
Campo Maior,173,132,132,0,0,41,0,0
Castelo de Vide,0,0,0,0,0,0,0,0
Crato,88,0,0,0,0,88,0,0
Elvas,686,461,461,0,0,225,0,0
Fronteira,0,0,0,0,0,0,0,0
Gavião,0,0,0,0,0,0,0,0
Marvão,0,0,0,0,0,0,0,0
Monforte,0,0,0,0,0,0,0,0
Nisa,82,82,82,0,0,0,0,0
Ponte de Sor,485,335,335,0,0,130,20,0
Portalegre,1270,834,834,0,0,296,140,0
Sousel,104,0,0,0,0,104,0,0
Alentejo Central,4822,3261,3261,0,0,1321,240,0
Alandroal,0,0,0,0,0,0,0,0
Arraiolos,123,113,113,0,0,10,0,0
Borba,0,0,0,0,0,0,0,0
Estremoz,509,428,428,0,0,81,0,0
Évora,2515,1398,1398,0,0,877,240,0
Montemor-o-Novo,307,259,259,0,0,48,0,0
Mora,56,43,43,0,0,13,0,0
Mourão,0,0,0,0,0,0,0,0
Portel,18,0,0,0,0,18,0,0
Redondo,118,85,85,0,0,33,0,0
Reguengos de Monsaraz,330,252,252,0,0,78,0,0
Vendas Novas,378,299,299,0,0,79,0,0
Viana do Alentejo,134,120,120,0,0,14,0,0
Vila Viçosa,334,264,264,0,0,70,0,0
Algarve,14195,8379,8379,0,30,5355,428,3
Albufeira,1438,916,916,0,0,522,0,0
Alcoutim,0,0,0,0,0,0,0,0
Aljezur,0,0,0,0,0,0,0,0
Castro Marim,0,0,0,0,0,0,0,0
Faro,2741,1583,1583,0,30,982,146,0
Lagoa,358,192,192,0,0,166,0,0
Lagos,1160,734,734,0,0,426,0,0
Loulé,1997,1226,1226,0,0,768,0,3
Monchique,0,0,0,0,0,0,0,0
Olhão,1111,641,641,0,0,470,0,0
Portimão,2785,1344,1344,0,0,1159,282,0
São Brás de Alportel,326,221,221,0,0,105,0,0
Silves,819,495,495,0,0,324,0,0
Tavira,745,518,518,0,0,227,0,0
Vila do Bispo,0,0,0,0,0,0,0,0
Vila Real de Santo António,715,509,509,0,0,206,0,0
R. A. Açores,9093,5178,5178,0,0,2719,1196,0
Santa Maria,228,138,138,0,0,60,30,0
Vila do Porto,228,138,138,0,0,60,30,0
São Miguel,5424,3056,3056,0,0,1867,501,0
Lagoa (R.A.A.),485,234,234,0,0,199,52,0
Nordeste,168,124,124,0,0,44,0,0
Ponta Delgada,3420,1958,1958,0,0,1203,259,0
Povoação,189,117,117,0,0,72,0,0
Ribeira Grande,757,440,440,0,0,210,107,0
Vila Franca do Campo,405,183,183,0,0,139,83,0
Terceira,1891,1054,1054,0,0,447,390,0
Angra do Heroísmo,1152,671,671,0,0,200,281,0
Vila da Praia da Vitória,739,383,383,0,0,247,109,0
Graciosa,121,71,71,0,0,0,50,0
Santa Cruz da Graciosa,121,71,71,0,0,0,50,0
São Jorge,343,180,180,0,0,109,54,0
Calheta (R.A.A.),89,89,89,0,0,0,0,0
Velas,254,91,91,0,0,109,54,0
Pico,454,264,264,0,0,112,78,0
Lajes do Pico,140,89,89,0,0,0,51,0
Madalena,245,120,120,0,0,112,13,0
São Roque do Pico,69,55,55,0,0,0,14,0
Faial,528,347,347,0,0,124,57,0
Horta,528,347,347,0,0,124,57,0
Flores,98,62,62,0,0,0,36,0
Lajes das Flores,0,0,0,0,0,0,0,0
Santa Cruz das Flores,98,62,62,0,0,0,36,0
Corvo,6,6,6,0,0,0,0,0
Corvo,6,6,6,0,0,0,0,0
R. A. Madeira,9600,5979,5979,0,0,3078,122,421
Calheta (R.A.M.),248,173,173,0,0,75,0,0
Câmara de Lobos,277,147,147,0,0,60,0,70
Funchal,7225,4394,4394,0,0,2400,122,309
Machico,577,429,429,0,0,148,0,0
Ponta do Sol,219,149,149,0,0,57,0,13
Porto Moniz,52,52,52,0,0,0,0,0
Ribeira Brava,344,207,207,0,0,108,0,29
Santa Cruz,212,110,110,0,0,102,0,0
Santana,186,130,130,0,0,56,0,0
São Vicente,108,71,71,0,0,37,0,0
Porto Santo,152,117,117,0,0,35,0,0
