,"Ensino básico, 1º Ciclo, Total (N.º)","Ensino básico, 1º Ciclo, das quais, Ensino recorrente (N.º)","Ensino básico, 1º Ciclo, das quais, Cursos de Educação e Formação de Adultos (N.º)","Ensino básico, 1º Ciclo, das quais, Sistema de Reconhecimento, Validação e Certificação de Competências (N.º)","Ensino básico, 2º Ciclo, Total, Sistema de Reconhecimento, Validação e Certificação de Competências (N.º)","Ensino básico, 2º Ciclo, das quais, Ensino recorrente (N.º)","Ensino básico, 2º Ciclo, das quais, Cursos de Educação e Formação de Adultos (N.º)","Ensino básico, 2º Ciclo, das quais, Sistema de Reconhecimento, Validação e Certificação de Competências (N.º)"
Portugal,2187,670,1238,261,3990,0,2664,1249
Continente,1484,0,1223,243,3781,0,2561,1167
Norte,415,0,261,145,1708,0,894,794
Alto Minho,7,0,0,7,36,0,9,27
Arcos de Valdevez,3,0,0,3,6,0,0,6
Caminha,0,0,0,0,0,0,0,0
Melgaço,0,0,0,0,0,0,0,0
Monção,0,0,0,0,0,0,0,0
Paredes de Coura,0,0,0,0,0,0,0,0
Ponte da Barca,1,0,0,1,19,0,0,19
Ponte de Lima,2,0,0,2,2,0,0,2
Valença,0,0,0,0,0,0,0,0
Viana do Castelo,1,0,0,1,9,0,9,0
Vila Nova de Cerveira,0,0,0,0,0,0,0,0
Cávado,25,0,13,8,98,0,44,41
Amares,0,0,0,0,0,0,0,0
Barcelos,2,0,0,2,33,0,0,33
Braga,13,0,13,0,45,0,44,1
Esposende,10,0,0,6,18,0,0,5
Terras de Bouro,0,0,0,0,0,0,0,0
Vila Verde,0,0,0,0,2,0,0,2
Ave,10,0,0,10,64,0,35,29
Cabeceiras de Basto,1,0,0,1,9,0,0,9
Fafe,7,0,0,7,0,0,0,0
Guimarães,0,0,0,0,27,0,20,7
Mondim de Basto,0,0,0,0,0,0,0,0
Póvoa de Lanhoso,1,0,0,1,0,0,0,0
Vieira do Minho,0,0,0,0,0,0,0,0
Vila Nova de Famalicão,1,0,0,1,23,0,15,8
Vizela,0,0,0,0,5,0,0,5
A. M. Porto,249,0,165,79,806,0,573,226
Arouca,0,0,0,0,0,0,0,0
Espinho,0,0,0,0,2,0,0,2
Gondomar,16,0,16,0,47,0,42,5
Maia,33,0,23,10,46,0,17,29
Matosinhos,42,0,32,7,154,0,142,9
Oliveira de Azeméis,0,0,0,0,0,0,0,0
Paredes,51,0,0,51,117,0,0,117
Porto,44,0,41,3,122,0,96,26
Póvoa de Varzim,0,0,0,0,9,0,0,9
Santa Maria da Feira,14,0,14,0,88,0,88,0
Santo Tirso,18,0,15,1,0,0,0,0
São João da Madeira,0,0,0,0,39,0,38,1
Trofa,0,0,0,0,0,0,0,0
Vale de Cambra,0,0,0,0,0,0,0,0
Valongo,2,0,0,2,7,0,0,7
Vila do Conde,1,0,0,1,11,0,6,5
Vila Nova de Gaia,28,0,24,4,164,0,144,16
Alto Tâmega,0,0,0,0,20,0,14,6
Boticas,0,0,0,0,0,0,0,0
Chaves,0,0,0,0,20,0,14,6
Montalegre,0,0,0,0,0,0,0,0
Ribeira de Pena,0,0,0,0,0,0,0,0
Valpaços,0,0,0,0,0,0,0,0
Vila Pouca de Aguiar,0,0,0,0,0,0,0,0
Tâmega e Sousa,65,0,58,7,317,0,142,175
Amarante,0,0,0,0,47,0,35,12
Baião,0,0,0,0,0,0,0,0
Castelo de Paiva,1,0,0,1,53,0,0,53
Celorico de Basto,0,0,0,0,20,0,0,20
Cinfães,0,0,0,0,0,0,0,0
Felgueiras,20,0,20,0,5,0,0,5
Lousada,2,0,0,2,4,0,0,4
Marco de Canaveses,0,0,0,0,16,0,9,7
Paços de Ferreira,39,0,38,1,74,0,43,31
Penafiel,3,0,0,3,98,0,55,43
Resende,0,0,0,0,0,0,0,0
Douro,28,0,0,28,201,0,29,172
Alijó,0,0,0,0,12,0,12,0
Armamar,0,0,0,0,0,0,0,0
Carrazeda de Ansiães,0,0,0,0,0,0,0,0
Freixo de Espada à Cinta,0,0,0,0,0,0,0,0
Lamego,1,0,0,1,24,0,17,7
Mesão Frio,0,0,0,0,0,0,0,0
Moimenta da Beira,0,0,0,0,0,0,0,0
Murça,0,0,0,0,0,0,0,0
Penedono,0,0,0,0,0,0,0,0
Peso da Régua,0,0,0,0,3,0,0,3
Sabrosa,0,0,0,0,0,0,0,0
Santa Marta de Penaguião,0,0,0,0,0,0,0,0
São João da Pesqueira,0,0,0,0,0,0,0,0
Sernancelhe,0,0,0,0,0,0,0,0
Tabuaço,0,0,0,0,0,0,0,0
Tarouca,0,0,0,0,0,0,0,0
Torre de Moncorvo,0,0,0,0,0,0,0,0
Vila Nova de Foz Côa,0,0,0,0,0,0,0,0
Vila Real,27,0,0,27,162,0,0,162
Terras de Trás-os-Montes,31,0,25,6,166,0,48,118
Alfândega da Fé,0,0,0,0,0,0,0,0
Bragança,27,0,25,2,44,0,34,10
Macedo de Cavaleiros,0,0,0,0,9,0,0,9
Miranda do Douro,0,0,0,0,0,0,0,0
Mirandela,3,0,0,3,60,0,14,46
Mogadouro,1,0,0,1,53,0,0,53
