,"Ensino secundário, Total (N.º)","Ensino secundário, das quais, Ensino regular, Total (N.º)","Ensino secundário, das quais, Ensino regular, Cursos gerais/
científico-humanísticos (N.º)","Ensino secundário, das quais, Ensino regular, Cursos tecnológicos (N.º)","Ensino secundário, das quais, Ensino artístico, Cursos tecnológicos (N.º)","Ensino secundário, das quais, Cursos profissionais, Cursos tecnológicos (N.º)","Ensino secundário, das quais, Cursos de aprendizagem, Cursos tecnológicos (N.º)","Ensino secundário, das quais, Cursos de educação e formação, Cursos tecnológicos (N.º)"
Portugal,350627,210433,206976,3457,2740,116305,20674,475
Continente,332508,199735,196278,3457,2740,110549,19456,28
Norte,123187,73286,70191,3095,1159,40709,8033,0
Alto Minho,8295,4396,4396,0,0,3056,843,0
Arcos de Valdevez,596,306,306,0,0,290,0,0
Caminha,440,282,282,0,0,158,0,0
Melgaço,197,126,126,0,0,71,0,0
Monção,573,301,301,0,0,272,0,0
Paredes de Coura,251,123,123,0,0,128,0,0
Ponte da Barca,363,199,199,0,0,164,0,0
Ponte de Lima,1513,781,781,0,0,732,0,0
Valença,259,160,160,0,0,99,0,0
Viana do Castelo,3910,1975,1975,0,0,1092,843,0
Vila Nova de Cerveira,193,143,143,0,0,50,0,0
Cávado,15260,9379,9379,0,72,5030,779,0
Amares,440,285,285,0,0,155,0,0
Barcelos,3585,2174,2174,0,25,1386,0,0
Braga,8787,5638,5638,0,47,2323,779,0
Esposende,936,587,587,0,0,349,0,0
Terras de Bouro,76,76,76,0,0,0,0,0
Vila Verde,1436,619,619,0,0,817,0,0
Ave,13151,7975,7932,43,0,5176,0,0
Cabeceiras de Basto,499,311,311,0,0,188,0,0
Fafe,1532,1041,1041,0,0,491,0,0
Guimarães,4875,3159,3159,0,0,1716,0,0
Mondim de Basto,205,108,108,0,0,97,0,0
Póvoa de Lanhoso,741,383,383,0,0,358,0,0
Vieira do Minho,267,224,224,0,0,43,0,0
Vila Nova de Famalicão,4423,2302,2259,43,0,2121,0,0
Vizela,609,447,447,0,0,162,0,0
A. M. Porto,61678,36359,34133,2226,1063,18691,5565,0
Arouca,568,396,396,0,6,166,0,0
Espinho,1830,1089,1089,0,0,739,2,0
Gondomar,3758,2881,2881,0,0,833,44,0
Maia,3227,2510,2510,0,0,717,0,0
Matosinhos,4407,2807,2807,0,0,1600,0,0
Oliveira de Azeméis,1825,921,921,0,0,904,0,0
Paredes,1961,1526,1526,0,0,435,0,0
Porto,18021,8143,8085,58,962,5011,3905,0
Póvoa de Varzim,2459,1899,1899,0,0,560,0,0
Santa Maria da Feira,3112,1609,1609,0,0,975,528,0
