,"Upper secondary education, Total (N.º)","Upper secondary education, Public (N.º)","Upper secondary education, Private (N.º)","Post-secondary non-tertiary education, Total (N.º)","Post-secondary non-tertiary education, Public (N.º)","Post-secondary non-tertiary education, Private (N.º)"
Lousã,516,344,172,0,0,0
Mealhada,551,229,322,0,0,0
Mira,278,278,0,0,0,0
Miranda do Corvo,231,231,0,0,0,0
Montemor-o-Velho,400,302,98,0,0,0
Mortágua,162,162,0,0,0,0
Oliveira do Hospital,573,335,238,0,0,0
Pampilhosa da Serra,35,35,0,0,0,0
Penacova,387,186,201,0,0,0
Penela,26,0,26,0,0,0
Soure,358,288,70,0,0,0
Tábua,246,204,42,0,0,0
Vila Nova de Poiares,122,122,0,0,0,0
Região de Leiria,9603,7179,2424,79,79,0
Alvaiázere,126,76,50,0,0,0
Ansião,534,293,241,0,0,0
Batalha,375,375,0,0,0,0
Castanheira de Pêra,0,0,0,0,0,0
Figueiró dos Vinhos,106,106,0,0,0,0
Leiria,4091,3475,616,79,79,0
Marinha Grande,1531,1254,277,0,0,0
Pedrógão Grande,187,0,187,0,0,0
Pombal,1883,1178,705,0,0,0
Porto de Mós,770,422,348,0,0,0
Viseu Dão Lafões,8414,7211,1203,90,90,0
Aguiar da Beira,136,136,0,0,0,0
Carregal do Sal,207,207,0,0,0,0
Castro Daire,386,314,72,0,0,0
Mangualde,473,473,0,0,0,0
Nelas,354,354,0,0,0,0
Oliveira de Frades,249,249,0,0,0,0
Penalva do Castelo,195,195,0,0,0,0
Santa Comba Dão,256,256,0,0,0,0
São Pedro do Sul,490,353,137,0,0,0
Sátão,257,257,0,0,0,0
Tondela,926,615,311,0,0,0
Vila Nova de Paiva,120,120,0,0,0,0
Viseu,3956,3481,475,90,90,0
Vouzela,409,201,208,0,0,0
Beira Baixa,2231,1887,344,22,22,0
Castelo Branco,1788,1531,257,22,22,0
Idanha-a-Nova,174,87,87,0,0,0
Oleiros,57,57,0,0,0,0
Penamacor,70,70,0,0,0,0
Proença-a-Nova,142,142,0,0,0,0
Vila Velha de Ródão,0,0,0,0,0,0
Médio Tejo,7715,5867,1848,54,54,0
Abrantes,1115,1115,0,0,0,0
Alcanena,358,358,0,0,0,0
Constância,120,120,0,0,0,0
Entroncamento,779,621,158,0,0,0
Ferreira do Zêzere,119,119,0,0,0,0
Mação,191,191,0,0,0,0
Ourém,1781,580,1201,0,0,0
Sardoal,87,87,0,0,0,0
Sertã,494,324,170,0,0,0
Tomar,1297,1194,103,54,54,0
Torres Novas,1156,940,216,0,0,0
Vila de Rei,57,57,0,0,0,0
Vila Nova da Barquinha,161,161,0,0,0,0
Beiras e Serra da Estrela,5996,4702,1294,32,32,0
Almeida,76,76,0,0,0,0
Belmonte,84,84,0,0,0,0
Celorico da Beira,130,130,0,0,0,0
Covilhã,1419,1340,79,0,0,0
Figueira de Castelo Rodrigo,85,85,0,0,0,0
Fornos de Algodres,100,100,0,0,0,0
Fundão,825,631,194,0,0,0
Gouveia,351,247,104,0,0,0
Guarda,1385,977,408,32,32,0
Manteigas,82,47,35,0,0,0
Mêda,59,59,0,0,0,0
Pinhel,190,190,0,0,0,0
Sabugal,152,152,0,0,0,0
Seia,641,453,188,0,0,0
Trancoso,417,131,286,0,0,0
A. M. Lisboa,103805,76575,27230,2606,2606,0
Alcochete,718,718,0,0,0,0
Almada,6321,5099,1222,0,0,0
Amadora,5022,3890,1132,28,28,0
Barreiro,3436,3083,353,0,0,0
Cascais,8231,5550,2681,178,178,0
Lisboa,30818,16828,13990,1978,1978,0
Loures,4369,3888,481,59,59,0
Mafra,2981,1949,1032,0,0,0
Moita,1581,1040,541,0,0,0
Montijo,1690,1346,344,0,0,0
Odivelas,3841,3625,216,0,0,0
Oeiras,5615,4731,884,0,0,0
Palmela,2756,1677,1079,0,0,0
Seixal,4633,4023,610,83,83,0
Sesimbra,1465,1367,98,0,0,0
Setúbal,4569,3792,777,175,175,0
Sintra,10974,9514,1460,78,78,0
Vila Franca de Xira,4785,4455,330,27,27,0
Alentejo,21481,17930,3551,347,347,0
Alentejo Litoral,2653,1921,732,17,17,0
Alcácer do Sal,264,264,0,0,0,0
Grândola,386,386,0,0,0,0
Odemira,822,348,474,0,0,0
Santiago do Cacém,566,566,0,17,17,0
Sines,615,357,258,0,0,0
Baixo Alentejo,3544,2877,667,104,104,0
Aljustrel,165,165,0,0,0,0
Almodôvar,151,151,0,0,0,0
Alvito,154,0,154,0,0,0
Barrancos,0,0,0,0,0,0
Beja,1401,1280,121,104,104,0
Castro Verde,177,177,0,0,0,0
Cuba,193,0,193,0,0,0
Ferreira do Alentejo,87,87,0,0,0,0
Mértola,162,138,24,0,0,0
Moura,434,344,90,0,0,0
Ourique,93,93,0,0,0,0
Serpa,442,442,0,0,0,0
Vidigueira,85,0,85,0,0,0
Lezíria do Tejo,7495,6089,1406,0,0,0
Almeirim,572,572,0,0,0,0
Alpiarça,161,161,0,0,0,0
Azambuja,401,401,0,0,0,0
Benavente,798,798,0,0,0,0
Cartaxo,601,601,0,0,0,0
Chamusca,134,134,0,0,0,0
Coruche,435,302,133,0,0,0
Golegã,122,122,0,0,0,0
Rio Maior,843,677,166,0,0,0
Salvaterra de Magos,799,462,337,0,0,0
Santarém,2629,1859,770,0,0,0
Alto Alentejo,2915,2831,84,119,119,0
Alter do Chão,202,202,0,0,0,0
Arronches,6,6,0,0,0,0
Avis,0,0,0,0,0,0
Campo Maior,250,208,42,0,0,0
Castelo de Vide,0,0,0,0,0,0
Crato,42,0,42,0,0,0
Elvas,692,692,0,0,0,0
Fronteira,0,0,0,0,0,0
Gavião,30,30,0,0,0,0
Marvão,0,0,0,0,0,0
Monforte,0,0,0,0,0,0
Nisa,91,91,0,0,0,0
Ponte de Sor,405,405,0,0,0,0
Portalegre,1063,1063,0,119,119,0
Sousel,134,134,0,0,0,0
Alentejo Central,4874,4212,662,107,107,0
Alandroal,0,0,0,0,0,0
Arraiolos,111,111,0,0,0,0
Borba,0,0,0,0,0,0
Estremoz,472,472,0,0,0,0
Évora,2459,1870,589,107,107,0
Montemor-o-Novo,373,373,0,0,0,0
Mora,65,65,0,0,0,0
Mourão,0,0,0,0,0,0
Portel,3,3,0,0,0,0
Redondo,113,113,0,0,0,0
Reguengos de Monsaraz,343,343,0,0,0,0
Vendas Novas,429,356,73,0,0,0
Viana do Alentejo,171,171,0,0,0,0
Vila Viçosa,335,335,0,0,0,0
Algarve,15413,14747,666,472,472,0
Albufeira,1632,1632,0,0,0,0
Alcoutim,0,0,0,0,0,0
Aljezur,0,0,0,0,0,0
Castro Marim,0,0,0,0,0,0
Faro,2740,2669,71,281,281,0
Lagoa,479,412,67,0,0,0
Lagos,1312,1291,21,0,0,0
Loulé,2343,2144,199,0,0,0
Monchique,0,0,0,0,0,0
Olhão,1188,1188,0,0,0,0
Portimão,2882,2612,270,150,150,0
São Brás de Alportel,295,295,0,0,0,0
Silves,994,973,21,0,0,0
Tavira,769,752,17,0,0,0
Vila do Bispo,0,0,0,0,0,0
Vila Real de Santo António,779,779,0,41,41,0
R. A. Açores,8398,6379,2019,0,0,0
Santa Maria,170,170,0,0,0,0
Vila do Porto,170,170,0,0,0,0
São Miguel,5139,3812,1327,0,0,0
Lagoa (R.A.A.),463,431,32,0,0,0
Nordeste,137,90,47,0,0,0
Ponta Delgada,3146,2243,903,0,0,0
Povoação,214,119,95,0,0,0
Ribeira Grande,784,642,142,0,0,0
Vila Franca do Campo,395,287,108,0,0,0
Terceira,1697,1323,374,0,0,0
Angra do Heroísmo,1070,903,167,0,0,0
Vila da Praia da Vitória,627,420,207,0,0,0
Graciosa,107,107,0,0,0,0
Santa Cruz da Graciosa,107,107,0,0,0,0
São Jorge,310,201,109,0,0,0
Calheta (R.A.A.),83,83,0,0,0,0
Velas,227,118,109,0,0,0
Pico,400,297,103,0,0,0
Lajes do Pico,114,114,0,0,0,0
Madalena,208,105,103,0,0,0
São Roque do Pico,78,78,0,0,0,0
Faial,482,376,106,0,0,0
Horta,482,376,106,0,0,0
Flores,82,82,0,0,0,0
Lajes das Flores,0,0,0,0,0,0
Santa Cruz das Flores,82,82,0,0,0,0
Corvo,11,11,0,0,0,0
Corvo,11,11,0,0,0,0
R. A. Madeira,9088,7497,1591,0,0,0
Calheta (R.A.M.),277,277,0,0,0,0
Câmara de Lobos,180,180,0,0,0,0
Funchal,6785,5194,1591,0,0,0
Machico,538,538,0,0,0,0
Ponta do Sol,248,248,0,0,0,0
Porto Moniz,67,67,0,0,0,0
Ribeira Brava,339,339,0,0,0,0
Santa Cruz,234,234,0,0,0,0
Santana,159,159,0,0,0,0
São Vicente,107,107,0,0,0,0
Porto Santo,154,154,0,0,0,0
