,"Public primary education, 1st cycle, Total (N.º)","Public primary education, 1st cycle, of which, Recurrent education (N.º)","Public primary education, 1st cycle, of which, Adult Education and Training Courses (N.º)","Public primary education, 1st cycle, of which, Procedure of Recognition, Validation and Certification of Competences (N.º)","Public primary education, 2nd cycle, Total, Procedure of Recognition, Validation and Certification of Competences (N.º)","Public primary education, 2nd cycle, of which, Recurrent education (N.º)","Public primary education, 2nd cycle, of which, Adult Education and Training Courses (N.º)","Public primary education, 2nd cycle, of which, Procedure of Recognition, Validation and Certification of Competences (N.º)"
Portugal,2031,670,1238,105,3267,0,2664,527
Continente,1328,0,1223,87,3058,0,2561,445
Norte,289,0,261,19,1109,0,894,196
Alto Minho,0,0,0,0,9,0,9,0
Arcos de Valdevez,0,0,0,0,0,0,0,0
Caminha,0,0,0,0,0,0,0,0
Melgaço,0,0,0,0,0,0,0,0
Monção,0,0,0,0,0,0,0,0
Paredes de Coura,0,0,0,0,0,0,0,0
Ponte da Barca,0,0,0,0,0,0,0,0
Ponte de Lima,0,0,0,0,0,0,0,0
Valença,0,0,0,0,0,0,0,0
Viana do Castelo,0,0,0,0,9,0,9,0
Vila Nova de Cerveira,0,0,0,0,0,0,0,0
Cávado,23,0,13,6,63,0,44,6
Amares,0,0,0,0,0,0,0,0
Barcelos,0,0,0,0,0,0,0,0
Braga,13,0,13,0,45,0,44,1
Esposende,10,0,0,6,18,0,0,5
Terras de Bouro,0,0,0,0,0,0,0,0
Vila Verde,0,0,0,0,0,0,0,0
Ave,2,0,0,2,51,0,35,16
Cabeceiras de Basto,0,0,0,0,0,0,0,0
Fafe,0,0,0,0,0,0,0,0
Guimarães,0,0,0,0,27,0,20,7
Mondim de Basto,0,0,0,0,0,0,0,0
Póvoa de Lanhoso,1,0,0,1,0,0,0,0
Vieira do Minho,0,0,0,0,0,0,0,0
Vila Nova de Famalicão,1,0,0,1,23,0,15,8
Vizela,0,0,0,0,1,0,0,1
A. M. Porto,174,0,165,4,674,0,573,95
Arouca,0,0,0,0,0,0,0,0
Espinho,0,0,0,0,0,0,0,0
Gondomar,16,0,16,0,45,0,42,3
Maia,23,0,23,0,30,0,17,13
Matosinhos,35,0,32,0,146,0,142,1
Oliveira de Azeméis,0,0,0,0,0,0,0,0
Paredes,0,0,0,0,42,0,0,42
Porto,43,0,41,2,118,0,96,22
Póvoa de Varzim,0,0,0,0,9,0,0,9
Santa Maria da Feira,14,0,14,0,88,0,88,0
Santo Tirso,18,0,15,1,0,0,0,0
São João da Madeira,0,0,0,0,39,0,38,1
Trofa,0,0,0,0,0,0,0,0
Vale de Cambra,0,0,0,0,0,0,0,0
Valongo,0,0,0,0,0,0,0,0
Vila do Conde,0,0,0,0,6,0,6,0
Vila Nova de Gaia,25,0,24,1,151,0,144,4
Alto Tâmega,0,0,0,0,16,0,14,2
Boticas,0,0,0,0,0,0,0,0
Chaves,0,0,0,0,16,0,14,2
Montalegre,0,0,0,0,0,0,0,0
Ribeira de Pena,0,0,0,0,0,0,0,0
Valpaços,0,0,0,0,0,0,0,0
Vila Pouca de Aguiar,0,0,0,0,0,0,0,0
Tâmega e Sousa,61,0,58,3,197,0,142,55
Amarante,0,0,0,0,47,0,35,12
Baião,0,0,0,0,0,0,0,0
Castelo de Paiva,0,0,0,0,0,0,0,0
Celorico de Basto,0,0,0,0,20,0,0,20
Cinfães,0,0,0,0,0,0,0,0
Felgueiras,20,0,20,0,2,0,0,2
Lousada,2,0,0,2,4,0,0,4
Marco de Canaveses,0,0,0,0,16,0,9,7
Paços de Ferreira,38,0,38,0,43,0,43,0
Penafiel,1,0,0,1,65,0,55,10
Resende,0,0,0,0,0,0,0,0
Douro,3,0,0,3,48,0,29,19
Alijó,0,0,0,0,12,0,12,0
Armamar,0,0,0,0,0,0,0,0
Carrazeda de Ansiães,0,0,0,0,0,0,0,0
Freixo de Espada à Cinta,0,0,0,0,0,0,0,0
Lamego,1,0,0,1,24,0,17,7
Mesão Frio,0,0,0,0,0,0,0,0
Moimenta da Beira,0,0,0,0,0,0,0,0
Murça,0,0,0,0,0,0,0,0
Penedono,0,0,0,0,0,0,0,0
