,"Pre-primary education, Dependent on the State (N.º)","Pre-primary education, Independent from the State (N.º)","Primary education, 1st cycle, Dependent on the State (N.º)","Primary education, 1st cycle, Independent from the State (N.º)","Primary education, 2nd cycle, Dependent on the State (N.º)","Primary education, 2nd cycle, Independent from the State (N.º)","Secondary education, Lower, Dependent on the State (N.º)","Secondary education, Lower, Independent from the State (N.º)","Secondary education, Upper, Dependent on the State (N.º)","Secondary education, Upper, Independent from the State (N.º)"
Caldas da Rainha,381,119,127,137,102,61,135,56,0,530
Lourinhã,199,0,0,0,0,0,0,0,0,0
Nazaré,116,0,0,0,0,7,0,52,0,288
Óbidos,67,0,0,0,0,0,0,0,0,0
Peniche,417,0,0,0,0,0,0,43,0,64
Sobral de Monte Agraço,90,0,0,0,0,0,0,0,0,0
Torres Vedras,643,168,81,222,421,86,744,156,392,879
Região de Aveiro,3961,729,70,508,248,276,417,622,395,2116
Águeda,642,21,0,60,0,28,0,21,0,0
Albergaria-a-Velha,291,0,70,0,80,0,125,0,96,292
Anadia,289,74,0,139,0,124,0,199,0,414
Aveiro,1145,305,0,221,0,113,0,318,0,818
Estarreja,218,104,0,39,0,0,0,0,0,0
Ílhavo,332,86,0,0,0,0,0,0,0,0
Murtosa,81,0,0,0,0,0,0,0,0,0
Oliveira do Bairro,257,44,0,0,0,0,0,0,0,106
Ovar,507,74,0,49,0,11,0,84,0,249
Sever do Vouga,36,0,0,0,0,0,0,0,0,237
Vagos,163,21,0,0,168,0,292,0,299,0
Região de Coimbra,3514,1409,38,1427,190,366,267,777,73,2921
Arganil,35,0,0,0,0,0,0,0,0,0
Cantanhede,292,41,38,0,44,0,51,17,0,280
Coimbra,1530,1061,0,1227,54,364,84,582,0,1057
Condeixa-a-Nova,46,36,0,0,0,0,0,0,0,0
Figueira da Foz,464,179,0,192,0,1,0,76,0,373
Góis,29,0,0,0,0,0,0,0,0,0
Lousã,89,0,0,0,0,0,0,16,0,209
Mealhada,197,0,0,0,0,0,0,0,0,281
Mira,43,0,0,0,0,0,0,0,0,0
Miranda do Corvo,72,19,0,0,0,0,0,0,0,0
Montemor-o-Velho,171,38,0,0,0,1,0,54,0,165
Mortágua,0,31,0,0,0,0,0,0,0,0
Oliveira do Hospital,198,4,0,8,0,0,0,0,0,187
Pampilhosa da Serra,33,0,0,0,0,0,0,0,0,0
Penacova,0,0,0,0,0,0,0,21,0,234
Penela,0,0,0,0,0,0,0,0,0,40
Soure,182,0,0,0,92,0,132,0,73,0
Tábua,55,0,0,0,0,0,0,0,0,38
Vila Nova de Poiares,78,0,0,0,0,0,0,11,0,57
Região de Leiria,1616,748,426,350,1010,23,1620,188,860,1804
Alvaiázere,0,0,0,0,0,0,0,0,0,61
Ansião,86,0,0,0,0,0,0,10,0,235
Batalha,149,24,0,0,0,0,0,0,0,0
Castanheira de Pêra,0,0,0,0,0,0,0,0,0,0
Figueiró dos Vinhos,36,0,0,0,0,0,0,0,0,0
Leiria,772,549,387,213,591,3,983,17,224,452
Marinha Grande,146,96,0,115,0,19,0,112,0,332
Pedrógão Grande,21,0,0,0,0,0,0,6,0,184
Pombal,266,79,0,22,263,1,421,43,306,540
Porto de Mós,140,0,39,0,156,0,216,0,330,0
Viseu Dão Lafões,1353,453,0,509,0,226,0,517,0,1287
Aguiar da Beira,0,0,0,0,0,0,0,0,0,0
Carregal do Sal,0,0,0,0,0,0,0,0,0,0
Castro Daire,39,0,0,0,0,0,0,40,0,45
Mangualde,167,0,0,0,0,0,0,0,0,20
Nelas,139,37,0,21,0,0,0,0,0,0
Oliveira de Frades,54,0,0,0,0,0,0,0,0,0
Penalva do Castelo,0,0,0,0,0,0,0,0,0,0
Santa Comba Dão,42,0,0,0,0,0,0,0,0,0
São Pedro do Sul,59,0,0,0,0,0,0,0,0,157
Sátão,23,0,0,0,0,0,0,0,0,0
Tondela,71,9,0,0,0,2,0,38,0,384
Vila Nova de Paiva,0,0,0,0,0,0,0,0,0,0
Viseu,728,407,0,488,0,224,0,393,0,511
Vouzela,31,0,0,0,0,0,0,46,0,170
Beira Baixa,681,103,155,46,0,0,0,57,0,313
Castelo Branco,560,103,155,46,0,0,0,36,0,230
Idanha-a-Nova,27,0,0,0,0,0,0,21,0,83
Oleiros,21,0,0,0,0,0,0,0,0,0
Penamacor,20,0,0,0,0,0,0,0,0,0
Proença-a-Nova,53,0,0,0,0,0,0,0,0,0
Vila Velha de Ródão,0,0,0,0,0,0,0,0,0,0
Médio Tejo,1325,431,58,437,416,44,770,118,976,1425
Abrantes,210,9,0,11,0,0,0,0,0,0
Alcanena,109,0,0,0,0,0,0,0,0,0
Constância,0,0,0,0,0,0,0,0,0,0
Entroncamento,117,96,0,192,0,10,0,50,0,343
Ferreira do Zêzere,26,0,0,0,0,0,0,0,0,0
Mação,0,0,0,0,0,0,0,0,0,0
Ourém,277,53,0,66,359,9,652,23,849,552
Sardoal,0,0,0,0,0,0,0,0,0,0
Sertã,160,0,0,0,57,0,118,0,127,59
Tomar,114,127,58,59,0,0,0,0,0,135
Torres Novas,295,117,0,109,0,25,0,45,0,336
Vila de Rei,17,0,0,0,0,0,0,0,0,0
Vila Nova da Barquinha,0,29,0,0,0,0,0,0,0,0
Beiras e Serra da Estrela,1997,91,0,202,73,74,104,180,7,1470
Almeida,0,0,0,0,0,0,0,0,0,0
Belmonte,83,0,0,0,0,0,0,0,0,0
Celorico da Beira,88,0,0,0,0,0,0,0,0,0
Covilhã,386,72,0,80,0,30,0,50,0,136
Figueira de Castelo Rodrigo,85,0,0,0,0,0,0,0,0,0
Fornos de Algodres,0,0,0,0,0,0,0,0,0,0
Fundão,255,0,0,0,37,0,52,38,7,208
Gouveia,110,0,0,0,0,0,0,26,0,100
Guarda,533,14,0,119,0,43,0,49,0,544
Manteigas,19,0,0,0,0,0,0,0,0,35
Mêda,43,0,0,0,0,0,0,0,0,0
Pinhel,55,0,0,0,0,0,0,0,0,0
Sabugal,64,0,0,0,36,0,52,0,0,0
Seia,218,5,0,3,0,1,0,17,0,154
Trancoso,58,0,0,0,0,0,0,0,0,293
A. M. Lisboa,19349,24632,2044,25060,1410,10662,2136,14812,1174,23821
Alcochete,127,183,0,93,0,27,0,0,0,0
Almada,1010,1524,0,972,0,448,0,638,0,1385
Amadora,1240,1083,185,840,108,262,133,343,0,892
Barreiro,322,581,0,423,0,125,0,188,0,299
Cascais,1708,2771,147,4272,422,1908,754,2789,481,2026
Lisboa,4226,8136,934,10695,252,5218,298,7188,109,12677
Loures,1466,975,30,1089,0,505,0,639,0,694
Mafra,326,415,52,137,396,38,734,52,542,430
Moita,292,155,0,109,0,0,0,0,0,552
Montijo,350,283,27,222,0,99,0,56,0,445
Odivelas,623,977,0,543,0,188,0,258,0,206
Oeiras,1498,1881,0,1524,0,362,0,477,0,865
Palmela,359,294,13,468,0,331,0,493,0,533
Seixal,476,1480,0,908,0,421,0,612,0,783
Sesimbra,304,141,0,74,0,0,0,0,0,123
Setúbal,1264,936,87,532,45,55,0,36,0,468
Sintra,1766,2289,98,2018,0,655,0,1043,0,1152
Vila Franca de Xira,1992,528,471,141,187,20,217,0,42,291
Alentejo,5387,1039,111,626,265,194,437,591,144,3734
Alentejo Litoral,593,85,0,0,153,3,214,60,144,566
Alcácer do Sal,61,0,0,0,0,0,0,0,0,0
Grândola,82,0,0,0,0,0,0,0,0,0
Odemira,157,25,0,0,153,3,214,56,144,285
Santiago do Cacém,141,34,0,0,0,0,0,0,0,0
Sines,152,26,0,0,0,0,0,4,0,281
Baixo Alentejo,919,117,0,79,78,0,153,101,0,746
Aljustrel,88,0,0,0,0,0,0,0,0,0
Almodôvar,36,0,0,0,0,0,0,0,0,0
Alvito,0,0,0,0,0,0,0,33,0,173
Barrancos,0,0,0,0,0,0,0,0,0,0
Beja,471,117,0,79,78,0,153,6,0,216
Castro Verde,45,0,0,0,0,0,0,0,0,0
Cuba,0,0,0,0,0,0,0,35,0,120
Ferreira do Alentejo,55,0,0,0,0,0,0,0,0,0
Mértola,0,0,0,0,0,0,0,0,0,29
Moura,88,0,0,0,0,0,0,27,0,96
Ourique,37,0,0,0,0,0,0,0,0,0
Serpa,54,0,0,0,0,0,0,0,0,0
Vidigueira,45,0,0,0,0,0,0,0,0,112
Lezíria do Tejo,1819,373,47,195,0,13,30,170,0,1678
Almeirim,250,16,0,21,0,0,0,0,0,17
Alpiarça,42,0,0,0,0,0,0,0,0,0
Azambuja,306,38,0,0,0,0,0,0,0,0
Benavente,261,17,0,0,0,0,0,0,0,0
Cartaxo,243,9,0,0,0,0,0,0,0,0
Chamusca,0,0,0,0,0,0,0,0,0,0
Coruche,53,78,0,0,0,0,0,51,0,149
Golegã,41,0,0,0,0,0,0,0,0,0
Rio Maior,108,85,0,102,0,0,0,0,0,188
Salvaterra de Magos,165,44,0,0,0,5,0,54,0,472
Santarém,350,86,47,72,0,8,30,65,0,852
Alto Alentejo,676,228,0,129,0,59,0,131,0,196
Alter do Chão,0,0,0,0,0,0,0,0,0,0
Arronches,21,0,0,0,0,0,0,0,0,0
Avis,0,0,0,0,0,0,0,0,0,0
Campo Maior,49,48,0,1,0,9,0,46,0,136
Castelo de Vide,25,0,0,0,0,0,0,0,0,0
Crato,20,0,0,0,0,0,0,0,0,60
Elvas,209,69,0,104,0,50,0,85,0,0
Fronteira,17,0,0,0,0,0,0,0,0,0
Gavião,20,0,0,0,0,0,0,0,0,0
Marvão,0,0,0,0,0,0,0,0,0,0
Monforte,0,0,0,0,0,0,0,0,0,0
Nisa,0,0,0,0,0,0,0,0,0,0
Ponte de Sor,85,16,0,24,0,0,0,0,0,0
Portalegre,196,95,0,0,0,0,0,0,0,0
Sousel,34,0,0,0,0,0,0,0,0,0
Alentejo Central,1380,236,64,223,34,119,40,129,0,548
Alandroal,0,0,0,0,0,0,0,0,0,0
Arraiolos,62,0,0,0,0,0,0,0,0,0
Borba,38,0,0,0,0,0,0,0,0,0
Estremoz,76,0,0,0,0,0,0,0,0,0
Évora,708,236,0,223,0,115,0,122,0,538
Montemor-o-Novo,122,0,0,0,0,0,0,0,0,0
Mora,13,0,0,0,0,0,0,0,0,0
Mourão,0,0,0,0,0,0,0,0,0,0
Portel,54,0,0,0,0,0,0,0,0,0
Redondo,21,0,0,0,0,0,0,0,0,0
Reguengos de Monsaraz,58,0,0,0,0,4,0,7,0,10
Vendas Novas,112,0,64,0,34,0,40,0,0,0
Viana do Alentejo,35,0,0,0,0,0,0,0,0,0
Vila Viçosa,81,0,0,0,0,0,0,0,0,0
Algarve,3231,1962,227,1354,0,377,0,675,0,724
Albufeira,153,205,0,0,0,0,0,0,0,40
Alcoutim,29,0,0,0,0,0,0,0,0,0
Aljezur,0,0,0,0,0,0,0,42,0,20
Castro Marim,69,0,0,0,0,0,0,0,0,0
Faro,766,442,159,239,0,52,0,92,0,69
Lagoa,224,143,0,126,0,99,0,125,0,59
Lagos,409,147,0,239,0,33,0,47,0,20
Loulé,214,281,0,188,0,98,0,207,0,267
Monchique,0,0,0,0,0,0,0,0,0,0
Olhão,324,137,0,100,0,59,0,79,0,0
Portimão,258,366,0,321,0,0,0,50,0,219
São Brás de Alportel,69,0,0,0,0,0,0,0,0,0
Silves,297,149,0,79,0,19,0,26,0,30
Tavira,250,92,68,0,0,0,0,0,0,0
Vila do Bispo,0,0,0,62,0,17,0,7,0,0
Vila Real de Santo António,169,0,0,0,0,0,0,0,0,0
R. A. Açores,2055,482,77,834,31,148,0,122,0,2101
Santa Maria,0,0,0,0,0,0,0,0,0,0
Vila do Porto,0,0,0,0,0,0,0,0,0,0
São Miguel,835,435,77,624,31,95,0,102,0,1306
Lagoa (R.A.A.),52,0,0,0,0,0,0,0,0,62
Nordeste,0,0,0,0,0,0,0,0,0,49
Ponta Delgada,400,435,77,624,31,95,0,82,0,854
Povoação,25,0,0,0,0,0,0,0,0,98
Ribeira Grande,278,0,0,0,0,0,0,20,0,135
Vila Franca do Campo,80,0,0,0,0,0,0,0,0,108
Terceira,717,47,0,138,0,53,0,0,0,406
Angra do Heroísmo,622,0,0,138,0,53,0,0,0,165
Vila da Praia da Vitória,95,47,0,0,0,0,0,0,0,241
Graciosa,67,0,0,0,0,0,0,0,0,0
Santa Cruz da Graciosa,67,0,0,0,0,0,0,0,0,0
São Jorge,171,0,0,0,0,0,0,0,0,126
Calheta (R.A.A.),79,0,0,0,0,0,0,0,0,0
Velas,92,0,0,0,0,0,0,0,0,126
Pico,63,0,0,0,0,0,0,20,0,119
Lajes do Pico,0,0,0,0,0,0,0,0,0,0
Madalena,38,0,0,0,0,0,0,20,0,119
São Roque do Pico,25,0,0,0,0,0,0,0,0,0
Faial,177,0,0,72,0,0,0,0,0,144
Horta,177,0,0,72,0,0,0,0,0,144
Flores,21,0,0,0,0,0,0,0,0,0
Lajes das Flores,0,0,0,0,0,0,0,0,0,0
Santa Cruz das Flores,21,0,0,0,0,0,0,0,0,0
Corvo,4,0,0,0,0,0,0,0,0,0
Corvo,4,0,0,0,0,0,0,0,0,0
R. A. Madeira,2686,0,2405,0,711,0,1177,0,1549,0
Calheta (R.A.M.),63,0,45,0,0,0,0,0,0,0
Câmara de Lobos,237,0,0,0,0,0,0,0,0,0
Funchal,1881,0,1928,0,711,0,1177,0,1549,0
Machico,90,0,99,0,0,0,0,0,0,0
Ponta do Sol,8,0,0,0,0,0,0,0,0,0
Porto Moniz,0,0,0,0,0,0,0,0,0,0
Ribeira Brava,0,0,0,0,0,0,0,0,0,0
Santa Cruz,358,0,209,0,0,0,0,0,0,0
Santana,21,0,28,0,0,0,0,0,0,0
São Vicente,5,0,0,0,0,0,0,0,0,0
Porto Santo,23,0,96,0,0,0,0,0,0,0
