,"2020, Total, Hospitals (N.º)","2020, Public and Public-private partnerships, Hospitals (N.º)","2020, Private, Hospitals (N.º)","2020 Po, Total, Beds (N.º)","2020 Po, General hospital, Beds (N.º)","2020 Po, Specialized hospital, Beds (N.º)","2020 Po, Surgery rooms, Beds (N.º)","2020 Po, Hospitalisations , In-patient flow  (N.º)","2020 Po, Days of hospitalisation , In-patient flow  (N.º)"
Portugal,241,113,128,36322,28102,8220,907,987172,9406952
Continente,223,107,116,32799,26442,6357,866,940310,8428220
Norte,81,34,47,12225,9877,2348,330,347970,2992151
Alto Minho,3,2,1,...,...,...,...,...,...
Arcos de Valdevez,0,0,0,0,0,0,0,0,0
Caminha,0,0,0,0,0,0,0,0,0
Melgaço,0,0,0,0,0,0,0,0,0
Monção,0,0,0,0,0,0,0,0,0
Paredes de Coura,0,0,0,0,0,0,0,0,0
Ponte da Barca,0,0,0,0,0,0,0,0,0
Ponte de Lima,1,1,0,0,0,0,0,0,0
Valença,0,0,0,0,0,0,0,0,0
Viana do Castelo,2,1,1,...,...,...,...,...,...
Vila Nova de Cerveira,0,0,0,0,0,0,0,0,0
Cávado,14,2,12,2042,1092,950,34,38147,566117
Amares,1,0,1,...,...,...,...,...,...
Barcelos,4,1,3,698,133,565,4,6090,226630
Braga,6,1,5,1206,821,385,23,30794,335782
Esposende,2,0,2,...,...,...,...,...,...
Terras de Bouro,0,0,0,0,0,0,0,0,0
Vila Verde,1,0,1,...,...,...,...,...,...
Ave,5,2,3,839,839,0,21,25015,185003
Cabeceiras de Basto,0,0,0,0,0,0,0,0,0
Fafe,0,0,0,0,0,0,0,0,0
Guimarães,2,1,1,...,...,...,...,...,...
Mondim de Basto,0,0,0,0,0,0,0,0,0
Póvoa de Lanhoso,1,0,1,...,...,...,...,...,...
Vieira do Minho,0,0,0,0,0,0,0,0,0
Vila Nova de Famalicão,2,1,1,...,...,...,...,...,...
Vizela,0,0,0,0,0,0,0,0,0
A. M. Porto,46,20,26,7204,5806,1398,224,209959,1667273
Arouca,1,0,1,...,...,...,...,...,...
Espinho,2,1,1,...,...,...,...,...,...
Gondomar,0,0,0,0,0,0,0,0,0
Maia,0,0,0,0,0,0,0,0,0
Matosinhos,3,2,1,...,...,...,...,...,...
Oliveira de Azeméis,1,1,0,0,0,0,0,0,0
Paredes,1,0,1,...,...,...,...,...,...
Porto,20,7,13,4010,2754,1256,128,117972,1033541
Póvoa de Varzim,3,1,2,...,...,...,...,...,...
Santa Maria da Feira,1,1,0,371,371,0,13,15680,117549
Santo Tirso,1,1,0,267,267,0,7,8279,72545
São João da Madeira,1,1,0,0,0,0,0,0,0
Trofa,1,0,1,...,...,...,...,...,...
Vale de Cambra,0,0,0,0,0,0,0,0,0
Valongo,3,1,2,...,...,...,...,...,...
Vila do Conde,1,1,0,0,0,0,0,0,0
Vila Nova de Gaia,7,3,4,907,785,122,31,32894,207646
Alto Tâmega,1,1,0,0,0,0,0,0,0
Boticas,0,0,0,0,0,0,0,0,0
Chaves,1,1,0,0,0,0,0,0,0
Montalegre,0,0,0,0,0,0,0,0,0
Ribeira de Pena,0,0,0,0,0,0,0,0,0
Valpaços,0,0,0,0,0,0,0,0,0
Vila Pouca de Aguiar,0,0,0,0,0,0,0,0,0
Tâmega e Sousa,4,2,2,...,...,...,...,...,...
Amarante,1,1,0,0,0,0,0,0,0
Baião,0,0,0,0,0,0,0,0,0
Castelo de Paiva,0,0,0,0,0,0,0,0,0
Celorico de Basto,0,0,0,0,0,0,0,0,0
Cinfães,0,0,0,0,0,0,0,0,0
Felgueiras,1,0,1,...,...,...,...,...,...
Lousada,0,0,0,0,0,0,0,0,0
Marco de Canaveses,1,0,1,...,...,...,...,...,...
Paços de Ferreira,0,0,0,0,0,0,0,0,0
Penafiel,1,1,0,493,493,0,11,19506,167028
Resende,0,0,0,0,0,0,0,0,0
Douro,4,2,2,...,...,...,...,...,...
Alijó,0,0,0,0,0,0,0,0,0
Armamar,0,0,0,0,0,0,0,0,0
Carrazeda de Ansiães,0,0,0,0,0,0,0,0,0
Freixo de Espada à Cinta,0,0,0,0,0,0,0,0,0
Lamego,1,1,0,0,0,0,0,0,0
Mesão Frio,0,0,0,0,0,0,0,0,0
Moimenta da Beira,0,0,0,0,0,0,0,0,0
Murça,0,0,0,0,0,0,0,0,0
Penedono,0,0,0,0,0,0,0,0,0
Peso da Régua,0,0,0,0,0,0,0,0,0
Sabrosa,0,0,0,0,0,0,0,0,0
Santa Marta de Penaguião,0,0,0,0,0,0,0,0,0
São João da Pesqueira,0,0,0,0,0,0,0,0,0
Sernancelhe,0,0,0,0,0,0,0,0,0
Tabuaço,0,0,0,0,0,0,0,0,0
Tarouca,0,0,0,0,0,0,0,0,0
Torre de Moncorvo,0,0,0,0,0,0,0,0,0
Vila Nova de Foz Côa,0,0,0,0,0,0,0,0,0
Vila Real,3,1,2,...,...,...,...,...,...
Terras de Trás-os-Montes,4,3,1,...,...,...,...,...,...
Alfândega da Fé,0,0,0,0,0,0,0,0,0
Bragança,1,1,0,395,395,0,6,8976,94414
Macedo de Cavaleiros,1,1,0,0,0,0,0,0,0
Miranda do Douro,0,0,0,0,0,0,0,0,0
Mirandela,2,1,1,...,...,...,...,...,...
Mogadouro,0,0,0,0,0,0,0,0,0
Vila Flor,0,0,0,0,0,0,0,0,0
Vimioso,0,0,0,0,0,0,0,0,0
Vinhais,0,0,0,0,0,0,0,0,0
Centro,60,34,26,7102,6139,963,190,192447,1797009
Oeste,9,4,5,568,542,26,15,14176,111973
Alcobaça,1,1,0,0,0,0,0,0,0
Alenquer,0,0,0,0,0,0,0,0,0
Arruda dos Vinhos,0,0,0,0,0,0,0,0,0
Bombarral,0,0,0,0,0,0,0,0,0
Cadaval,0,0,0,0,0,0,0,0,0
Caldas da Rainha,3,1,2,...,...,...,...,...,...
Lourinhã,0,0,0,0,0,0,0,0,0
Nazaré,1,0,1,...,...,...,...,...,...
Óbidos,0,0,0,0,0,0,0,0,0
Peniche,1,1,0,0,0,0,0,0,0
Sobral de Monte Agraço,0,0,0,0,0,0,0,0,0
Torres Vedras,3,1,2,...,...,...,...,...,...
Região de Aveiro,7,4,3,549,549,0,15,18291,137001
Águeda,1,1,0,0,0,0,0,0,0
Albergaria-a-Velha,0,0,0,0,0,0,0,0,0
Anadia,1,0,1,...,...,...,...,...,...
Aveiro,2,1,1,...,...,...,...,...,...
Estarreja,1,1,0,0,0,0,0,0,0
Ílhavo,0,0,0,0,0,0,0,0,0
Murtosa,0,0,0,0,0,0,0,0,0
Oliveira do Bairro,1,0,1,...,...,...,...,...,...
Ovar,1,1,0,34,34,0,1,651,6291
Sever do Vouga,0,0,0,0,0,0,0,0,0
Vagos,0,0,0,0,0,0,0,0,0
Região de Coimbra,21,13,8,2946,2199,747,87,74930,745567
Arganil,0,0,0,0,0,0,0,0,0
Cantanhede,2,2,0,102,18,84,1,453,21600
Coimbra,15,10,5,...,...,...,...,...,...
Condeixa-a-Nova,1,0,1,...,...,...,...,...,...
Figueira da Foz,1,1,0,154,154,0,4,4877,38135
Góis,0,0,0,0,0,0,0,0,0
Lousã,0,0,0,0,0,0,0,0,0
Mealhada,1,0,1,...,...,...,...,...,...
Mira,0,0,0,0,0,0,0,0,0
Miranda do Corvo,0,0,0,0,0,0,0,0,0
Montemor-o-Velho,0,0,0,0,0,0,0,0,0
Mortágua,0,0,0,0,0,0,0,0,0
Oliveira do Hospital,1,0,1,...,...,...,...,...,...
Pampilhosa da Serra,0,0,0,0,0,0,0,0,0
Penacova,0,0,0,0,0,0,0,0,0
Penela,0,0,0,0,0,0,0,0,0
Soure,0,0,0,0,0,0,0,0,0
Tábua,0,0,0,0,0,0,0,0,0
Vila Nova de Poiares,0,0,0,0,0,0,0,0,0
Região de Leiria,7,2,5,697,675,22,20,24094,183988
Alvaiázere,1,0,1,...,...,...,...,...,...
Ansião,1,0,1,...,...,...,...,...,...
Batalha,0,0,0,0,0,0,0,0,0
Castanheira de Pêra,0,0,0,0,0,0,0,0,0
Figueiró dos Vinhos,0,0,0,0,0,0,0,0,0
Leiria,3,1,2,...,...,...,...,...,...
Marinha Grande,1,0,1,...,...,...,...,...,...
Pedrógão Grande,0,0,0,0,0,0,0,0,0
