,"Nurses per 1 000 inhabitants , No., 2021 Po","Medical doctors per 1 000 inhabitants, No., 2021 Po","Pharmacies and mobile medicine depots per 1000 inhabitants, No., 2021","Hospitalisations in hospitals per 1 000 inhabitants , No., 2020 Po","Surgeries (except minor surgeries) per day in hospitals, No., 2020 Po","Medical appointments in hospitals per inhabitant, No., 2020 Po","Beds (practised allotment) per 1 000 inhabitants in hospitals, No., 2020 Po","Annual bed-occupancy rate in hospitals, %, 2020 Po"
Nazaré,2.3,1.9,0.4,...,...,...,...,...
Óbidos,1.8,1.2,0.4,0,0,0,0,//
Peniche,2.4,1.7,0.3,0,0,0,0,//
Sobral de Monte Agraço,2.1,2,0.3,0,0,0,0,//
Torres Vedras,6,2.8,0.3,...,...,...,...,...
Região de Aveiro,5.2,3.8,0.3,50,45,1,1.5,68.4
Águeda,4,2.9,0.3,0,0,0,0,//
Albergaria-a-Velha,3.2,3,0.4,0,0,0,0,//
Anadia,4.4,3.5,0.5,...,...,...,...,...
Aveiro,11.5,6.4,0.3,...,...,...,...,...
Estarreja,3.5,2.3,0.2,0,0,0,0,//
Ílhavo,2.4,3.4,0.2,0,0,0,0,//
Murtosa,2.7,1.9,0.4,0,0,0,0,//
Oliveira do Bairro,3.2,2.7,0.3,...,...,...,...,...
Ovar,3.9,4,0.3,12,3.2,0.5,0.6,50.7
Sever do Vouga,3.4,2,0.5,0,0,0,0,//
Vagos,2.7,2.8,0.3,0,0,0,0,//
Região de Coimbra,14.4,13.5,0.4,172.4,171.8,2.9,6.8,69.3
Arganil,4.1,1.2,0.4,0,0,0,0,//
Cantanhede,7.8,3.6,0.5,12.9,1.3,0.6,2.9,58
Coimbra,31.8,34.1,0.3,...,...,...,...,...
Condeixa-a-Nova,9,6.1,0.3,...,...,...,...,...
Figueira da Foz,7.2,6.8,0.4,82.9,20.8,1.4,2.6,67.8
Góis,5.5,0.5,0.8,0,0,0,0,//
Lousã,4.6,2.2,0.2,0,0,0,0,//
Mealhada,4.8,3.6,0.4,...,...,...,...,...
Mira,4.6,4.2,0.5,0,0,0,0,//
Miranda do Corvo,6.3,2.8,0.2,0,0,0,0,//
Montemor-o-Velho,6.2,2.6,0.4,0,0,0,0,//
Mortágua,4.7,3.2,0.4,0,0,0,0,//
Oliveira do Hospital,4.1,2,0.4,...,...,...,...,...
Pampilhosa da Serra,3.4,0.5,0.5,0,0,0,0,//
Penacova,7.3,1.5,0.5,0,0,0,0,//
Penela,7.9,2.8,0.4,0,0,0,0,//
Soure,5.6,2.3,0.5,0,0,0,0,//
Tábua,5.1,1.9,0.4,0,0,0,0,//
Vila Nova de Poiares,3.2,0.9,0.3,0,0,0,0,//
Região de Leiria,5.8,3,0.3,84.3,60.2,1.5,2.4,72.3
Alvaiázere,4.1,1.8,0.6,...,...,...,...,...
Ansião,3.4,1.6,0.4,...,...,...,...,...
Batalha,3.9,1.9,0.3,0,0,0,0,//
Castanheira de Pêra,2.3,0.8,0.4,0,0,0,0,//
Figueiró dos Vinhos,3.2,2.3,0.9,0,0,0,0,//
Leiria,8.7,4.5,0.3,...,...,...,...,...
Marinha Grande,2.7,1.5,0.2,...,...,...,...,...
Pedrógão Grande,5.6,0.9,0.3,0,0,0,0,//
Pombal,4.1,2.5,0.4,0,0,0,0,//
Porto de Mós,2.2,1.5,0.4,0,0,0,0,//
Viseu Dão Lafões,8.3,4.9,0.4,...,...,...,...,...
Aguiar da Beira,5.6,1.5,0.4,0,0,0,0,//
Carregal do Sal,3.6,1.8,0.4,0,0,0,0,//
Castro Daire,4.2,1.7,0.4,0,0,0,0,//
Mangualde,3.4,2.5,0.4,0,0,0,0,//
Nelas,3.9,3.2,0.5,0,0,0,0,//
Oliveira de Frades,2.8,2.1,0.3,0,0,0,0,//
Penalva do Castelo,4.6,2.2,0.3,0,0,0,0,//
Santa Comba Dão,3.9,2.7,0.4,0,0,0,0,//
São Pedro do Sul,4.6,4.4,0.6,0,0,0,0,//
Sátão,5.6,2.5,0.3,0,0,0,0,//
Tondela,5.9,2.8,0.5,0,0,0,0,//
Vila Nova de Paiva,4.7,1.3,0.2,0,0,0,0,//
Viseu,14.1,8.5,0.3,...,...,...,...,...
Vouzela,5.6,1.7,0.4,0,0,0,0,//
Beira Baixa,8.9,3.9,0.5,81.7,13.6,0.9,2.9,60.4
Castelo Branco,11.5,5.3,0.3,125.9,13.6,1.5,4.4,60.4
Idanha-a-Nova,5.4,1.1,1,0,0,0,0,//
Oleiros,2.8,1,0.6,0,0,0,0,//
Penamacor,3,1.1,1.1,0,0,0,0,//
Proença-a-Nova,5,1.8,0.3,0,0,0,0,//
Vila Velha de Ródão,1.5,1.8,0.3,0,0,0,0,//
Médio Tejo,6.2,2.5,0.4,...,...,...,...,...
Abrantes,9.2,3,0.4,0,0,0,0,//
Alcanena,2.4,1.7,0.4,...,...,...,...,...
Constância,6.8,1.3,0.8,1.5,0,0.8,5.9,0.1
Entroncamento,4.9,3.8,0.2,...,...,...,...,...
Ferreira do Zêzere,1.5,0.6,0.5,0,0,0,0,//
Mação,2.2,0.8,0.8,0,0,0,0,//
Ourém,3,1.5,0.4,0,0,0,0,//
Sardoal,4.2,2.8,0.6,0,0,0,0,//
Sertã,3.5,1.4,0.3,0,0,0,0,//
Tomar,6,3.1,0.4,368.3,22.2,4.4,11.7,79.4
Torres Novas,13.4,4,0.4,0,0,0,0,//
Vila de Rei,5.7,2.1,0.3,0,0,0,0,//
Vila Nova da Barquinha,3.9,1.7,0.4,0,0,0,0,//
Beiras e Serra da Estrela,9,4.2,0.5,...,...,...,...,...
Almeida,5.3,3.3,0.3,0,0,0,0,//
Belmonte,4.5,1.8,0.3,0,0,0,0,//
Celorico da Beira,3.2,0.9,0.6,0,0,0,0,//
Covilhã,12,5.6,0.5,185.9,15.8,2.9,6.2,75.9
Figueira de Castelo Rodrigo,5.4,2.5,0.6,0,0,0,0,//
Fornos de Algodres,3.6,3.4,0.5,0,0,0,0,//
Fundão,4.1,2.8,0.4,0,0,0,0,//
Gouveia,4.3,2.5,0.6,0,0,0,0,//
Guarda,18.5,7.8,0.3,...,...,...,...,...
Manteigas,6.6,2.4,0.7,0,0,0,0,//
Mêda,5,1.7,0.2,0,0,0,0,//
Pinhel,5.8,2.5,0.6,0,0,0,0,//
Sabugal,3.2,1.2,0.8,0,0,0,0,//
Seia,7.4,3,0.5,0,0,0,0,//
Trancoso,4,2.7,0.7,0,0,0,0,//
A. M. Lisboa,7.7,6.8,0.3,110.2,703.6,2.1,3.8,73.7
Alcochete,1.9,3.6,0.3,0,0,0,0,//
Almada,7.8,4.8,0.3,107.9,40.6,1.7,3.2,89.6
Amadora,7.7,3.6,0.2,...,...,...,...,...
Barreiro,9.9,3.5,0.3,152.4,16,2.1,5.2,75.1
Cascais,5.1,8,0.2,91.9,46.8,1.8,2.8,77.8
Lisboa,20,18.1,0.5,353.9,421.5,7.6,10.8,68.9
Loures,4.5,3.6,0.3,...,...,...,...,...
Mafra,2.6,2.7,0.2,0,0,0,0,//
Moita,2.4,1.3,0.2,0,0,0,0,//
Montijo,3.3,2.7,0.2,0,0,0,0,//
Odivelas,2.8,3.7,0.2,0,0,0,0,//
Oeiras,5,10.7,0.3,...,...,...,...,...
Palmela,2.5,3.3,0.2,0,0,0,0,//
Seixal,3.3,2.5,0.2,0,0,0,0,//
Sesimbra,2.7,2,0.2,0,0,0,0,//
Setúbal,9.9,5.1,0.2,...,...,...,...,...
Sintra,2.9,2.8,0.2,4.8,1.4,0.2,3.1,84.4
Vila Franca de Xira,5.5,1.9,0.2,94,28.6,1,2.2,98.8
Alentejo,6.8,3.2,0.5,65.1,102.4,0.9,2.1,78.4
Alentejo Litoral,4.9,2.1,0.4,49.1,11.3,0.7,1.4,73.8
Alcácer do Sal,2.7,0.9,0.5,0,0,0,0,//
Grândola,2.4,1.6,0.4,0,0,0,0,//
Odemira,2,1.2,0.4,0,0,0,0,//
Santiago do Cacém,11.5,3.7,0.4,159.5,11.3,2.3,4.6,73.8
Sines,2.4,2.5,0.2,0,0,0,0,//
Baixo Alentejo,7.9,2.8,0.5,58.2,10.8,0.7,1.8,71.3
Aljustrel,3.3,1.5,0.5,0,0,0,0,//
Almodôvar,4.3,1.8,0.4,0,0,0,0,//
Alvito,3.5,2.6,0.9,0,0,0,0,//
Barrancos,2.8,0.7,0.7,0,0,0,0,//
Beja,17.4,6.1,0.4,201.6,10.8,2.3,6.2,71.3
Castro Verde,5.2,1.2,0.4,0,0,0,0,//
Cuba,6.4,2.3,0.7,0,0,0,0,//
Ferreira do Alentejo,3,0.8,0.8,0,0,0,0,//
Mértola,2.6,0.8,0.3,0,0,0,0,//
Moura,3.9,2,0.8,0,0,0,0,//
Ourique,2.9,1,1,0,0,0,0,//
Serpa,4.4,1.6,0.4,0,0,0,0,//
Vidigueira,3.9,1.5,0.4,0,0,0,0,//
Lezíria do Tejo,5.6,2.8,0.4,...,...,...,...,...
Almeirim,2.6,2.1,0.3,0,0,0,0,//
Alpiarça,2,1.4,0.4,0,0,0,0,//
Azambuja,1.9,1.2,0.3,0,0,0,0,//
Benavente,2.7,1.5,0.2,0,0,0,0,//
Cartaxo,2.8,2.4,0.3,0,0,0,0,//
Chamusca,4.4,1.3,1.1,0,0,0,0,//
Coruche,3.2,2,0.3,0,0,0,0,//
Golegã,3.7,1.5,0.6,0,0,0,0,//
Rio Maior,2.7,1.8,0.2,0,0,0,0,//
Salvaterra de Magos,1.4,1.5,0.4,0,0,0,0,//
Santarém,14.6,6.1,0.4,...,...,...,...,...
Alto Alentejo,8.7,4,0.7,...,...,...,...,...
Alter do Chão,4.9,1.3,1.3,0,0,0,0,//
Arronches,7.5,1.8,1.1,0,0,0,0,//
Avis,2.9,1.3,1.3,0,0,0,0,//
Campo Maior,4,6.5,0.4,0,0,0,0,//
Castelo de Vide,5.2,3.5,1,0,0,0,0,//
Crato,4.1,1.9,1.6,0,0,0,0,//
Elvas,7.9,7.3,0.5,0,0,0,0,//
Fronteira,5.3,1.8,1.1,0,0,0,0,//
Gavião,3.6,0.6,1.2,0,0,0,0,//
Marvão,6.3,2.3,1,0,0,0,0,//
Monforte,8,2.3,1.3,...,...,...,...,...
Nisa,3.6,1.4,0.8,0,0,0,0,//
Ponte de Sor,3.3,1.8,0.5,0,0,0,0,//
Portalegre,21.7,5.4,0.6,300.5,12.6,3.6,10.2,80.9
Sousel,3.7,0.9,0.9,0,0,0,0,//
Alentejo Central,8,4.4,0.6,...,...,...,...,...
Alandroal,3.6,1.4,0.8,0,0,0,0,//
Arraiolos,3,1.5,0.9,0,0,0,0,//
Borba,3.9,2.2,0.6,0,0,0,0,//
Estremoz,3.8,2.7,0.6,0,0,0,0,//
Évora,15.8,9.3,0.4,...,...,...,...,...
Montemor-o-Novo,5.2,1.8,0.7,...,...,...,...,...
Mora,5.4,1.5,1.2,0,0,0,0,//
Mourão,1.7,0.8,2.1,0,0,0,0,//
Portel,3,1,0.3,0,0,0,0,//
Redondo,2.9,1,0.5,0,0,0,0,//
Reguengos de Monsaraz,4,1.5,0.5,0,0,0,0,//
Vendas Novas,2.2,1.9,0.4,0,0,0,0,//
Viana do Alentejo,4.7,1.1,0.8,0,0,0,0,//
Vila Viçosa,4.3,2.6,0.7,0,0,0,0,//
Algarve,6.4,4.2,0.3,87.5,74.9,1.3,2.7,70.7
Albufeira,2.3,2.3,0.2,...,...,...,...,...
Alcoutim,2,3.2,0.8,0,0,0,0,//
Aljezur,2.8,2.8,0.5,0,0,0,0,//
Castro Marim,3.1,2.3,0.3,0,0,0,0,//
Faro,19.1,10.5,0.3,...,...,...,...,...
Lagoa,3.2,3.5,0.3,0,0,0,0,//
Lagos,3.7,3.2,0.2,...,...,...,...,...
Loulé,2.1,2.7,0.2,...,...,...,...,...
Monchique,2.6,0.9,0.6,0,0,0,0,//
Olhão,3,2.6,0.2,5,0,0,0.2,99.7
Portimão,12.6,6.4,0.2,...,...,...,...,...
São Brás de Alportel,4.4,4.3,0.2,0,0,0,0,//
Silves,2.5,1.7,0.3,0,0,0,0,//
Tavira,2.9,2.5,0.4,0,0,0,0,//
Vila do Bispo,2.1,0.7,0.4,0,0,0,0,//
Vila Real de Santo António,2.7,2.2,0.3,0,0,0,0,//
R. A. Açores,9.9,3.9,0.3,104.4,31.4,1.3,6.2,77
Santa Maria,5,2.4,0.4,0,0,0,0,//
Vila do Porto,5,2.4,0.4,0,0,0,0,//
São Miguel,9.1,4.5,0.3,123.4,17.5,1.5,6.5,74.2
Lagoa (R.A.A.),2.3,2.5,0.2,0,0,0,0,//
Nordeste,4.3,1.6,0.5,0,0,0,0,//
Ponta Delgada,14.1,6.9,0.3,249.4,17.5,3,13.1,74.2
Povoação,4.7,1.9,0.3,0,0,0,0,//
Ribeira Grande,3.7,1.8,0.2,0,0,0,0,//
Vila Franca do Campo,6.3,1.6,0.2,0,0,0,0,//
Terceira,13.8,4.1,0.3,102.4,8.5,1.3,9.3,86.9
Angra do Heroísmo,18.7,4.7,0.3,167.1,8.5,2.2,15.2,86.9
Vila da Praia da Vitória,5.2,2.9,0.3,0,0,0,0,//
Graciosa,5.4,1,0.2,0,0,0,0,//
Santa Cruz da Graciosa,5.4,1,0.2,0,0,0,0,//
São Jorge,6.3,2.4,0.5,0,0,0,0,//
Calheta (R.A.A.),11.7,0.9,0.6,0,0,0,0,//
Velas,2.6,3.5,0.4,0,0,0,0,//
Pico,5.5,1.7,0.4,0,0,0,0,//
Lajes do Pico,7.1,2.3,0.5,0,0,0,0,//
Madalena,3.8,0.9,0.3,0,0,0,0,//
São Roque do Pico,6.8,2.5,0.3,0,0,0,0,//
Faial,14.3,3.6,0.3,189.5,5.4,3.1,7.2,52.1
Horta,14.3,3.6,0.3,189.5,5.4,3.1,7.2,52.1
Flores,5.2,1.2,0.6,0,0,0,0,//
Lajes das Flores,1.4,0.7,0,0,0,0,0,//
Santa Cruz das Flores,7.8,1.5,1,0,0,0,0,//
Corvo,0,5,2.5,0,0,0,0,//
Corvo,0,5,2.5,0,0,0,0,//
R. A. Madeira,9.8,5.1,0.3,84.8,38.3,1.1,7.9,75.4
Calheta (R.A.M.),3.4,1.1,0.4,0,0,0,0,//
Câmara de Lobos,3.9,1.8,0.3,0,0,0,0,//
Funchal,17.5,8.7,0.3,207.4,38.3,2.6,19.4,75.4
Machico,5.4,2.2,0.3,0,0,0,0,//
Ponta do Sol,2.7,1.5,0.2,0,0,0,0,//
Porto Moniz,5.6,3.2,0.4,0,0,0,0,//
Ribeira Brava,2.8,2.2,0.3,0,0,0,0,//
Santa Cruz,4.5,3.9,0.2,0,0,0,0,//
Santana,4.8,1.1,0.5,0,0,0,0,//
São Vicente,6.4,1.4,0.6,0,0,0,0,//
Porto Santo,2.3,1.9,0.2,0,0,0,0,//
