,"Cinema, Spectators per inhabitant, No.","Cinema, Occupancy rate, %","Art facilities, Rooms average capacity  , No.","Live shows, Spectators per inhabitant, No.","Live shows, Mean value of tickets sold, €","Periodical publications , Ratio of copies offered, %"
Ílhavo,x,x,308.8,0.4,8,39.6
Murtosa,x,x,//,0,//,...
Oliveira do Bairro,x,x,415,0.2,10.1,...
Ovar,x,x,340,…,...,24.9
Sever do Vouga,x,x,300,0.3,4.5,//
Vagos,x,x,176,ә,//,...
Região de Coimbra,0.5,7.3,408.2,0.5,11.1,10.3
Arganil,x,x,252,…,...,//
Cantanhede,x,x,500,0.3,6.3,//
Coimbra,x,x,330.9,0.5,13.2,8.2
Condeixa-a-Nova,x,x,//,0.4,//,...
Figueira da Foz,x,x,314.7,0.4,11.9,49.4
Góis,x,x,280,1.6,//,...
Lousã,x,x,//,0.5,//,...
Mealhada,x,x,368,0.5,14.1,...
Mira,x,x,//,0.1,//,...
Miranda do Corvo,x,x,266,…,...,...
Montemor-o-Velho,x,x,//,1,5.3,//
Mortágua,x,x,240,0.6,//,//
Oliveira do Hospital,x,x,3000,…,...,...
Pampilhosa da Serra,x,x,179,ә,//,//
Penacova,x,x,199,…,...,//
Penela,x,x,//,…,...,//
Soure,x,x,//,0.7,//,...
Tábua,x,x,286,0.5,8.1,//
Vila Nova de Poiares,x,x,//,…,...,//
Região de Leiria,0.4,6.3,262.6,0.3,9.3,20.3
Alvaiázere,x,x,148,…,...,//
Ansião,x,x,135,…,...,10.6
Batalha,x,x,155,…,...,...
Castanheira de Pêra,x,x,//,0,//,//
Figueiró dos Vinhos,x,x,//,…,...,//
Leiria,x,x,385.6,0.5,9.8,19.6
Marinha Grande,x,x,262,0.2,4.8,...
Pedrógão Grande,x,x,165,…,...,//
Pombal,x,x,201.3,0.3,5.6,16.7
Porto de Mós,x,x,303.6,0.1,5,...
Viseu Dão Lafões,0.4,8.5,241.9,0.2,5.2,17.5
Aguiar da Beira,x,x,262.3,…,...,...
Carregal do Sal,x,x,199,…,...,//
Castro Daire,x,x,146.5,0.2,3,...
Mangualde,x,x,//,…,...,...
Nelas,x,x,398,…,...,...
Oliveira de Frades,x,x,122,0.1,4,//
Penalva do Castelo,x,x,//,0.3,//,...
Santa Comba Dão,x,x,276,0.2,8,//
São Pedro do Sul,x,x,198,ә,//,6.8
Sátão,x,x,//,…,...,...
Tondela,x,x,298.7,0.1,4.1,5.9
Vila Nova de Paiva,x,x,214,0.5,3,//
Viseu,x,x,242.5,0.2,5.3,21.4
Vouzela,x,x,288,0.2,3.1,//
Beira Baixa,0.3,4.5,302,0.1,11.6,30.5
Castelo Branco,x,x,411,0.2,12.1,36.3
Idanha-a-Nova,x,x,//,…,...,...
Oleiros,x,x,//,0,//,//
Penamacor,x,x,//,…,...,//
Proença-a-Nova,x,x,166,0,//,...
Vila Velha de Ródão,x,x,220,0.2,10,//
Médio Tejo,0.2,8.8,242.9,0.2,10.5,60.6
Abrantes,x,x,220,0.1,4.7,...
Alcanena,x,x,207,0.4,2.8,...
Constância,x,x,//,0.9,//,//
Entroncamento,x,x,//,…,...,...
Ferreira do Zêzere,x,x,201,…,...,...
Mação,x,x,//,0,//,...
Ourém,x,x,350,0.6,7.4,67.2
Sardoal,x,x,202,0.1,//,//
Sertã,x,x,199,…,...,...
Tomar,x,x,410,0.1,11.7,...
Torres Novas,x,x,339,0.2,6,24.6
Vila de Rei,x,x,224,0.1,//,//
Vila Nova da Barquinha,x,x,144,0.1,//,...
Beiras e Serra da Estrela,0.2,6.5,277.2,0.3,3.5,11.4
Almeida,x,x,849,…,...,...
Belmonte,x,x,175,…,...,...
Celorico da Beira,x,x,250,0,//,//
Covilhã,x,x,//,0.3,3.1,5.4
Figueira de Castelo Rodrigo,x,x,//,…,...,...
Fornos de Algodres,x,x,//,…,...,...
Fundão,x,x,98.5,0.8,3.2,...
Gouveia,x,x,200,…,...,...
Guarda,x,x,212.5,ә,3.2,13.9
Manteigas,x,x,//,1.6,//,//
Mêda,x,x,299,…,...,//
Pinhel,x,x,//,…,...,//
Sabugal,x,x,//,0.1,//,...
Seia,x,x,348,0.1,4.9,20.4
Trancoso,x,x,//,…,...,//
A. M. Lisboa,0.8,10,539.5,0.5,17.4,25
Alcochete,x,x,369,0.4,12.9,...
Almada,x,x,292.1,0.3,8.8,13.3
Amadora,x,x,134.3,0.1,7.1,4.3
Barreiro,x,x,177.7,0.2,7.7,//
Cascais,x,x,266.5,0.1,14.4,5.6
Lisboa,x,x,827.7,1.9,18.5,28.4
Loures,x,x,146.7,0.1,6.5,38
Mafra,x,x,116.7,ә,4.2,27.6
Moita,x,x,235.7,0.2,5.3,//
Montijo,x,x,356.5,0.1,12.1,//
Odivelas,x,x,72.6,ә,9,...
Oeiras,x,x,169.6,0.4,17.8,10.6
Palmela,x,x,200.3,0.4,6,//
Seixal,x,x,205,0.1,8.2,...
Sesimbra,x,x,279,0.1,11.3,78.2
Setúbal,x,x,1069,0.5,10.9,...
Sintra,x,x,237.5,0.1,11.9,7.3
Vila Franca de Xira,x,x,386.7,0.1,7.8,...
Alentejo,0.2,6.6,420.7,0.3,11.3,17.6
Alentejo Litoral,0.1,7.8,220.8,0.3,7.2,79.8
Alcácer do Sal,x,x,201,…,...,...
Grândola,x,x,234,0.7,//,//
Odemira,x,x,255,…,...,...
Santiago do Cacém,x,x,242,0.2,7.7,//
Sines,x,x,172,0.5,6.9,...
Baixo Alentejo,ә,17.2,253.7,0.4,12.3,50.8
Aljustrel,x,x,333.6,0.3,8,//
Almodôvar,x,x,62.3,0.1,//,//
Alvito,x,x,//,0.3,//,//
Barrancos,x,x,243,0,//,//
Beja,x,x,372,0.4,12.5,...
Castro Verde,x,x,338,0.8,//,...
Cuba,x,x,204,0.7,//,//
Ferreira do Alentejo,x,x,126,…,...,//
Mértola,x,x,172,0.2,//,//
Moura,x,x,239,0.5,//,...
Ourique,x,x,168,ә,3,//
Serpa,x,x,220.8,…,...,//
Vidigueira,x,x,//,0,//,//
Lezíria do Tejo,0.2,7.1,277.1,0.2,10.7,6.1
Almeirim,x,x,270,0.3,13.5,//
Alpiarça,x,x,126.5,0.2,//,...
Azambuja,x,x,90,0.1,//,...
Benavente,x,x,269.3,…,...,//
Cartaxo,x,x,202.5,0.2,5.7,...
Chamusca,x,x,308,0.1,11.3,//
Coruche,x,x,189.5,…,...,//
Golegã,x,x,//,0,//,//
Rio Maior,x,x,247,…,...,//
Salvaterra de Magos,x,x,//,ә,//,//
Santarém,x,x,698,0.2,13.7,2.6
Alto Alentejo,ә,12.5,655.6,0.2,13.5,51.1
Alter do Chão,x,x,//,0.3,//,...
Arronches,x,x,252,…,...,...
Avis,x,x,274,0,//,//
Campo Maior,x,x,210,0.5,5.2,//
Castelo de Vide,x,x,//,0.4,//,//
Crato,x,x,//,…,...,...
Elvas,x,x,2016.7,0.2,24,...
Fronteira,x,x,//,0,//,//
Gavião,x,x,263,0.4,2.5,//
Marvão,x,x,//,0,//,//
Monforte,x,x,//,…,...,//
Nisa,x,x,363,0.8,3,//
Ponte de Sor,x,x,388,0.1,//,...
Portalegre,x,x,206.7,0.3,10,...
Sousel,x,x,103,…,...,//
Alentejo Central,0.4,8.1,637.1,0.3,10.7,14
Alandroal,x,x,180,…,...,//
Arraiolos,x,x,203,…,...,//
Borba,x,x,79,0.9,//,//
Estremoz,x,x,238,…,...,...
Évora,x,x,1098.6,0.3,11.6,7
Montemor-o-Novo,x,x,776,0.4,4.3,...
Mora,x,x,//,0,//,...
Mourão,x,x,//,0.6,//,//
Portel,x,x,218,0.1,//,//
Redondo,x,x,1601,…,...,//
Reguengos de Monsaraz,x,x,232,0.2,//,...
Vendas Novas,x,x,351.3,0.3,//,...
Viana do Alentejo,x,x,215,0,//,//
Vila Viçosa,x,x,//,0,//,//
Algarve,0.7,7.3,597.2,0.4,10.6,42.8
Albufeira,x,x,347,0.2,7.4,...
Alcoutim,x,x,//,0.5,//,//
Aljezur,x,x,//,…,...,//
Castro Marim,x,x,//,…,...,//
Faro,x,x,314.4,0.7,11.9,...
Lagoa,x,x,191.5,0.3,11.2,69.5
Lagos,x,x,237.5,0.5,7.7,//
Loulé,x,x,//,0.5,7.2,...
Monchique,x,x,//,0,//,...
Olhão,x,x,416,0.5,9.5,...
Portimão,x,x,1480.8,0.3,14,...
São Brás de Alportel,x,x,342,0.1,11.1,//
Silves,x,x,150,…,...,//
Tavira,x,x,//,…,...,...
Vila do Bispo,x,x,414,0.3,2,//
Vila Real de Santo António,x,x,287,ә,11.2,...
R. A. Açores,0.2,7.9,388,0.2,8.8,8.3
Santa Maria,x,x,//,1.1,8,...
Vila do Porto,x,x,//,1.1,8,...
São Miguel,x,x,387.7,0.1,10.7,9.1
Lagoa (R.A.A.),x,x,176,0.1,//,//
Nordeste,x,x,//,…,...,...
Ponta Delgada,x,x,511.8,0.2,10.9,...
Povoação,x,x,//,0,//,//
Ribeira Grande,x,x,257.7,…,...,...
Vila Franca do Campo,x,x,//,0,//,...
Terceira,x,x,389.3,0.3,8.1,...
Angra do Heroísmo,x,x,468,0.4,10,...
Vila da Praia da Vitória,x,x,350,0.2,4.9,...
Graciosa,x,x,//,1.9,7.5,//
Santa Cruz da Graciosa,x,x,//,1.9,7.5,//
São Jorge,x,x,//,ә,//,...
Calheta (R.A.A.),x,x,//,…,...,//
Velas,x,x,//,0,//,...
Pico,x,x,//,ә,//,0.4
Lajes do Pico,x,x,//,0,//,...
Madalena,x,x,//,…,...,...
São Roque do Pico,x,x,//,0,//,...
Faial,x,x,//,0.3,3.9,...
Horta,x,x,//,0.3,3.9,...
Flores,x,x,//,0,//,//
Lajes das Flores,x,x,//,0,//,//
Santa Cruz das Flores,x,x,//,0,//,//
Corvo,x,x,//,0,//,//
Corvo,x,x,//,0,//,//
R. A. Madeira,0.4,5.6,477,0.3,8.6,3.3
Calheta (R.A.M.),x,x,194,0.1,4.7,//
Câmara de Lobos,x,x,152.3,0.1,//,...
Funchal,x,x,766.6,0.4,9.5,2.1
Machico,x,x,131.6,0.4,4.7,...
Ponta do Sol,x,x,180,1,5,//
Porto Moniz,x,x,//,0,//,//
Ribeira Brava,x,x,//,0.1,//,//
Santa Cruz,x,x,500,…,...,//
Santana,x,x,//,0.1,//,//
São Vicente,x,x,//,0.1,//,//
Porto Santo,x,x,260,…,...,//
