,"Cinema, Spectators per inhabitant, No.","Cinema, Occupancy rate, %","Art facilities, Rooms average capacity  , No.","Live shows, Spectators per inhabitant, No.","Live shows, Mean value of tickets sold, €","Periodical publications , Ratio of copies offered, %"
Portugal,1.5,12.2,440,1.6,20.8,24.9
Continente,1.5,12.3,439.4,1.7,21,25.7
Norte,1.3,12.6,426.4,1.9,14.6,28.2
Alto Minho,0.6,13.2,674.8,1.4,25,9.2
Arcos de Valdevez,x,x,234,…,…,…
Caminha,x,x,//,…,…,//
Melgaço,x,x,//,0,//,//
Monção,x,x,//,1.3,4.9,…
Paredes de Coura,x,x,325.5,…,…,…
Ponte da Barca,x,x,//,0,//,…
Ponte de Lima,x,x,305,3,5.9,…
Valença,x,x,//,…,…,//
Viana do Castelo,x,x,1052,0.8,6.2,17.4
Vila Nova de Cerveira,x,x,//,6.7,//,8.1
Cávado,1.9,12.3,364.1,3.7,12.4,26.5
Amares,x,x,//,0.2,//,…
Barcelos,x,x,125.5,…,…,5.8
Braga,x,x,482.6,7.9,12.8,27.8
Esposende,x,x,226,…,…,…
Terras de Bouro,x,x,150,…,…,…
Vila Verde,x,x,//,0,//,…
Ave,0.7,8.6,1188.7,1.5,18.3,20
Cabeceiras de Basto,x,x,//,0,//,//
Fafe,x,x,1312.7,0.3,6.3,…
Guimarães,x,x,2593.3,0.5,19.1,26.4
Mondim de Basto,x,x,100,0.2,//,//
Póvoa de Lanhoso,x,x,120,0.1,//,…
Vieira do Minho,x,x,254,0,//,…
Vila Nova de Famalicão,x,x,222.7,3.8,5,…
Vizela,x,x,//,0.5,//,…
A. M. Porto,1.8,13.1,356.5,2.1,14.2,28.1
Arouca,x,x,204,1.3,6,…
Espinho,x,x,200,2.5,9.3,68.9
Gondomar,x,x,872.5,0.1,8.8,70
Maia,x,x,//,0.3,6.8,…
Matosinhos,x,x,151,1.7,11.5,1.7
Oliveira de Azeméis,x,x,482.5,0.1,9.5,1.8
Paredes,x,x,216,…,…,…
Porto,x,x,404.6,8.8,17.6,27.3
Póvoa de Varzim,x,x,206.8,3.2,9,5.4
Santa Maria da Feira,x,x,//,3.6,5.1,4.8
Santo Tirso,x,x,250,…,…,5.9
São João da Madeira,x,x,595.5,6.9,3.4,10.5
Trofa,x,x,//,0,//,…
Vale de Cambra,x,x,151,ә,//,…
Valongo,x,x,301,…,…,…
Vila do Conde,x,x,230.5,0.2,10.7,72.7
Vila Nova de Gaia,x,x,330,0.5,31.3,77.4
Alto Tâmega,0.1,23.4,170.2,1.1,5.8,15.4
Boticas,x,x,130,5.8,//,…
Chaves,x,x,153.7,1.3,4.9,…
Montalegre,x,x,//,0,//,…
Ribeira de Pena,x,x,180,…,…,//
Valpaços,x,x,250,…,…,//
Vila Pouca de Aguiar,x,x,//,1.4,//,//
Tâmega e Sousa,0.5,17,202.4,1,7.3,73.1
Amarante,x,x,123,0.2,//,…
Baião,x,x,//,…,…,…
Castelo de Paiva,x,x,//,0,//,//
Celorico de Basto,x,x,//,0,//,//
Cinfães,x,x,//,…,…,…
Felgueiras,x,x,283,5.6,8,…
Lousada,x,x,200,0.9,7.2,…
Marco de Canaveses,x,x,//,0.3,4.9,10.8
Paços de Ferreira,x,x,//,0,//,…
Penafiel,x,x,//,…,…,…
Resende,x,x,//,2.7,//,…
Douro,1.1,11,350.1,0.5,8.6,12
Alijó,x,x,248,0.1,//,//
Armamar,x,x,//,…,…,//
Carrazeda de Ansiães,x,x,//,…,…,…
Freixo de Espada à Cinta,x,x,//,0,//,//
Lamego,x,x,804.5,0.8,8.8,…
Mesão Frio,x,x,103,3,//,//
Moimenta da Beira,x,x,//,…,…,…
Murça,x,x,193,0,//,//
Penedono,x,x,283.3,…,…,//
Peso da Régua,x,x,//,…,…,…
Sabrosa,x,x,215,…,…,//
Santa Marta de Penaguião,x,x,213,0,//,//
São João da Pesqueira,x,x,400,…,…,//
Sernancelhe,x,x,150,0,//,//
Tabuaço,x,x,//,0,//,//
Tarouca,x,x,196,0,//,…
Torre de Moncorvo,x,x,198.5,0.3,//,//
Vila Nova de Foz Côa,x,x,//,0,//,…
Vila Real,x,x,359.8,0.9,8.5,13.8
Terras de Trás-os-Montes,0.1,20.8,247.4,0.4,5.1,26.9
Alfândega da Fé,x,x,213,…,…,//
Bragança,x,x,161.5,…,…,…
Macedo de Cavaleiros,x,x,302,…,…,…
Miranda do Douro,x,x,60,0,//,//
Mirandela,x,x,//,0,//,…
Mogadouro,x,x,525,0,//,//
Vila Flor,x,x,250,0.5,//,//
Vimioso,x,x,200,…,…,//
Vinhais,x,x,//,0.8,2.8,//
Centro,0.9,9.7,376.6,1.6,7.8,26.8
Oeste,0.9,15.6,584.2,0.7,9.1,17.4
Alcobaça,x,x,311,0.6,8.6,20.2
Alenquer,x,x,//,0.6,//,//
Arruda dos Vinhos,x,x,1555.5,…,…,…
Bombarral,x,x,//,…,…,//
Cadaval,x,x,//,0.4,//,//
Caldas da Rainha,x,x,//,0.6,12.5,…
Lourinhã,x,x,118,0.2,6.6,…
Nazaré,x,x,365,0.8,11.7,//
Óbidos,x,x,350,…,…,//
Peniche,x,x,//,…,…,…
Sobral de Monte Agraço,x,x,219,…,…,//
Torres Vedras,x,x,434,1,10.1,…
Região de Aveiro,0.9,9.2,370.7,0.8,7.8,14.6
Águeda,x,x,453.7,0.3,7.3,11.1
Albergaria-a-Velha,x,x,180,0.6,3.8,…
Anadia,x,x,268,0.2,9.1,//
Aveiro,x,x,180,1.8,9.8,12.1
Estarreja,x,x,706,1.6,9.9,16
Ílhavo,x,x,335,1,6.7,34.7
Murtosa,x,x,//,0,//,…
Oliveira do Bairro,x,x,//,0.4,6.9,…
Ovar,x,x,340,0.3,5,22.2
Sever do Vouga,x,x,300,…,…,…
Vagos,x,x,180,…,…,…
Região de Coimbra,1.3,8.9,427.6,3.1,10.5,10.8
Arganil,x,x,252,…,…,//
Cantanhede,x,x,//,0.8,4.2,//
Coimbra,x,x,342.1,8.2,9.6,8.4
Condeixa-a-Nova,x,x,//,…,…,…
Figueira da Foz,x,x,330.8,1,16.1,72.2
Góis,x,x,//,2.2,//,…
Lousã,x,x,450,0.8,//,…
Mealhada,x,x,258,0.6,10.5,…
Mira,x,x,//,…,…,…
Miranda do Corvo,x,x,266,0.9,5.8,…
Montemor-o-Velho,x,x,//,1.6,5.6,//
Mortágua,x,x,240,…,…,//
Oliveira do Hospital,x,x,3000,…,…,…
Pampilhosa da Serra,x,x,178,…,…,//
Penacova,x,x,//,…,…,//
Penela,x,x,//,…,…,//
Soure,x,x,//,…,…,…
Tábua,x,x,286,1.4,11.4,//
Vila Nova de Poiares,x,x,//,0,//,//
Região de Leiria,1.1,8.5,647.4,0.6,9.5,31.8
Alvaiázere,x,x,//,…,…,//
Ansião,x,x,156.7,…,…,14.9
Batalha,x,x,177,0.5,10.8,…
Castanheira de Pêra,x,x,//,…,…,//
Figueiró dos Vinhos,x,x,//,3.1,6.5,//
Leiria,x,x,322,0.8,9.7,34.3
Marinha Grande,x,x,//,ә,8,…
Pedrógão Grande,x,x,//,…,…,//
Pombal,x,x,202.5,ә,//,22.4
Porto de Mós,x,x,1484.8,…,…,…
Viseu Dão Lafões,1.1,11.5,205.5,4.4,5.2,18.8
