,"Art facilities, Total, No.","Art facilities, Rooms, No.","Art facilities, Capacity, No.","Art facilities, Seats, No.","Live shows, Performances, No.","Live shows, Spectators, No.","Live shows, Tickets sold, No.","Live shows, Revenues, Euros"
Portugal,388,585,257400,196013,37048.99999999997,16926410.99999997,6037822,125314014.00000012
Continente,360,541,237720,182723,35098.99999999997,16326032.999999972,5885877,123480617.00000012
Norte,88,146,62259,44076,10165,6617533,1776597.0000000026,25872076.999999963
Alto Minho,6,8,5398,3889,881.0000000000005,330630,78281.00000000003,1958072.000000001
Arcos de Valdevez,1,1,234,232,64,…,…,…
Caminha,0,0,0,0,94,…,…,…
Melgaço,0,0,0,0,0,0,0,0
Monção,0,0,0,0,72.00000000000001,22688,3105,15359.000000000002
Paredes de Coura,1,2,651,510,20,…,…,…
Ponte da Barca,0,0,0,0,0,0,0,0
Ponte de Lima,1,1,305,305,226,122838,8188.000000000002,47946
Valença,0,0,0,0,33,…,…,…
Viana do Castelo,3,4,4208,2842,318,68106,40252,248502.99999999997
Vila Nova de Cerveira,0,0,0,0,54,59300,0,0
Cávado,6,11,4005,3893,1531.0000000000002,1489204.9999999995,69316,860309.9999999999
Amares,0,0,0,0,8,3400,0,0
Barcelos,1,2,251,251,5,…,…,…
Braga,3,7,3378,3266,1430.9999999999998,1434243,66095.00000000003,847527.0000000001
Esposende,1,1,226,226,85,…,…,…
Terras de Bouro,1,1,150,150,2,…,…,…
Vila Verde,0,0,0,0,0,0,0,0
Ave,8,13,15453,6065,723,606564.0000000001,41783.00000000001,766653.0000000005
Cabeceiras de Basto,0,0,0,0,0,0,0,0
Fafe,2,3,3938,1674,40,13067,2421.9999999999995,15355
Guimarães,2,4,10373,3249,380,72764,39223.99999999999,750612.9999999999
Mondim de Basto,1,1,100,100,1,1500,0,0
Póvoa de Lanhoso,1,1,120,120,1,1200,0,0
Vieira do Minho,1,1,254,254,0,0,0,0
Vila Nova de Famalicão,1,3,668,668,288,506532.99999999994,137,685
Vizela,0,0,0,0,13,11500,0,0
A. M. Porto,38,69,24597,19643,5781.000000000004,3544652.9999999977,1546211.9999999984,21981324.999999996
Arouca,1,1,204,204,125,27275,51,306
Espinho,1,1,200,200,106.99999999999999,74093,6625,61887.99999999999
Gondomar,2,2,1745,841,76,12460.000000000002,7140,62650
Maia,0,0,0,0,169,42295.000000000015,16370.999999999996,111721
Matosinhos,2,3,453,453,263,295819,114014,1313372
Oliveira de Azeméis,2,2,965,945,18,4423,3599,34269
Paredes,2,2,432,428,38,…,…,…
Porto,16,36,14567,11287,3217.0000000000023,1899897.9999999995,881527.9999999997,15518180.999999993
Póvoa de Varzim,2,5,1034,1034,177.99999999999994,199889,12693.000000000002,114471.99999999999
Santa Maria da Feira,0,0,0,0,615,497091.9999999999,364411.00000000006,1854111
Santo Tirso,1,2,500,400,74.99999999999999,…,…,…
São João da Madeira,1,2,1191,655,452.0000000000001,150114,33366,114648
Trofa,0,0,0,0,0,0,0,0
Vale de Cambra,1,2,302,302,3,730,0,0
Valongo,1,1,301,301,137,…,…,…
Vila do Conde,2,6,1383,1273,86,13505.999999999998,9530,102435.00000000003
Vila Nova de Gaia,4,4,1320,1320,222,145436,84845,2656675
Alto Tâmega,4,6,1021,1019,172,96204.00000000001,1844.0000000000002,10745.999999999998
Boticas,1,1,130,130,28,29100,0,0
Chaves,1,3,461,459,103,49755.999999999985,1675.9999999999998,8245.999999999998
Montalegre,0,0,0,0,0,0,0,0
Ribeira de Pena,1,1,180,180,1,…,…,…
Valpaços,1,1,250,250,1,…,…,…
Vila Pouca de Aguiar,0,0,0,0,39,17080,0,0
Tâmega e Sousa,3,5,1012,682,509,418936.0000000001,7646.999999999999,55718.000000000015
Amarante,1,2,246,206,124,10629,0,0
Baião,0,0,0,0,18,…,…,…
Castelo de Paiva,0,0,0,0,0,0,0,0
Celorico de Basto,0,0,0,0,0,0,0,0
Cinfães,0,0,0,0,1,…,…,…
Felgueiras,1,2,566,276,211.00000000000009,317608.00000000006,1523.0000000000002,12185
Lousada,1,1,200,200,76.00000000000001,43091,4449,32183.000000000004
Marco de Canaveses,0,0,0,0,44,15199.999999999998,1050,5100
Paços de Ferreira,0,0,0,0,0,0,0,0
Penafiel,0,0,0,0,16,…,…,…
Resende,0,0,0,0,19,27716,0,0
Douro,14,23,8052,6305,400.0000000000001,91345.99999999997,22609.000000000007,194005.00000000003
Alijó,1,1,248,248,11,1515,0,0
Armamar,0,0,0,0,1,…,…,…
Carrazeda de Ansiães,0,0,0,0,1,…,…,…
Freixo de Espada à Cinta,0,0,0,0,0,0,0,0
Lamego,2,4,3218,1696,93,20495,8029.999999999998,70985.00000000001
Mesão Frio,1,1,103,103,32,11945,0,0
Moimenta da Beira,0,0,0,0,57,…,…,…
Murça,1,1,193,192,0,0,0,0
Penedono,1,3,850,650,4,…,…,…
Peso da Régua,0,0,0,0,2,…,…,…
Sabrosa,1,3,645,645,1,…,…,…
Santa Marta de Penaguião,1,1,213,206,0,0,0,0
São João da Pesqueira,1,1,400,400,8,…,…,…
Sernancelhe,1,1,150,135,0,0,0,0
Tabuaço,0,0,0,0,0,0,0,0
Tarouca,1,1,196,194,0,0,0,0
Torre de Moncorvo,2,2,397,397,2,1950,0,0
Vila Nova de Foz Côa,0,0,0,0,0,0,0,0
Vila Real,1,4,1439,1439,187.99999999999994,43331.00000000001,13809.000000000004,116920
Terras de Trás-os-Montes,9,11,2721,2580,168,39995,8905.000000000002,45247.99999999997
Alfândega da Fé,1,1,213,213,1,…,…,…
Bragança,2,4,646,616,105,…,…,…
Macedo de Cavaleiros,1,1,302,302,1,…,…,…
Miranda do Douro,1,1,60,35,0,0,0,0
Mirandela,0,0,0,0,0,0,0,0
Mogadouro,2,2,1050,998,0,0,0,0
Vila Flor,1,1,250,250,12,3300,0,0
Vimioso,1,1,200,166,20,…,…,…
Vinhais,0,0,0,0,29.000000000000004,5955,443,1239
Centro,95,133,50086,34678,8229,3625800,729604,5707314.000000005
Oeste,8,9,5258,2551,1101.9999999999998,264325,61020.99999999997,556237.9999999999
Alcobaça,1,1,311,311,201.00000000000003,33112.00000000001,12372,106049
Alenquer,0,0,0,0,131,24200.000000000004,0,0
Arruda dos Vinhos,2,2,3111,611,52.99999999999999,…,…,…
Bombarral,0,0,0,0,10,…,…,…
Cadaval,0,0,0,0,10,5500,0,0
Caldas da Rainha,0,0,0,0,135.00000000000003,32483,16808.999999999996,210253.99999999994
Lourinhã,1,1,118,118,18,4030,1830,12126
Nazaré,1,1,365,361,15,11369,299,3510
Óbidos,1,2,700,500,12,…,…,…
Peniche,0,0,0,0,95.99999999999997,…,…,…
Sobral de Monte Agraço,1,1,219,216,44,…,…,…
Torres Vedras,1,1,434,434,376.9999999999999,82211.99999999999,17970,181788.99999999997
Região de Aveiro,14,15,5561,5387,1250,302168.9999999997,104429.99999999996,812121
Águeda,2,3,1361,1336,67,15482,10555.999999999998,76882
Albergaria-a-Velha,1,1,180,178,69.00000000000001,14168.000000000002,11004,41819.00000000001
Anadia,1,1,268,264,20,4410,3987.9999999999995,36398
Aveiro,1,1,180,180,443.99999999999994,144040.00000000003,33419,327405.0000000002
Estarreja,2,2,1412,1369,171,40353.000000000015,12914,127697.00000000003
Ílhavo,4,4,1340,1240,221,38022,15504.999999999998,103349.00000000001
Murtosa,0,0,0,0,0,0,0,0
Oliveira do Bairro,0,0,0,0,51,9839,6044.999999999998,41633.99999999999
Ovar,1,1,340,340,135.00000000000003,15177,5626.000000000001,27948
Sever do Vouga,1,1,300,300,67,…,…,…
Vagos,1,1,180,180,5,…,…,…
Região de Coimbra,18,25,10689,7700,2847,1344570.9999999998,186282,1956585.9999999981
Arganil,1,1,252,246,21,…,…,…
Cantanhede,0,0,0,0,193.00000000000003,28324,332,1400
Coimbra,8,12,4105,3735,1993,1104963,117936.00000000004,1129720
Condeixa-a-Nova,0,0,0,0,3,…,…,…
Figueira da Foz,2,5,1654,1654,174.00000000000003,60686.999999999985,35445.00000000001,569606.0000000001
Góis,0,0,0,0,25.999999999999996,8570,0,0
Lousã,1,1,450,450,33,12985,0,0
Mealhada,1,1,258,258,44,11366.000000000002,9045,94606.99999999999
Mira,0,0,0,0,1,…,…,…
Miranda do Corvo,1,1,266,266,31.99999999999999,11011,1500,8720
Montemor-o-Velho,0,0,0,0,207.99999999999997,41363,16711,93000
Mortágua,1,1,240,236,17,…,…,…
Oliveira do Hospital,1,1,3000,400,35,…,…,…
Pampilhosa da Serra,1,1,178,173,1,…,…,…
Penacova,0,0,0,0,2,…,…,…
Penela,0,0,0,0,2,…,…,…
Soure,0,0,0,0,1,…,…,…
Tábua,1,1,286,282,60.999999999999986,15633.999999999996,5078,57950.00000000001
Vila Nova de Poiares,0,0,0,0,0,0,0,0
Região de Leiria,9,18,11654,4561,727,159119.99999999997,79276.99999999999,751224.9999999999
Alvaiázere,0,0,0,0,39,…,…,…
Ansião,1,3,470,470,41,…,…,…
Batalha,1,1,177,175,23,7474.000000000001,72,775
Castanheira de Pêra,0,0,0,0,2,…,…,…
Figueiró dos Vinhos,0,0,0,0,56.99999999999999,17176,752.0000000000001,4880
Leiria,3,4,1288,1268,464.00000000000006,106105,75100,725710
Marinha Grande,0,0,0,0,18,1627,40,320
Pedrógão Grande,0,0,0,0,2,…,…,…
Pombal,2,4,810,805,18,1765,0,0
Porto de Mós,2,6,8909,1843,63,…,…,…
Viseu Dão Lafões,16,26,5342,5274,1012,1118520,243290.99999999994,1276388.0000000002
Aguiar da Beira,1,3,787,787,1,…,…,…
Carregal do Sal,1,2,398,398,6,…,…,…
Castro Daire,2,2,311,308,7,741,384,1152
Mangualde,0,0,0,0,26,5829,920,7420
Nelas,1,2,394,394,7,684,0,0
Oliveira de Frades,2,3,438,438,28.999999999999996,17399.999999999996,540.9999999999999,1592
Penalva do Castelo,0,0,0,0,53,14650,0,0
Santa Comba Dão,1,1,270,266,10,1921,1330,12970
São Pedro do Sul,1,1,198,198,16,2450,650,1950
Sátão,1,1,225,225,5,…,…,…
Tondela,1,3,896,863,130.99999999999997,44870.00000000001,22823,69050
Vila Nova de Paiva,1,1,214,214,2,…,…,…
Viseu,2,5,635,607,697,997530,203113.00000000006,1132619.0000000002
Vouzela,2,2,576,576,22,…,…,…
Beira Baixa,5,7,2715,2481,125,21846,13155.999999999998,132969
Castelo Branco,2,2,930,930,94.00000000000001,17280,11679.999999999998,118209
Idanha-a-Nova,1,3,1401,1167,3,…,…,…
Oleiros,0,0,0,0,0,0,0,0
Penamacor,0,0,0,0,1,…,…,…
Proença-a-Nova,1,1,166,166,19,2585,0,0
Vila Velha de Ródão,1,1,218,218,8,834,482,4820
Médio Tejo,15,16,3873,3715,370.0000000000001,137856.99999999994,27320.999999999996,127775.00000000003
Abrantes,1,1,300,250,46,3253,952,4886
Alcanena,2,2,454,450,65,14228,410,4700
Constância,1,1,103,103,12,13580,0,0
Entroncamento,0,0,0,0,61.00000000000001,40932.00000000001,2421.9999999999995,21748
Ferreira do Zêzere,2,3,603,503,12,…,…,…
Mação,0,0,0,0,1,…,…,…
Ourém,1,1,350,350,65,31472,13248,36760
Sardoal,1,1,202,200,39,5074,754,2904
Sertã,2,2,404,402,1,…,…,…
Tomar,1,1,410,410,26,10824,6655.000000000001,30448
Torres Novas,2,2,679,679,25.000000000000007,3958.9999999999995,2111.0000000000005,21587
Vila de Rei,1,1,224,224,0,0,0,0
Vila Nova da Barquinha,1,1,144,144,17,2416.0000000000005,0,0
Beiras e Serra da Estrela,10,17,4994,3009,796.0000000000002,277392.00000000006,14826.000000000002,94011.99999999999
Almeida,1,2,1698,196,1,…,…,…
Belmonte,1,4,700,386,96,31550,0,0
Celorico da Beira,0,0,0,0,18,…,…,…
Covilhã,0,0,0,0,70,5212,2600.0000000000005,10232
Figueira de Castelo Rodrigo,0,0,0,0,1,…,…,…
Fornos de Algodres,0,0,0,0,1,…,…,…
Fundão,1,1,147,147,189.00000000000006,…,…,…
Gouveia,1,1,200,200,1,…,…,…
Guarda,4,6,1303,1138,201,47320.99999999999,2992.0000000000005,31085
Manteigas,0,0,0,0,51,…,…,…
Mêda,1,2,598,598,1,…,…,…
Pinhel,0,0,0,0,70,…,…,…
Sabugal,0,0,0,0,33,6052,831.9999999999999,7200
Seia,1,1,348,344,62,11200,975,4178
Trancoso,0,0,0,0,1,…,…,…
A. M. Lisboa,102,156,84550,67010,12282.000000000011,4508026,3033489.0000000005,85918633
Alcochete,1,1,367,365,61.00000000000001,9661,3448.0000000000005,32241.000000000004
Almada,4,7,2046,2038,584,63200.00000000001,27511,215904.00000000003
Amadora,3,6,893,845,342.99999999999994,61682.00000000001,18593.000000000004,133107.00000000003
Barreiro,3,3,1365,1365,202.00000000000006,47618.99999999999,22102,184986
Cascais,8,11,2938,2562,595,127673.00000000003,106774.99999999997,1712665.0000000002
Lisboa,43,74,62897,48448,7524.999999999998,3029809.9999999963,2566041.9999999986,72972900.99999997
Loures,3,4,645,645,165,39158,0,0
Mafra,3,3,350,350,67,22255,16730,574306
Moita,2,3,707,608,78,14798,2781.0000000000005,19498.999999999993
Montijo,1,2,723,723,43,10997.000000000002,7283,71786.99999999999
Odivelas,1,5,413,413,152,10428,4904,36893
Oeiras,9,9,2099,2031,677.9999999999999,309147.99999999994,133412,7483673
Palmela,4,7,1051,1037,174.00000000000003,42469,3334,18228
Seixal,4,4,655,645,125.99999999999999,71636,16059,79303.00000000001
