,"Educação pré-escolar, Dependente do Estado (N.º)","Educação pré-escolar, Independente do Estado  (N.º)","Ensino básico, 1º Ciclo, Dependente do Estado (N.º)","Ensino básico, 1º Ciclo, Independente do Estado  (N.º)","Ensino básico, 2º Ciclo, Dependente do Estado (N.º)","Ensino básico, 2º Ciclo, Independente do Estado  (N.º)","Ensino básico, 3º Ciclo, Dependente do Estado (N.º)","Ensino básico, 3º Ciclo, Independente do Estado  (N.º)","Ensino secundário, 3º Ciclo, Dependente do Estado (N.º)","Ensino secundário, 3º Ciclo, Independente do Estado  (N.º)"
Bombarral,65,0,0,0,0,0,0,0,0,0
Cadaval,51,0,0,0,0,0,0,0,0,0
Caldas da Rainha,352,134,96,172,102,71,128,81,0,544
Lourinhã,199,0,0,0,0,0,0,0,0,36
Nazaré,101,0,0,0,0,3,0,46,0,294
Óbidos,65,0,0,0,0,0,0,0,0,0
Peniche,329,0,0,0,0,0,0,45,0,62
Sobral de Monte Agraço,96,0,0,0,0,0,0,0,0,0
Torres Vedras,650,241,86,219,460,104,696,117,358,903
Região de Aveiro,3893,777,44,515,259,265,392,877,339,2680
Águeda,615,26,0,79,0,35,0,32,0,1
Albergaria-a-Velha,305,0,44,0,76,0,117,0,81,313
Anadia,294,83,0,116,0,113,0,205,0,415
Aveiro,1101,351,0,234,0,109,0,402,0,959
Estarreja,213,95,0,28,0,0,0,62,0,20
Ílhavo,339,83,0,0,0,0,0,0,0,0
Murtosa,85,0,0,0,0,0,0,0,0,9
Oliveira do Bairro,256,57,0,0,0,0,0,0,0,133
Ovar,504,60,0,58,0,8,0,176,0,590
Sever do Vouga,26,0,0,0,0,0,0,0,0,228
Vagos,155,22,0,0,183,0,275,0,258,12
Região de Coimbra,3490,1448,0,1432,167,440,244,884,70,3873
Arganil,33,0,0,0,0,0,0,0,0,0
Cantanhede,284,65,0,24,44,0,47,25,0,307
Coimbra,1504,1056,0,1241,56,415,80,674,0,1700
Condeixa-a-Nova,41,29,0,0,0,0,0,0,0,0
Figueira da Foz,490,203,0,166,0,4,0,73,0,432
Góis,27,0,0,0,0,0,0,0,0,0
Lousã,94,0,0,1,0,17,0,20,0,252
Mealhada,198,0,0,0,0,0,0,39,0,350
Mira,44,0,0,0,0,0,0,0,0,18
Miranda do Corvo,64,18,0,0,0,0,0,0,0,0
Montemor-o-Velho,155,43,0,0,0,0,0,21,0,140
Mortágua,0,34,0,0,0,0,0,0,0,0
Oliveira do Hospital,215,0,0,0,0,0,0,0,0,255
Pampilhosa da Serra,36,0,0,0,0,0,0,0,0,0
Penacova,0,0,0,0,0,4,0,13,0,255
Penela,0,0,0,0,0,0,0,0,0,26
Soure,182,0,0,0,67,0,117,0,70,15
Tábua,47,0,0,0,0,0,0,0,0,42
Vila Nova de Poiares,76,0,0,0,0,0,0,19,0,81
Região de Leiria,1631,735,419,377,927,40,1495,191,837,2161
Alvaiázere,0,0,0,0,0,0,0,9,0,50
Ansião,86,0,0,0,0,0,0,8,0,299
Batalha,147,22,0,0,0,0,0,0,0,0
Castanheira de Pêra,0,0,0,0,0,0,0,0,0,0
Figueiró dos Vinhos,34,0,0,0,0,0,0,0,0,0
Leiria,774,530,376,240,550,0,897,24,213,641
Marinha Grande,144,133,0,127,0,40,0,104,0,365
Pedrógão Grande,17,0,0,0,0,0,0,8,0,267
Pombal,267,50,0,10,211,0,364,38,276,539
Porto de Mós,162,0,43,0,166,0,234,0,348,0
Viseu Dão Lafões,1388,441,0,550,0,210,0,517,0,1460
Aguiar da Beira,0,0,0,0,0,0,0,0,0,0
Carregal do Sal,0,0,0,0,0,0,0,0,0,0
Castro Daire,37,0,0,0,0,0,0,27,0,72
Mangualde,158,0,0,0,0,0,0,0,0,18
Nelas,121,28,0,24,0,0,0,0,0,0
Oliveira de Frades,62,0,0,0,0,0,0,0,0,0
Penalva do Castelo,0,0,0,0,0,0,0,0,0,0
Santa Comba Dão,49,0,0,0,0,0,0,0,0,0
São Pedro do Sul,58,9,0,0,0,0,0,0,0,179
Sátão,31,0,0,0,0,0,0,0,0,0
Tondela,99,0,0,0,0,6,0,31,0,363
Vila Nova de Paiva,0,0,0,0,0,0,0,0,0,0
Viseu,759,404,0,526,0,204,0,439,0,620
Vouzela,14,0,0,0,0,0,0,20,0,208
Beira Baixa,726,89,126,41,0,0,0,45,0,391
Castelo Branco,590,89,126,41,0,0,0,45,0,304
Idanha-a-Nova,32,0,0,0,0,0,0,0,0,87
Oleiros,19,0,0,0,0,0,0,0,0,0
Penamacor,24,0,0,0,0,0,0,0,0,0
Proença-a-Nova,61,0,0,0,0,0,0,0,0,0
Vila Velha de Ródão,0,0,0,0,0,0,0,0,0,0
Médio Tejo,1311,400,56,370,423,30,758,85,932,1323
Abrantes,204,11,0,10,0,0,0,0,0,22
Alcanena,97,0,0,0,0,0,0,0,0,0
Constância,0,0,0,0,0,0,0,0,0,0
Entroncamento,87,90,0,188,0,23,0,44,0,315
Ferreira do Zêzere,31,0,0,0,0,0,0,0,0,0
Mação,0,0,0,0,0,0,0,0,0,0
Ourém,305,24,0,55,368,5,653,36,809,490
Sardoal,0,0,0,0,0,0,0,0,0,0
Sertã,165,0,0,0,55,0,105,0,123,67
Tomar,112,131,56,50,0,0,0,0,0,119
Torres Novas,291,102,0,67,0,2,0,5,0,310
Vila de Rei,19,0,0,0,0,0,0,0,0,0
Vila Nova da Barquinha,0,42,0,0,0,0,0,0,0,0
Beiras e Serra da Estrela,2016,39,75,97,126,24,118,167,0,1529
Almeida,0,0,0,0,0,0,0,0,0,0
Belmonte,90,0,0,0,0,0,0,0,0,0
Celorico da Beira,90,0,0,0,0,0,0,0,0,0
Covilhã,437,29,75,3,40,6,0,55,0,104
Figueira de Castelo Rodrigo,63,0,0,0,0,0,0,0,0,0
Fornos de Algodres,0,0,0,0,0,0,0,0,0,0
Fundão,276,0,0,0,45,0,57,34,0,207
Gouveia,95,0,0,0,0,0,0,28,0,104
Guarda,507,0,0,93,0,7,0,27,0,530
Manteigas,20,0,0,0,0,0,0,0,0,35
Mêda,47,0,0,0,0,0,0,0,0,0
Pinhel,63,0,0,0,0,0,0,0,0,0
Sabugal,67,0,0,0,41,0,61,0,0,0
Seia,193,10,0,1,0,11,0,23,0,263
Trancoso,68,0,0,0,0,0,0,0,0,286
A. M. Lisboa,19245,24808,2226,24370,1369,10942,1905,15176,1300,27848
Alcochete,111,210,0,90,0,35,0,0,0,0
Almada,1218,1347,0,1018,0,428,0,618,0,1469
Amadora,1263,1021,182,757,104,318,141,410,0,1132
Barreiro,346,618,0,421,0,175,0,212,0,353
Cascais,1767,2673,227,4000,439,1927,727,2857,511,2170
Lisboa,3948,7789,712,10586,159,5209,169,7288,134,14959
Loures,1336,1015,36,873,0,509,0,678,0,597
Mafra,386,355,133,156,490,27,679,44,600,519
Moita,405,223,0,112,0,0,0,0,0,541
Montijo,316,320,24,213,0,103,0,29,0,392
Odivelas,720,998,182,335,0,240,0,255,0,216
Oeiras,1426,1833,84,1508,0,386,0,507,0,884
Palmela,335,372,11,520,0,336,0,494,0,1233
Seixal,472,1666,0,917,0,432,0,689,0,760
Sesimbra,333,157,0,79,0,0,0,0,0,98
Setúbal,1232,961,83,501,49,52,0,0,0,777
Sintra,1864,2481,133,2134,8,745,0,1095,0,1473
Vila Franca de Xira,1767,769,419,150,120,20,189,0,55,275
Alentejo,5335,1218,113,551,238,182,380,626,168,4350
Alentejo Litoral,553,181,0,3,144,2,239,13,168,642
Alcácer do Sal,70,0,0,0,0,0,0,0,0,0
Grândola,68,0,0,0,0,0,0,0,0,0
Odemira,106,99,0,3,144,2,239,10,168,338
Santiago do Cacém,158,40,0,0,0,0,0,0,0,0
Sines,151,42,0,0,0,0,0,3,0,304
Baixo Alentejo,870,126,0,54,53,1,97,129,0,811
Aljustrel,79,0,0,0,0,0,0,0,0,0
Almodôvar,29,0,0,0,0,0,0,0,0,0
Alvito,0,0,0,0,0,0,0,0,0,154
Barrancos,0,0,0,0,0,0,0,0,0,0
Beja,433,126,0,54,53,1,97,82,0,265
Castro Verde,37,0,0,0,0,0,0,0,0,0
Cuba,0,0,0,0,0,0,0,38,0,193
Ferreira do Alentejo,67,0,0,0,0,0,0,0,0,0
Mértola,0,0,0,0,0,0,0,0,0,24
Moura,96,0,0,0,0,0,0,9,0,90
Ourique,39,0,0,0,0,0,0,0,0,0
Serpa,61,0,0,0,0,0,0,0,0,0
Vidigueira,29,0,0,0,0,0,0,0,0,85
Lezíria do Tejo,1827,382,44,191,9,15,0,130,0,1740
Almeirim,245,0,0,0,0,0,0,0,0,0
Alpiarça,34,0,0,0,0,0,0,0,0,0
Azambuja,333,43,0,0,0,0,0,0,0,0
Benavente,241,0,0,0,0,0,0,16,0,34
Cartaxo,222,15,0,0,0,0,0,0,0,0
Chamusca,0,0,0,0,0,0,0,0,0,0
Coruche,53,77,0,1,0,0,0,6,0,150
Golegã,43,0,0,0,0,0,0,0,0,0
Rio Maior,99,95,0,108,0,0,0,0,0,166
Salvaterra de Magos,173,46,0,0,0,1,0,29,0,434
Santarém,384,106,44,82,9,14,0,79,0,956
Alto Alentejo,710,184,0,122,0,60,0,162,0,283
Alter do Chão,0,0,0,0,0,0,0,0,0,0
Arronches,21,0,0,0,0,0,0,0,0,0
Avis,0,0,0,0,0,0,0,16,0,11
Campo Maior,55,50,0,2,0,4,0,30,0,196
Castelo de Vide,20,0,0,0,0,0,0,0,0,0
Crato,37,0,0,0,0,0,0,0,0,42
Elvas,208,50,0,94,0,56,0,70,0,17
Fronteira,18,0,0,0,0,0,0,0,0,0
Gavião,9,0,0,0,0,0,0,0,0,0
Marvão,0,0,0,0,0,0,0,0,0,0
Monforte,0,0,0,0,0,0,0,0,0,0
Nisa,0,0,0,0,0,0,0,0,0,0
Ponte de Sor,82,31,0,26,0,0,0,0,0,0
Portalegre,217,53,0,0,0,0,0,16,0,0
Sousel,43,0,0,0,0,0,0,30,0,17
Alentejo Central,1375,345,69,181,32,104,44,192,0,874
Alandroal,0,0,0,0,0,0,0,0,0,0
Arraiolos,84,0,0,0,0,0,0,0,0,0
Borba,58,0,0,0,0,0,0,0,0,0
Estremoz,51,0,0,0,0,0,0,0,0,15
Évora,746,272,0,181,0,102,0,119,0,677
Montemor-o-Novo,62,73,0,0,0,0,0,36,0,51
Mora,20,0,0,0,0,0,0,0,0,0
Mourão,0,0,0,0,0,0,0,18,0,0
Portel,53,0,0,0,0,0,0,0,0,0
Redondo,35,0,0,0,0,0,0,0,0,17
Reguengos de Monsaraz,50,0,0,0,0,2,0,19,0,41
Vendas Novas,115,0,69,0,32,0,44,0,0,73
Viana do Alentejo,20,0,0,0,0,0,0,0,0,0
Vila Viçosa,81,0,0,0,0,0,0,0,0,0
Algarve,3384,2102,159,1314,0,406,0,672,0,765
Albufeira,152,199,0,0,0,0,0,0,0,0
Alcoutim,31,0,0,0,0,0,0,0,0,0
Aljezur,0,0,0,0,0,0,0,0,0,0
Castro Marim,81,0,0,0,0,0,0,0,0,0
Faro,870,429,99,256,0,53,0,75,0,71
Lagoa,162,155,0,116,0,90,0,151,0,67
Lagos,413,183,0,184,0,50,0,48,0,21
Loulé,245,418,0,194,0,106,0,210,0,278
Monchique,0,0,0,0,0,0,0,0,0,0
Olhão,334,132,0,77,0,51,0,58,0,0
Portimão,256,363,0,306,0,0,0,35,0,270
São Brás de Alportel,74,0,0,0,0,0,0,0,0,0
Silves,296,125,0,85,0,16,0,34,0,41
Tavira,285,98,60,21,0,23,0,47,0,17
Vila do Bispo,0,0,0,75,0,17,0,14,0,0
Vila Real de Santo António,185,0,0,0,0,0,0,0,0,0
R. A. Açores,1767,537,0,913,0,164,0,99,0,2034
Santa Maria,0,0,0,0,0,0,0,0,0,0
Vila do Porto,0,0,0,0,0,0,0,0,0,0
São Miguel,675,482,0,703,0,127,0,99,0,1342
Lagoa (R.A.A.),48,0,0,0,0,0,0,0,0,32
Nordeste,0,0,0,0,0,0,0,0,0,47
Ponta Delgada,332,482,0,703,0,127,0,99,0,903
Povoação,19,0,0,0,0,0,0,0,0,110
Ribeira Grande,198,0,0,0,0,0,0,0,0,142
Vila Franca do Campo,78,0,0,0,0,0,0,0,0,108
Terceira,668,55,0,145,0,37,0,0,0,374
Angra do Heroísmo,585,0,0,145,0,37,0,0,0,167
Vila da Praia da Vitória,83,55,0,0,0,0,0,0,0,207
Graciosa,52,0,0,0,0,0,0,0,0,0
Santa Cruz da Graciosa,52,0,0,0,0,0,0,0,0,0
São Jorge,144,0,0,0,0,0,0,0,0,109
Calheta (R.A.A.),53,0,0,0,0,0,0,0,0,0
Velas,91,0,0,0,0,0,0,0,0,109
Pico,48,0,0,0,0,0,0,0,0,103
Lajes do Pico,0,0,0,0,0,0,0,0,0,0
Madalena,37,0,0,0,0,0,0,0,0,103
São Roque do Pico,11,0,0,0,0,0,0,0,0,0
Faial,147,0,0,65,0,0,0,0,0,106
Horta,147,0,0,65,0,0,0,0,0,106
Flores,25,0,0,0,0,0,0,0,0,0
Lajes das Flores,0,0,0,0,0,0,0,0,0,0
Santa Cruz das Flores,25,0,0,0,0,0,0,0,0,0
Corvo,8,0,0,0,0,0,0,0,0,0
Corvo,8,0,0,0,0,0,0,0,0,0
R. A. Madeira,2767,31,2344,39,679,0,1082,0,1594,0
Calheta (R.A.M.),54,0,42,0,0,0,0,0,0,0
Câmara de Lobos,238,0,0,0,0,0,0,0,0,0
Funchal,1949,31,1877,39,679,0,1082,0,1594,0
Machico,86,0,96,0,0,0,0,0,0,0
Ponta do Sol,15,0,0,0,0,0,0,0,0,0
Porto Moniz,0,0,0,0,0,0,0,0,0,0
Ribeira Brava,0,0,0,0,0,0,0,0,0,0
Santa Cruz,375,0,203,0,0,0,0,0,0,0
Santana,21,0,32,0,0,0,0,0,0,0
São Vicente,6,0,0,0,0,0,0,0,0,0
Porto Santo,23,0,94,0,0,0,0,0,0,0
