,"Ensino secundário, Total (N.º)","Ensino secundário, das quais, Ensino regular, Total (N.º)","Ensino secundário, das quais, Ensino regular, Cursos gerais/
científico-humanísticos (N.º)","Ensino secundário, das quais, Ensino regular, Cursos tecnológicos (N.º)","Ensino secundário, das quais, Ensino artístico, Cursos tecnológicos (N.º)","Ensino secundário, das quais, Cursos profissionais, Cursos tecnológicos (N.º)","Ensino secundário, das quais, Cursos de aprendizagem, Cursos tecnológicos (N.º)","Ensino secundário, das quais, Cursos de educação e formação, Cursos tecnológicos (N.º)"
Portugal,347018,212623,209333,3290,2798,113750,17381,466
Continente,329532,202173,198883,3290,2792,108210,16307,50
Norte,118235,72365,69413,2952,1118,37765,6982,5
Alto Minho,7810,4412,4412,0,0,2793,605,0
Arcos de Valdevez,583,337,337,0,0,246,0,0
Caminha,423,282,282,0,0,141,0,0
Melgaço,173,106,106,0,0,67,0,0
Monção,487,280,280,0,0,207,0,0
Paredes de Coura,244,100,100,0,0,144,0,0
Ponte da Barca,364,223,223,0,0,141,0,0
Ponte de Lima,1442,794,794,0,0,648,0,0
Valença,282,166,166,0,0,116,0,0
Viana do Castelo,3617,1970,1970,0,0,1042,605,0
Vila Nova de Cerveira,195,154,154,0,0,41,0,0
Cávado,15044,9538,9538,0,65,4726,715,0
Amares,513,332,332,0,0,74,107,0
Barcelos,3740,2164,2164,0,13,1318,245,0
Braga,8376,5626,5626,0,52,2335,363,0
Esposende,967,662,662,0,0,305,0,0
Terras de Bouro,83,83,83,0,0,0,0,0
Vila Verde,1365,671,671,0,0,694,0,0
Ave,12648,7882,7882,0,0,4637,129,0
Cabeceiras de Basto,510,296,296,0,0,174,40,0
Fafe,1406,1069,1069,0,0,337,0,0
Guimarães,4656,3110,3110,0,0,1524,22,0
Mondim de Basto,167,109,109,0,0,58,0,0
Póvoa de Lanhoso,653,331,331,0,0,322,0,0
Vieira do Minho,216,179,179,0,0,37,0,0
Vila Nova de Famalicão,4286,2290,2290,0,0,1996,0,0
Vizela,754,498,498,0,0,189,67,0
A. M. Porto,58443,35817,33533,2284,1019,17554,4048,5
Arouca,585,394,394,0,0,191,0,0
Espinho,1897,1026,1026,0,0,794,77,0
Gondomar,3862,2795,2795,0,0,852,215,0
Maia,3509,2677,2677,0,0,660,172,0
Matosinhos,4671,2808,2808,0,2,1573,288,0
Oliveira de Azeméis,1689,920,920,0,0,769,0,0
Paredes,2153,1561,1561,0,0,375,217,0
Porto,14786,7830,7762,68,936,4783,1232,5
Póvoa de Varzim,2628,1883,1883,0,0,508,237,0
Santa Maria da Feira,2472,1532,1532,0,0,729,211,0
Santo Tirso,2608,1304,1304,0,0,1304,0,0
São João da Madeira,1558,976,976,0,0,541,41,0
Trofa,1050,799,799,0,0,149,102,0
Vale de Cambra,579,382,382,0,0,158,39,0
Valongo,2488,1518,1518,0,0,780,190,0
Vila do Conde,2044,1149,1149,0,0,895,0,0
Vila Nova de Gaia,9864,6263,4047,2216,81,2493,1027,0
Alto Tâmega,2100,1349,1349,0,0,734,17,0
Boticas,0,0,0,0,0,0,0,0
Chaves,1284,770,770,0,0,497,17,0
Montalegre,188,139,139,0,0,49,0,0
Ribeira de Pena,148,109,109,0,0,39,0,0
Valpaços,217,160,160,0,0,57,0,0
Vila Pouca de Aguiar,263,171,171,0,0,92,0,0
Tâmega e Sousa,13974,8223,7555,668,34,4719,998,0
Amarante,2048,1424,756,668,0,624,0,0
Baião,413,213,213,0,0,200,0,0
Castelo de Paiva,626,310,310,0,29,124,163,0
Celorico de Basto,434,235,235,0,0,199,0,0
Cinfães,488,214,214,0,0,274,0,0
Felgueiras,1901,1017,1017,0,0,839,45,0
Lousada,1463,951,951,0,5,507,0,0
Marco de Canaveses,1680,1042,1042,0,0,614,24,0
Paços de Ferreira,1959,1219,1219,0,0,549,191,0
Penafiel,2671,1415,1415,0,0,681,575,0
Resende,291,183,183,0,0,108,0,0
Douro,5463,3537,3537,0,0,1670,256,0
Alijó,212,144,144,0,0,68,0,0
Armamar,94,94,94,0,0,0,0,0
Carrazeda de Ansiães,125,90,90,0,0,35,0,0
Freixo de Espada à Cinta,0,0,0,0,0,0,0,0
Lamego,841,624,624,0,0,217,0,0
Mesão Frio,147,87,87,0,0,60,0,0
Moimenta da Beira,383,207,207,0,0,176,0,0
Murça,219,87,87,0,0,132,0,0
Penedono,0,0,0,0,0,0,0,0
Peso da Régua,579,334,334,0,0,245,0,0
Sabrosa,148,105,105,0,0,43,0,0
Santa Marta de Penaguião,0,0,0,0,0,0,0,0
São João da Pesqueira,217,113,113,0,0,104,0,0
Sernancelhe,135,0,0,0,0,135,0,0
Tabuaço,79,58,58,0,0,21,0,0
Tarouca,201,153,153,0,0,48,0,0
Torre de Moncorvo,121,77,77,0,0,44,0,0
Vila Nova de Foz Côa,75,75,75,0,0,0,0,0
Vila Real,1887,1289,1289,0,0,342,256,0
Terras de Trás-os-Montes,2753,1607,1607,0,0,932,214,0
Alfândega da Fé,77,63,63,0,0,14,0,0
Bragança,1089,671,671,0,0,323,95,0
Macedo de Cavaleiros,361,227,227,0,0,134,0,0
Miranda do Douro,99,82,82,0,0,17,0,0
Mirandela,785,309,309,0,0,357,119,0
Mogadouro,151,96,96,0,0,55,0,0
Vila Flor,95,63,63,0,0,32,0,0
Vimioso,0,0,0,0,0,0,0,0
Vinhais,96,96,96,0,0,0,0,0
Centro,70598,42015,41677,338,122,26491,1970,0
Oeste,11879,7018,7018,0,0,4719,142,0
Alcobaça,1586,953,953,0,0,633,0,0
Alenquer,1276,751,751,0,0,383,142,0
Arruda dos Vinhos,722,500,500,0,0,222,0,0
Bombarral,356,237,237,0,0,119,0,0
Cadaval,170,142,142,0,0,28,0,0
Caldas da Rainha,2295,1261,1261,0,0,1034,0,0
Lourinhã,558,411,411,0,0,147,0,0
Nazaré,418,161,161,0,0,257,0,0
Óbidos,188,142,142,0,0,46,0,0
Peniche,664,415,415,0,0,249,0,0
Sobral de Monte Agraço,237,191,191,0,0,46,0,0
Torres Vedras,3409,1854,1854,0,0,1555,0,0
Região de Aveiro,11443,6755,6755,0,0,4304,384,0
Águeda,1285,767,767,0,0,466,52,0
Albergaria-a-Velha,844,361,361,0,0,483,0,0
Anadia,1019,571,571,0,0,448,0,0
Aveiro,3408,2155,2155,0,0,1061,192,0
Estarreja,748,342,342,0,0,406,0,0
Ílhavo,795,524,524,0,0,271,0,0
Murtosa,122,122,122,0,0,0,0,0
Oliveira do Bairro,581,367,367,0,0,214,0,0
Ovar,1353,841,841,0,0,372,140,0
Sever do Vouga,501,215,215,0,0,286,0,0
Vagos,787,490,490,0,0,297,0,0
Região de Coimbra,13317,7969,7969,0,0,4711,637,0
Arganil,344,124,124,0,0,166,54,0
Cantanhede,898,548,548,0,0,350,0,0
Coimbra,5879,3580,3580,0,0,1716,583,0
Condeixa-a-Nova,378,329,329,0,0,49,0,0
Figueira da Foz,1933,1263,1263,0,0,670,0,0
Góis,0,0,0,0,0,0,0,0
Lousã,516,282,282,0,0,234,0,0
Mealhada,551,229,229,0,0,322,0,0
Mira,278,214,214,0,0,64,0,0
Miranda do Corvo,231,148,148,0,0,83,0,0
Montemor-o-Velho,400,212,212,0,0,188,0,0
Mortágua,162,110,110,0,0,52,0,0
Oliveira do Hospital,573,296,296,0,0,277,0,0
Pampilhosa da Serra,35,35,35,0,0,0,0,0
Penacova,387,149,149,0,0,238,0,0
Penela,26,0,0,0,0,26,0,0
Soure,358,259,259,0,0,99,0,0
